U' L' U' R' U2 R
R' U L' U2 L U'
U2 R' U L' U R
F2 R' U' R2 U' F2
F2 R' U2 F2 D B2
L D' L2 B2 L R'
L D' L2 B2 R' L
L D' B2 L D2 R2
F' D R' U2 F B
F' D R' U2 B F
R' F2 U' R U' F2
U2 R' U D L' U R
U2 R' U D' L' U R
U2 R' U D2 L' U R
U2 R' U B L' U R
U2 R' U B' L' U R
U2 R' U B2 L' U R
F2 R' U' L R2 U' F2
F2 R' U' L' R2 U' F2
F2 R' U' L2 R2 U' F2
F2 R' U' R2 L U' F2
F2 R' U' R2 L' U' F2
F2 R' U' R2 L2 U' F2
F2 R' U' R2 U' F2 D
F2 R' U' R2 U' F2 D'
F2 R' U' R2 U' F2 D2
F2 R' U' R2 D' L2 U'
F R' U' R U' F' B
F R' U' R U' B F'
U' R' U2 L' R U L
U' R' U2 R L' U L
U2 R' U2 R U' L' U
F' R' U2 F U' L' U
F2 R' U2 D B2 D' F2
F2 R' U2 F D F B2
F2 R' U2 F D B2 F
F2 R' U2 F' D F' B2
F2 R' U2 F' D B2 F'
F2 R' U2 F2 U R2 U'
F2 R' U2 F2 D B2 D
F2 R' U2 F2 D B2 D'
F2 R' U2 F2 D B2 D2
F2 R' U2 F2 B D B2
F2 R' U2 F2 B' D B2
F2 R' U2 F2 B2 D B2
F2 R' U2 B F2 D B2
F2 R' U2 B' F2 D B2
F2 R' U2 B2 F2 D B2
F2 R' D U R2 U B2
U2 R' D U L' U R
F2 R' D U2 B2 D' F2
L' U2 L R' U' R U'
U2 R' D' U L' U R
F2 R' D' F2 U' L2 U'
F2 R' D' F2 U2 D F2
F2 R' D' F2 D U2 F2
F2 R' D' F2 D' B2 U2
U2 R' D2 U L' U R
F2 R' D2 B2 U L2 U
F2 R' D2 B2 U2 D' B2
F2 R' D2 B2 D F2 U2
F2 R' D2 B2 D' U2 B2
L U2 L' R' U L' U
F2 R' F U' R2 U' F
L2 U2 L2 R' U L' U
F2 R' F U2 D F B2
F2 R' F U2 D B2 F
F2 R' F U2 F D B2
F2 R' F D U2 F B2
F2 R' F D U2 B2 F
F2 R' F D' F2 U2 F'
F R' F U' R U' F'
F' R' F' U' R U' F2
F2 R' F' U2 D F' B2
F2 R' F' U2 D B2 F'
F2 R' F' U2 F' D B2
F2 R' F' D U2 F' B2
F2 R' F' D U2 B2 F'
F2 R' F' D' F2 U2 F
R2 U2 R U L' U R'
D2 R' F2 U' R U' F2
D' R' F2 U' R U' F2
U2 R' F2 L' U' R U'
L' U2 R' L U' R U'
L2 U2 R' L2 U L' U
F2 R' F2 D' F2 U2 F2
D R' F2 U' R U' F2
L U2 R' L' U L' U
L U2 R' D L' F2 U2
F2 R' B U' R2 U' F2
L U2 R' D F2 U2 R
L U2 R' D' L' U2 B2
F2 R' B U2 F2 D B2
R U2 R2 U L' U R2
F2 R' B' U' R2 U' F2
F2 R' B' U2 F2 D B2
L U2 D L' R' F2 U2
L U2 D L' F2 R' U2
L U2 D R' L' F2 U2
L U2 D R' F2 U2 R
F2 R' B2 U' R2 U' F2
F2 R' B2 U2 F2 D B2
L U2 D F2 R' U2 R2
L U2 D' L' R' U2 B2
L U2 D' L' U2 B2 L
L U2 D' R' L' U2 B2
F' R2 D R F' U2 F2
L D L D2 B2 L R2
L D L D2 B2 R2 L
L D L' R' F2 U2 F2
L D L' F2 R' U2 F2
L D L2 D2 B2 L R'
L D L2 D2 B2 R' L
L D R D2 L2 B2 R'
L D R' L' F2 U2 F2
R' D U L' U2 L U'
L D R' F2 U2 R F2
U' D L' U' R' U2 R
L D U2 L' R' F2 U2
L D U2 L' F2 R' U2
B2 U L' U2 L U' L
L D U2 R' L' F2 U2
L D U2 R' F2 U2 R
L D U2 F2 R' U2 R2
R' D F2 U' R U' F2
L D F2 R' U2 R2 F2
L D F2 R' U2 F2 R2
U2 D R' U L' U R
L D B2 L D2 R2 B2
L D B2 L D2 B2 R2
R D' L D' L2 B2 R'
L2 D' L' D' B2 L R2
L2 D' L' D' B2 R2 L
L D' L B2 D2 L R2
L D' L B2 D2 R2 L
L D' L2 B2 L R' D
L D' L2 B2 L R' D'
L D' L2 B2 L R' D2
L D' L2 B2 L D R'
L D' L2 B2 L D' R'
L D' L2 B2 L D2 R'
L D' L2 B2 R' L D
L D' L2 B2 R' L D'
L D' L2 B2 R' L D2
L D' L2 B2 R' D L
L D' L2 B2 R' D' L
L D' L2 B2 R' D2 L
L D' L2 B2 D L R'
L D' L2 B2 D R' L
L D' L2 B2 D' L R'
L D' L2 B2 D' R' L
L D' L2 B2 D2 L R'
L D' L2 B2 D2 R' L
R' D' U L' U2 L U'
U' D' L' U' R' U2 R
D' U' L' U' R' U2 R
D2 U' L' U' R' U2 R
D U' L' U' R' U2 R
L2 D' U' L B2 U L
B2 U' L' U L2 D2 R2
L D' U2 L' R' U2 B2
L D' U2 L' U2 B2 L
L D' U2 R' L' U2 B2
U2 D' R' U L' U R
R' D' F2 U' R U' F2
F2 U' R U R2 U2 F2
F2 U' R U' F2 D2 L2
L D' F2 B2 L R F2
L D' F2 B2 R L F2
L D' F2 B2 R F2 L
L D' B2 L R D2 R2
L D' B2 L R' D2 R2
L D' B2 L R2 D2 R2
L D' B2 L U2 L2 U2
L D' B2 L D2 R2 D
L D' B2 L D2 R2 D'
L D' B2 L D2 R2 D2
L D' B2 R L D2 R2
L D' B2 R' L D2 R2
L D' B2 R2 L D2 R2
L D' B2 U2 L' U2 L2
L D' B2 D L D2 R2
L D' B2 D' L D2 R2
L D' B2 D2 L D2 R2
L D' B2 F2 L R F2
L D' B2 F2 R L F2
L D' B2 F2 R F2 L
U' D2 L' U' R' U2 R
L D2 L2 D B2 L R'
L D2 L2 D B2 R' L
R' D2 U L' U2 L U'
D' U2 R' U L' U R
D2 U2 R' U L' U R
F2 U' B2 R U' L F2
F2 U' B2 R U' F2 L
U2 D2 R' U L' U R
D U2 R' U L' U R
B2 U2 L D' B2 D2 F2
R' D2 F2 U' R U' F2
F' U2 D' F B2 L B'
F' U2 D' B2 F L B'
F' U2 F L D' B2 L
F' U2 F B2 L D' B2
F2 U2 F2 L D' B2 L
F2 U2 F2 B2 L D' B2
F U2 F' B2 D L B'
R' F U L' U F' B'
R' F U L' U B' F'
F' U2 B2 D' F L B'
F' U2 B2 F L D' B2
F2 U2 B2 F2 L D' B2
U F U R' U2 R B
F U2 B2 D L F' B'
F U2 B2 D L B' F'
F U2 B2 D F' L B'
F U2 B2 F' D L B'
U F U' R' F' U2 F
F' D R F' R2 U2 F2
F' D R' U2 D F B
F' D R' U2 D B F
F' D R' U2 D' F B
F' D R' U2 D' B F
F' D R' U2 D2 F B
F' D R' U2 D2 B F
F' D R' U2 F D B
F' D R' U2 F D' B
F' D R' U2 F D2 B
F' D R' U2 F B D
F' D R' U2 F B D'
F' D R' U2 F B D2
F' D R' U2 B D F
F' D R' U2 B D' F
F' D R' U2 B D2 F
F' D R' U2 B F D
F' D R' U2 B F D'
F' D R' U2 B F D2
F' D R' D U2 F B
F' D R' D U2 B F
F' D R' D' U2 F B
F' D R' D' U2 B F
F' D R' D2 U2 F B
F' D R' D2 U2 B F
F' D R' F' U2 F2 B
F' D R' F' U2 B F2
F' D R' F2 U2 F' B
F' D R' F2 U2 B F'
F' D R' B' U2 F B2
F' D R' B' U2 B2 F
F' D R' B2 U2 F B'
F' D R' B2 U2 B' F
L' F B2 U L F' R'
L' F B2 U F' L R'
L' F B2 U F' R' L
F' D F' R' U2 F2 B
F' D F' R' U2 B F2
R' F' U2 F U' L' U
D2 F' D R' U2 F B
D2 F' D R' U2 B F
D' F' D R' U2 F B
D' F' D R' U2 B F
U2 F' D R' U2 B R
D F' D R' U2 F B
D F' D R' U2 B F
F2 D' R' U' L2 R2 U'
F2 D' R' U' R2 L2 U'
F2 D' R' U2 D F2 B2
F2 D' R' U2 D B2 F2
F2 D' R' D U2 F2 B2
F2 D' R' D U2 B2 F2
F2 D' R' D' F2 B2 U2
F2 D' R' D' B2 F2 U2
L' F' B2 U R' F L
L' F' B2 U F L R'
L' F' B2 U F R' L
F' D' U2 F B2 L B'
F' D' U2 B2 F L B'
D2 F2 R' U' R2 U' F2
D' F2 R' U' R2 U' F2
D2 F2 R' U2 F2 D B2
D' F2 R' U2 F2 D B2
U2 F2 R' U' R2 U' R'
U2 F2 R' U2 D R B2
U2 F2 R' U2 D B2 R
U F2 R U R2 U2 R2
U2 F2 R' D U2 R B2
U2 F2 R' D U2 B2 R
U2 F2 R' D' F2 L' U2
D F2 R' U' R2 U' F2
D F2 R' U2 F2 D B2
R' F2 U' L R U' F2
R' F2 U' L' R U' F2
R' F2 U' L2 R U' F2
R' F2 U' R L U' F2
R' F2 U' R L' U' F2
R' F2 U' R L2 U' F2
R' F2 U' R U' F2 D
R' F2 U' R U' F2 D'
R' F2 U' R U' F2 D2
R' F2 U' R D' L2 U'
L' F2 U' L R' U2 F2
F' D' B2 U2 F L B'
R' F2 U' D' L2 R U'
R' F2 U' D' R L2 U'
L' F2 U' R' L U2 F2
R F2 R2 U' R' U' F2
R2 F2 U' R U' L' F2
R' F2 U2 F2 U' L' U
R F2 U' R U' F2 L'
R' F2 D' U' L2 R U'
R' F2 D' U' R L2 U'
R' F2 D2 B2 U' R U'
R' F2 B U' R U' F2
F2 D2 R' B2 U' R2 U'
F2 D2 R' B2 U2 D B2
F2 D2 R' B2 D U2 B2
F2 D2 R' B2 D' F2 U2
R' F2 B' U' R U' F2
R' F2 B2 U' R U' F2
L' F2 B2 U L R' F2
L' F2 B2 U L F2 R'
L' F2 B2 U R' L F2
L' F2 B2 U R' F2 L
L' F2 B2 U F2 L R'
L' F2 B2 U F2 R' L
R' B U L' U2 L U'
F2 D2 B2 U' R U' L
R' B F2 U' R U' F2
R' B' U L' U2 L U'
B2 F' U2 D' F L B'
R' B' F2 U' R U' F2
B2 F' U2 F L D' B2
L' B2 L R' U' L' U
L' B2 L U' L' U R'
U' B2 L' U L2 D2 R2
L2 B2 L R D B2 R'
U2 B2 L D' B2 D' F2
U2 B2 L D2 F2 D B2
B2 F' D' U2 F L B'
L' B2 L2 R' D' L' B2
L' B2 L2 R' D' B2 L'
L' B2 L2 D' L' R' B2
L' B2 L2 D' R' L' B2
L' B2 L2 D' R' B2 L'
L2 B2 R L D B2 R'
L' B2 R' L U' L' U
U B2 L' B2 R' U L2
L' B2 R' L2 D' L' B2
L' B2 R' L2 D' B2 L'
R' B2 U L' U2 L U'
U B2 U' L D' R2 B2
U B2 U' L D' B2 R2
B2 F2 U' R U' L F2
B2 F2 U' R U' F2 L
F2 B2 U' R U' L F2
F2 B2 U' R U' F2 L
U B2 U2 L' B2 U L2
U2 B2 D' L D' F2 B2
U2 B2 D' L D' B2 F2
F' B2 U2 D' F L B'
L B2 D L D2 R2 B2
L B2 D L D2 B2 R2
F' B2 U2 F L D' B2
B2 F2 U2 F2 L D' B2
F2 B2 U2 F2 L D' B2
U2 B2 D2 L F2 D' B2
L B2 D' L B2 D2 R2
L B2 D' L2 B2 L' R'
L B2 D' L2 B2 R' L'
L' B2 F U L F' R'
L' B2 F U F' L R'
L' B2 F U F' R' L
F' B2 D' U2 F L B'
L' B2 F' U R' F L
L' B2 F' U F L R'
L' B2 F' U F R' L
R' B2 F2 U' R U' F2
U B2 D2 F2 R U' L
L' B2 F2 U L R' F2
L' B2 F2 U L F2 R'
L' B2 F2 U R' L F2
L' B2 F2 U R' F2 L
L' B2 F2 U F2 L R'
L' B2 F2 U F2 R' L
