B L2 U2 B' U' F2
B L2 U2 B' U' F2
F2 L2 F' B U F
F' L2 F2 B U F
F' L2 B F2 U F
F2 L2 B F' U F
F L2 B U D2 F2
F L2 B U' B2 U2
F L2 B D' R2 U
F L2 B D2 U F2
F2 U' L2 F' B U
F2 U' L2 B F' U
F2 U' F' L2 B U
F2 U' F' B L2 U
F2 U' B L2 F' U
F2 U' B F' L2 U
F D' B U F B
F D' B U B F
L2 B U F2 D L2
F' B L2 F2 U F
L2 B U2 B2 U' F2
L2 B D R2 U L2
F2 B L2 F' U F
B F L2 U' B' U2
F B L2 U' B' U2
B F U D' F B2
B F U D' B2 F
B F U F D' B2
F B U D' F B2
F B U D' B2 F
F B U F D' B2
B F D' U F B2
B F D' U B2 F
F B D' U F B2
F B D' U B2 F
B F' L2 F2 U F
B F2 L2 F' U F
B F' L2 F2 R U F
B F' L2 F2 R' U F
B F' L2 F2 R2 U F
B F' L2 F2 U D F
B F' L2 F2 U D' F
B F' L2 F2 U D2 F
B F' L2 F2 U F D
B F' L2 F2 U F D'
B F' L2 F2 U F D2
B F' L2 F2 D U F
B F' L2 F2 D' U F
B F' L2 F2 D2 U F
F B' L2 B2 R2 U F'
F B' L2 B2 U' B U2
F2 B' U' L2 F' B2 U
F2 B' U' L2 B2 F' U
B F' U D' L2 F' B2
B F' U D' L2 B2 F'
B F' U D' F' L2 B2
B F' U D' F' B2 L2
B F' U D' B2 L2 F'
B F' U D' B2 F' L2
F2 B' U' F' L2 B2 U
F2 B' U' F' B2 L2 U
F B' U D' R2 F B2
F B' U D' R2 B2 F
F B' U D' F R2 B2
F B' U D' F B2 R2
F2 B' U' B2 L2 F' U
F B' U D' B2 R2 F
