B' L R U L2 U
B' L R U2 D' B2
B' L R D F2 U2
B' L R D' U2 B2
B' L D R F2 U2
B' L D F2 U2 L'
B' L D' R U2 B2
B' R L U L2 U
B' R L U2 D' B2
B' R L D F2 U2
B' R L D' U2 B2
R B' L U L2 U
R B' L U2 D' B2
R B' L D F2 U2
R B' L D' U2 B2
B' L D F2 U2 L' D'
B' L D F2 U2 L' D2
B' L D F2 U2 D L'
B' L D F2 U2 D' L'
B' L D F2 U2 D2 L'
B' L D F2 D U2 L'
B' L D F2 D' U2 L'
B' L D F2 D2 U2 L'
B' L D' R U2 B2 D
B' L D' R U2 B2 D'
B' L D' R U2 B2 D2
B' L D' R D2 F2 U2
B' L D' R F U2 B2
B' L D' R F' U2 B2
B' L D' R F2 U2 B2
B' L D' R2 U2 B2 L
B' L D' F2 U2 L' B2
B' L D' F2 U2 B2 L'
B' L D2 R U' R U'
B' L F2 U L2 U L
B' L F2 U2 D' L' B2
B' L F2 U2 D' B2 L'
B' L F2 D F2 R U2
B' L F2 D' U2 L' B2
B' L F2 D' U2 B2 L'
B L' U R' D2 L2 F2
B L' U R' D2 F2 L2
D2 L' U F2 L' F R
B L' U D2 F2 L' R'
B L' U D2 F2 R' L'
B L' U' R B2 U2 R2
B L' U' B2 L R U2
B L' U' B2 R L U2
B L' D2 U F2 L' R'
B L' D2 U F2 R' L'
B' R L U L2 U D
B' R L U L2 U D'
B' R L U L2 U D2
B' R L U L2 D U
B' R L U L2 D' U
B' R L U L2 D2 U
B' R L U' D2 R2 U'
B' R L U2 D' B2 D
B' R L U2 D' B2 D'
B' R L U2 D' B2 D2
B' R L U2 B D' B2
B' R L U2 B' D' B2
B' R L U2 B2 D' B2
B' R L D F2 U2 D
B' R L D F2 U2 D'
B' R L D F2 U2 D2
B' R L D F2 D U2
B' R L D F2 D' U2
B' R L D F2 D2 U2
B' R L D' U2 B2 D
B' R L D' U2 B2 D'
B' R L D' U2 B2 D2
B' R L D' F U2 B2
B' R L D' F' U2 B2
B' R L D' F2 U2 B2
B' R L D2 U' R2 U'
B' R L F U L2 U
B' R L F U2 D' B2
B' R L F D F2 U2
B' R L F D' U2 B2
B' R L F' U L2 U
B' R L F' U2 D' B2
B' R L F' D F2 U2
B' R L F' D' U2 B2
L' U D2 F' R F' L'
B' R L F2 U L2 U
B' R L F2 U2 D' B2
B' R L F2 D F2 U2
B' R L F2 D' U2 B2
B' R U L' U D2 R2
B' R U L' U' L2 U2
B' R U L' D' B2 U
B' R U L' D2 U R2
B' R U B2 L' U R'
F2 R U B' L U2 L2
B' R D L U L2 U
B' R D L U2 D' B2
B' R D L D F2 U2
B' R D L D' U2 B2
B' R D' L U L2 U
B' R D' L U2 D' B2
B' R D' L D F2 U2
B' R D' L D' U2 B2
L' U' L R B' L U2
B' R D2 L U L2 U
B' R D2 L U2 D' B2
B' R D2 L D F2 U2
B' R D2 L D' U2 B2
L' U' L B' L R U2
L' U' L B' R L U2
L' U' R L B' L U2
B' R F' D' L U2 B'
B' R F2 L U' R U'
L' U' R B' L B' U2
U' R B' L U L2 U
U' R B' L U2 D' B2
U' R B' L D F2 U2
U' R B' L D' U2 B2
U2 R B' L U L2 U
U2 R B' L U2 D' B2
U2 R B' L D F2 U2
U2 R B' L D' U2 B2
U R B' L U L2 U
U R B' L U2 D' B2
U R B' L D F2 U2
U R B' L D' U2 B2
B R B2 U L' U R2
L' U' D2 R U2 F' R
L' U' B' L R B' U2
L' U' B' L B' R U2
L' U' B' R L B' U2
B' R2 L U2 D' B2 L
B' R2 L D R' F2 U2
B' R2 L D F2 R' U2
B' R2 L D' R' U2 B2
B' R2 L D' U2 B2 L
B' U L' U' L2 R U2
B' U L' U' R L2 U2
F U B' L F U2 L'
L' D2 U F' R F' L'
L' D2 U' R U2 F' R
B' D L R U L2 U
B' D L R U2 D' B2
B' D L R D F2 U2
B' D L R D' U2 B2
B' D L D R F2 U2
B' D L D F2 U2 L'
B' D L D' R U2 B2
B' D R L U L2 U
B' D R L U2 D' B2
B' D R L D F2 U2
B' D R L D' U2 B2
B' D' L R U L2 U
B' D' L R U2 D' B2
B' D' L R D F2 U2
B' D' L R D' U2 B2
B' D' L D R F2 U2
B' D' L D F2 U2 L'
B' D' L D' R U2 B2
B' D' R L U L2 U
B' D' R L U2 D' B2
B' D' R L D F2 U2
B' D' R L D' U2 B2
R F' B' D' L U2 B'
B' D2 L R U L2 U
B' D2 L R U2 D' B2
B' D2 L R D F2 U2
B' D2 L R D' U2 B2
B' D2 L D R F2 U2
B' D2 L D F2 U2 L'
B' D2 L D' R U2 B2
B D2 L' U F2 L' R'
B D2 L' U F2 R' L'
B' D2 R L U L2 U
B' D2 R L U2 D' B2
B' D2 R L D F2 U2
B' D2 R L D' U2 B2
L' F2 B U L' R' F
L' F2 B U L' F R'
L' F2 B U R' L' F
R F2 B' L U' R U'
B D2 F2 L' R' D B2
B D2 F2 R' L' D B2
B D2 F2 R' D L' B2
B D2 F2 R' D B2 L'
L' B U F2 L' R' F
L' B U F2 L' F R'
L' B U F2 R' L' F
U' B' L R U L2 U
U' B' L R U2 D' B2
U' B' L R D F2 U2
U' B' L R D' U2 B2
L' B F2 U L' R' F
L' B F2 U L' F R'
L' B F2 U R' L' F
R' B' L R2 U L2 U
U' B' L D R F2 U2
R' B' L R2 U2 D' B2
R' B' L R2 D F2 U2
R' B' L R2 D' U2 B2
U' B' L D F2 U2 L'
U' B' L D' R U2 B2
U2 B' L R U L2 U
U2 B' L R U2 D' B2
U2 B' L R D F2 U2
U2 B' L R D' U2 B2
U2 B' L D R F2 U2
U2 B' L D F2 U2 L'
U2 B' L D' R U2 B2
U B' L R U L2 U
U B' L R U2 D' B2
U B' L R D F2 U2
U B' L R D' U2 B2
U B' L D R F2 U2
U B' L D F2 U2 L'
U B' L D' R U2 B2
U' B' R L U L2 U
U' B' R L U2 D' B2
U' B' R L D F2 U2
U' B' R L D' U2 B2
R B' L U L2 U D
R B' L U L2 U D'
R B' L U L2 U D2
R B' L U L2 D U
R B' L U L2 D' U
R B' L U L2 D2 U
R B' L U' D2 R2 U'
R B' L U2 D' B2 D
R B' L U2 D' B2 D'
R B' L U2 D' B2 D2
R B' L U2 B D' B2
R B' L U2 B' D' B2
R B' L U2 B2 D' B2
R B' L D F2 U2 D
R B' L D F2 U2 D'
R B' L D F2 U2 D2
R B' L D F2 D U2
R B' L D F2 D' U2
R B' L D F2 D2 U2
R B' L D' U2 B2 D
R B' L D' U2 B2 D'
R B' L D' U2 B2 D2
R B' L D' F U2 B2
R B' L D' F' U2 B2
R B' L D' F2 U2 B2
R B' L D2 U' R2 U'
R B' L F U L2 U
R B' L F U2 D' B2
R B' L F D F2 U2
R B' L F D' U2 B2
R B' L F' U L2 U
R B' L F' U2 D' B2
R B' L F' D F2 U2
R B' L F' D' U2 B2
R B' L F2 U L2 U
R B' L F2 U2 D' B2
R B' L F2 D F2 U2
R B' L F2 D' U2 B2
U2 B' R L U L2 U
U2 B' R L U2 D' B2
U2 B' R L D F2 U2
U2 B' R L D' U2 B2
R' B' R2 L U L2 U
R' B' R2 L U2 D' B2
R' B' R2 L D F2 U2
R' B' R2 L D' U2 B2
U B' R L U L2 U
U B' R L U2 D' B2
U B' R L D F2 U2
U B' R L D' U2 B2
F2 B' L U' R U' L2
L' B' U' L R B' U2
L' B' U' L B' R U2
L' B' U' R L B' U2
R B' U L' U D2 R2
R B' U L' U' L2 U2
R B' U L' D' B2 U
R B' U L' D2 U R2
R B' U B2 L' U R'
R B' D L U L2 U
R B' D L U2 D' B2
R B' D L D F2 U2
R B' D L D' U2 B2
R B' D' L U L2 U
R B' D' L U2 D' B2
R B' D' L D F2 U2
R B' D' L D' U2 B2
R B' D2 L U L2 U
R B' D2 L U2 D' B2
R B' D2 L D F2 U2
R B' D2 L D' U2 B2
R B' F' D' L U2 B'
R B' F2 L U' R U'
B' F2 L U' R U' L2
