U' F D2 L' R2 B'
U' F D2 L' B' R2
U' F D2 R2 L' B'
F' U' L' F2 B' L' R
F' U' L' F2 B' R L'
F' U' L' B' F2 L' R
F' U' L' B' F2 R L'
D2 U' R2 L' B' L F
D2 U' R2 D2 F L' B'
D2 U' R2 F L' B' L
D2 U' F L' R2 B' L
D2 U' F L' B' L R2
D2 U' F L' B' R2 L
D2 U' F R2 L' B' L
U' D2 L' R2 B' L F
U' D2 L' B' L R2 F
U' D2 L' B' L F R2
U' D2 L' B' R2 L F
F' U' F2 D2 L' R2 B'
F' U' F2 D2 L' B' R2
F' U' F2 D2 R2 L' B'
U' D2 R2 L' B' L F
U' D2 R2 D2 F L' B'
U' D2 R2 F L' B' L
U' D2 F L' R2 B' L
U' D2 F L' B' L R2
U' D2 F L' B' R2 L
U' D2 F R2 L' B' L
L2 D2 B' U' R' U' L
U' F L B' L2 B' R'
U' F L B2 L2 R' B'
U' F L B2 R' L2 B'
U' F L' F2 R F2 B'
U' F L' F2 R B' F2
U' F L' F2 B' R F2
U' F L' B' U2 L' U2
U' F L' B' F2 R F2
U F L' U2 L' U2 B'
U' F R D2 L' R2 B'
U' F R D2 L' B' R2
U' F R D2 R2 L' B'
U F L' F2 R F2 B
U F L' F2 R B F2
U' F R' D2 L' R2 B'
U' F R' D2 L' B' R2
U' F R' D2 R2 L' B'
U F R D2 L' B R2
U F R D2 B L' R2
U F R D2 B R2 L'
U' F R2 D2 L' R2 B'
U' F R2 D2 L' B' R2
U' F R2 D2 R2 L' B'
U F R B D2 L' R2
U F R B D2 R2 L'
U F R' D2 L' R2 B
U F R' D2 R2 L' B
U F R' D2 R2 B L'
U' F D L' D R2 B'
U' F D L' D B' R2
U' F D L' B' D R2
U' F D' L' D' R2 B'
U' F D' L' D' B' R2
U F U2 L2 U2 L B'
U' F D2 L' R B' R
U' F D2 L' R2 D B'
U' F D2 L' R2 D' B'
U' F D2 L' R2 D2 B'
U' F D2 L' R2 B' D
U' F D2 L' R2 B' D'
U' F D2 L' R2 B' D2
U' F D2 L' B R2 B2
U' F D2 L' B' R2 D
U' F D2 L' B' R2 D'
U' F D2 L' B' R2 D2
U' F D2 R L' B' R
U' F D2 R2 L' D B'
U' F D2 R2 L' D' B'
U' F D2 R2 L' D2 B'
U' F D2 R2 L' B' D
U' F D2 R2 L' B' D'
U' F D2 R2 L' B' D2
U' F D2 R2 D L' B'
U' F D2 R2 D' L' B'
U' F D2 R2 D2 L' B'
U' F D2 R2 B L' B'
U' F D2 R2 B' L' B'
U' F D2 R2 B2 L' B'
U' F D2 B L' R2 B'
U' F D2 B L' B' R2
U' F D2 B R2 L' B'
U' F D2 B' L' R2 B'
U' F D2 B' L' B' R2
U' F D2 B' R2 L' B'
U' F D2 B2 L' R2 B'
U' F D2 B2 L' B' R2
U' F D2 B2 R2 L' B'
B' D R' F2 B U' F'
B' D R' B F2 U' F'
U' F B D2 L' R2 B'
U' F B D2 L' B' R2
U' F B D2 R2 L' B'
U F D2 L' R B R
U F D2 R L' B R
U F D2 R B L' R
U F D2 R B R L'
U' F B' D2 L' R2 B'
U' F B' D2 L' B' R2
U' F B' D2 R2 L' B'
L2 F B' U' R' U' L'
U' F B2 D2 L' R2 B'
U' F B2 D2 L' B' R2
U' F B2 D2 R2 L' B'
U' F' L' F2 R B' L'
U' F' L' F2 B' L' R
U' F' L' F2 B' R L'
U' F' L' B' F2 L' R
U' F' L' B' F2 R L'
U2 F' L' U F2 L' R
U2 F' L' U F2 R L'
U F' L' F2 L' R B
U F' L' F2 R L' B
U F' L' F2 R B L'
U F' L2 R U2 F2 B
U F' L2 R U2 B F2
U F' L2 U2 F2 L' B'
F2 D F2 U' F L' B'
L2 F' R B' U' R' U'
U F' R L2 U2 F2 B
U F' R L2 U2 B F2
F D F2 U' F2 L' B'
L2 F' B' R U' R2 U'
L2 F' B' R U2 D B2
L2 F' B' R D U2 B2
L2 F' B' R D' F2 U2
U' F2 D2 F' L' R2 B'
U' F2 D2 F' L' B' R2
U' F2 D2 F' R2 L' B'
F D2 R2 B L' D' B2
F D2 B L' R2 D' B2
F D2 B R2 L' D' B2
U' B F D2 L' R2 B'
U' B F D2 L' B' R2
U' B F D2 R2 L' B'
D2 B' R' U' R' F L
D2 B' R' U' F L R'
D2 B' R' U' F R' L
B F D' L' D' R2 B2
B F D' L' D' B2 R2
F B D' L' D' R2 B2
F B D' L' D' B2 R2
B F D2 L' R2 D' B2
D2 B' R2 F D' L B'
B F D2 R2 L' D' B2
F B D2 L' R2 D' B2
D B' R' F2 B U' F'
F B D2 R2 L' D' B2
D B' R' B F2 U' F'
L2 B' U' D R' B U'
L2 B' D U' R' B U'
U' B' F D2 L' R2 B'
U' B' F D2 L' B' R2
U' B' F D2 R2 L' B'
L2 B' F U' R' U' L'
L2 B' F' R U' R2 U'
L2 B' F' R U2 D B2
L2 B' F' R D U2 B2
L2 B' F' R D' F2 U2
U' B2 F D2 L' R2 B'
U' B2 F D2 L' B' R2
U' B2 F D2 R2 L' B'
