F' L U F' R' U
F2 R' U' F L U2
R D' L2 F2 R B
L F' U F' R' U
R' F2 U B2 R' B
R' F2 B2 U R' B
R' B2 F2 U R' B
L F' U F' D' R' U
L F' U F' D2 R' U
L F' U F2 R' F U
L F' D U F' R' U
F2 D' R' U' F L U2
L F' D' U F' R' U
L F' D2 U F' R' U
L2 F2 L2 R' U R2 B'
L2 F2 L2 R' U B' R2
U' F2 R' U' F L U2
L' F2 R' U' L2 U2 B'
L' F2 R' U' F L2 U2
L2 F2 R' L2 U R2 B'
L2 F2 R' L2 U B' R2
U2 F2 R' U' F L U2
L2 F2 R' U' F U2 R2
R' F2 U R' B2 R' B'
U F2 R' U' F L U2
R' F2 U B R' B R'
R' F2 U B2 R' D B
R' F2 U B2 R' D' B
R' F2 U B2 R' D2 B
R' F2 U B2 R' B D
R' F2 U B2 R' B D'
R' F2 U B2 R' B D2
R' F2 U' D2 L U2 B'
R F2 R2 U B2 R' B
F' D2 L U F' R' U
R F2 R2 B2 U R' B
R' F2 D2 U' L U2 B'
R' F2 B U R' B R'
F2 D2 R' U' F L U2
R' F2 B U B R' B
R' F2 B2 L U R' B
R' F2 B2 L' U R' B
R' F2 B2 L2 U R' B
R' F2 B2 U R' D B
R' F2 B2 U R' D' B
R' F2 B2 U R' D2 B
R' F2 B2 U R' B D
R' F2 B2 U R' B D'
R' F2 B2 U R' B D2
F D2 R' F U B2 R'
F D2 F R' U B2 R'
R' B F2 U R' B R'
R' B F2 U B R' B
D2 B2 L R2 U' B R
D2 B2 L U F' U2 R'
D2 B2 L U' R2 B R
R' B2 L F2 U R' B
R' B2 L' F2 U R' B
R' B2 L2 F2 U R' B
D2 B2 R2 L U' B R
R2 B2 R F2 U R2 B'
R2 B2 R F2 U B' R2
R2 B2 R' D' F2 B' L2
R2 B2 R' D' B' L2 F2
R2 B2 R' D' B' F2 L2
R' B2 U R' D' L2 B
R' B2 U R' D' B L2
R' B2 U R' B D' L2
R2 B2 R' B' D' L2 F2
R2 B2 R' B' D' F2 L2
R B2 D' R' F2 L2 B'
R' B2 F2 L U R' B
R' B2 F2 L' U R' B
R' B2 F2 L2 U R' B
R' B2 F2 U R' D B
R' B2 F2 U R' D' B
R' B2 F2 U R' D2 B
R' B2 F2 U R' B D
R' B2 F2 U R' B D'
R' B2 F2 U R' B D2
