B' L U2 L U L'
D' R U' F' B2 L
D' R U' B2 L F'
D' R U' B2 F' L
B U2 L2 R' U L2
B U2 R' L2 U L2
F2 D L' F2 U2 F' R2
B' D F2 U' L F2 U'
B' D F2 U' F2 L U'
F2 D F2 L B' U2 R2
F2 D F2 L' U2 R2 F
F2 D F2 L' U2 F R2
B' D' L R U' B2 L
B' D' L U' B2 D L2
B' D' R L U' B2 L
B2 D' R U' B2 L F
D F2 L D B' U2 R2
D F2 L D' L2 U2 F
D F2 L D' B' L2 U2
D F2 L B' U' F2 U'
D F2 L B' U2 D R2
D F2 L B' D U2 R2
D F2 L B' D' L2 U2
D F2 L' U' F2 U' F'
D F2 L' U2 D R2 F
D F2 L' U2 D F R2
D F2 L' D U2 R2 F
D F2 L' D U2 F R2
D F2 L' D' L2 B' U2
B' D2 L R2 U R2 U2
B' D2 L R2 U' D2 L2
B' D2 L R2 D B2 U'
B' D2 L R2 D2 U' L2
D F2 U' L' F2 U' F'
D F2 U' F2 L' U' F
B' D2 R2 L U R2 U2
B' D2 R2 L U' D2 L2
B' D2 R2 L D B2 U'
B' D2 R2 L D2 U' L2
B' D2 R2 D L B2 U'
B' D2 R2 D2 L U' L
B' D2 U' L R2 U' R2
B' D2 U' R2 L U' R2
F' D2 U' R2 F L' U'
F' D2 U' F L' R2 U'
F' D2 U' F R2 L' U'
U' B L2 F R' U R
U B L2 R' U D2 R2
U B L2 R' U' L2 U2
U B L2 R' D' B2 U
U B L2 R' D2 U R2
U B L2 D' R' B2 U
U B L2 D2 R' U R'
L2 B R' U' R U2 R'
U2 B R' B' L2 U L2
U B R' L2 U D2 R2
U B R' L2 U' L2 U2
U B R' L2 D' B2 U
U B R' L2 D2 U R2
U' B U' L2 R' F U
U' B U' L2 F R' U
U' B U' R' L2 F U
U2 B U' R' B' L2 U
L' B U2 L' R' U L
U B U L2 R' U L2
U B U R' L2 U L2
L' B U2 R' L' U L
F' B U L2 R' B' U
F' B U R' L2 B' U
L' B' L U2 L2 U L2
L2 B' L U2 L' U L
R2 B' L D B2 R' U'
R2 B' D2 L R2 U' L
B F' U L2 R' B' U
R2 B' D2 R2 L U' L
B F' U R' L2 B' U
L B2 R' U R B U2
L' B2 U2 L' U L F
R B2 U' D' L F B2
R B2 U' D' L B2 F
R B2 D' U' L F B2
R B2 D' U' L B2 F
R B2 D2 R2 U' L F
