L U B U F B2
L U B U B2 F
L U2 F B' D' R2
L U2 B' D' R2 F
L U2 B' D' F R2
L U2 B' F D' R2
L' F B' U B2 U
L' F B' U2 D' R2
L' F B' D L2 U2
L' F B' D' U2 R2
U B U2 L U' B'
L' B' D L2 U2 B'
L' B' D F L2 U2
L' B' D' F U2 R2
L' B' F U B2 U
L' B' F U2 D' R2
L' B' F D L2 U2
L' B' F D' U2 R2
L U2 F2 B' D' F' R2
U' R2 D F' L' R U'
U' R2 D F' R L' U'
L U2 B' R D' R2 F
L U2 B' R D' F R2
L U2 B' R F D' R2
L U2 B' R' D' R2 F
L U2 B' R' D' F R2
L U2 B' R' F D' R2
L U2 B' R2 D' R2 F
L U2 B' R2 D' F R2
L U2 B' R2 F D' R2
L U2 B' U' B2 U F
L U2 B' D F D2 R2
L U2 B' D' R' F R'
L U2 B' D' R2 D F
L U2 B' D' R2 D' F
L U2 B' D' R2 D2 F
L U2 B' D' R2 F D
L U2 B' D' R2 F D'
L U2 B' D' R2 F D2
L U2 B' D' F R2 D
L U2 B' D' F R2 D'
L U2 B' D' F R2 D2
L U2 B' D' F' R2 F2
L U2 B' F R D' R2
L U2 B' F R' D' R2
L U2 B' F R2 D' R2
L U2 B' F U' B2 U
L U2 B' F D' R2 D
L U2 B' F D' R2 D'
L U2 B' F D' R2 D2
L U2 B' F2 D' F' R2
U' R2 F' L' U F U2
L D U B U F B2
L D U B U B2 F
B2 U L U B' R' F'
L D U2 F B' D' R2
L' D F B' U B2 U
L' D F B' U2 D' R2
L' D F B' D L2 U2
L' D F B' D' U2 R2
L D U2 B' D' R2 F
L D U2 B' D' F R2
L D U2 B' F D' R2
U' D R2 F' L' R U'
U' D R2 F' R L' U'
L' D B' D L2 U2 B'
L' D B' D F L2 U2
L' D B' D' F U2 R2
L' D B' F U B2 U
L' D B' F U2 D' R2
L' D B' F D L2 U2
L' D B' F D' U2 R2
B2 U D' B' L R' U
B2 U D' B' R' L U
B2 U D2 B' R' U B
D' U B U2 L R' U'
D' U B U2 R' L U'
D' U B' L R' B2 U
D' U B' R' L B2 U
D2 U B' R' B2 U B'
F' U B U2 L U' B'
F2 U B U2 L U' B'
B2 U B' L R' U B'
B2 U B' R' L U B'
F U B U2 L U' B'
B2 U B' D2 R' U B
L2 D' U B L R' U
L2 D' U B R' L U
L D' U B U F B2
L D' U B U B2 F
L' D' F B' U B2 U
L' D' F B' U2 D' R2
L' D' F B' D L2 U2
L' D' F B' D' U2 R2
L D' U2 F B' D' R2
L D' U2 B' D' R2 F
L D' U2 B' D' F R2
L D' U2 B' F D' R2
D U' R2 F' L' R U'
D U' R2 F' R L' U'
L' D' B' D L2 U2 B'
L' D' B' D F L2 U2
L' D' B' D' F U2 R2
L' D' B' F U B2 U
L' D' B' F U2 D' R2
L' D' B' F D L2 U2
L' D' B' F D' U2 R2
U D' B U2 L R' U'
U D' B U2 R' L U'
U D' B' L R' B2 U
U D' B' R' L B2 U
L D2 U B U F B2
L D2 U B U B2 F
L' D2 F B' U B2 U
L' D2 F B' U2 D' R2
L' D2 F B' D L2 U2
L' D2 F B' D' U2 R2
L D2 U2 F B' D' R2
L D2 U2 B' D' R2 F
L D2 U2 B' D' F R2
L D2 U2 B' F D' R2
L' D2 B' D L2 U2 B'
L' D2 B' D F L2 U2
L' D2 B' D' F U2 R2
L' D2 B' F U B2 U
L' D2 B' F U2 D' R2
L' D2 B' F D L2 U2
L' D2 B' F D' U2 R2
U D2 B' R' B2 U B'
L' F L2 U B U F
L' F U B U D2 F2
L' F U B U' B2 U2
L' F U B D' R2 U
L' F U B D2 U F2
L' F D B' U B2 U
L' F D B' U2 D' R2
L' F D B' D L2 U2
L' F D B' D' U2 R2
L F U2 B' D' R2 F'
L' F D' B' U B2 U
L' F D' B' U2 D' R2
L' F D' B' D L2 U2
L' F D' B' D' U2 R2
L' F D2 B' U B2 U
L' F D2 B' U2 D' R2
L' F D2 B' D L2 U2
L' F D2 B' D' U2 R2
L' F B' L U B2 U
L' F B' L U2 D' R2
L' F B' L D L2 U2
L' F B' L D' U2 R2
L' F B' L' U B2 U
L' F B' L' U2 D' R2
L' F B' L' D L2 U2
L' F B' L' D' U2 R2
L' F B' L2 U B2 U
L' F B' L2 U2 D' R2
L' F B' L2 D L2 U2
L' F B' L2 D' U2 R2
L' F B' U B2 U D
L' F B' U B2 U D'
L' F B' U B2 U D2
L' F B' U B2 D U
L' F B' U B2 D' U
L' F B' U B2 D2 U
L' F B' U' D2 F2 U'
L' F B' U2 R D' R2
L' F B' U2 R' D' R2
L' F B' U2 R2 D' R2
L' F B' U2 D' R2 D
L' F B' U2 D' R2 D'
L' F B' U2 D' R2 D2
L' F B' D L2 U2 D
L' F B' D L2 U2 D'
L' F B' D L2 U2 D2
L' F B' D L2 D U2
L' F B' D L2 D' U2
L' F B' D L2 D2 U2
L' F B' D' L U2 R2
L' F B' D' L' U2 R2
L' F B' D' L2 U2 R2
L' F B' D' U2 R2 D
L' F B' D' U2 R2 D'
L' F B' D' U2 R2 D2
L' F B' D2 U' F2 U'
L F B' D' R2 D2 L2
L F' U B U F2 B2
L F' U B U B2 F2
L F' U2 F2 B' D' R2
L F' U2 B' F2 D' R2
B2 D' U B' L R' U
B2 D' U B' R' L U
L F2 U B U F' B2
L F2 U B U B2 F'
L F2 U2 F' B' D' R2
L F2 U2 B' D' F' R2
L F2 U2 B' F' D' R2
L' F2 B' U2 D' R2 B
L' F2 B' D L2 F' U2
L' F2 B' D F' L2 U2
L' F2 B' D' U2 R2 B
L' F2 B' D' F' U2 R2
B2 D2 U B' R' U B
U B L' U2 L2 U' B'
L B R U F B2 L
L B R U B2 F L
U B R U2 L U' B'
U B R' U2 L U' B'
U B R2 U2 L U' B'
U B U2 L R U' B'
U B U2 L R' U' B'
U B U2 L R2 U' B'
U B U2 L U' D B'
U B U2 L U' D' B'
U B U2 L U' D2 B'
U B U2 L U' B' D
U B U2 L U' B' D'
U B U2 L U' B' D2
U B U2 L D U' B'
U B U2 L D' U' B'
U B U2 L D2 U' B'
U B U2 R L U' B'
U B U2 R' L U' B'
U B U2 R2 L U' B'
U B' L R' B2 U B
L' B' L2 U B2 U B
L' B' L2 U2 D' R2 B'
L' B' L2 U2 D' B' R2
L' B' L2 D L2 F U2
L' B' L2 D' U2 R2 B'
L' B' L2 D' U2 B' R2
U B' R' L B2 U B
L' B' U L2 B2 U B
L' B' U B2 L2 U B'
U B' R' B2 L U B'
L' B' U B2 U' F U2
L' B' D L2 U2 D B'
L' B' D L2 U2 D' B'
L' B' D L2 U2 D2 B'
L' B' D L2 U2 B' D
L' B' D L2 U2 B' D'
L' B' D L2 U2 B' D2
L' B' D L2 D U2 B'
L' B' D L2 D' U2 B'
L' B' D L2 D2 U2 B'
L' B' D L2 F U2 B'
L' B' D L2 F' U2 B'
L' B' D L2 F2 U2 B'
L' B' D F L2 U2 D
L' B' D F L2 U2 D'
L' B' D F L2 U2 D2
L' B' D F L2 D U2
L' B' D F L2 D' U2
L' B' D F L2 D2 U2
L' B' D F U2 D2 R2
L' B' D F D2 U2 R2
L' B' D F' L2 F2 U2
L' B' D F2 L2 F' U2
L' B' D' L2 U2 R2 B'
L' B' D' L2 U2 B' R2
L B' U2 D' F R2 B
L' B' D' F L U2 R2
L' B' D' F L' U2 R2
L' B' D' F L2 U2 R2
L' B' D' F U2 R2 D
L' B' D' F U2 R2 D'
L' B' D' F U2 R2 D2
L' B' D' F D2 L2 U2
L B' U2 F D' R2 B
L' B' D' F2 U2 R2 B
L B' D L2 B' U2 B
L' B' D2 F U' F U'
L' B' F L U B2 U
L' B' F L U2 D' R2
L' B' F L D L2 U2
L' B' F L D' U2 R2
L' B' F L' U B2 U
L' B' F L' U2 D' R2
L' B' F L' D L2 U2
L' B' F L' D' U2 R2
L' B' F L2 U B2 U
L' B' F L2 U2 D' R2
L' B' F L2 D L2 U2
L' B' F L2 D' U2 R2
L B' D' R2 D2 F L2
L B' D' R2 F D2 L2
L' B' F U B2 U D
L' B' F U B2 U D'
L' B' F U B2 U D2
L' B' F U B2 D U
L' B' F U B2 D' U
L' B' F U B2 D2 U
L' B' F U' D2 F2 U'
L' B' F U2 R D' R2
L' B' F U2 R' D' R2
L' B' F U2 R2 D' R2
L' B' F U2 D' R2 D
L' B' F U2 D' R2 D'
L' B' F U2 D' R2 D2
L B' D' U2 F R2 B
L' B' F D L2 U2 D
L' B' F D L2 U2 D'
L' B' F D L2 U2 D2
L' B' F D L2 D U2
L' B' F D L2 D' U2
L' B' F D L2 D2 U2
L B' D' F R2 D2 L2
L' B' F D' L U2 R2
L' B' F D' L' U2 R2
L' B' F D' L2 U2 R2
L' B' F D' U2 R2 D
L' B' F D' U2 R2 D'
L' B' F D' U2 R2 D2
L' B' F D2 U' F2 U'
L' B' F2 U2 D' R2 B
L' B' F2 D L2 F' U2
L' B' F2 D F' L2 U2
L' B' F2 D' U2 R2 B
L' B' F2 D' F' U2 R2
L B' F D' R2 D2 L2
D2 B2 U B' R' U B
L B2 U B' U F B2
L B2 U B' U B2 F
L B2 U2 F B D' R2
L B2 U2 B D' R2 F
L B2 U2 B D' F R2
L B2 U2 B F D' R2
