U' L' U' R' B'
U' L' R U' R2 B'
U' L' R U' B' R2
U' L' R2 U' R B'
U' L' R2 U' B' R
U' L' U' R B' R2
U' L' U' R' D B'
U' L' U' R' D' B'
U' L' U' R' D2 B'
U' L' U' R' B' D
U' L' U' R' B' D'
U' L' U' R' B' D2
U' L' U' R2 B' R
U' L' U' D R' B'
U' L' U' D' R' B'
U' L' U' D2 R' B'
U' L' D U' R' B'
U' L' D' U' R' B'
U' L' D2 U' R' B'
U' L' F U' R' B'
U' L' F' U' R' B'
U' L' F2 U' R' B'
U' R L' U' R2 B'
U' R L' U' R2 B'
U' R L' U' B' R2
U2 R' U L' U' B'
U' R2 L' U' R B'
U' R2 L' U' B' R
U' D L' U' R' B'
F2 U R U B R2
U' D' L' U' R' B'
D2 U' L' U' R' B'
D' U' L' U' R' B'
D U' L' U' R' B'
U' D2 L' U' R' B'
U' D2 L' U' R' D2 B'
U' D2 L' U' R' B' D
U' D2 L' U' R' B' D'
U' D2 L' U' R' B' D2
U' D2 L' U' R2 B' R
U' D2 L' U' D R' B'
U' D2 L' U' D' R' B'
U' D2 L' U' D2 R' B'
U' D2 L' D U' R' B'
U' D2 L' D' U' R' B'
U' D2 L' D2 U' R' B'
U' D2 L' F U' R' B'
U' D2 L' F' U' R' B'
F2 U' F2 L' U' R' B'
U' D2 L' F2 U' R' B'
U' D2 R L' U' R2 B'
U' D2 R L' U' B' R2
D' U2 R' U L' U' B'
D2 U2 R' U L' U' B'
U2 D2 R' U L' U' B'
U' D2 R2 L' U' R B'
U' D2 R2 L' U' B' R
D U2 R' U L' U' B'
U' F L' U' R' F' B'
U' F L' U' R' B' F'
B2 D L U2 D F2 B'
B2 D L U2 D B' F2
B2 D L U2 B' D F2
B2 D L D U2 F2 B'
B2 D L D U2 B' F2
B2 D L D' B2 U2 B
F2 D U R U B R2
B' D U' L' R' F U'
B' D U' L' F R' U'
B' D U' R' L' F U'
F2 D' U R U B R2
U F2 R F2 U B R2
D2 F2 U R U B R2
D' F2 U R U B R2
U F2 R' D' F2 L2 B'
D F2 U R U B R2
U' F2 U2 R U B R2
U2 F2 D R' D' F2 B
U2 F2 D R' D' B F2
U2 F2 D R' B D' F2
F2 D2 U R U B R2
U2 B U L' U' B' R'
F2 B U L R B U
F2 B U R L B U
B F U L U F R
F B U L U F R
U' B' L' B U' R' B2
B F2 U L R B U
B F2 U R L B U
L B2 D L U2 F2 B'
L B2 D L U2 B' F2
L B2 D' B2 U2 R' B
