D' L' F2 R D B2
D' R' U' L' F2 R
F2 R' D B2 L U'
R' B2 L F2 U' L2
D' R L' F2 D B2 R
L' U F2 R' U2 R' U
L' U F2 D' R' U' F2
L' U F2 D2 L2 R' U'
L' U F2 D2 R' L2 U'
D2 R D L' F2 R B2
D2 R D L' F2 B2 R
D2 R D L' B2 F2 R
D2 R D B2 L' F2 R
R' U' R D' L' F2 R
L' U' R2 U2 R F2 U'
D' R' L U' L2 F2 R
F2 R' L D B2 L U'
F2 R' L' D B2 L U'
D2 R' L2 U' L D' R2
D2 R' L2 U' D' L R2
D2 R' L2 U' D' R2 L
D2 R' L2 D' U' L R2
D2 R' L2 D' U' R2 L
D2 R' L2 D2 F2 U' L
F2 R' L2 D B2 L U'
D' R' U L2 U2 L F2
D' R' U L2 U2 F2 L
F2 R' U R2 U R U
D' R' U' L' R F2 R
D' R' U' L' R' F2 R
D' R' U' L' R2 F2 R
D' R' U' L' F2 R D
D' R' U' L' F2 R D'
D' R' U' L' F2 R D2
D' R' U' L' F2 D R
D' R' U' L' F2 D' R
D' R' U' L' F2 D2 R
D' R' U' R L' F2 R
D' R' U' R' L' F2 R
D' R' U' R2 L' F2 R
D2 R' U' D L' F2 R
D R' U B2 L U2 L2
D R' U' L' R' D2 F2
D R' U' L' D2 R' F2
D R' U' L' D2 F2 R'
D R' U' R' L' D2 F2
D R' U' R' D2 L' F2
D R' U' D2 L' R' F2
D R' U' D2 L' F2 R'
D R' U' D2 R' L' F2
F2 R' U2 R' U' R' U2
F2 R' U2 D' R' F2 U
F2 R' U2 D' F2 R' U
F2 R' U2 D2 R' U L2
F2 R' D L B2 L U'
D2 R' D U' L' F2 R
F2 R' D L' B2 L U'
F2 R' D L2 B2 L U'
D R' D L2 U' L R'
D R' D L2 U' R' L
F2 R' D B2 L U' D
F2 R' D B2 L U' D'
F2 R' D B2 L U' D2
F2 R' D B2 L D U'
F2 R' D B2 L D' U'
F2 R' D B2 L D2 U'
F2 R' D B2 D L U'
F2 R' D B2 D' L U'
F2 R' D B2 D2 L U'
F2 R' D' U2 R' F2 U
F2 R' D' U2 F2 R' U
F2 R' D2 U2 R' U L2
D R' D2 U' L' R' F2
D R' D2 U' L' F2 R'
D R' D2 U' R' L' F2
F2 R' D2 B2 L U' L
R2 U2 R U' L' D R2
R2 U2 R U' D L' R2
R2 U2 R U' D R2 L'
R' U2 R' U L' D R2
R' U2 R' U D L' R2
R' U2 R' U D R2 L'
R2 U2 R D U' L' R2
R2 U2 R D U' R2 L'
R' U2 R' D U L' R2
R' U2 R' D U R2 L'
R2 U2 R F2 U R U2
R' U2 R' D2 B2 U L'
D' R' B U' L' F2 R
D2 R' B' L2 F U' L
D' R' B' U' L' F2 R
R' U2 D R' U L' R'
R' U2 D R' U R' L'
U' R' B2 L F2 U' L2
F2 R' B2 L U R2 U2
F2 R' B2 L U' D2 L2
R2 U2 D R U' L' R
R2 U2 D R U' R L'
F2 R' B2 L D B2 U'
F2 R' B2 L D2 U' L2
D' R' B2 U' L' F2 R
U2 R' B2 L F2 U' L2
F2 R' B2 D L B2 U'
F2 R' B2 D2 L U' L
U R' B2 L F2 U' L2
R' U2 D2 R' B2 U L'
B2 R2 L U L2 D R2
B2 R2 L U2 F2 U' L2
B2 R2 L D F2 U R2
B2 R2 D L U L2 R2
B2 R2 D L U R2 L2
B2 R2 D2 L B2 U L2
R D R U L' R B2
R D R U L' B2 R
R D R U R L' B2
R D R U R B2 L'
R D R U B2 L' R
R D R U B2 R L'
R D R2 B2 L' D F2
R' D U2 R' U L' R'
R' D U2 R' U R' L'
R2 D U2 R U' L' R
R2 D U2 R U' R L'
D' U L' F2 R D B2
D' U R' U' L' F2 R
R' D B2 L U' L2 R2
R' D B2 L U' R2 L2
B U D' L' F2 R B
D' U' L' F2 R D B2
U' D' L' F2 R D B2
U2 D' L' F2 R D B2
U D' L' F2 R D B2
U' D' R' U' L' F2 R
D' U' R' U' L' F2 R
U2 D' R' U' L' F2 R
U D' R' U' L' F2 R
B U' D' L' F2 R B'
B U' D' L' F2 B' R
B U' D' L' B' F2 R
D' U2 L' F2 R D B2
R D2 R B2 L2 U L
D' U2 R' U' L' F2 R
R' D2 U2 R' B2 U L'
R2 D2 B2 U2 R U' L'
R D2 B2 L2 R U L
R D2 B2 R L2 U L
B' D L R2 B' L2 F
B' D L B' L2 R2 F
B' D L B' L2 F R2
B' D L B' R2 L2 F
F2 D R' U R2 B2 U2
F2 D R' U B2 R2 U2
F2 D R' U' D2 L2 F2
F2 D R' U' D2 F2 L2
F2 D R' D L2 B2 U'
F2 D R' D B2 L2 U'
B' D R2 L B' L2 F
F2 D R' D2 U' L2 F2
F2 D R' D2 U' F2 L2
B2 D' L U L2 F2 R
B' D' L' R' F2 B R
B' D' L' R' B F2 R
B' D' L' R2 F2 R B
B' D' L' F2 R' B R2
B2 D' L' F2 R D' B2
B2 D' L' F2 D' R B2
B2 D' L' F2 D' B2 R
B' D' R' L' F2 B R
B' D' R' L' B F2 R
F2 D' R' U R2 U2 F2
B' D' R' B L' F2 R
F2 D' R' U' F2 D2 L2
B' D' R2 L' F2 R B
B D' U L' F2 R B
B D' U' L' F2 R B'
B D' U' L' F2 B' R
B D' U' L' B' F2 R
R2 F2 L' U' R U2 R'
R F2 L' R2 U R' U2
R F2 L' R2 B2 U' L
U' F2 R' D B2 L U'
L' F2 R' B2 L U' L'
L2 F2 R' U2 R' U L
U2 F2 R' D B2 L U'
F2 D' B U' F2 L' B'
R' F2 U R U R2 U
R' F2 U R U2 D' F2
R' F2 U R D B2 U2
R' F2 U R D' U2 F2
L F2 R' U2 R' U L2
U F2 R' D B2 L U'
L F2 R' D' B2 L U'
L F2 R' B2 L U' L
R F2 R2 L' U R' U2
R F2 R2 L' B2 U' L
R' F2 U2 R' U D2 L2
R' F2 U2 R' U' R2 U2
R' F2 U2 R' D' F2 U
R' F2 U2 R' D2 U L2
R F2 R2 B2 L' U' L2
R' F2 U2 F2 R' U L'
R' F2 U2 F2 R' U L'
B2 D2 L B2 R' U L2
F2 D2 L2 R' U R2 U2
F2 D2 L2 R' U' D2 L2
F2 D2 L2 R' D B2 U'
F2 D2 L2 R' D2 U' L2
L2 F2 D' R' U' L F2
L2 F2 D' R' U' F2 L
L' F2 D2 L2 R' U' L2
L' F2 D2 R' L2 U' L2
L2 F2 D2 L2 R' U' L'
L2 F2 D2 R' L2 U' L'
F2 D2 R' L2 U R2 U2
F2 D2 R' L2 U' D2 L2
F2 D2 R' L2 D B2 U'
F2 D2 R' L2 D2 U' L2
R' F2 B U R B U2
L F2 D' R' B2 U' F2
F2 D2 R' D B2 U' F2
R' F2 B2 L U R U2
R' B L2 F2 U' L F
D' B U L' F2 R B
D' B U' L' F2 R B'
D' B U' L' F2 B' R
D' B U' L' B' F2 R
D B U' L' R2 F' B'
D B U' L' R2 B' F'
D B U' R2 L' F' B'
D B U' R2 L' B' F'
R' B F2 U R B U2
F2 B U' D' F2 L' B'
F2 B D' U' F2 L' B'
R' B' U' D L' R2 F
R' B' U' D L' F R2
R' B' U' D R2 L' F
R' B' D U' L' R2 F
R' B' D U' L' F R2
R' B' D U' R2 L' F
R' B2 L U' L2 D R2
D2 B2 L U2 L U' L
D' B2 L U L2 F2 R
R' B2 L F2 U' L2 D
R' B2 L F2 U' L2 D'
R' B2 L F2 U' L2 D2
R' B2 L F2 D' B2 U'
R' B2 L F2 B U' L2
R' B2 L F2 B' U' L2
R' B2 L F2 B2 U' L2
R' B2 L B F2 U' L2
R' B2 L B' F2 U' L2
R' B2 L B2 F2 U' L2
R' B2 L' F2 L2 U' L2
D' B2 L' F2 R D' B2
D' B2 L' F2 D' R B2
D' B2 L' F2 D' B2 R
R' B2 U' L' D R2 F2
R' B2 U' L' D F2 R2
D B2 U L U L2 R2
D B2 U L U R2 L2
R' B2 D L U' L2 R2
R' B2 D L U' R2 L2
D2 B2 D L U L2 F2
D2 B2 D L U F2 L2
D B2 U2 L' R2 D' B2
D B2 U2 R2 L' D' B2
D2 B2 D2 L R2 U L2
D2 B2 D2 R2 L U L2
B F2 U' D' F2 L' B'
R' B2 F2 L U R U2
B F2 D' U' F2 L' B'
