B2 R D' F2 L'
B2 L R D' F2 L'
R' L U' B2 L R2
R' L U' B2 R2 L
L' R B2 D F2 L'
D L B2 R' U' R2
L R' U' B2 L R2
L R' U' B2 R2 L
B2 L' R D' F2 L'
R L' B2 D F2 L'
B2 L2 R D' F2 L'
L U R2 U2 R' B2
B2 R L D' F2 L'
B2 R L' D' F2 L'
B2 R L2 D' F2 L'
B2 R D' L F2 L'
B2 R D' L' F2 L'
B2 R D' L2 F2 L'
B2 R D' F2 L' D
B2 R D' F2 L' D'
B2 R D' F2 L' D2
R2 U' L U' R' B2
B2 R D' F2 D L'
B2 R D' F2 D' L'
B2 R D' F2 D2 L'
B2 R F2 L' D' F2
B2 R F2 D' L' F2
L U' R' B2 L R2
L U' R' B2 R2 L
L U' B2 D2 L2 R
L U' B2 D2 R L2
B2 D' R D' L2 F2
B2 D' R D' F2 L2
R F2 L' B2 D F2
B2 D2 L2 R D' F2
B2 D2 R L2 D' F2
L' B2 R D F2 L'
U' B2 R D' F2 L'
U2 B2 R D' F2 L'
U B2 R D' F2 L'
R L' D F2 D' B2 L'
F2 L' R2 U' L2 U' B2
F2 L' R2 U2 B2 D F2
L R' D' R2 F2 U' L'
L R' F U' B2 L R2
L R' F U' B2 R2 L
L R' F' U' B2 L R2
L R' F' U' B2 R2 L
D' L' D R F2 L' B2
D' L' D R F2 B2 L'
D' L' D R B2 F2 L'
L R' F2 U' B2 L R2
L R' F2 U' B2 R2 L
D' L' D B2 R F2 L'
R L' F2 B2 D L' F2
B2 L' D' R D' L2 F2
B2 L' D' R D' F2 L2
R L' B D F2 L' B
R L' B D F2 B L'
R L' B D B F2 L'
B2 L' D2 L2 R D' F2
B2 L' D2 R L2 D' F2
L R' B' U' R2 B' L
L R' B' U' B' L R2
L R' B' U' B' R2 L
R L' B' D F2 B' L'
R L' B' D B' F2 L'
L2 R' B2 L R2 D F2
R' L' B2 R2 D L F2
R' L' B2 R2 D F2 L
L' R' B2 R2 D L F2
L' R' B2 R2 D F2 L
L2 R' B2 R2 L D F2
R L' B2 D L F2 L'
R L' B2 D L' F2 L'
R L' B2 D L2 F2 L'
R L' B2 D F2 L' D
R L' B2 D F2 L' D'
R L' B2 D F2 L' D2
R L' B2 D F2 D L'
R L' B2 D F2 D' L'
R L' B2 D F2 D2 L'
R L' B2 F2 D L' F2
L' R2 U' L2 U' R' B2
L2 R2 U' L' U' R' B2
R2 L2 U' L' U' R' B2
L R2 U' R' B2 D L2
L' R2 U2 R' B2 D F2
B L' B R D' F2 L'
U' L' B2 R D F2 L'
U2 L' B2 R D F2 L'
U L' B2 R D F2 L'
B2 L2 R D' L F2 L'
B2 L2 R D' L' F2 L'
B2 L2 R D' L2 F2 L'
B2 L2 R D' F2 L' D
B2 L2 R D' F2 L' D'
B2 L2 R D' F2 L' D2
B2 L2 R D' F2 D L'
B2 L2 R D' F2 D' L'
B2 L2 R D' F2 D2 L'
B2 L2 R F2 L' D' F2
B2 L2 R F2 D' L' F2
D L2 U2 L' B2 U' R
D L2 U2 B2 L' U' R
R' L2 B2 L R2 D F2
R' L2 B2 R2 L D F2
R L2 B2 L D F2 L'
B2 L2 D' R D' L2 F2
B2 L2 D' R D' F2 L2
R' U L U' B2 L R2
R' U L U' B2 R2 L
L U L R2 U2 R' B2
R U L R2 U' B2 L
R U L U R U2 B2
B2 L2 D2 L2 R D' F2
B2 L2 D2 R L2 D' F2
L U L' R2 U2 R' B2
L U L2 R2 U2 R' B2
L' U R B2 D F2 L'
L U R B2 D2 F2 L'
L U R' U2 B2 L R2
L U R' U2 B2 R2 L
B L2 B R D' F2 L'
L U R2 L U2 R' B2
L U R2 L' U2 R' B2
L U R2 L2 U2 R' B2
R U R2 L U' B2 L
L U R2 U2 R B2 R2
L U R2 U2 R' B2 D
L U R2 U2 R' B2 D'
L U R2 U2 R' B2 D2
L U R2 U2 R2 B2 R
L U R2 D2 F2 U2 R'
L U R2 F U2 R' B2
L U R2 F' U2 R' B2
L U R2 F2 U2 R' B2
B2 R L D' L F2 L'
B2 R L D' L' F2 L'
B2 R L D' L2 F2 L'
B2 R L D' F2 L' D
B2 R L D' F2 L' D'
B2 R L D' F2 L' D2
B2 R L D' F2 D L'
B2 R L D' F2 D' L'
B2 R L D' F2 D2 L'
B2 R L F2 L' D' F2
B2 R L F2 D' L' F2
D R L B2 R' U' R
B2 R L' D' L F2 L'
L U D2 F2 L' U2 L'
B2 R L' D' L' F2 L'
B2 R L' D' L2 F2 L'
B2 R L' D' F2 L' D
B2 R L' D' F2 L' D'
B2 R L' D' F2 L' D2
B2 R L' D' F2 D L'
B2 R L' D' F2 D' L'
B2 R L' D' F2 D2 L'
B2 R L' F2 L' D' F2
B2 R L' F2 D' L' F2
U' R L' B2 D F2 L'
U2 R L' B2 D F2 L'
B2 R L2 D' L F2 L'
B2 R L2 D' L' F2 L'
B2 R L2 D' L2 F2 L'
B2 R L2 D' F2 L' D
B2 R L2 D' F2 L' D'
B2 R L2 D' F2 L' D2
B2 R L2 D' F2 D L'
B2 R L2 D' F2 D' L'
B2 R L2 D' F2 D2 L'
U R L' B2 D F2 L'
B2 R L2 F2 L' D' F2
B2 R L2 F2 D' L' F2
D R U L B2 R' U'
L U F2 L' R2 U2 B2
L U F2 R2 L' U2 B2
B2 R U' R2 U' R' U2
B2 R U' F2 R2 U L'
B2 R U2 R U R U
B2 R U2 D R B2 U2
B2 R U2 D B2 R U2
B2 R U2 D' R U2 F2
B2 R D L D2 F2 L'
B2 R D L' D2 F2 L'
B2 R D L2 D2 F2 L'
L' U B2 R D F2 L'
B2 R D U2 R B2 U2
B2 R D U2 B2 R U2
B2 R D F2 L' D2 F2
B2 R D F2 D2 L' F2
B2 R D' L F2 L' D
B2 R D' L F2 L' D'
B2 R D' L F2 L' D2
B2 R D' L F2 D L'
B2 R D' L F2 D' L'
B2 R D' L F2 D2 L'
B2 R D' L' F2 L' D
B2 R D' L' F2 L' D'
B2 R D' L' F2 L' D2
B2 R D' L' F2 D L'
B2 R D' L' F2 D' L'
B2 R D' L' F2 D2 L'
B2 R D' L2 F2 L' D
B2 R D' L2 F2 L' D'
B2 R D' L2 F2 L' D2
B2 R D' L2 F2 D L'
B2 R D' L2 F2 D' L'
B2 R D' L2 F2 D2 L'
L U B2 R D2 F2 L'
R' U' L U' B2 L R2
R' U' L U' B2 R2 L
B2 R D' U2 R U2 F2
B2 R D' F' L F' L'
B2 R D' F' L' F' L'
B2 R D' F' L2 F' L'
B2 R D' F' D F' L'
B2 R D' F' D' F' L'
B2 R D' F' D2 F' L'
B2 R D' F2 L2 D L
B2 R D' F2 L2 D' L
B2 R D' F2 L2 D2 L
B2 R D' F2 D L' D
B2 R D' F2 D L' D'
B2 R D' F2 D L' D2
B2 R D' F2 D' L' D
B2 R D' F2 D' L' D'
B2 R D' F2 D' L' D2
L U B2 D2 L2 R F2
B2 R D' F2 D2 L' D
B2 R D' F2 D2 L' D'
B2 R D' F2 D2 L' D2
L U B2 D2 R L2 F2
L U B2 D2 R F2 L2
B2 R D' F2 B' L' B
B2 R D' F2 B2 L' B2
R2 U' L R U' R2 B2
R2 U' L R U' B2 R2
B2 R D' B' F2 L' B
R2 U' L R2 U' R B2
R2 U' L R2 U' B2 R
B2 R D' B2 F2 L' B2
L U' L R' B2 L R2
L U' L R' B2 R2 L
R2 U' L U' R B2 R2
R2 U' L U' R' B2 D
R2 U' L U' R' B2 D'
R2 U' L U' R' B2 D2
R2 U' L U' R2 B2 R
R2 U' L D' R2 U' R
R2 U' L F U' R' B2
R2 U' L F' U' R' B2
R2 U' L F2 U' R' B2
B2 R D2 F2 D L' F2
L U' L B2 D2 L2 R
L U' L B2 D2 R L2
L U' L' R' B2 L R2
L U' L' R' B2 R2 L
L U' L' B2 D2 L2 R
L U' L' B2 D2 R L2
L U' L2 R' B2 L R2
L U' L2 R' B2 R2 L
B2 R F' D' F' L' F'
R2 U' R L U' R2 B2
R2 U' R L U' B2 R2
L U' L2 B2 D2 L2 R
L U' L2 B2 D2 R L2
U' R F2 L' B2 D F2
B2 R F2 L' U' R2 U
B2 R F2 L' D' F2 D
B2 R F2 L' D' F2 D'
B2 R F2 L' D' F2 D2
B2 R F2 L' F D' F2
B2 R F2 L' F' D' F2
B2 R F2 L' F2 D' F2
B2 R F2 L2 D' L F2
B2 R F2 L2 D' F2 L
U2 R F2 L' B2 D F2
L' U' R B2 D F2 L'
L U' R U2 R U2 B2
B2 R F2 U' R2 U L'
B2 R F2 D L' D2 F2
B2 R F2 D' L F2 L2
B2 R F2 D' L' F2 D
B2 R F2 D' L' F2 D'
B2 R F2 D' L' F2 D2
B2 R F2 D' L2 F2 L
L U' R F2 L' F2 B2
L U' R F2 L' B2 F2
U R F2 L' B2 D F2
L U' R F2 B2 L' F2
L U' R B2 U2 R U2
L U' R B2 F2 L' F2
L U' R' L B2 L R2
L U' R' L B2 R2 L
L U' R' L' B2 L R2
L U' R' L' B2 R2 L
L U' R' L2 B2 L R2
L U' R' L2 B2 R2 L
B2 R B D' F2 B' L'
B2 R B D' B' F2 L'
R2 U' R2 L U' R B2
R2 U' R2 L U' B2 R
L U' R' B' R2 B' L
L U' R' B2 L R2 D
L U' R' B2 L R2 D'
L U' R' B2 L R2 D2
L U' R' B2 R2 L D
L U' R' B2 R2 L D'
L U' R' B2 R2 L D2
L U' R' B2 R2 D L
L U' R' B2 R2 D' L
L U' R' B2 R2 D2 L
B2 R B' D' F2 L' B
B2 R B' D' F2 B L'
B2 R B' D' B F2 L'
R2 U' D' L R2 U' R
R2 U' D' R2 L U' R
U' R' L U' B2 L R2
U' R' L U' B2 R2 L
U2 R' L U' B2 L R2
U2 R' L U' B2 R2 L
L U' D2 L2 R D2 B2
U R' L U' B2 L R2
U R' L U' B2 R2 L
L U' D2 L2 D2 R B2
L U' D2 L2 D2 B2 R
L U' D2 R L2 D2 B2
D R' L B2 R' U' R'
R2 U' F L U' R' B2
R2 U' F' L U' R' B2
R2 U' F2 L U' R' B2
L U' B D2 L2 B R
L U' B D2 B L2 R
L U' B D2 B R L2
L' U' B2 R D F2 L'
L U' B' D2 R B' L2
L U' B' D2 B' L2 R
L U' B' D2 B' R L2
B2 R' D B2 U L B2
L U' B2 L D2 L2 R
L U' B2 L D2 R L2
L U' B2 L' D2 L2 R
L U' B2 L' D2 R L2
L U' B2 L2 D2 L2 R
L U' B2 L2 D2 R L2
L U' B2 R U2 R U2
L U' B2 R F2 L' F2
R' U2 L U' B2 L R2
R' U2 L U' B2 R2 L
L U' B2 U2 R2 U2 R'
L U' B2 D R D L2
L U' B2 D' R D' L2
L U' B2 D2 L2 R D
L U' B2 D2 L2 R D'
L U' B2 D2 L2 R D2
L U' B2 D2 L2 D R
L U' B2 D2 L2 D' R
L U' B2 D2 L2 D2 R
L U' B2 D2 R L2 D
L U' B2 D2 R L2 D'
L U' B2 D2 R L2 D2
R2 U2 L U' L' R' B2
R2 U2 L U' R' L' B2
R2 U2 L U' R' B2 L'
B2 R' F R2 D' F2 L'
B2 R' F' R2 D' F2 L'
L' U2 R B2 D F2 L'
B2 R' F2 R2 D' F2 L'
R U2 R U' L U' B2
R2 U2 R' U L U' B2
R2 U2 R' B2 U' R' U
R2 U2 R2 B2 R D' F2
B2 R' B2 U L R2 B2
B2 R' B2 U L B2 R2
B2 R' B2 U R2 L B2
D' R2 L U' R' D' L2
D' R2 L U' D' L2 R'
D' R2 L U' D' R' L2
D' R2 L U2 F2 U R'
D' R2 L D' U' L2 R'
D' R2 L D' U' R' L2
F2 R2 L' U' L2 U' B2
F2 R2 L' U2 B2 D F2
U' R2 U' L U' R' B2
U2 R2 U' L U' R' B2
U R2 U' L U' R' B2
B2 R2 D R' D' F2 L'
L' U2 B2 R D F2 L'
D' R2 D' L U' L R'
D' R2 D' L U' R' L
B2 R2 D' R' D' F2 L'
B2 R2 D2 R' D' F2 L'
U' D L B2 R' U' R2
U2 D L B2 R' U' R2
D U L B2 R' U' R2
U D L B2 R' U' R2
B' U R B' D2 F2 L'
R' D B2 L2 R' U L'
R' D B2 R' L2 U L'
R' D' L R2 F2 U' L'
B2 U D B2 L U' R
L D B2 U' R D' B2
L D B2 U' D' R B2
L D B2 U' D' B2 R
L D B2 U2 L2 U R
L D B2 D' U' R B2
L D B2 D' U' B2 R
L D B2 D2 R2 U' R'
R D' L' D F2 L' B2
R D' L' D F2 B2 L'
R D' L' D B2 F2 L'
R' D' R2 L F2 U' L'
R' D' R2 F2 L U' L2
B U B R D' F2 L'
L D' R2 U' R' D' L2
L D' R2 U' D' L2 R'
L D' R2 U' D' R' L2
L D' R2 U2 F2 U R'
L D' R2 D' U' L2 R'
L D' R2 D' U' R' L2
D U' L B2 R' U' R2
R2 D' U' L R2 U' R
R2 D' U' R2 L U' R
B2 U' R' U' R' U2 R'
R D' F2 L' D F2 B2
R D' F2 L' D B2 F2
B2 U' R' D B2 U L
B2 U' R' B2 U L R2
B2 U' R' B2 U R2 L
B' U' R2 U2 R' F' B'
B' U' R2 U2 R' B' F'
B2 U' D' R' F2 U R2
B2 U' D2 R' U L2 R2
B2 U' D2 R' U R2 L2
D U2 L B2 R' U' R2
B U' B R D' F2 L'
L D2 U F2 L' U2 L'
L D2 U' L2 R D2 B2
L D2 U' L2 D2 R B2
L D2 U' L2 D2 B2 R
L D2 U' R L2 D2 B2
R2 D2 F2 U' L U' R'
B2 U2 R2 U R U R2
B2 U2 R2 U2 R' D' F2
R' F L U' B2 L R2
R' F L U' B2 R2 L
B U2 B R D' F2 L'
R2 F U' L U' R' B2
B2 D R D L2 D2 F2
B2 D R D' F2 D2 L2
B2 D U B2 L U' R
R' F' L U' B2 L R2
R' F' L U' B2 R2 L
B2 D B2 L U' R B2
B2 D B2 L U' B2 R
B2 D' L R D' L2 F2
B2 D' L R D' F2 L2
R2 F' U' L U' R' B2
B2 D' L' R D' L2 F2
B2 D' L' R D' F2 L2
B2 D' L2 R D' L2 F2
B2 D' L2 R D' F2 L2
B2 D' R L D' L2 F2
B2 D' R L D' F2 L2
B2 D' R L' D' L2 F2
B2 D' R L' D' F2 L2
B2 D' R L2 D' L2 F2
B2 D' R L2 D' F2 L2
B2 D' R U' R2 F2 U
B2 D' R U' F2 R2 U
B2 D' R D' L F2 L
B2 D' R D' L2 F2 D
B2 D' R D' L2 F2 D'
B2 D' R D' L2 F2 D2
B2 D' R D' F' L2 F'
B2 D' R D' F2 L2 D
B2 D' R D' F2 L2 D'
B2 D' R D' F2 L2 D2
R' F2 L U' B2 L R2
R' F2 L U' B2 R2 L
B2 D' U' R' F2 U R2
D2 F2 L' U' L2 U' L
D2 F2 L' U2 D L' F2
D2 F2 L' D U2 L' F2
D2 F2 L' D' B2 U2 L'
R F' B2 U' R' F' U
R F2 L B2 L2 D F2
R F2 L' U L2 U' B2
R F2 L' D F2 D' B2
R F2 L' F B2 D F2
R F2 L' F' B2 D F2
R F2 L' F2 B2 D F2
R F2 L' B D F2 B
R F2 L' B D B F2
R F2 L' B' D F2 B'
R F2 L' B' D B' F2
R F2 L' B2 U L2 U'
R F2 L' B2 D F2 D
R F2 L' B2 D F2 D'
R F2 L' B2 D F2 D2
R F2 L' B2 F D F2
R F2 L' B2 F' D F2
R F2 L' B2 F2 D F2
B' D' B' R D' L2 F2
B' D' B' R D' F2 L2
B D' B R D' L2 F'
B D' B R D' F' L2
B2 D2 L R D' L F2
B2 D2 L R D' F2 L
L F2 U L' R2 U2 B2
R2 F2 U' L U' R' B2
L F2 U R2 L' U2 B2
R F2 U L U' L2 B2
R F2 U L U' B2 L2
B2 D2 L' R D' L' F2
B2 D2 L2 R U' R2 U
B2 D2 L2 R D' F2 D
B2 D2 L2 R D' F2 D'
B2 D2 L2 R D' F2 D2
B2 D2 L2 R F D' F2
B2 D2 L2 R F' D' F2
B2 D2 L2 R F2 D' F2
B2 D2 L2 U' R' U R2
B2 D2 L2 D R D' F2
B2 D2 L2 D' R D' F2
B2 D2 L2 D2 R D' F2
B2 D2 R L D' L F2
B2 D2 R L D' F2 L
B2 D2 R L' D' L' F2
B2 D2 R L2 U' R2 U
B2 D2 R L2 D' F2 D
B2 D2 R L2 D' F2 D'
B2 D2 R L2 D' F2 D2
B2 D2 R L2 F D' F2
B2 D2 R L2 F' D' F2
B2 D2 R L2 F2 D' F2
B2 D2 R U' R2 U L2
B D2 L2 D B R F'
B2 D2 R D' F2 D L2
B2 D2 R F L2 D' F2
B2 D2 R F' L2 D' F2
B2 D2 R F2 L2 D' F2
B D2 L2 B D R F'
R F2 D' L' D F2 B2
R F2 D' L' D B2 F2
B2 D2 U' R' U L2 R2
B2 D2 U' R' U R2 L2
R F2 B D L' F B
R F2 B D L' B F
R F2 B D B L' F
R F2 B2 L' U' R' U
R F2 B2 U' R' U L'
B' D2 B' L2 R D' F2
B' D2 B' R L2 D' F2
B D2 B L2 D R F'
L B U R2 F' U2 R'
L B U' D2 L2 B R
L B U' D2 B L2 R
L B U' D2 B R L2
L B U' B D2 L2 R
L B U' B D2 R L2
L B D B2 U' R B'
L B D B2 U' B' R
R B D F2 L' F B
R B D F2 L' B F
R B D F2 B L' F
R B D B F2 L' F
L B D2 U' L2 B R
L B D2 U' B L2 R
L B D2 U' B R L2
R B F2 D L' F B
R B F2 D L' B F
R B F2 D B L' F
L' B' R D F2 B' L'
L' B' R D B' F2 L'
L' B' R B' D F2 L'
R' B' U' R2 B' L F
R' B' U' B' L R2 F
R' B' U' B' L F R2
R' B' U' B' R2 L F
L B' U R2 U2 R' B'
L B' U' D2 R B' L2
L B' U' D2 B' L2 R
L B' U' D2 B' R L2
L B' U' B' D2 L2 R
L B' U' B' D2 R L2
L B' D B2 U' B R
L B' D2 U' R B' L2
L B' D2 U' B' L2 R
L B' D2 U' B' R L2
U' B2 L R D' F2 L'
R' B2 L R D' R F2
R' B2 L R2 U' R U
R' B2 L U' R' U R'
U' B2 L' R D' F2 L'
L2 B2 L R D F2 L'
U2 B2 L R D' F2 L'
U' B2 L2 R D' F2 L'
U2 B2 L' R D' F2 L'
U B2 L R D' F2 L'
U' B2 R L D' F2 L'
U' B2 R L' D' F2 L'
U' B2 R L2 D' F2 L'
U2 B2 L2 R D' F2 L'
R' B2 R L D' R F2
U' B2 R D' L F2 L'
U' B2 R D' L' F2 L'
U' B2 R D' L2 F2 L'
U' B2 R D' F2 L' D
U' B2 R D' F2 L' D'
U' B2 R D' F2 L' D2
U' B2 R D' F2 D L'
U' B2 R D' F2 D' L'
U' B2 R D' F2 D2 L'
U B2 L' R D' F2 L'
U' B2 R F2 L' D' F2
R' B2 R D' L R F2
R' B2 R D' R L F2
R' B2 R D' R F2 L
U' B2 R F2 D' L' F2
L' B2 R D L F2 L'
L' B2 R D L' F2 L'
L' B2 R D L2 F2 L'
L' B2 R D F2 L' D
L' B2 R D F2 L' D'
L' B2 R D F2 L' D2
L' B2 R D F2 D L'
L' B2 R D F2 D' L'
L' B2 R D F2 D2 L'
L2 B2 R L D F2 L'
U2 B2 R L D' F2 L'
L' B2 R F2 D L' F2
U2 B2 R L' D' F2 L'
U2 B2 R L2 D' F2 L'
L B2 L2 R D F2 L'
U B2 L2 R D' F2 L'
U2 B2 R D' L F2 L'
U2 B2 R D' L' F2 L'
U2 B2 R D' L2 F2 L'
U2 B2 R D' F2 L' D
U2 B2 R D' F2 L' D'
U2 B2 R D' F2 L' D2
U2 B2 R D' F2 D L'
U2 B2 R D' F2 D' L'
U2 B2 R D' F2 D2 L'
U2 B2 R F2 L' D' F2
U2 B2 R F2 D' L' F2
R' B2 R2 L U' R U
R' B2 R2 U' R U L
U B2 R L D' F2 L'
U B2 R L' D' F2 L'
L B2 R L2 D F2 L'
U B2 R L2 D' F2 L'
L' B2 R2 D R' F2 L'
R' B2 R2 F2 L D F2
U B2 R D' L F2 L'
U B2 R D' L' F2 L'
U B2 R D' L2 F2 L'
U B2 R D' F2 L' D
U B2 R D' F2 L' D'
U B2 R D' F2 L' D2
U B2 R D' F2 D L'
U B2 R D' F2 D' L'
U B2 R D' F2 D2 L'
U B2 R F2 L' D' F2
U B2 R F2 D' L' F2
R B2 R D' R' F2 L'
B2 F2 R D' F2 L' R
B2 F2 R D' F2 R L'
F2 B2 R D' F2 L' R
F2 B2 R D' F2 R L'
R' B2 U' R' U L R'
R' B2 U' R' U R' L
D B2 U' R D' F2 B2
D B2 U' R D' B2 F2
L' B2 D R F2 D L2
D B2 U2 L2 R' U R2
U' B2 D' R D' L2 F2
U' B2 D' R D' F2 L2
D B2 U2 R' L2 U R2
R B2 U' R' U D2 L2
R B2 U' R' U' R2 U2
R B2 U' R' D' F2 U
R B2 U' R' D2 U L2
R B2 U' F2 R' U L'
U' B2 D2 L2 R D' F2
U' B2 D2 R L2 D' F2
R B2 U2 R U R2 U
R B2 U2 R U2 D' F2
R B2 U2 R D B2 U2
R B2 U2 R D' U2 F2
U2 B2 D' R D' L2 F2
U2 B2 D' R D' F2 L2
L' B2 D2 L2 D' R F2
U2 B2 D2 L2 R D' F2
U2 B2 D2 R L2 D' F2
L B2 D B2 U' R B2
L B2 D B2 U' B2 R
U B2 D' R D' L2 F2
U B2 D' R D' F2 L2
L B2 D2 L2 R D F2
L B2 D2 L2 D R F2
U B2 D2 L2 R D' F2
L B2 D2 R L2 D F2
U B2 D2 R L2 D' F2
R B2 F' U' R' F' U
R B2 F2 L' U' R' U
R B2 F2 U' R' U L'
