L2 R D2 F' U R
L2 R F' B U R'
L2 R B F' U R'
R L2 D2 F' U R
B L2 R F' U R2
R L2 F' B U R'
R L2 B F' U R'
B R L2 F' U R2
B R F' L2 U R2
R F' L2 B U R'
R F' B L2 U R'
L2 B R F' U R2
R B L2 F' U R'
R B F' L2 U R'
R L2 D2 F' D' U R
R L2 D2 F' D2 U R
R L2 D2 F' B U R
R L2 D2 F' B' U R
R L2 D2 F' B2 U R
U L2 R B F' U R'
R L2 D2 B F' U R
R L2 D2 B' F' U R
R L2 D2 B2 F' U R
R L2 F' U B R' B'
R L2 F' B U R' D
R L2 F' B U R' D'
R L2 F' B U R' D2
R L2 F' B U D R'
R L2 F' B U D' R'
R L2 F' B U D2 R'
R L2 F' B D U R'
R L2 F' B D' U R'
R L2 F' B D2 U R'
R L2 F' B' U' L U2
L2 R2 B U R' F' L'
R2 L2 B U R' F' L'
R L2 B D F' U R'
R L2 B D' F' U R'
R L2 B D2 F' U R'
R L2 B F' U R' D
R L2 B F' U R' D'
R L2 B F' U R' D2
R L2 B F' U D R'
R L2 B F' U D' R'
R L2 B F' U D2 R'
R L2 B F' D U R'
R L2 B F' D' U R'
R L2 B F' D2 U R'
R L2 B' F' U' L U2
U' L2 B R F' U R2
U2 L2 B R F' U R2
U L2 B R F' U R2
B2 L2 B' R F' U R2
B R L F' L U R2
U' R L2 D2 F' U R
U' R L2 F' B U R'
U2 R L2 D2 F' U R
B R L2 D F' B2 U
U' R L2 B F' U R'
B R L2 D B2 F' U
B2 R L2 F' B' U R'
U2 R L2 F' B U R'
U2 R L2 B F' U R'
B2 R L2 B' F' U R'
B R L2 F' U R2 D
B R L2 F' U R2 D'
B R L2 F' U R2 D2
B R L2 F' D B2 U
B R L2 F' B U R2
B R L2 F' B' U R2
B R L2 F' B2 U R2
B R L2 B F' U R2
U R L2 D2 F' U R
B R L2 B' F' U R2
B R L2 B2 F' U R2
U R L2 F' B U R'
U R L2 B F' U R'
B' R D' F' U B2 R'
B' R F L2 F2 U R
B R F L2 F2 U R2
B' R F' L2 U' L' U2
U' R F' L2 B U R'
B2 R F' L2 B' U R'
B' R F' U D' B2 R'
U2 R F' L2 B U R'
B R F' L2 U R2 D
B R F' L2 U R2 D'
B R F' L2 U R2 D2
B R F' L2 D B2 U
B R F' L2 B U R2
B R F' L2 B' U R2
B R F' L2 B2 U R2
B' R F' D' U B2 R'
U' R F' B L2 U R'
B' R F' B2 L2 U R'
B R F' U R2 D' B2
U R F' L2 B U R'
D2 R F2 L' F U R
B2 R F' B' L2 U R'
U2 R F' B L2 U R'
B R F' B L2 U R2
B R F' B' L2 U R2
B R F' B2 L2 U R2
U R F' B L2 U R'
U' R B L2 F' U R'
U2 R B L2 F' U R'
B R B L2 F' U R2
U' R B F' L2 U R'
U R B L2 F' U R'
U2 R B F' L2 U R'
B2 R B' L2 F' U R'
B R B F' L2 U R2
B R B' L2 F' U R2
U R B F' L2 U R'
B2 R B' F' L2 U R'
B' R B2 L2 F' U R'
B R B' F' L2 U R2
B R B2 L2 F' U R2
B' R B2 F' L2 U R'
B R B2 F' L2 U R2
B R' U' L2 R2 F' U
B R' U' R2 L2 F' U
B R' U' R2 F' L2 U
L D L R B' U L
L D L B' R U L
L D R L B' U L
B2 U L2 R F' B U
B2 U L2 R B F' U
B U L2 R F' U R2
B2 U R L2 F' B U
B2 U R L2 B F' U
B2 U R F' L2 B U
B2 U R F' B L2 U
B U R L2 F' U R2
B2 U R B L2 F' U
B2 U R B F' L2 U
B U R F' L2 U R2
R2 D' R' F' B U B
R2 D' R' B F' U B
B U' L2 R F' U R2
B U' R L2 F' U R2
B U' R F' L2 U R2
B U2 L2 R F' U R2
R D2 F' U D R B2
R D2 F' U D B2 R
B U2 R L2 F' U R2
R D2 F' U2 R2 U' R'
R D2 F' D U R B2
R D2 F' D U B2 R
R D2 F' D2 L2 U R
B U2 R F' L2 U R2
R F L2 F2 B U R'
R F L2 B F2 U R'
R F B L2 F2 U R'
R F B' L2 F2 U R
R F' L D L B' U
R F' L' B L' U R'
R F' L2 U B R' B'
R F' L2 B U R' D
R F' L2 B U R' D'
R F' L2 B U R' D2
R F' L2 B U D R'
R F' L2 B U D' R'
R F' L2 B U D2 R'
R F' L2 B D U R'
R F' L2 B D' U R'
R F' L2 B D2 U R'
R F' L2 B' U' L U2
R F' U B R' D' B2
R F' U B D' R' B2
R F' U B' D' B2 R'
R F' B L2 U R' D
R F' B L2 U R' D'
R F' B L2 U R' D2
R F' B L2 U D R'
R F' B L2 U D' R'
R F' B L2 U D2 R'
R F' B L2 D U R'
R F' B L2 D' U R'
R F' B L2 D2 U R'
R F' B U R' D' B2
R F' B U D' R' B2
R F' B D' U R' B2
R F' B' L2 U' L' U2
R F' B' U D' B2 R'
R F' B' D' U B2 R'
R F' B2 L2 B' U R'
L' B L' R F' U R2
U' B L2 R F' U R2
U2 B L2 R F' U R2
U' B R L2 F' U R2
R B L F' L U R'
L' B R L' F' U R2
U' B R F' L2 U R2
R2 B L2 U R' F' L'
U2 B R L2 F' U R2
U B L2 R F' U R2
L2 B R D F' B2 U
L2 B R D B2 F' U
U2 B R F' L2 U R2
L2 B R F' U R2 D
L2 B R F' U R2 D'
L2 B R F' U R2 D2
L2 B R F' D B2 U
L2 B R F' B U R2
L2 B R F' B' U R2
L2 B R F' B2 U R2
L2 B R B F' U R2
L2 B R B' F' U R2
L2 B R B2 F' U R2
R B L2 D F' U R'
R B L2 D' F' U R'
R B L2 D2 F' U R'
R B L2 F' U R' D
R B L2 F' U R' D'
R B L2 F' U R' D2
R B L2 F' U D R'
R B L2 F' U D' R'
R B L2 F' U D2 R'
R B L2 F' D U R'
R B L2 F' D' U R'
R B L2 F' D2 U R'
U B R L2 F' U R2
U B R F' L2 U R2
R' B U' D' R' F2 B2
R' B U' D' R' B2 F2
R' B U' D' F2 R' B2
R' B U2 L2 R2 U R
R' B U2 R2 L2 U R
R' B D' U' R' F2 B2
R' B D' U' R' B2 F2
R' B D' U' F2 R' B2
R' B D2 L2 R2 U' R
R' B D2 R2 L2 U' R
R B D' F' U R' B2
R B F L2 F2 U R'
R B F' L2 U R' D
R B F' L2 U R' D'
R B F' L2 U R' D2
R B F' L2 U D R'
R B F' L2 U D' R'
R B F' L2 U D2 R'
R B F' L2 D U R'
R B F' L2 D' U R'
R B F' L2 D2 U R'
R B F' U R' D' B2
R B F' U D' R' B2
R B F' D' U R' B2
L2 B' R F' U' L U2
L2 B' R F' B2 U R'
L2 B' R B2 F' U R'
R B' D' F' U B2 R'
R B' F L2 F2 U R
R B' F' L2 U' L' U2
R B' F' U D' B2 R'
R B' F' D' U B2 R'
L2 B2 R F' B' U R'
L2 B2 R B' F' U R'
R B2 L2 F' B' U R'
R B2 L2 B' F' U R'
R B2 F' L2 B' U R'
