L R U2 B U F
R L U2 B U F
R' L F' R2 U' F2
L R' F' R2 U' F2
R U2 B R' U F'
R' F' L R2 U' F
R' F' R2 L U' F
L R' F' R2 U' F2 D'
L R' F' R2 U' F2 D2
L R' F' R2 D' L2 U'
L R' F' U' F2 D B2
R L2 U2 D' B R' U
R L2 D' U2 B R' U
R' L2 F' L' R2 U' F
R' L2 F' R2 L' U' F
D2 R L U2 B U F
D' R L U2 B U F
D R L U2 B U F
U2 R U B L U2 L'
U2 R U' B U2 B' R'
D2 R U2 B R' U F'
D' R U2 B R' U F'
D R U2 B R' U F'
R U B' U R' B2 U
B2 R B2 L U' F R
D2 R' L F' R2 U' F2
D' R' L F' R2 U' F2
D R' L F' R2 U' F2
F R' L F' R U' F2
R' U' F' L' R2 U' L
R' U' F' R2 L' U' L
R U' F U' B R U
L U' F D B' R' B
L U' F B' D R' B
L U' B' R' D F B2
L U' B' R' D B2 F
L U' B' R' F D B2
L U' B' F D R' B
D2 R' F' L R2 U' F
D' R' F' L R2 U' F
D2 R' F' R2 L U' F
D' R' F' R2 L U' F
D R' F' L R2 U' F
F R' F' L R U' F
D R' F' R2 L U' F
F R' F' R L U' F
R U2 R' U F R F2
R U2 D B R' U F'
R U2 D' B R' U F'
R U2 D2 B R' U F'
R U2 B R U' B U2
R U2 B R' U D F'
R U2 B R' U D' F'
R U2 B R' U D2 F'
R U2 B R' U F' D
R U2 B R' U F' D'
R U2 B R' U F' D2
R U2 B R' D U F'
R U2 B R' D' U F'
R U2 B R' D2 U F'
R U2 B U2 L U' F
R U2 B D R' U F'
R U2 B D' R' U F'
R U2 B D2 R' U F'
R U2 B' R' B2 U F'
R' D L F' U' F2 B2
R' D L F' U' B2 F2
R U2 B2 R' B' U F'
R D L U2 B U F
L D R U2 B U F
L D R' F' R2 U' F2
R' D F' L U' F B2
R' D F' L U' B2 F
R D U2 B R' U F'
R D' L U2 B U F
L2 D' R U2 B R' U
L D' R U2 B U F
L D' R' F' R2 U' F2
R D' U2 B R' U F'
B U' R B' U' R' F'
R D2 L U2 B U F
L2 D2 R U2 B U F'
L D2 R U2 B U F
L2 D2 R' F' R2 U' F'
L D2 R' F' R2 U' F2
F2 U2 L' R' B' U F'
F2 U2 L' B' R' U F'
R D2 U2 B R' U F'
F2 U2 R' L' B' U F'
R' F L R2 F2 U' F'
R F L U2 B U F
R' F R2 L F2 U' F'
R' F R2 F2 L U' F
L F R' F' R U' F
R F U2 B R' U F'
R' F' L R2 U' D F
R' F' L R2 U' D' F
R' F' L R2 U' D2 F
R' F' L R2 U' F D
R' F' L R2 U' F D'
R' F' L R2 U' F D2
R' F' L R2 D U' F
R' F' L R2 D' U' F
R' F' L R2 D2 U' F
R' F' L U' D F B2
R' F' L U' D B2 F
R' F' L U' F D B2
R' F' L D U' F B2
R' F' L D U' B2 F
R' F' L' R2 U B' U2
R F' L U2 B U F
R' F' R2 L U' D F
R' F' R2 L U' D' F
R' F' R2 L U' D2 F
R' F' R2 L U' F D
R' F' R2 L U' F D'
R' F' R2 L U' F D2
R' F' R2 L D U' F
R' F' R2 L D' U' F
R' F' R2 L D2 U' F
R' F' R2 L' U B' U2
R' F' R2 U2 R' U F'
R' F' R2 D L U' F
R' F' R2 D' L U' F
R' F' R2 D2 L U' F
U' F' U L' U' B' R'
R' F' D L U' F B2
R' F' D L U' B2 F
F D' L U' F B' R'
F D' L U' B' R' F
F D' L U' B' F R'
R F' U2 B R' U F'
R F2 L U2 B U F
R' F2 R2 F L U' F
L2 F2 U2 L' B' U F
L F2 U2 L' B' U F'
R F2 U2 B R' U F'
R B2 L B2 U' F R
