D F2 R U' F'
F L' U L' U2 B'
D R F2 R U' F
R' D F2 R U' F'
R2 D F2 R U' F'
R D F2 R U' F'
U2 D' L' B2 U F
U2 D' B2 L' U F
D' U2 L' B2 U F
D' U2 B2 L' U F
D F2 L R U' F'
D F2 L' R U' F'
D F2 L2 R U' F'
D F2 R L U' F'
D F2 R L' U' F'
D F2 R L2 U' F'
D F2 R U' D F'
D F2 R U' D' F'
D F2 R U' D2 F'
D F2 R U' F' D
D F2 R U' F' D'
D F2 R U' F' D2
D F2 R D U' F'
D F2 R D' U' F'
D F2 R D2 U' F'
U2 D' B2 R L' U F
U2 D' B2 R' L' U F
U2 D' B2 R2 L' U F
D' U2 L' R B2 U F
D' U2 L' R' B2 U F
D' U2 L' R2 B2 U F
D' U2 L' U D' R2 F
D' U2 L' U D' F R2
D' U2 L' U F D' R2
D' U2 L' D' U R2 F
D' U2 L' D' U F R2
D' U2 L' B2 R U F
D' U2 L' B2 R' U F
D' U2 L' B2 R2 U F
D' U2 L' B2 U D F
D' U2 L' B2 U D' F
D' U2 L' B2 U D2 F
D' U2 L' B2 U F D
D' U2 L' B2 U F D'
D' U2 L' B2 U F D2
D' U2 L' B2 D U F
D' U2 L' B2 D' U F
D' U2 L' B2 D2 U F
D2 U2 L' B R' U R'
U2 D2 L' B R' U R'
D' U2 R L' B2 U F
D' U2 R B2 L' U F
D' U2 R' L' B2 U F
D' U2 R' B2 L' U F
D' U2 R2 L' B2 U F
D' U2 R2 B2 L' U F
D' U2 B L' B U F
D2 U2 B L' R' U R'
D2 U2 B R' L' U R'
U2 D2 B L' R' U R'
U2 D2 B R' L' U R'
D' U2 B2 L' R U F
D' U2 B2 L' R' U F
D' U2 B2 L' R2 U F
D' U2 B2 L' U D F
D' U2 B2 L' U D' F
D' U2 B2 L' U D2 F
D' U2 B2 L' U F D
D' U2 B2 L' U F D'
D' U2 B2 L' U F D2
D' U2 B2 L' D U F
D' U2 B2 L' D' U F
D' U2 B2 L' D2 U F
D' U2 B2 R L' U F
D' U2 B2 R' L' U F
D' U2 B2 R2 L' U F
R' F L' U L' U2 B'
L2 F L' U' D' B2 R'
L2 F L' D' U' B2 R'
R2 F L' U L' U2 B'
R F L' U L' U2 B'
L F L' D F2 R U'
D F R F R U' F2
F D L' F R F U'
F2 D R F' L' F' U'
D F D' F L' R U'
D F D' F R L' U'
D F' L F' R U' F'
D F' L' F' R U' F'
F' D F2 L' R' U' B
F' D F2 R' L' U' B
D F' L2 F' R U' F'
B2 D F2 R U' L2 F'
B2 D F2 R U' F' L2
B' D F2 B R U' F'
B D F2 R B' U' F'
B' D B F2 R U' F'
B D F2 B' R U' F'
B D B' F2 R U' F'
L2 F' U2 L R U R'
L2 F' U2 R L U R'
D F2 L R U' D F'
D F2 L R U' D' F'
D F2 L R U' D2 F'
D F2 L R U' F' D
D F2 L R U' F' D'
D F2 L R U' F' D2
D F2 L R D U' F'
D F2 L R D' U' F'
D F2 L R D2 U' F'
D F2 L' R U' D F'
D F2 L' R U' D' F'
D F2 L' R U' D2 F'
D F2 L' R U' F' D
D F2 L' R U' F' D'
D F2 L' R U' F' D2
D F2 L' R D U' F'
D F2 L' R D' U' F'
D F2 L' R D2 U' F'
D2 F2 R U' D' R F'
D F2 L2 R U' D F'
D F2 L2 R U' D' F'
D F2 L2 R U' D2 F'
D F2 L2 R U' F' D
D F2 L2 R U' F' D'
D F2 L2 R U' F' D2
D F2 L2 R D U' F'
D F2 L2 R D' U' F'
D F2 L2 R D2 U' F'
D2 F2 R D' U' R F'
D F2 R L U' D F'
D F2 R L U' D' F'
D F2 R L U' D2 F'
D F2 R L U' F' D
D F2 R L U' F' D'
D F2 R L U' F' D2
D F2 R L D U' F'
D F2 R L D' U' F'
D F2 R L D2 U' F'
D F2 R L' U' D F'
D F2 R L' U' D' F'
D F2 R L' U' D2 F'
D F2 R L' U' F' D
D F2 R L' U' F' D'
D F2 R L' U' F' D2
D F2 R L' D U' F'
D F2 R L' D' U' F'
D F2 R L' D2 U' F'
D F2 R L2 U' D F'
D F2 R L2 U' D' F'
D F2 R L2 U' D2 F'
D F2 R L2 U' F' D
D F2 R L2 U' F' D'
D F2 R L2 U' F' D2
D F2 R L2 D U' F'
D F2 R L2 D' U' F'
D F2 R L2 D2 U' F'
D F2 R U B U2 F'
D F2 R U B' U2 F'
D F2 R U B2 U2 F'
D F2 R U' L' F' L
D F2 R U' L2 F' L2
D F2 R U' D F' D
D F2 R U' D F' D'
D F2 R U' D F' D2
D F2 R U' D' F' D
D F2 R U' D' F' D'
D F2 R U' D' F' D2
D F2 R U' D2 F' D
D F2 R U' D2 F' D'
D F2 R U' D2 F' D2
D F2 R U' F2 D F
D F2 R U' F2 D' F
D F2 R U' F2 D2 F
D F2 R D L U' F'
D F2 R D L' U' F'
D F2 R D L2 U' F'
D F2 R D U' F' D
D F2 R D U' F' D'
D F2 R D U' F' D2
D F2 R D' L U' F'
D F2 R D' L' U' F'
D F2 R D' L2 U' F'
D F2 R D' U' F' D
D F2 R D' U' F' D'
D F2 R D' U' F' D2
D F2 R D2 L U' F'
D F2 R D2 L' U' F'
D F2 R D2 L2 U' F'
D F2 R D2 U' F' D
D F2 R D2 U' F' D'
D F2 R D2 U' F' D2
D F2 R2 D R' U' F'
D F2 R2 D' R' U' F'
D F2 R2 D2 R' U' F'
L F2 U' D' B2 R' F'
D2 F2 D' R F2 U' F
F D2 L' R U' R B
F D2 L' U' R B R
F D2 L' F R U' R
D' F2 D2 R F2 U' F
F2 D2 R U' R' F' R2
F D2 R L' U' R B
D F2 D2 L' R U' F
L F2 D' U' B2 R' F'
D F2 D2 R L' U' F
D F2 B R B' U' F'
D F2 B2 R B2 U' F'
U2 B D' L' B2 U F
U2 B D' B2 L' U F
D B F2 R B' U' F'
U2 B' D' L' B2 U F
U2 B' D' B2 L' U F
D' B2 L' U D F L2
D' B2 L' U F D L2
D' B2 L' U2 B2 U' F
D' B2 L' D U F L2
D' B2 L' D2 F2 U F'
U2 B2 D' L' B2 U F
U2 B2 D' B2 L' U F
D B2 F2 R B2 U' F'
