F' L R U2 B' U
D' L U' B R' B2
F L U2 B' L2 U
F' L' R F L2 U'
F2 L' F L2 R U'
F2 L' F R L2 U'
F' R L U2 B' U
F' R L' F L2 U'
L U2 D2 B' L U
L D2 U2 B' L U
L' F L2 U2 L U
L F U2 B' L' U
L' F' L2 R F2 U'
L' F' R L2 F2 U'
L' F' R F2 L2 U'
L F' R U2 B' U
F' D2 L R F' U'
F' D2 R L F' U'
F' D2 R F' L U'
R2 L' F' R L2 F2 U'
L R' F' R U2 B' U
R2 L' F' R F2 L2 U'
R L' F' L2 R F2 U'
R L' F' R L2 F2 U'
R L' F' R F2 L2 U'
F' L' D R F U' F
F2 L' D F R U' F
F2 L' F L2 R U' D
F2 L' F L2 R U' D'
F2 L' F L2 R U' D2
F2 L' F L2 R D U'
F2 L' F L2 R D' U'
F2 L' F L2 R D2 U'
F2 L' F L2 D R U'
F2 L' F L2 D' R U'
F2 L' F L2 D2 R U'
F2 L' F R L2 U' D
F2 L' F R L2 U' D'
F2 L' F R L2 U' D2
F2 L' F R L2 D U'
F2 L' F R L2 D' U'
F2 L' F R L2 D2 U'
F2 L' F R U' D F2
F2 L' F R D U' F2
F L' F L2 U' D' B2
F L' F L2 U2 L2 U
F L' F L2 D' U' B2
F L' F L2 D2 R2 U'
F2 L' F D R U' F2
F2 L' F2 L2 F' R U'
L R2 U2 D2 B' L U
L R2 D2 U2 B' L U
L' R2 F L2 U2 L U
L R2 F U2 B' L' U
L' R2 F' L2 R F2 U'
L' R2 F' R L2 F2 U'
L' R2 F' R F2 L2 U'
L R2 F' R U2 B' U
D' L2 D L' F U' B'
D' R L U' B R' B2
F' R L U2 D B' U
F' R L U2 D' B' U
F' R L U2 D2 B' U
F' R L U2 B' U D
F' R L U2 B' U D'
F' R L U2 B' U D2
F' R L U2 B' D U
F' R L U2 B' D' U
F' R L U2 B' D2 U
F' R L D U2 B' U
D2 R L D2 F' R U'
F' R L D' U2 B' U
F' R L D2 U2 B' U
D R L U F' U2 R
F' R L F U2 B' U
F' R L F' U2 B' U
F' R L F2 U2 B' U
F R L U2 B' L2 U
F' R L' D F U' F
F' R L' F L2 U' D
F' R L' F L2 U' D'
F' R L' F L2 U' D2
F' R L' F L2 D U'
F' R L' F L2 D' U'
F' R L' F L2 D2 U'
F' R L' F U' D F2
F' R L' F D U' F2
F' R L' F' L2 F2 U'
F' R L' F2 L2 F' U'
F2 R L' F L2 R U'
F2 R L' F R L2 U'
L U F U B' L' U
D2 R D L F' U' B'
F' R D L F' U' R
D2 R D F' L U' B'
F' R D F' L U' R
D2 R D2 L F' R U'
D2 R D2 F' L R U'
D2 R D2 F' R L U'
F' R F L U2 B' U
F' R F L' F L2 U'
F' R F' L U2 B' U
F' R F' L' F L2 U'
D2 R F' D L U' B'
F' R F2 L U2 B' U
F' R F2 L' F L2 U'
L U' D R' B D' R2
D' R' L U' B R' B2
D R' L U' D2 B R'
D R' L D2 U' B R'
F R' L U2 B' L2 U
D R' L F' U' B R
F' R' L' F L2 R2 U'
F' R' L' F R2 L2 U'
F2 R' L' F L2 R U'
F2 R' L' F R L2 U'
D R' D2 L U' B R'
D R' F' L U' B R
D' R2 L U' B R' B2
L U2 D' L U B' R'
L U2 D' B' L U B'
F R2 L U2 B' L2 U
F' R2 L' F L2 R' U'
F' R2 L' F R' L2 U'
F2 R2 L' F L2 R U'
F2 R2 L' F R L2 U'
L U2 D2 B' L U D
L U2 D2 B' L U D'
L U2 D2 B' L U D2
L U2 D2 B' L D U
L U2 D2 B' L D' U
L U2 D2 B' L D2 U
L U2 D2 B' D L U
L U2 D2 B' D' L U
L U2 D2 B' D2 L U
L U2 F B' L' F' U
D2 R2 D L U' B' R'
L U2 B' D' L U B'
L U2 B' F L' F' U
L' D R' F U' F B
L' D R' F U' B F
L D R' U' B D' R2
L D R' U2 B' U B2
L D U' R' B D' R2
L' D F R' U' F B
L' D F R' U' B F
R' D' L U' B R' B2
R2 D' L U' B R' B2
R D' L U' B R' B2
L D' U2 L U B' R'
L D' U2 B' L U B'
L2 D2 L' U2 B' L U
L D2 R U2 B' L U
L D2 R' U2 B' L U
L D2 R2 U2 B' L U
L D2 U2 B' L U D
L D2 U2 B' L U D'
L D2 U2 B' L U D2
L D2 U2 B' L D U
L D2 U2 B' L D' U
L D2 U2 B' L D2 U
L D2 U2 B' D L U
L D2 U2 B' D' L U
L D2 U2 B' D2 L U
F U2 L' U2 F L2 U'
L D2 F U2 B' L U
L D2 F' U2 B' L U
L D2 F2 U2 B' L U
D2 U2 B2 R' B L U
U2 D2 B2 R' B L U
D' F L U' B R' B2
R' F L U2 B' L2 U
L' F L D' L U' B2
L' F L D2 L R2 U'
L' F L D2 R2 L U'
R2 F L U2 B' L2 U
L' F L2 R U2 L U
L' F L2 R' U2 L U
L' F L2 R2 U2 L U
R F L U2 B' L2 U
L' F L2 U2 L U D
L' F L2 U2 L U D'
L' F L2 U2 L U D2
L' F L2 U2 L D U
L' F L2 U2 L D' U
L' F L2 U2 L D2 U
L' F L2 U2 D L U
L' F L2 U2 D' L U
L' F L2 U2 D2 L U
L' F L2 D U2 L U
L' F L2 D' U2 L U
L' F L2 D2 U2 L U
L' F L2 B2 R' B2 U'
L' F R L2 U2 L U
L' F R' L2 U2 L U
L F R U2 B' L' U
L' F R2 L2 U2 L U
L F R' U2 B' L' U
L F R2 U2 B' L' U
F' D L R F' U' R
F' D L D R F' U'
L' F U2 L' U2 L' U'
F' D L F' U' R B
L' F U2 D L' U F2
L' F U2 D2 L' R2 U
L' F U2 D2 R2 L' U
L' F D U2 L' U F2
L F U2 D B' L' U
L F U2 D' B' L' U
L F U2 D2 B' L' U
L F U2 B L' B2 U
L F U2 B' L' U D
L F U2 B' L' U D'
L F U2 B' L' U D2
L F U2 B' L' D U
L F U2 B' L' D' U
L F U2 B' L' D2 U
F' D R L F' U' R
L F U2 B' D L' U
L F U2 B' D' L' U
L F U2 B' D2 L' U
L F U2 B2 L' B U
F' D R F' L U' R
L F D U2 B' L' U
L' F D2 U2 L' R2 U
L' F D2 U2 R2 L' U
L F D' U2 B' L' U
L F D2 U2 B' L' U
L' F B2 L2 B2 R' U'
R' F' L R U2 B' U
L' F' L R F2 L U'
D' F' L U' B R' B2
L2 F' L R F L' U'
R' F' L' R F L2 U'
R2 F' L R U2 B' U
D F' L R' U' B R2
D F' L U' R' B R2
R F' L R U2 B' U
R2 F' L' R F L2 U'
L' F' L2 R U' D R2
L' F' L2 R D U' R2
L' F' L2 R F2 U' D
L' F' L2 R F2 U' D'
L' F' L2 R F2 U' D2
L' F' L2 R F2 D U'
L' F' L2 R F2 D' U'
L' F' L2 R F2 D2 U'
L' F' L2 R' F2 R2 U'
L' F' L2 R2 F2 R' U'
L' F' L2 D R U' R
F' D F' L U' R B
R' F' R L U2 B' U
L' F' L2 F2 U2 L' U
R' F' R L' F L2 U'
R F' L' R F L2 U'
L' F' R L F2 L U'
L' F' R L2 U' D R2
L' F' R L2 D U' R2
L' F' R L2 F2 U' D
L' F' R L2 F2 U' D'
L' F' R L2 F2 U' D2
L' F' R L2 F2 D U'
L' F' R L2 F2 D' U'
L' F' R L2 F2 D2 U'
L' F' R U' D R2 F2
L' F' R U' D F2 R2
L' F' R D U' R2 F2
L' F' R D U' F2 R2
L2 F' R L F L' U'
L' F' R F' L2 F' U'
L' F' R F2 L2 U' D
L' F' R F2 L2 U' D'
L' F' R F2 L2 U' D2
L' F' R F2 L2 D U'
L' F' R F2 L2 D' U'
L' F' R F2 L2 D2 U'
L' F' R F2 U' D F2
L F' L2 R F L2 U'
L' F' R F2 D U' F2
R2 F' R L U2 B' U
R2 F' R L' F L2 U'
L' F' R' L2 F2 R2 U'
L' F' R' F2 L2 R2 U'
L' F' R' F2 R2 L2 U'
L F' R L2 F L2 U'
R F' R L U2 B' U
R F' R L' F L2 U'
L F' R U2 D B' U
L F' R U2 D' B' U
L F' R U2 D2 B' U
L F' R U2 B' U D
L F' R U2 B' U D'
L F' R U2 B' U D2
L F' R U2 B' D U
L F' R U2 B' D' U
L F' R U2 B' D2 U
L' F' R2 L2 F2 R' U'
L F' R D U2 B' U
D F' R' L U' B R2
L F' R D' U2 B' U
L F' R D2 U2 B' U
L F' R F U2 B' U
L F' R F' U2 B' U
L F' R F2 U2 B' U
L' F' R2 F2 L2 R' U'
L' F' R2 F2 R' L2 U'
F' D' L D' R F' U'
F2 D' L U' R B R'
L' F' D R U' R F2
L F' U2 B' U2 R U'
R' F' D2 L R F' U'
R' F' D2 R L F' U'
R' F' D2 R F' L U'
L F' D R U2 B' U
R2 F' D2 L R F' U'
L F' D' R U2 B' U
R2 F' D2 R L F' U'
D F' D2 L U' R B'
D F' D2 L U' B' R
R2 F' D2 R F' L U'
L F' D2 R U2 B' U
R F' D2 L R F' U'
R F' D2 R L F' U'
R F' D2 R F' L U'
D' F2 L U' B R' B2
R' F2 L' F L2 R U'
R' F2 L' F R L2 U'
L' F2 L2 F R F2 U'
R2 F2 L' F L2 R U'
R2 F2 L' F R L2 U'
L' F2 L2 F' U2 L' U
R F2 L' F L2 R U'
R F2 L' F R L2 U'
B' D' B L U' R' B'
L F2 L2 F L2 R U'
L F2 L2 F R L2 U'
F' D2 L R D F' U'
F' D2 L R D' F' U'
F' D2 L R D2 F' U'
F' D2 L R F' U' D
F' D2 L R F' U' D'
F' D2 L R F' U' D2
F' D2 L R F' D U'
F' D2 L R F' D' U'
F' D2 L R F' D2 U'
F2 D2 L F R F' U'
F' D2 L' R F' L2 U'
L2 F2 U2 R B L U
L F2 U' R B D' R2
F' D2 R L D F' U'
F' D2 R L D' F' U'
F' D2 R L D2 F' U'
F' D2 R L F' U' D
F' D2 R L F' U' D'
F' D2 R L F' U' D2
F' D2 R L F' D U'
F' D2 R L F' D' U'
F' D2 R L F' D2 U'
F' D2 R L' F' L2 U'
L F2 U2 B L B2 U
L F2 U2 B' U2 R' U'
F' D2 R D L F' U'
F' D2 R D F' L U'
F' D2 R D' L F' U'
F' D2 R D' F' L U'
F' D2 R D2 L F' U'
F' D2 R D2 F' L U'
F' D2 R F L F2 U'
F' D2 R F' L U' D
F' D2 R F' L U' D'
F' D2 R F' L U' D2
F' D2 R F' L D U'
F' D2 R F' L D' U'
F' D2 R F' L D2 U'
F' D2 R F' D L U'
F' D2 R F' D' L U'
F' D2 R F' D2 L U'
F2 D2 F L R F' U'
F2 D2 F R L F' U'
F2 D2 F R F' L U'
F D2 F2 L R F' U'
F D2 F2 R L F' U'
F D2 F2 R F' L U'
L B2 R2 F' R B2 U'
L B2 R2 F' B2 R U'
L B2 R2 B2 F' R U'
L' B2 F L2 B2 R' U'
