F' L R' U F'
F' R' L U F'
L F' R' U F'
F' L R U' B U2
F' L R' U D F'
F' L R' U D' F'
F' L R' U D2 F'
F' L R' U F' D
F' L R' U F' D'
F' L R' U F' D2
F' L R' D U F'
F' L R' D' U F'
F' L R' D2 U F'
F L R' F2 U F
L R U' B U2 L
R L U' B U2 L
F' L U2 L U' F
F' L D R' U F'
F' L D' R' U F'
F' L D2 R' U F'
D' L F' R' U F'
D L F' R' U F'
D2 L F' R' U F'
F L F2 R' U F'
F' R L U' B U2
F' R' L U D F'
F' R' L U D' F'
F' R' L U D2 F'
F' R' L U F' D
F' R' L U F' D'
F' R' L U F' D2
F' R' L D U F'
F' R' L D' U F'
F' R' L D2 U F'
F R' L F2 U F
F' R' D L U F'
F' R' D' L U F'
F' R' D2 L U F'
F2 R' F L U F2
L D F' R' U F'
L D' F' R' U F'
L D2 F' R' U F'
L F R' F2 U F
F' D L R' U F'
F' D R' L U F'
L' F' L2 R' U F'
D2 F' L R' U F'
D' F' L R' U F'
L' F' R' L2 U F'
D F' L R' U F'
D2 F' R' L U F'
D' F' R' L U F'
L F' R U' B U2
L F' R' U D F'
L F' R' U D' F'
L F' R' U D2 F'
L F' R' U F' D
L F' R' U F' D'
L F' R' U F' D2
L F' R' D U F'
L F' R' D' U F'
D F' R' L U F'
L F' R' D2 U F'
F' D' L R' U F'
L F' U2 L U' F
L F' D R' U F'
F' D' R' L U F'
L F' D' R' U F'
L F' D2 R' U F'
L F2 R' F U F2
F' D2 L R' U F'
F' D2 R' L U F'
D F2 R' F L U F2
L F2 R' U F' D' L2
L F2 R' D F U F2
L F2 R' D' F U F2
L F2 R' D2 F U F2
L F2 R' F R U F2
L F2 R' F R' U F2
L F2 R' F R2 U F2
L F2 R' F U F2 D
L F2 R' F U F2 D'
L F2 R' F U F2 D2
L F2 R' F D R2 U
L F2 R2 F R U F'
F' D2 L R U' B U2
F' D2 L R' U D F'
F' D2 L R' U D' F'
F' D2 L R' U D2 F'
F' D2 L R' U F' D
F' D2 L R' U F' D'
F' D2 L R' U F' D2
F' D2 L R' D U F'
F' D2 L R' D' U F'
F' D2 L R' D2 U F'
F' D2 L U2 L U' F
F' D2 L D R' U F'
F' D2 L D' R' U F'
F' D2 L D2 R' U F'
F' D2 R L U' B U2
L F2 D R' F U F2
L F2 D F R' U F'
F' D2 R' L U D F'
F' D2 R' L U D' F'
F' D2 R' L U D2 F'
F' D2 R' L U F' D
F' D2 R' L U F' D'
F' D2 R' L U F' D2
F' D2 R' L D U F'
F' D2 R' L D' U F'
F' D2 R' L D2 U F'
F' D2 R' D L U F'
F' D2 R' D' L U F'
F' D2 R' D2 L U F'
L F2 D' R' F U F2
L F2 D' F R' U F'
F2 D2 R' F L U F2
L F2 D2 R' F U F2
L F2 D2 F R' U F'
F2 D2 F L R' U F'
F2 D2 F R' L U F'
F' B R' B' L U F'
L B F' R' B' U F'
B F' R' B' L U F'
L B2 F' R' B2 U F'
