D2 L' R2 F' B' U
D2 L' R2 B' F' U
B L2 U2 L B' U
D2 R2 L' F' B' U
D2 R2 L' B' F' U
L' B' U2 L' B2 U'
L' B' U2 B2 L' U'
L' B' D2 F2 R U
R D2 L' R2 B' F U
R D2 L' F R2 B' U
R D2 L' F B' R2 U
R D2 L' B' R2 F U
R D2 L' B' F R2 U
R D2 R2 L' F B' U
R D2 R2 L' B' F U
L D2 F L B R2 U'
B' U2 L2 B2 R' F' U'
L' D2 B' U2 L' B2 U'
L' D2 B' U2 B2 L' U'
L' D2 B' D2 F2 R U
U' F L2 B U' R B
L F L B2 R' B' U'
D2 F R2 F' L' B' U
B' D L' B' U L' F2
L F D' L B U' B
U' F B L2 U' R B
L F D2 L B R2 U'
D F B U' F R B
B D F U' F R B
L' F' R2 F' R B' U
L' F' R2 F' B' R U
L' F' R2 B' F' R U
L' F2 R D B' U L
L' F2 R2 F' R' B' U
B' D2 L' R2 F2 B' U
B' D2 L' R2 B' F2 U
B' D2 L' F2 R2 B' U
B' D2 L' F2 B' R2 U
B' D2 L' B' R2 F2 U
B' D2 L' B' F2 R2 U
B D2 L' B' R2 F' U
B' D2 R2 L' F2 B' U
B' D2 R2 L' B' F2 U
L' F2 B' R U D L2
L' F2 B' R U2 B2 U'
L' F2 B' R D U L2
L' F2 B' R D2 F2 U
L' F2 B' D R U L2
L' F2 B' D2 R F2 U
F D2 R2 F' L' B' U
L' B L' U2 L B2 U
D2 B L' B' R2 F' U
F2 B L R F L U'
L2 B U' D' R' B R'
L2 B U' D' B R' B
L2 B U2 L B' L U
B F L F L R U'
B F L F R L U'
L2 B U2 B' L B' U
F B L F L R U'
F B L F R L U'
F2 B L2 D2 R F' U'
F2 B R L F L U'
L2 B D' R' U' B R'
L2 B D' U' R' B R'
L2 B D' U' B R' B
U' B F L2 U' R B
L2 B D2 R F' R U'
L2 B D2 F' R F' U'
L B D2 R2 F L' U'
L B D2 F L' R2 U'
L B D2 F R2 L' U'
D B F U' F R B
L' B' R U2 L' B2 U'
L' B' R U2 B2 L' U'
L' B' R D2 F2 R U
U2 B' L2 B2 R' F' U'
L' B' R' U2 L' B2 U'
L' B' R' U2 B2 L' U'
L' B' R' D2 F2 R U
L' B' R2 U2 L' B2 U'
L' B' R2 U2 B2 L' U'
L' B' R2 D2 F2 R U
L' B' U L D L2 F2
L' B' U L D F2 L2
L' B' U2 L B2 L2 U'
L' B' U2 L' U' D L2
L' B' U2 L' D U' L2
L' B' U2 L' B2 U' D
L' B' U2 L' B2 U' D'
L' B' U2 L' B2 U' D2
L' B' U2 L' B2 D U'
L' B' U2 L' B2 D' U'
L' B' U2 L' B2 D2 U'
L' B' U2 D L' U' L'
L' B' U2 B L' B U'
L' B' U2 B2 L' U' D
L' B' U2 B2 L' U' D'
L' B' U2 B2 L' U' D2
L' B' U2 B2 L' D U'
L' B' U2 B2 L' D' U'
L' B' U2 B2 L' D2 U'
L' B' U2 B2 D L' U'
L' B' U2 B2 D' L' U'
L' B' U2 B2 D2 L' U'
L' B' D U2 L' U' L'
L' B' D F2 R U L2
L' B' D2 R F2 R U
L' B' D2 R' F2 R U
L' B' D2 R2 F2 R U
L' B' D2 F2 R U D
L' B' D2 F2 R U D'
L' B' D2 F2 R U D2
L' B' D2 F2 R D U
L' B' D2 F2 R D' U
L' B' D2 F2 R D2 U
L' B' D2 F2 D R U
L' B' D2 F2 D' R U
L' B' D2 F2 D2 R U
L' B' F2 R U D L2
L' B' F2 R U2 B2 U'
L' B' F2 R D U L2
L' B' F2 R D2 F2 U
L' B' F2 D R U L2
L' B' F2 D2 R F2 U
B F2 L R F L U'
L B2 L2 R' F B' U
L B2 L2 R' B' F U
L B2 L2 F R' B' U
L B2 R' L2 F B' U
L B2 R' L2 B' F U
B F2 L2 D2 R F' U'
B F2 R L F L U'
