F2 L' B' D' R2
B L' U F2 B' L'
B L' U B' F2 L'
F2 L' U' B U B2
F2 L' D B' D' R2
F2 L' D' B' D' R2
F2 L' D2 B' D' R2
F2 L' B' R D' R2
F2 L' B' R' D' R2
F2 L' B' R2 D' R2
F2 L' B' U' B2 U
F2 L' B' D' R2 D
F2 L' B' D' R2 D'
F2 L' B' D' R2 D2
F2 U' B U L' B'
F2 D L' B' D' R2
F2 D' L' B' D' R2
L' F2 B' L' D' R2
F2 D2 L' B' D' R2
L' F2 B' D' L' R2
L' F2 B' D' R2 L'
U B L U F2 L'
L' B U F2 L' B2
L' B U F2 B2 L'
L' B U B2 F2 L'
U' B U F2 L' B'
F2 B' L' D' R2 B'
F2 B' L' D' B' R2
L' B' F2 L' D' R2
L' B' F2 D' L' R2
L' B' F2 D' R2 L'
F2 B' D' L' R2 B'
F2 B' D' L' B' R2
F2 B' D' R2 L' B'
B' F2 L' D' R2 B'
B' F2 L' D' B' R2
B' F2 D' L' R2 B'
B' F2 D' L' B' R2
B' F2 D' R2 L' B'
L' F2 D' B' D' L' R2
L' F2 D' B' D' R2 L'
L' F2 D2 B' L' D' R2
L' F2 D2 B' D' L' R2
L' F2 D2 B' D' R2 L'
L' F2 B L' B2 D' R2
L' F2 B' L' R D' R2
L' F2 B' L' R' D' R2
L' F2 B' L' R2 D' R2
L' F2 B' L' U' B2 U
L' F2 B' L' D' R2 D
L' F2 B' L' D' R2 D'
L' F2 B' L' D' R2 D2
L' F2 B' L2 D' L R2
L' F2 B' L2 D' R2 L
L' F2 B' R L' D' R2
L' F2 B' R D' L' R2
L' F2 B' R D' R2 L'
L' F2 B' R' L' D' R2
L' F2 B' R' D' L' R2
L' F2 B' R' D' R2 L'
L' F2 B' R2 L' D' R2
L' F2 B' R2 D' L' R2
L' F2 B' R2 D' R2 L'
L' F2 B' U' B2 U L'
L' F2 B' D' L' R2 D
L' F2 B' D' L' R2 D'
L' F2 B' D' L' R2 D2
L' F2 B' D' R2 L' D
L' F2 B' D' R2 L' D'
L' F2 B' D' R2 L' D2
L' F2 B' D' R2 D L'
L' F2 B' D' R2 D' L'
L' F2 B' D' R2 D2 L'
L' F2 B' D2 L' D R2
L' F2 B2 L' D' B R'
U' B L U F2 L' B'
L' B L U F2 L' B2
L' B L U F2 B2 L'
L' B L U B2 F2 L'
L F2 B' L' D' R2 B
U' B L' U F2 L' B'
L2 B L U F2 B' L'
L2 B L U B' F2 L'
F2 D2 U' B U L' B'
L F2 B' D' L' R2 B
L F2 B' D' R2 L' B
L F2 B' D' R2 B L'
L' B L' U F2 L' B2
L' B L' U F2 B2 L'
L' B L' U B2 F2 L'
U' B L2 U F2 L' B'
U B L U L F2 L'
U B L U L' F2 L'
U B L U L2 F2 L'
U B L U F2 L' D
U B L U F2 L' D'
U B L U F2 L' D2
U B L U F2 D L'
U B L U F2 D' L'
U B L U F2 D2 L'
U B L U' R U2 F2
L' B L2 U F2 L' B2
L' B L2 U F2 B2 L'
L' B L2 U B2 F2 L'
U B L F U F L'
F' D2 F' L' B' D' R2
L B L2 U F2 B' L'
L B L2 U B' F2 L'
L' B R2 U F2 B2 L
L' B R2 U B2 L F2
L' B R2 U B2 F2 L
U' B U L' F2 B' L'
U' B U L' B' F2 L'
F2 D2 B' L' D' R2 B'
F2 D2 B' L' D' B' R2
L' B U L F2 L' B2
L' B U L F2 B2 L'
L' B U L B2 F2 L'
L' B U L' F2 L' B2
L' B U L' F2 B2 L'
L' B U L' B2 F2 L'
L' B U L2 F2 L' B2
L' B U L2 F2 B2 L'
L' B U L2 B2 F2 L'
U' B U F2 L' D B'
U' B U F2 L' D' B'
U' B U F2 L' D2 B'
U' B U F2 L' B' D
U' B U F2 L' B' D'
U' B U F2 L' B' D2
U' B U F2 D L' B'
U' B U F2 D' L' B'
U' B U F2 D2 L' B'
U' B U F2 B L' B'
U' B U F2 B' L' B'
U' B U F2 B2 L' B'
U' B U B F2 L' B'
U' B U B' F2 L' B'
U' B U B2 F2 L' B'
F2 D2 B' D' L' R2 B'
F2 D2 B' D' L' B' R2
F2 D2 B' D' R2 L' B'
L2 B U L F2 B' L'
L' B U F2 L B2 L2
L2 B U L B' F2 L'
L' B U F2 L' B2 D
L' B U F2 L' B2 D'
L' B U F2 L' B2 D2
U' B U' R U2 F2 B
U' B U' R U2 B F2
L' B U F2 B L' B
L' B U F2 B2 L' D
L' B U F2 B2 L' D'
L' B U F2 B2 L' D2
L' B U F2 B2 D L'
L' B U F2 B2 D' L'
L' B U F2 B2 D2 L'
L2 B U L2 F2 L' B'
L' B U B F2 L' B
L' B U B2 L F2 L'
L' B U B2 L' F2 L'
L' B U B2 L2 F2 L'
L' B U B2 F2 L' D
L' B U B2 F2 L' D'
L' B U B2 F2 L' D2
L' B U B2 F2 D L'
L' B U B2 F2 D' L'
L' B U B2 F2 D2 L'
L' B U' R U2 F2 B2
L' B U' R U2 B2 F2
L2 B U F2 L B' L2
L' B U' F2 L' B2 R'
L B U L' F2 L' B'
L B U L2 F2 B' L'
L B U L2 B' F2 L'
U B U F2 L' D' B2
L B U' R F U2 F
L B U' F U2 F L'
F2 B L' B' U' B U
F2 B L' B2 D' B R2
L' B F U F L' B2
L' B F U F B2 L'
L' B F U B2 F L'
L' B F2 L' B2 D' R2
L' B' L F2 L' D' R2
L' B' L F2 D' L' R2
L' B' L F2 D' R2 L'
L' B' L' F2 L' D' R2
L' B' L' F2 D' L' R2
L' B' L' F2 D' R2 L'
L' B' L2 F2 L' D' R2
L' B' L2 F2 D' L' R2
L' B' L2 F2 D' R2 L'
F2 B' L' R D' R2 B'
F2 B' L' R D' B' R2
F2 B' L' R' D' R2 B'
F2 B' L' R' D' B' R2
F2 B' L' R2 D' R2 B'
F2 B' L' R2 D' B' R2
F2 B' L' U' B2 U B
F2 B' L' D B' D2 R2
F2 B' L' D' R B' R
F2 B' L' D' R2 D B'
F2 B' L' D' R2 D' B'
F2 B' L' D' R2 D2 B'
F2 B' L' D' R2 B' D
F2 B' L' D' R2 B' D'
F2 B' L' D' R2 B' D2
F2 B' L' D' B R2 B2
F2 B' L' D' B' R2 D
F2 B' L' D' B' R2 D'
F2 B' L' D' B' R2 D2
F2 B' L' D2 B' D R2
F2 B' L' B' U' B' U
L' B' U' B2 U F2 L'
F2 B' R L' D' R2 B'
F2 B' R L' D' B' R2
F2 B' R D' L' R2 B'
F2 B' R D' L' B' R2
F2 B' R D' R2 L' B'
F2 B' R' L' D' R2 B'
F2 B' R' L' D' B' R2
F2 B' R' D' L' R2 B'
F2 B' R' D' L' B' R2
F2 B' R' D' R2 L' B'
F2 B' R2 L' D' R2 B'
F2 B' R2 L' D' B' R2
F2 B' R2 D' L' R2 B'
F2 B' R2 D' L' B' R2
F2 B' R2 D' R2 L' B'
D B' D' F2 L' R2 B'
D B' D' F2 L' B' R2
D B' D' F2 R2 L' B'
F2 B' U' B2 U L' B'
L' B' F' D' F' L' R2
L' B' F' D' F' R2 L'
L' B' F2 L' R D' R2
L' B' F2 L' R' D' R2
L' B' F2 L' R2 D' R2
L' B' F2 L' U' B2 U
L' B' F2 L' D' R2 D
L' B' F2 L' D' R2 D'
L' B' F2 L' D' R2 D2
L' B' F2 L2 D' L R2
L' B' F2 L2 D' R2 L
L' B' F2 R L' D' R2
L' B' F2 R D' L' R2
L' B' F2 R D' R2 L'
L' B' F2 R' L' D' R2
L' B' F2 R' D' L' R2
L' B' F2 R' D' R2 L'
L' B' F2 R2 L' D' R2
L' B' F2 R2 D' L' R2
L' B' F2 R2 D' R2 L'
L' B' F2 U' B2 U L'
L' B' F2 D' L' R2 D
L' B' F2 D' L' R2 D'
L' B' F2 D' L' R2 D2
L' B' F2 D' R2 L' D
L' B' F2 D' R2 L' D'
L' B' F2 D' R2 L' D2
L' B' F2 D' R2 D L'
L' B' F2 D' R2 D' L'
L' B' F2 D' R2 D2 L'
L' B' F2 D2 L' D R2
B' F' D' F' L' R2 B'
B' F' D' F' L' B' R2
B' F' D' F' R2 L' B'
F2 B' D' L' R B' R
F2 B' D' L' R2 D B'
F2 B' D' L' R2 D' B'
F2 B' D' L' R2 D2 B'
F2 B' D' L' R2 B' D
F2 B' D' L' R2 B' D'
F2 B' D' L' R2 B' D2
F2 B' D' L' B R2 B2
F2 B' D' L' B' R2 D
F2 B' D' L' B' R2 D'
F2 B' D' L' B' R2 D2
F2 B' D' R L' B' R
F' B' D' F' L' R2 B'
F' B' D' F' L' B' R2
F' B' D' F' R2 L' B'
F2 B' D' R2 L' D B'
F2 B' D' R2 L' D' B'
F2 B' D' R2 L' D2 B'
F2 B' D' R2 L' B' D
F2 B' D' R2 L' B' D'
F2 B' D' R2 L' B' D2
F2 B' D' R2 D L' B'
L B' F2 L' D' R2 B
F2 B' D' R2 D' L' B'
F2 B' D' R2 D2 L' B'
F2 B' D' R2 B L' B'
F2 B' D' R2 B' L' B'
F2 B' D' R2 B2 L' B'
F2 B' D' B L' R2 B'
F2 B' D' B L' B' R2
F2 B' D' B R2 L' B'
F2 B' D' B' L' R2 B'
F2 B' D' B' L' B' R2
F2 B' D' B' R2 L' B'
F2 B' D' B2 L' R2 B'
F2 B' D' B2 L' B' R2
F2 B' D' B2 R2 L' B'
L B' F2 D' L' R2 B
L B' F2 D' R2 L' B
L B' F2 D' R2 B L'
F2 B' D2 L' D R2 B'
F2 B' D2 L' D B' R2
F2 B' D2 L' B' D R2
B' F2 L' R D' R2 B'
B' F2 L' R D' B' R2
B' F2 L' R' D' R2 B'
B' F2 L' R' D' B' R2
B' F2 L' R2 D' R2 B'
B' F2 L' R2 D' B' R2
B' F2 L' U' B2 U B
B' F2 L' D B' D2 R2
B' F2 L' D' R B' R
B' F2 L' D' R2 D B'
B' F2 L' D' R2 D' B'
B' F2 L' D' R2 D2 B'
B' F2 L' D' R2 B' D
B' F2 L' D' R2 B' D'
B' F2 L' D' R2 B' D2
B' F2 L' D' B R2 B2
B' F2 L' D' B' R2 D
B' F2 L' D' B' R2 D'
B' F2 L' D' B' R2 D2
B' F2 L' D2 B' D R2
B' F2 L' B' U' B' U
B2 F2 L' D' B R' B2
F2 B2 L' D' B R' B2
B2 F2 L' B2 D' B R'
F2 B2 L' B2 D' B R'
B' F2 R L' D' R2 B'
B' F2 R L' D' B' R2
B' F2 R D' L' R2 B'
B' F2 R D' L' B' R2
B' F2 R D' R2 L' B'
B F2 L' B' U' B U
B F2 L' B2 D' B R2
B' F2 R' L' D' R2 B'
B' F2 R' L' D' B' R2
B' F2 R' D' L' R2 B'
B' F2 R' D' L' B' R2
B' F2 R' D' R2 L' B'
B' F2 R2 L' D' R2 B'
B' F2 R2 L' D' B' R2
B' F2 R2 D' L' R2 B'
B' F2 R2 D' L' B' R2
B' F2 R2 D' R2 L' B'
B' F2 U' B2 U L' B'
B2 F2 U' B' U L' B'
F2 B2 U' B' U L' B'
B' F2 D' L' R B' R
B' F2 D' L' R2 D B'
B' F2 D' L' R2 D' B'
B' F2 D' L' R2 D2 B'
B' F2 D' L' R2 B' D
B' F2 D' L' R2 B' D'
B' F2 D' L' R2 B' D2
B' F2 D' L' B R2 B2
B' F2 D' L' B' R2 D
B' F2 D' L' B' R2 D'
B' F2 D' L' B' R2 D2
B' F2 D' R L' B' R
B' F2 D' R2 L' D B'
B' F2 D' R2 L' D' B'
B' F2 D' R2 L' D2 B'
B' F2 D' R2 L' B' D
B' F2 D' R2 L' B' D'
B' F2 D' R2 L' B' D2
B' F2 D' R2 D L' B'
B' F2 D' R2 D' L' B'
B' F2 D' R2 D2 L' B'
B' F2 D' R2 B L' B'
B' F2 D' R2 B' L' B'
B' F2 D' R2 B2 L' B'
B' F2 D' B L' R2 B'
B' F2 D' B L' B' R2
B' F2 D' B R2 L' B'
B' F2 D' B' L' R2 B'
B' F2 D' B' L' B' R2
B' F2 D' B' R2 L' B'
B' F2 D' B2 L' R2 B'
B' F2 D' B2 L' B' R2
B' F2 D' B2 R2 L' B'
B' F2 D2 L' D R2 B'
B' F2 D2 L' D B' R2
B' F2 D2 L' B' D R2
L' B2 F2 L' D' B R'
