F' L2 R F2 B' U'
F' L2 R B' F2 U'
D2 L2 R2 B' L U
F L2 U2 L F' U
F L2 U2 F' L U
F' L2 B' R F2 U'
D2 L2 B' L R2 U
D2 L2 B' R2 L U
F' R L2 F2 B' U'
F' R L2 B' F2 U'
D2 R2 L2 B' L U
U2 F L2 U2 L U
U2 F' L2 R F2 U'
U2 F' R L2 F2 U'
U2 F' R F2 L2 U'
U2 F R L2 U2 L U
B U2 F' L2 R F2 U'
B U2 F' R L2 F2 U'
U F L2 U2 L U L
B U2 F' R F2 L2 U'
U F L2 D' B2 R' U'
R F L2 U2 L F' U
R F L2 U2 F' L U
U F L2 B2 R' U' L2
U2 F R' L2 U2 L U
U2 F R2 L2 U2 L U
U2 F U2 L' U2 L' U'
U2 F U2 D L' U F2
U2 F U2 D2 L' R2 U
U2 F U2 D2 R2 L' U
L2 F U2 B' L' F' U
U2 F D U2 L' U F2
U2 F D2 U2 L' R2 U
U2 F D2 U2 R2 L' U
U2 F B2 L2 B2 R' U'
U2 F' L R F2 L U'
R' F' L2 R F2 B' U'
R' F' L2 R B' F2 U'
F D U2 L' F' U F'
U2 F' L2 R U' D R2
U2 F' L2 R D U' R2
R' F' L2 B' R F2 U'
U2 F' L2 R F2 U' D
U2 F' L2 R F2 U' D'
U2 F' L2 R F2 U' D2
U2 F' L2 R F2 D U'
U2 F' L2 R F2 D' U'
U2 F' L2 R F2 D2 U'
U2 F' L2 R' F2 R2 U'
U2 F' L2 R2 F2 R' U'
R' F' R L2 F2 B' U'
R' F' R L2 B' F2 U'
R2 F' L2 R F2 B' U'
U2 F' L2 D R U' R
R2 F' L2 R B' F2 U'
U2 F' L2 F2 U2 L' U
U2 F' R L F2 L U'
U F' L2 R F2 U' L2
U2 F' R L2 U' D R2
U2 F' R L2 D U' R2
U2 F' R L2 F2 U' D
U2 F' R L2 F2 U' D'
U2 F' R L2 F2 U' D2
U2 F' R L2 F2 D U'
U2 F' R L2 F2 D' U'
U2 F' R L2 F2 D2 U'
R2 F' L2 B' R F2 U'
U2 F' R U' D R2 F2
U2 F' R U' D F2 R2
L2 F' R U2 F B' U
L2 F' R U2 B' F U
U2 F' R D U' R2 F2
U2 F' R D U' F2 R2
R F' L2 R F2 B' U'
R F' L2 R B' F2 U'
R2 F' R L2 F2 B' U'
R2 F' R L2 B' F2 U'
U2 F' R F' L2 F' U'
U2 F' R F2 L2 U' D
U2 F' R F2 L2 U' D'
U2 F' R F2 L2 U' D2
U2 F' R F2 L2 D U'
U2 F' R F2 L2 D' U'
U2 F' R F2 L2 D2 U'
U2 F' R F2 U' D F2
U2 F' R F2 D U' F2
U2 F' R' L2 F2 R2 U'
U F' R L2 F2 U' L2
R F' L2 B' R F2 U'
R F' R L2 F2 B' U'
R F' R L2 B' F2 U'
U2 F' R' F2 L2 R2 U'
U2 F' R' F2 R2 L2 U'
U F' R F2 L2 U' L2
U2 F' R2 L2 F2 R' U'
U F' R' D R2 F2 B2
U F' R' D R2 B2 F2
U F' R' D F2 R2 B2
U F' R' D F2 B2 R2
U F' R' D B2 R2 F2
U F' R' D B2 F2 R2
U2 F' R2 F2 L2 R' U'
U2 F' R2 F2 R' L2 U'
U' F' U' L2 R F2 U'
U' F' U' R L2 F2 U'
U' F' U' R F2 L2 U'
U F' U L2 R F2 U'
U F' U R L2 F2 U'
U F' U R F2 L2 U'
U2 F' D R U' R F2
U2 F2 L2 F R F2 U'
U2 F2 L2 F' U2 L' U
B' D2 L2 R2 B' L U
B2 D2 L2 R2 B' L U
B' D2 L2 B' L R2 U
B' D2 L2 B' R2 L U
B2 D2 L2 B' L R2 U
B2 D2 L2 B' R2 L U
B D2 L2 R2 B' L U
B D2 L2 B' L R2 U
B D2 L2 B' R2 L U
B' D2 R2 L2 B' L U
B2 D2 R2 L2 B' L U
F' D2 R2 F B2 L U
F' D2 R2 B2 F L U
B D2 R2 L2 B' L U
F D2 U2 L' F' R2 U
D2 B R2 U2 R F U'
B' F L2 U2 L F' U
B' F L2 U2 F' L U
F' B L2 R F2 B' U'
F' B L2 R B' F2 U'
B2 F L2 U2 L F' U
B2 F L2 U2 F' L U
F' B L2 B' R F2 U'
F' B R L2 F2 B' U'
F' B R L2 B' F2 U'
B F L2 U2 L F' U
B F L2 U2 F' L U
F B L2 U2 L F' U
F B L2 U2 F' L U
D2 B' L2 R2 B' L' U
D2 B' L2 B' L' R2 U
D2 B' L2 B' R2 L' U
D2 B' R2 L2 B' L' U
B' F' L2 R F2 B' U'
B' F' L2 R B' F2 U'
F' B' L2 R F2 B' U'
F' B' L2 R B' F2 U'
B2 F' L2 R F2 B' U'
B2 F' L2 R B' F2 U'
B' F' L2 B' R F2 U'
B' F' R L2 F2 B' U'
B' F' R L2 B' F2 U'
F' B' L2 B' R F2 U'
B2 F' L2 B' R F2 U'
F' B' R L2 F2 B' U'
F' B' R L2 B' F2 U'
B F' L2 R F2 B' U'
B F' L2 R B' F2 U'
B2 F' R L2 F2 B' U'
B2 F' R L2 B' F2 U'
F B' L2 U2 L F' U
B F' L2 B' R F2 U'
F B' L2 U2 F' L U
B F' R L2 F2 B' U'
B F' R L2 B' F2 U'
F' B2 L2 R F2 B' U'
F' B2 L2 R B' F2 U'
D2 B2 R2 U2 F R U'
F' B2 L2 B' R F2 U'
F' B2 R L2 F2 B' U'
F' B2 R L2 B' F2 U'
F B2 L2 U2 L F' U
F B2 L2 U2 F' L U
U2 B2 F L2 B2 R' U'
