F L' R' U R2 U2
F L' R' U' D2 L2
F L' R' D B2 U'
F L' R' D2 U' L2
F R' L' U R2 U2
F R' L' U' D2 L2
F R' L' D B2 U'
F R' L' D2 U' L2
F R' D L' B2 U'
F R' D B2 L' U'
F R' D2 L' U' L'
U R' F L' B' U'
R' F L' U R U2
U F L' R' B' U'
U F R' L' B' U'
U R' F L' B' U' D2
U R' F L' B' D U'
U R' F L' B' D' U'
U R' F L' B' D2 U'
U2 R' F B L' U' L2
U R' F D L' B' U'
U R' F D' L' B' U'
U R' F D2 L' B' U'
U R' F B L' B' U'
U R' F B' L' B' U'
U R' F B2 L' B' U'
F' R' F2 U' D' F2 L'
F' R' F2 D' U' F2 L'
F R' B L' U R2 U2
F R' B L' U' D2 L2
F R' B L' D B2 U'
F R' B L' D2 U' L2
U2 R' B F L' U' L2
F R' B D L' B2 U'
F R' B D B2 L' U'
F R' B D2 L' U' L'
U R' B F L' B' U'
F R' B' L' U R2 U2
F R' B' L' U' D2 L2
F R' B' L' D B2 U'
F R' B' L' D2 U' L2
F R' B' D L' B2 U'
F R' B' D B2 L' U'
F R' B' D2 L' U' L'
U R' B' F L' B' U'
F R' B2 L' U R2 U2
F R' B2 L' U' D2 L2
F R' B2 L' D B2 U'
F R' B2 L' D2 U' L2
F R' B2 D L' B2 U'
F R' B2 D B2 L' U'
F R' B2 D2 L' U' L'
U R' B2 F L' B' U'
F R2 L' B2 R U' L
R2 D R F U' F2 L'
F R2 B2 L' R U' L2
F R2 B2 R L' U' L2
R' D F U R U2 F'
F U R U' L' R2 U'
F U R U' R2 L' U'
R' D' F U' F2 L' F
R' F L U' D F2 L'
R' F L D U' F2 L'
U' F L' R B R2 U'
U' F L' R' U2 F' U
R' F L' U R U2 D
R' F L' U R U2 D'
R' F L' U R U2 D2
R' F L' U R D U2
R' F L' U R D' U2
R' F L' U R D2 U2
R' F L' U D R U2
R' F L' U D' R U2
R' F L' U D2 R U2
R' F L' U' F2 L' F2
R' F L' U2 F2 U L'
R' F L' D U R U2
R' F L' D' U R U2
R' F L' D2 U R U2
R' F L' B U R U2
U2 F L' R' B U' L
R' F L' B' U R U2
R' F L' B2 U R U2
U F L' R B' R2 U'
U F L' R' D B' U'
U F L' R' D' B' U'
U F L' R' D2 B' U'
U F L' R' B' U' D
U F L' R' B' U' D'
U F L' R' B' U' D2
U F L' R' B' D U'
U F L' R' B' D' U'
U F L' R' B' D2 U'
U F L' R2 B' R U'
U' F R L' B R2 U'
R F L' R2 U R' U2
U F L' D R' B' U'
R F L' R2 B2 U' L
U F L' D' R' B' U'
U F L' D2 R' B' U'
U' F R B L' R2 U'
U' F R B R2 L' U'
U' F R' L' U2 F' U
U2 F R' L' B U' L
U F R L' B' R2 U'
D F R' U R2 U2 F'
U2 F R' B L' U' L2
D F R' U B R2 U2
U F R' L' D B' U'
U F R' L' D' B' U'
U F R' L' D2 B' U'
U F R' L' B' U' D
U F R' L' B' U' D'
U F R' L' B' U' D2
U F R' L' B' D U'
U F R' L' B' D' U'
U F R' L' B' D2 U'
U F R' D L' B' U'
R' F U R U' L' U'
U F R' D' L' B' U'
U F R' D2 L' B' U'
U F R' B L' B' U'
U F R' B' L' B' U'
U F R' B2 L' B' U'
U F R2 L' B' R U'
R' F U' L D F2 L'
R F R2 L' U R' U2
R F R2 L' B2 U' L
R F R2 B2 L' U' L2
R' F U2 F2 R U L'
R' F D L' U R U2
R' F D' L' U R U2
F D L' R' U R2 U2
F D L' R' U' D2 L2
F D L' R' D B2 U'
F D L' R' D2 U' L2
U F D L' R' B' U'
R' F D2 L' U R U2
U F D R' L' B' U'
U F D' L' R' B' U'
R' F B L' U R U2
U F D' R' L' B' U'
R' F B' L' U R U2
U F D2 L' R' B' U'
U F D2 R' L' B' U'
F D R' L' U R2 U2
F D R' L' U' D2 L2
F D R' L' D B2 U'
F D R' L' D2 U' L2
F D R' D L' B2 U'
F D R' D B2 L' U'
R' F B2 L' U R U2
F D R' D2 L' U' L'
U F B L' B' R' U'
R' F' L F2 L' U' L'
R' F' L' F2 L' U' L
R' F' L2 F2 L' U' L2
F2 D F' L' R' B U'
F2 D F' R' L' B U'
F2 D F' R' B L' U'
F D' L' R' U R2 U2
F D' L' R' U' D2 L2
F D' L' R' D B2 U'
F D' L' R' D2 U' L2
F D' R' L' U R2 U2
F D' R' L' U' D2 L2
F D' R' L' D B2 U'
F D' R' L' D2 U' L2
F D' R' D L' B2 U'
F D' R' D B2 L' U'
F D' R' D2 L' U' L'
F D2 L' R' U R2 U2
F D2 L' R' U' D2 L2
F D2 L' R' D B2 U'
F D2 L' R' D2 U' L2
F D2 R' L' U R2 U2
F D2 R' L' U' D2 L2
F D2 R' L' D B2 U'
F D2 R' L' D2 U' L2
F D2 R' D L' B2 U'
F D2 R' D B2 L' U'
F D2 R' D2 L' U' L'
F' D2 B2 L R U L2
F' D2 B2 R L U L2
B F L' U R U2 B
F B L' U R U2 B
R' B F L' U R U2
U B F L' B' R' U'
R' B' F L' U R U2
R' B2 F L' U R U2
