U2 L U' R U' F'
U R U L U2 F'
B2 R F' R2 D B2
L U' R U' L' F'
B2 R' U R2 U' F'
R' D R' B2 R' F'
R' D R2 F' B2 R'
R' D R2 B2 F' R'
B2 U R U' F' R2
R F' R2 D B2 R'
R F2 R2 F D B2 R'
R' F2 D R' B2 R' F'
R' F2 D R2 F' B2 R'
R' F2 D R2 B2 F' R'
L B U' R U' L' F'
L B' U' R U' L' F'
R2 B' D' B' R' F' B
R2 B' D' B' R' B F'
R B2 L U' L' F' R'
R B2 L' U' L F' R'
R B2 L' U' F' L R'
R B2 L' U' F' R' L
R B2 L2 U' L2 F' R'
R B2 L2 U' F' L2 R'
R B2 L2 U' F' R' L2
R2 B2 R' U' L U F'
R2 B2 R' F' U' L U
U B2 R B2 U' F' R2
U B2 R' D B2 L2 F
R B2 R' U R U' F'
U' B2 U2 R U' F' R2
D B2 U R U' R2 F'
U2 B2 U' R U' F' R2
R2 B2 U' L U R' F'
R' B2 D R B2 R2 F'
L B2 U' R U' L' F'
R B2 F' R' U R U'
R B2 F' R2 D R B2
R B2 F' R2 D B2 R
