F' R U L' B
F' R U B L'
F' L R U L2 B
F' L R U B L2
F' L2 R U L B
F' R L U L2 B
F' R L U B L2
F' R L2 U L B
F' R L2 U L B
F' R U L B L2
F' R U L' D B
F' R U L' D' B
F' R U L' D2 B
F' R U L' B D
F' R U L' B D'
F' R U L' B D2
F' R U D L' B
F' R U D B L'
F' R U D' L' B
F' R U D' B L'
F' R U D2 L' B
F' R U D2 B L'
F' R U B L' D
F' R U B L' D'
F' R U B L' D2
F' R U B D L'
F' R U B D L'
F' R U B D' L'
F' R U B D2 L'
F' R U B' L' B2
F' R D U L' B
F' R D U B L'
F' R D' U L' B
F' R D' U B L'
F' R D2 U L' B
F' R D2 U B L'
F' D R U L' B
F' D R U B L'
L' F' R U L' B
L' F' R U B L'
L2 F' R U L' B
L2 F' R U B L'
L F' R U L' B
L F' R U B L'
F' D' R U L' B
F' D' R U B L'
F' D2 R U L' B
F' D2 R U B L'
F' R U L' D B D'
F' R U L' D B D2
F' R U L' D' B D
F' R U L' D' B D'
F' R U L' D' B D2
F' R U L' D2 B D
F' R U L' D2 B D'
F' R U L' D2 B D2
F' R U L' B2 D B'
F' R U L' B2 D' B'
F' R U L' B2 D2 B'
F' R U L2 D L B
F' R U L2 D' L B
F' R U L2 D2 L B
F2 R U L F L' B
F2 R U L F B L'
F2 R U L B F L'
F' R U D L B L2
F' R U D L' D B
F' R U D L' D' B
F' R U D L' D2 B
F' R U D L' B D
F' R U D L' B D'
F' R U D L' B D2
F' R U D B L' D
F' R U D B L' D'
F' R U D B L' D2
F' R U D B D L'
F' R U D B D' L'
F' R U D B D2 L'
F' R U D B' L' B2
F' R U D' L B L2
F' R U D' L' D B
F' R U D' L' D' B
F' R U D' L' D2 B
F' R U D' L' B D
F' R U D' L' B D'
F' R U D' L' B D2
F' R U D' B L' D
F' R U D' B L' D'
F' R U D' B L' D2
F' R U D' B D L'
F' R U D' B D' L'
F' R U D' B D2 L'
F' R U D' B' L' B2
F' R U D2 L B L2
F' R U D2 L' D B
F' R U D2 L' D' B
F' R U D2 L' D2 B
F' R U D2 L' B D
F' R U D2 L' B D'
F' R U D2 L' B D2
F' R U D2 B L' D
F' R U D2 B L' D'
F' R U D2 B L' D2
F' R U D2 B D L'
F' R U D2 B D' L'
F' R U D2 B D2 L'
F' R U D2 B' L' B2
F' R U B L2 D L
F' R U B L2 D' L
F' R U B L2 D2 L
F' R U B D L' D
F' R U B D L' D'
F' R U B D L' D2
F' R U B D' L' D
F' R U B D' L' D'
F' R U B D' L' D2
F' R U B D2 L' D
F' R U B D2 L' D'
F' R U B D2 L' D2
F' R U B' L B2 L2
F' R U B' L' B2 D
F' R U B' L' B2 D'
F' R U B' L' B2 D2
F' R U B2 D B' L'
F' R U B2 D' B' L'
F' R U B2 D2 B' L'
F2 R U B L F L'
F' R U' R' U2 L' B'
F' R U' F U2 B L
F R U2 L' U' L B
F' R U2 B' U' L' B2
F' R U2 B' U' B2 L'
F' R U2 B2 U' B' L'
F' R D L U L2 B
F' R D L U B L2
F' R D L2 U L B
F' R D U L B L2
F' R D U L' D B
F' R D U L' D' B
F' R D U L' D2 B
F' R D U L' B D
F' R D U L' B D'
F' R D U L' B D2
F' R D U B L' D
F' R D U B L' D'
F' R D U B L' D2
F' R D U B D L'
F' R D U B D' L'
F' R D U B D2 L'
F' R D U B' L' B2
F' R D' L U L2 B
F' R D' L U B L2
F' R D' L2 U L B
F' R D' U L B L2
F' R D' U L' D B
F' R D' U L' D' B
F' R D' U L' D2 B
F' R D' U L' B D
F' R D' U L' B D'
F' R D' U L' B D2
F' R D' U B L' D
F' R D' U B L' D'
F' R D' U B L' D2
F' R D' U B D L'
F' R D' U B D' L'
F' R D' U B D2 L'
F' R D' U B' L' B2
F' R D2 L U L2 B
F' R D2 L U B L2
F' R D2 L2 U L B
F' R D2 U L B L2
F' R D2 U L' D B
F' R D2 U L' D' B
F' R D2 U L' D2 B
F' R D2 U L' B D
F' R D2 U L' B D'
F' R D2 U L' B D2
F' R D2 U B L' D
F' R D2 U B L' D'
F' R D2 U B L' D2
F' R D2 U B D L'
F' R D2 U B D' L'
F' R D2 U B D2 L'
F' R D2 U B' L' B2
D R F U F2 L' B
D R F U F2 B L'
D R F U B F2 L'
D' R F' U L' F B
D' R F' U L' B F
D' R F' U B L' F
D R F2 U F L' B
D R F2 U F B L'
D R F2 U B F L'
U' R' U F' R U B
F2 R' U' F' R B U2
F' U L' U' R U B
F' U R U L' R' B'
F' U R U R' L' B'
R D' F' U L' F B
R D' F' U L' B F
R D' F' U B L' F
F U' R U' L' U' B'
F U2 L' U R U2 B'
U F L' B' R U' R'
F' D L R U L2 B
F' D L R U B L2
F' D L2 R U L B
F' D R L U L2 B
F' D R L U B L2
F' D R L2 U L B
F' D R U L B L2
F' D R U L' D B
F' D R U L' D' B
F' D R U L' D2 B
F' D R U L' B D
F' D R U L' B D'
F' D R U L' B D2
F' D R U D L' B
F' D R U D B L'
F' D R U D' L' B
F' D R U D' B L'
F' D R U D2 L' B
F' D R U D2 B L'
F' D R U B L' D
F' D R U B L' D'
F' D R U B L' D2
F' D R U B D L'
F' D R U B D' L'
F' D R U B D2 L'
F' D R U B' L' B2
F' D R D U L' B
F' D R D U B L'
F' D R D' U L' B
F' D R D' U B L'
F' D R D2 U L' B
F' D R D2 U B L'
L' F' L R U L2 B
L' F' L R U B L2
L2 F' L R U L2 B
L2 F' L R U B L2
L F' L R U L2 B
L F' L R U B L2
L' F' L2 R U L B
F2 D F R F' U B
L2 F' L2 R U L B
D' F' R U L' F B
D' F' R U L' B F
L' F' R L U L2 B
L' F' R L U B L2
D' F' R U B L' F
L' F' R L2 U L B
L' F' R U L B L2
L' F' R U L' D B
L' F' R U L' D' B
L' F' R U L' D2 B
L' F' R U L' B D
L' F' R U L' B D'
L' F' R U L' B D2
L' F' R U D L' B
L' F' R U D B L'
L' F' R U D' L' B
L' F' R U D' B L'
L' F' R U D2 L' B
L' F' R U D2 B L'
L' F' R U B L' D
L' F' R U B L' D'
L' F' R U B L' D2
L' F' R U B D L'
L' F' R U B D' L'
L' F' R U B D2 L'
L' F' R U B' L' B2
L' F' R D U L' B
L' F' R D U B L'
L' F' R D' U L' B
L' F' R D' U B L'
L' F' R D2 U L' B
L' F' R D2 U B L'
L2 F' R L U L2 B
L2 F' R L U B L2
L2 F' R L2 U L B
L2 F' R U L B L2
L F' L2 R U L B
L2 F' R U L' D B
L2 F' R U L' D' B
L2 F' R U L' D2 B
L2 F' R U L' B D
L2 F' R U L' B D'
L2 F' R U L' B D2
L2 F' R U D L' B
L2 F' R U D B L'
L2 F' R U D' L' B
L2 F' R U D' B L'
L2 F' R U D2 L' B
L2 F' R U D2 B L'
L2 F' R U B L' D
L2 F' R U B L' D'
L2 F' R U B L' D2
L2 F' R U B D L'
L2 F' R U B D' L'
L2 F' R U B D2 L'
L2 F' R U B' L' B2
L2 F' R D U L' B
L2 F' R D U B L'
L2 F' R D' U L' B
L2 F' R D' U B L'
L2 F' R D2 U L' B
L2 F' R D2 U B L'
D F' R U L' F' B
D F' R U L' B F'
D F' R U B L' F'
L F' R L U L2 B
L F' R L U B L2
L F' R L2 U L B
L F' R U L B L2
L F' R U L' D B
L F' R U L' D' B
L F' R U L' D2 B
L F' R U L' B D
L F' R U L' B D'
L F' R U L' B D2
L F' R U D L' B
L F' R U D B L'
L F' R U D' L' B
L F' R U D' B L'
L F' R U D2 L' B
L F' R U D2 B L'
L F' R U B L' D
L F' R U B L' D'
L F' R U B L' D2
L F' R U B D L'
L F' R U B D' L'
L F' R U B D2 L'
L F' R U B' L' B2
L F' R D U L' B
L F' R D U B L'
L F' R D' U L' B
L F' R D' U B L'
F D F2 R U L' B
F D F2 R U B L'
L F' R D2 U L' B
L F' R D2 U B L'
R' F' U R U L' R'
R' F' U R U R' L'
F' D' L R U L2 B
F' D' L R U B L2
L' F' D R U L' B
L' F' D R U B L'
F2 D' L' F R U B
F' D' L2 R U L B
L2 F' D R U L' B
L2 F' D R U B L'
L' F' D' R U L' B
L' F' D' R U B L'
F' D' R L U L2 B
F' D' R L U B L2
F' D' R L2 U L B
F' D' R U L B L2
F' D' R U L' D B
F' D' R U L' D' B
F' D' R U L' D2 B
F' D' R U L' B D
F' D' R U L' B D'
F' D' R U L' B D2
F' D' R U D L' B
F' D' R U D B L'
F' D' R U D' L' B
F' D' R U D' B L'
F' D' R U D2 L' B
F' D' R U D2 B L'
F' D' R U B L' D
F' D' R U B L' D'
F' D' R U B L' D2
F' D' R U B D L'
F' D' R U B D' L'
F' D' R U B D2 L'
F' D' R U B' L' B2
L2 F' D' R U L' B
L2 F' D' R U B L'
F' D' R D U L' B
F' D' R D U B L'
L F' D R U L' B
L F' D R U B L'
F' D' R D' U L' B
F' D' R D' U B L'
F' D' R D2 U L' B
F' D' R D2 U B L'
L' F' D2 R U L' B
L' F' D2 R U B L'
L2 F' D2 R U L' B
L2 F' D2 R U B L'
L F' D' R U L' B
L F' D' R U B L'
L F' D2 R U L' B
L F' D2 R U B L'
F D' F2 R U L' B
F D' F2 R U B L'
F' D2 L R U L2 B
F' D2 L R U B L2
R F2 U L F L' B
R F2 U L F B L'
R F2 U L B F L'
R F2 U B L F L'
F' D2 L2 R U L B
F' D2 R L U L2 B
F' D2 R L U B L2
F' D2 R L2 U L B
F' D2 R U L B L2
F' D2 R U L' D B
F' D2 R U L' D' B
F' D2 R U L' D2 B
F' D2 R U L' B D
F' D2 R U L' B D'
F' D2 R U L' B D2
F' D2 R U D L' B
F' D2 R U D B L'
F' D2 R U D' L' B
F' D2 R U D' B L'
F' D2 R U D2 L' B
F' D2 R U D2 B L'
F' D2 R U B L' D
F' D2 R U B L' D'
F' D2 R U B L' D2
F' D2 R U B D L'
F' D2 R U B D' L'
F' D2 R U B D2 L'
F' D2 R U B' L' B2
F' D2 R D U L' B
F' D2 R D U B L'
F' D2 R D' U L' B
F' D2 R D' U B L'
F' D2 R D2 U L' B
F' D2 R D2 U B L'
F D2 F2 R U L' B
F D2 F2 R U B L'
F' B R B' U L' B2
F' B R B' U B2 L'
B2 F' R B2 U B' L'
B F' R B' U L' B2
B F' R B' U B2 L'
F' B2 R B2 U B' L'
