D R F' L' B R'
D R F' B L' R'
D R F' B R' L'
D R B F' L' R'
D R B F' R' L'
D' F' L' R F B
D' F' L' R B F
D' F' R L' F B
D' F' R L' B F
D' F' R B L' F
D' F' R B L' F
L2 D R F' B L' R'
L2 D R F' B R' L'
L2 D R B F' L' R'
L2 D R B F' R' L'
L D R F' L' B R'
L D R F' B L' R'
L D R F' B R' L'
L D R B F' L' R'
L D R B F' R' L'
D R2 B R' F' L' B
D R2 B R' F' B L'
D R2 B R' B F' L'
L' D' F' L' R F B
L' D' F' L' R B F
L' D' F' R L' F B
L' D' F' R L' B F
L' D' F' R B L' F
L2 D' F' L' R F B
L2 D' F' L' R B F
L2 D' F' R L' F B
L2 D' F' R L' B F
L2 D' F' R B L' F
L D' F' L' R F B
L D' F' L' R B F
L D' F' R L' F B
L D' F' R L' B F
L D' F' R B L' F
R D' F' U' L' F B
R D' F' U' L' B F
R D' F' U' B L' F
D' F L' R U2 F B
D' F L' R U2 B F
U F L' R F' B' U'
U F L' R B' F' U'
D' F R L' U2 F B
D' F R L' U2 B F
U F L' B' R F' U'
R F L' F2 U' L' B
R F L' F2 U' B L'
D F R U2 F' B R'
D F R U2 B F' R'
U F R L' F' B' U'
U F R L' B' F' U'
F' D R U L' B R'
F' D R U B L' R'
F' D R U B R' L'
B' D R F' L' B R'
B' D R F' B L' R'
B' D R F' B R' L'
B' D R B F' L' R'
B' D R B F' R' L'
B2 D R F' L' B R'
B2 D R F' B L' R'
B2 D R F' B R' L'
B2 D R B F' L' R'
B2 D R B F' R' L'
B D R F' L' B R'
B D R F' B L' R'
B D R F' B R' L'
B D R B F' L' R'
B D R B F' R' L'
D' F' L' R D F B
D' F' L' R D B F
D' F' L' R D' F B
D' F' L' R D' B F
D' F' L' R D2 F B
D' F' L' R D2 B F
D' F' L' R F D B
D' F' L' R F D' B
D' F' L' R F D2 B
D' F' L' R F B D
D' F' L' R F B D'
D' F' L' R F B D2
D' F' L' R B D F
D' F' L' R B D' F
D' F' L' R B D2 F
D' F' L' R B F D
D' F' L' R B F D'
D' F' L' R B F D2
D' F' L' R2 F R' B
D' F' L' D R F B
D' F' L' D R B F
D' F' L' D' R F B
D' F' L' D' R B F
D' F' L' D2 R F B
D' F' L' D2 R B F
D' F' L' B R F B
D' F' L' B R B F
D' F' L' B' R F B
D' F' L' B' R B F
D' F' L' B2 R F B
D' F' L' B2 R B F
D F' L' R F' B R'
D F' L' R B F' R'
D' F' R L' D F B
D' F' R L' D B F
D' F' R L' D' F B
D' F' R L' D' B F
D' F' R L' D2 F B
D' F' R L' D2 B F
D' F' R L' F D B
D' F' R L' F D' B
D' F' R L' F D2 B
D' F' R L' F B D
D' F' R L' F B D'
D' F' R L' F B D2
D' F' R L' B D F
D' F' R L' B D' F
D' F' R L' B D2 F
D' F' R L' B F D
D' F' R L' B F D'
D' F' R L' B F D2
D' F' R B L' D F
D' F' R B L' D' F
D' F' R B L' D2 F
D' F' R B L' F D
D' F' R B L' F D'
D' F' R B L' F D2
D' F' R B' L' F B2
D' F' R B' L' B2 F
D F' R L' F' B R'
D F' R L' B F' R'
D' F' R2 L' F R' B
D F' R B L' F' R'
R' F' U B R U L'
D' F' U2 L' R F B'
D' F' U2 L' R B' F
D' F' U2 L' B' R F
D' F' U2 R L' F B'
D' F' U2 R L' B' F
D' F' D2 L' R F' B
D' F' D2 L' R B F'
D' F' D2 R L' F' B
D' F' D2 R L' B F'
D' F' D2 R B L' F'
D' F' B L' R F B
D' F' B L' R B F
D' F' B R L' F B
D' F' B R L' B F
D' F' B R B L' F
D' F' B' L' R F B
D' F' B' L' R B F
D' F' B' R L' F B
D' F' B' R L' B F
D' F' B' R B L' F
D' F' B2 L' R F B
D' F' B2 L' R B F
D' F' B2 R L' F B
D' F' B2 R L' B F
D' F' B2 R B L' F
D' F2 L' F L' R B
D' F2 L' F R L' B
D' F2 L' F R B L'
B' D' F' L' R F B
B' D' F' L' R B F
B' D' F' R L' F B
B' D' F' R L' B F
B' D' F' R B L' F
B2 D' F' L' R F B
B2 D' F' L' R B F
B2 D' F' R L' F B
B2 D' F' R L' B F
B2 D' F' R B L' F
B D' F' L' R F B
B D' F' L' R B F
B D' F' R L' F B
B D' F' R L' B F
B D' F' R B L' F
D B R F' L' B R2
D B R F' B L' R2
D B R F' B R2 L'
D B R B F' L' R2
D B R B F' R2 L'
D' B F' L' R F B
D' B F' L' R B F
D' B F' R L' F B
D' B F' R L' B F
D' B F' R B L' F
D' B' F' L' R F B
D' B' F' L' R B F
D' B' F' R L' F B
D' B' F' R L' B F
D' B' F' R B L' F
D' B2 F' L' R F B
D' B2 F' L' R B F
D' B2 F' R L' F B
D' B2 F' R L' B F
D' B2 F' R B L' F
