L' R D' F2 L' R
L' R D' F2 R L'
R L' D' F2 L' R
R L' D' F2 R L'
D2 L2 R D' R F2
D2 L2 R2 U' R U
U2 L2 R2 U R U
D2 L2 U' R' U R'
D2 R L2 D' R F2
D' R D' L2 R2 F2
D' R D' L2 F2 R2
D' R D' R2 L2 F2
D' R D' R2 F2 L2
D' R D' F2 L2 R2
D' R D' F2 R2 L2
U' R' U' L2 R' U2
U' R' U' R' L2 U2
U' R' D' B2 U L
D' R' F2 B2 U B2
D' R' B2 F2 U B2
D2 R2 L2 U' R U
U2 R2 L2 U R U
D2 R2 U' R U L2
D U F2 B2 L U'
U D F2 B2 L U'
D U B2 L F2 U'
U D B2 L F2 U'
D U B2 F2 L U'
U D B2 F2 L U'
D2 U' R' U L2 R'
D2 U' R' U R' L2
U' D' R' F2 B2 U
U' D' R' B2 F2 U
D' U' R' F2 B2 U
D' U' R' B2 F2 U
R' D' B2 U L B2
R D' F2 L' D' R2
R D' F2 D' L' R2
U' D' F2 R' B2 U
R D' F2 D' R2 L'
D' U' F2 R' B2 U
R' D2 R2 D' F2 L'
U' D2 R' U L2 R'
U' D2 R' U R' L2
L' F2 R D' F2 L'
R F2 L' D' F2 R
D' F2 R' B2 U B2
D F2 B2 L U' B2
D B2 L F2 U' B2
R' B2 U L B2 R'
D B2 F2 L U' B2
U D L B2 L F2 U'
U D L B2 F2 L U'
D U L' F2 B2 L U'
D U L' B2 L F2 U'
D U L' B2 F2 L U'
U D L' F2 B2 L U'
U D L' B2 L F2 U'
U D L' B2 F2 L U'
D U L2 F2 B2 L U'
D U L2 B2 L F2 U'
D U L2 B2 F2 L U'
U D L2 F2 B2 L U'
U' D R' U D L2 R2
U' D R' U D R2 L2
U D L2 B2 L F2 U'
U D L2 B2 F2 L U'
U' D R' U2 F2 B2 U'
U' D R' U2 B2 F2 U'
U' D R' D U L2 R2
U' D R' D U R2 L2
U' D R' D2 F2 B2 U
U' D R' D2 B2 F2 U
D' U R' F2 L' B2 U
D' U R' F2 B2 L' U
D' U R' B2 F2 L' U
F' U D F2 B2 L U'
F' U D B2 L F2 U'
F' U D B2 F2 L U'
F2 U D F2 B2 L U'
F2 U D B2 L F2 U'
F2 U D B2 F2 L U'
L D B2 L U' R' B2
R' D' L B2 U L B2
F U D F2 B2 L U'
F U D B2 L F2 U'
F U D B2 F2 L U'
R' D' L' B2 U L B2
D U F' B2 L F' U'
D U F2 L B2 L U'
D U F2 L' B2 L U'
D U F2 L2 B2 L U'
R D' L F2 L' D' R2
U D F' B2 L F' U'
R D' L F2 D' L' R2
R D' L F2 D' R2 L'
U D F2 L B2 L U'
U D F2 L' B2 L U'
U D F2 L2 B2 L U'
R' D' L2 B2 U L B2
D U F2 B2 L U' D
D U F2 B2 L U' D'
D U F2 B2 L U' D2
D U F2 B2 L D U'
D U F2 B2 L D' U'
D U F2 B2 L D2 U'
D U F2 B2 D L U'
D U F2 B2 D' L U'
D U F2 B2 D2 L U'
R D' L' F2 L' D' R2
U D F2 B2 L U' D
U D F2 B2 L U' D'
U D F2 B2 L U' D2
U D F2 B2 L D U'
U D F2 B2 L D' U'
U D F2 B2 L D2 U'
R D' L' F2 D' L' R2
R D' L' F2 D' R2 L'
U D F2 B2 D L U'
U D F2 B2 D' L U'
U D F2 B2 D2 L U'
L' D' R D' F2 L2 R
L' D' R D' F2 R L2
U' D B2 L F2 R U'
D2 U B2 L U' L R2
D2 U B2 L U' R2 L
R D' L2 F2 L' D' R2
R D' L2 F2 D' L' R2
R D' L2 F2 D' R2 L'
R2 D' R B2 U L B2
L D' R D' L2 F2 R
D U B2 L U' D R2
D U B2 L D U' R2
D U B2 L F2 U' D
D U B2 L F2 U' D'
D U B2 L F2 U' D2
D U B2 L F2 D U'
D U B2 L F2 D' U'
D U B2 L F2 D2 U'
D U B2 L' F2 L2 U'
R' D' R2 D' F2 L' R2
R' D' R2 D' F2 R2 L'
R2 D' R' D' F2 L' R2
R2 D' R' D' F2 R2 L'
U D B2 L U' D R2
U D B2 L D U' R2
U D B2 L F2 U' D
U D B2 L F2 U' D'
U D B2 L F2 U' D2
U D B2 L F2 D U'
U D B2 L F2 D' U'
U D B2 L F2 D2 U'
U D B2 L' F2 L2 U'
D U B2 D L U' R2
D U B2 F' L F' U'
D U B2 F2 L U' D
D U B2 F2 L U' D'
D U B2 F2 L U' D2
D U B2 F2 L D U'
D U B2 F2 L D' U'
D U B2 F2 L D2 U'
U D B2 D L U' R2
D U B2 F2 D L U'
D U B2 F2 D' L U'
D U B2 F2 D2 L U'
U D B2 F' L F' U'
U D B2 F2 L U' D
U D B2 F2 L U' D'
U D B2 F2 L U' D2
U D B2 F2 L D U'
U D B2 F2 L D' U'
U D B2 F2 L D2 U'
U D B2 F2 D L U'
U D B2 F2 D' L U'
U D B2 F2 D2 L U'
L2 D' U R' F2 L' U
R2 D' U R B2 L U
L' D' U' R' F2 U R
L' D' U' F2 R' U R2
U' D' R F2 R2 B2 U
D' U' R F2 R2 B2 U
U' D' R F2 B2 R2 U
D' U' R F2 B2 R2 U
D' U' R B2 R2 F2 U
U' D' R B2 R2 F2 U
D' U' R B2 F2 R2 U
U' D' R B2 F2 R2 U
U' D' R' U D' L2 R2
U' D' R' U D' R2 L2
D' U' R' U D' L2 R2
D' U' R' U D' R2 L2
D2 U' R' U L2 R' D
D2 U' R' U L2 R' D'
D2 U' R' U L2 R' D2
D2 U' R' U L2 D R'
D2 U' R' U L2 D' R'
D2 U' R' U L2 D2 R'
D2 U' R' U R' L2 D
D2 U' R' U R' L2 D'
D2 U' R' U R' L2 D2
R D' U' B2 U F2 L'
R' D' F B2 U L B2
U' D' R' D' U L2 R2
U' D' R' D' U R2 L2
D' U' R' D' U L2 R2
D' U' R' D' U R2 L2
D2 U' R' D F2 U R'
D2 U' R' F U L2 R'
D2 U' R' F U R' L2
U' D' R' F2 U D' R2
D' U' R' F2 U D' R2
U' D' R' F2 D' U R2
D' U' R' F2 D' U R2
U' D' R' F2 B2 U D
U' D' R' F2 B2 U D'
U' D' R' F2 B2 U D2
U' D' R' F2 B2 D U
U' D' R' F2 B2 D' U
U' D' R' F2 B2 D2 U
D' U' R' F2 B2 U D
D' U' R' F2 B2 U D'
D' U' R' F2 B2 U D2
D' U' R' F2 B2 D U
D' U' R' F2 B2 D' U
D' U' R' F2 B2 D2 U
D2 U' R' F' U L2 R'
D2 U' R' F' U R' L2
D2 U' R' F2 U L2 R'
D2 U' R' F2 U R' L2
U' D' R' B2 U D' L2
D' U' R' B2 U D' L2
U' D' R' B2 D' U L2
D' U' R' B2 D' U L2
U' D' R' B2 F2 U D
U' D' R' B2 F2 U D'
U' D' R' B2 F2 U D2
U' D' R' B2 F2 D U
U' D' R' B2 F2 D' U
U' D' R' B2 F2 D2 U
D' U' R' B2 F2 U D
D' U' R' B2 F2 U D'
D' U' R' B2 F2 U D2
D' U' R' B2 F2 D U
D' U' R' B2 F2 D' U
D' U' R' B2 F2 D2 U
D U' R' U D L2 R2
R' D' F' B2 U L B2
D U' R' U D R2 L2
D U' R' U2 F2 B2 U'
D U' R' U2 B2 F2 U'
D U' R' D U L2 R2
D U' R' D U R2 L2
D U' R' D2 F2 B2 U
D U' R' D2 B2 F2 U
D' U' R2 B2 R F2 U
U' D' R2 B2 R F2 U
D' U' F R' F B2 U
U' D' F R' F B2 U
U D' R' F2 L' B2 U
D' U' F R' B2 F U
U' D' F R' B2 F U
U D' R' F2 B2 L' U
D2 U' F R' U L2 R'
D2 U' F R' U R' L2
R' D' F2 B2 U L B2
U D' R' B2 F2 L' U
R D' F' D' F' L' R2
R D' F' D' F' R2 L'
F' U' R' U' L2 R' U2
F' U' R' U' R' L2 U2
F' U' R' D' B2 U L
F2 U' R' U' L2 R' U2
F2 U' R' U' R' L2 U2
R D' F2 L' R D' R2
R D' F2 L' R' D' R2
R D' F2 L' R2 D' R2
R D' F2 L' U' B2 U
R D' F2 L' D' R2 D
R D' F2 L' D' R2 D'
R D' F2 L' D' R2 D2
D2 U' F' R' U L2 R'
D2 U' F' R' U R' L2
R D' F2 L2 D' L R2
R D' F2 L2 D' R2 L
R D' F2 R L' D' R2
R D' F2 R D' L' R2
R D' F2 R D' R2 L'
R D' F2 R' L' D' R2
R D' F2 R' D' L' R2
R D' F2 R' D' R2 L'
F2 U' R' D' B2 U L
R D' F2 R2 L' D' R2
R D' F2 R2 D' L' R2
R D' F2 R2 D' R2 L'
R D' F2 U' B2 U L'
R D' F2 D' L' R2 D
R D' F2 D' L' R2 D'
R D' F2 D' L' R2 D2
R D' F2 D' R2 L' D
R D' F2 D' R2 L' D'
R D' F2 D' R2 L' D2
R D' F2 D' R2 D L'
R D' F2 D' R2 D' L'
R D' F2 D' R2 D2 L'
R D' F2 D2 L' D R2
U' D' F2 R B2 R2 U
D' U' F2 R B2 R2 U
U' D' F2 R' U D' R2
D' U' F2 R' U D' R2
D' U' F2 R' D' U R2
U' D' F2 R' D' U R2
D' U' F2 R' B2 U D
D' U' F2 R' B2 U D'
D' U' F2 R' B2 U D2
