F' L' R2 U' L U2
F' L' R2 B2 U R'
U L' F' R2 U B'
F' L' B2 R2 U R
F' R2 L' U' L U2
F' R2 L' B2 U R'
F' U L' R2 U L
F' U R2 L' U L
F2 U R2 F L' U
F2 U F L' R2 U
F2 U F R2 L' U
F U F2 L' R2 U
F U F2 R2 L' U
U F' L' R2 U B'
U F' R2 L' U B'
F' B U R2 L' U L
B' F U F2 R2 L' U
F2 B U R2 F L' U
F2 B U F L' R2 U
B2 F U F2 L' R2 U
F2 B U F R2 L' U
B2 F U F2 R2 L' U
B F U F2 L' R2 U
B F U F2 R2 L' U
F B U F2 L' R2 U
F B U F2 R2 L' U
B' F' L' R2 U' L U2
B' F' L' R2 B2 U R'
F' B' L' R2 U' L U2
F' B' L' R2 B2 U R'
B2 F' L' R2 U' L U2
B2 F' L' R2 B2 U R'
B' F' L' B2 R2 U R
F' B' L' B2 R2 U R
B2 F' L' B2 R2 U R
B F' L' R2 U' L U2
B F' L' R2 B2 U R'
B F' L' B2 R2 U R
B' F' R2 L' U' L U2
B' F' R2 L' B2 U R'
F' B' R2 L' U' L U2
F' B' R2 L' B2 U R'
B2 F' R2 L' U' L U2
B2 F' R2 L' B2 U R'
B' F' U L' R2 U L
B' F' U R2 L' U L
F' B' U L' R2 U L
B F' R2 L' U' L U2
B2 F' U L' R2 U L
B F' R2 L' B2 U R'
F' B' U R2 L' U L
B2 F' U R2 L' U L
F2 B' U R2 F L' U
F2 B' U F L' R2 U
F2 B' U F R2 L' U
B F' U L' R2 U L
B F' U R2 L' U L
F B' U F2 L' R2 U
F B' U F2 R2 L' U
F' B2 L' R2 U' L U2
F' B2 L' R2 B2 U R'
F' B2 L' B2 R2 U R
D B2 U L' F' U B'
F' B2 R2 L' U' L U2
F' B2 R2 L' B2 U R'
D B2 U F' L' U B'
B' F2 U R2 F L' U
B' F2 U F L' R2 U
D B2 U' R U' B L
F' B2 U L' R2 U L
B' F2 U F R2 L' U
F' B2 U R2 L' U L
B2 F2 U R2 F L' U
F2 B2 U R2 F L' U
B2 F2 U F L' R2 U
B2 F2 U F R2 L' U
F2 B2 U F L' R2 U
F2 B2 U F R2 L' U
R2 B2 U2 B' R' U' R
B F2 U R2 F L' U
B F2 U F L' R2 U
B F2 U F R2 L' U
F B2 U F2 L' R2 U
F B2 U F2 R2 L' U
L' B2 F' L' R2 U R
L' B2 F' R2 L' U R
D B2 F U F2 L' U
D B2 F' U L' U L
D B2 F2 U F L' U
