B' L R' B2 U' R
B' L R' B2 U' R
B' R' L B2 U' R
B' U L R' B2 U'
B' U R' L B2 U'
B U' L R' U L'
B U' R' L U L'
B U' L D' R' U L'
B U' L D2 R' U L'
B U' R' L U L' D
B U' R' L U L' D'
B U' R' L U L' D2
B U' R' L U D L'
B U' R' L U D' L'
B U' R' L U D2 L'
B U' R' L D U L'
B U' R' L D' U L'
B U' R' L D2 U L'
B U' R' D L U L'
B U' R' D' L U L'
B U' R' D2 L U L'
B U' R' F L U L'
B U' R' F' L U L'
B U' R' F2 L U L'
B U' D L R' U L'
B U' D R' L U L'
B U' D' L R' U L'
U D' B R U' F' B
U D' B R U' B F'
B U' D' R' L U L'
B U' D2 L R' U L'
B U' D2 R' L U L'
B U' F L R' U L'
B U' F R' L U L'
B U' F' L R' U L'
B U' F' R' L U L'
B U' F2 L R' U L'
B U' F2 R' L U L'
B U2 L R' U' L' U2
B U2 R' L U' L' U2
B' D L R' U' L R
B' D L R' U' R L
B' D L2 U L' R' U'
B' D L2 U R' L' U'
B' D R' L U' L R
B' D R' L U' R L
B' D U L R' U' L
B' D U R' L U' L
B D U' L R' U L'
B D U' R' L U L'
R2 F' B L R' U R'
R2 F' B R' L U R'
B D' U' L R' U L'
B D' U' R' L U L'
R' B L R' F' U R2
B D2 U' L R' U L'
B D2 U' R' L U L'
R2 B L F' R' U R'
R' B R' L F' U R2
R' B R' F' L U R2
U B R U' D' F2 B
U B R U' D' B F2
U B R U' B D' F2
U B R D' U' F2 B
U B R D' U' B F2
U B R D2 L2 U' B
U B R' U F' U2 F
L' B U' L R' U L'
B' F L R' B2 U' R
L' B U' R' L U L'
L2 B U' L R' U L'
L2 B U' R' L U L'
L B U' L R' U L'
U2 B U2 R' U R B
L B U' R' L U L'
U B U2 L' R' U B'
U B U2 R' L' U B'
B' F R' L B2 U' R
B' F U L R' B2 U'
B' F U R' L B2 U'
R2 B F' L R' U R'
R2 B F' R' L U R'
F' B U' L R' U L'
L' B' L R' B2 U' R
F' B U' R' L U L'
F2 B U' L R' U L'
F2 B U' R' L U L'
L2 B' L R' B2 U' R
B F U' L R' U L'
B F U' R' L U L'
F B U' L R' U L'
F B U' R' L U L'
U B' L R B2 U' B'
L B' L R' B2 U' R
R B' L R' B U' R'
U B' L B2 R U' B
L' B' R' L B2 U' R
L2 B' R' L B2 U' R
B' F' L R' B2 U' R
U B' R L B2 U' B'
F' B' L R' B2 U' R
F2 B' L R' B2 U' R
L' B' U L R' B2 U'
L B' R' L B2 U' R
L' B' U R' L B2 U'
R B' R' L B U' R'
L2 B' U L R' B2 U'
L2 B' U R' L B2 U'
F B' L R' B2 U' R
L B' U L R' B2 U'
L B' U R' L B2 U'
B' F' R' L B2 U' R
F' B' R' L B2 U' R
F2 B' R' L B2 U' R
B' F' U L R' B2 U'
F B' R' L B2 U' R
B' F' U R' L B2 U'
F' B' U L R' B2 U'
F' B' U R' L B2 U'
F2 B' U L R' B2 U'
F2 B' U R' L B2 U'
F B' U L R' B2 U'
F B' U R' L B2 U'
B F' U' L R' U L'
B F' U' R' L U L'
B' F2 L R' B2 U' R
B' F2 R' L B2 U' R
B' F2 U L R' B2 U'
B' F2 U R' L B2 U'
B F2 U' L R' U L'
B F2 U' R' L U L'
