L F U' L' B'
R' L F U' L' B'
R2 L F U' L' B'
L R F U' L' B'
R L F U' L' B'
D' L F B' R' U'
D' L B' R' F U'
D' L B' F R' U'
L R' F U' L' B'
L R2 F U' L' B'
L F R U' L' B'
L F R' U' L' B'
L F R2 U' L' B'
L F U' L' D B'
L F U' L' D' B'
L F U' L' D2 B'
L F U' L' B' D
L F U' L' B' D'
L F U' L' B' D2
L F U' D L' B'
L F U' D' L' B'
L F U' D2 L' B'
L F U' B L' B'
L F U' B' L' B'
L F U' B2 L' B'
L F D U' L' B'
L F D' U' L' B'
L F D2 U' L' B'
L F B' R' U' L'
L B' R' F U' L'
L B' F R' U' L'
L F R' U' L' B' D
L F R' U' L' B' D'
L F R' U' L' B' D2
L F R' U' D L' B'
L F R' U' D' L' B'
L F R' U' D2 L' B'
L F R' U' B L' B'
L F R' U' B' L' B'
L F R' U' B2 L' B'
L F R' D U' L' B'
L F R' D' U' L' B'
L F R' D2 U' L' B'
L F R' B' R' U' L'
L F R2 U' L' D B'
L F R2 U' L' D' B'
L F R2 U' L' D2 B'
L F R2 U' L' B' D
L F R2 U' L' B' D'
L F R2 U' L' B' D2
L F R2 U' D L' B'
L F R2 U' D' L' B'
L F R2 U' D2 L' B'
L F R2 U' B L' B'
L F R2 U' B' L' B'
L F R2 U' B2 L' B'
L F R2 D U' L' B'
L F R2 D' U' L' B'
L F R2 D2 U' L' B'
L F R2 B' R' U' L'
L F U R U2 L' B
L F U R U2 B L'
L F U F2 R U2 B
L F U' L B L2 B'
L F U' L B' L2 B'
L F U' L B2 L2 B'
L F U' L' R' B' R
L F U' L' R2 B' R2
L F U' L' D B' D
L F U' L' D B' D'
L F U' L' D B' D2
L F U' L' D' B' D
L F U' L' D' B' D'
L F U' L' D' B' D2
L F U' L' D2 B' D
L F U' L' D2 B' D'
L F U' L' D2 B' D2
L F U' L' B2 D B
L F U' L' B2 D' B
L F U' L' B2 D2 B
L F U' R' L' B' R
L F U' R2 L' B' R2
L F U' D L' D B'
L F U' D L' D' B'
L F U' D L' D2 B'
L F U' D L' B' D
L F U' D L' B' D'
L F U' D L' B' D2
L F U' D B L' B'
L F U' D B' L' B'
L F U' D B2 L' B'
L F U' D' L' D B'
L F U' D' L' D' B'
L F U' D' L' D2 B'
L F U' D' L' B' D
L F U' D' L' B' D'
L F U' D' L' B' D2
L F U' D' B L' B'
L F U' D' B' L' B'
L F U' D' B2 L' B'
L F U' D2 L' D B'
L F U' D2 L' D' B'
L F U' D2 L' D2 B'
L F U' D2 L' B' D
L F U' D2 L' B' D'
L F U' D2 L' B' D2
L F U' D2 B L' B'
L F U' D2 B' L' B'
L F U' D2 B2 L' B'
L F U' B L' D B'
L F U' B L' D' B'
L F U' B L' D2 B'
L F U' B L' B' D
L F U' B L' B' D'
L F U' B L' B' D2
L F U' B D L' B'
L F U' B D' L' B'
L F U' B D2 L' B'
L F U' B' L' D B'
L F U' B' L' D' B'
L F U' B' L' D2 B'
L F U' B' L' B' D
L F U' B' L' B' D'
L F U' B' L' B' D2
L F U' B' D L' B'
L F U' B' D' L' B'
L F U' B' D2 L' B'
L F U' B2 L' D B'
L F U' B2 L' D' B'
L F U' B2 L' D2 B'
L F U' B2 L' B' D
L F U' B2 L' B' D'
L F U' B2 L' B' D2
L F U' B2 D L' B'
L F U' B2 D' L' B'
L F U' B2 D2 L' B'
L F D R U' L' B'
L F D R' U' L' B'
L F D R2 U' L' B'
L F D U' L' D B'
L F D U' L' D' B'
L F D U' L' D2 B'
L F D U' L' B' D
L F D U' L' B' D'
L F D U' L' B' D2
L F D U' B L' B'
L F D U' B' L' B'
L F D U' B2 L' B'
L F D B' R' U' L'
L F D' R U' L' B'
L F D' R' U' L' B'
L F D' R2 U' L' B'
B' D R' B L F U'
L F D' U' L' D B'
L F D' U' L' D' B'
L F D' U' L' D2 B'
L F D' U' L' B' D
L F D' U' L' B' D'
L F D' U' L' B' D2
L F D' U' B L' B'
L F D' U' B' L' B'
L F D' U' B2 L' B'
L F D' B' R' U' L'
L F D2 R U' L' B'
L F D2 R' U' L' B'
L F D2 R2 U' L' B'
L F D2 U' L' D B'
L F D2 U' L' D' B'
L F D2 U' L' D2 B'
L F D2 U' L' B' D
L F D2 U' L' B' D'
L F D2 U' L' B' D2
L F D2 U' B L' B'
L F D2 U' B' L' B'
L F D2 U' B2 L' B'
L F D2 B' R' U' L'
L F B U' L' D' B2
L F B U2 L U L2
L F B' R' U' L' D
L F B' R' U' L' D'
L F B' R' U' L' D2
L F B' R' U' D L'
L F B' R' U' D' L'
L F B' R' U' D2 L'
L F B' R' D U' L'
L F B' R' D' U' L'
L F B' R' D2 U' L'
L F B' R' B U' L'
L F B' R' B' U' L'
L F B' R' B2 U' L'
D' F' L F B' R' U'
D' F' L B' R' F U'
L F B' D R' U' L'
D' F' L B' F R' U'
L F B' D' R' U' L'
L F B' D2 R' U' L'
D' F2 L F B' R' U'
D' F2 L B' R' F U'
D' F2 L B' F R' U'
L F2 D F' U' L' B'
L F2 D' F' U' L' B'
L F2 D2 F' U' L' B'
L B F U' L' D' B2
L B F U2 L U L2
L2 B' L' R' F U' L'
L2 B' L' F R' U' L'
D2 B' R' U' L F R
L2 B' R' L' F U' L'
L B' R F R2 U' L'
D B' R' B L F U'
L B' R' F U' L' D
L B' R' F U' L' D'
L B' R' F U' L' D2
L B' R' F U' D L'
L B' R' F U' D' L'
L B' R' F U' D2 L'
L B' R' F D U' L'
L B' R' F D' U' L'
L B' R' F D2 U' L'
L B' R' F B U' L'
L B' R' F B' U' L'
L B' R' F B2 U' L'
L B' R' B F U' L'
L B' R' B' F U' L'
L B' R' B2 F U' L'
L B' D R' F B U'
L B' D R' B F U'
L B' D F R' B U'
L B' F R' U' L' D
L B' F R' U' L' D'
L B' F R' U' L' D2
L B' F R' U' D L'
L B' F R' U' D' L'
L B' F R' U' D2 L'
L B' F R' D U' L'
L B' F R' D' U' L'
L B' F R' D2 U' L'
L B' F R' B U' L'
L B' F R' B' U' L'
L B' F R' B2 U' L'
L B' F D R' U' L'
L B' F D' R' U' L'
L B' F D2 R' U' L'
