U L' D' F L' B
U L' D' F B L'
U L' D' B F L'
U L' B D' F L'
L' U D' F L' B
L' U D' F B L'
L' U D' B F L'
L' U B D' F L'
L' D' U F L' B
L' D' U F B L'
L' D' U B F L'
U B L' D' F L'
F2 U L' D' F B L'
F2 U L' D' B F L'
F' U L' B D' F L'
F2 U L' B D' F L'
F U L' D' F L' B
F U L' D' F B L'
F U L' D' B F L'
F U L' B D' F L'
D' U F D L' F B
D' U F D L' B F
D' U F D B L' F
L2 D' L U F L' B
L2 D' L U F B L'
L2 D' L U B F L'
L D' L2 U F L' B
L D' L2 U F B L'
L D' L2 U B F L'
F' U B L' D' F L'
F2 U B L' D' F L'
F U B L' D' F L'
L' D' U F L B L2
L' D' U F L' D B
L' D' U F L' D' B
L' D' U F L' D2 B
L' D' U F L' B D
L' D' U F L' B D'
L' D' U F L' B D2
L' D' U F D L' B
L' D' U F D B L'
L' D' U F D' L' B
L' D' U F D' B L'
L' D' U F D2 L' B
L' D' U F D2 B L'
L' D' U F B L' D
L' D' U F B L' D'
L' D' U F B L' D2
L' D' U F B D L'
L' D' U F B D' L'
L' D' U F B D2 L'
L' D' U F B' L' B2
L' D' U B F L' D
L' D' U B F L' D'
L' D' U B F L' D2
L' D' U B F D L'
L' D' U B F D' L'
L' D' U B F D2 L'
L' D' U B' F L' B2
L D' U L2 F L' B
L D' U L2 F B L'
L D' U L2 B F L'
L' D' F' U F2 L' B
L' D' F' U F2 B L'
L' D' F' U B F2 L'
U D' F D L' F B
U D' F D L' B F
U D' F D B L' F
L D2 L2 U F B L
L D2 L2 U B F L
L' D2 U B D F L'
U F L' D' F L' B
U F L' D' F B L'
U F L' D' B F L'
U F L' B D' F L'
D' F U D L' F B
D' F U D L' B F
D' F U D B L' F
D' F D U L' F B
D' F D U L' B F
D' F D U B L' F
U F B L' D' F L'
R F' L' R' U F B
R F' L' R' U B F
U F' L' D' F L' B
U F' L' D' F B L'
U F' L' D' B F L'
U F' L' B D' F L'
R F' R' L' U F B
R F' R' L' U B F
U F' B L' D' F L'
U F2 L' D' F L' B
U F2 L' D' F B L'
U F2 L' D' B F L'
U F2 L' B D' F L'
D F2 U B' L F B2
D F2 U B' L B2 F
U F2 B L' D' F L'
U B L D' L2 F L'
U B L' D' F L' D
U B L' D' F L' D'
U B L' D' F L' D2
U B L' D' F D L'
U B L' D' F D' L'
U B L' D' F D2 L'
U B L2 D' L F L'
U B D' F D L' F
U B F L' D' F L'
U B F' L' D' F L'
U B F2 L' D' F L'
U B' L' B2 D' F L'
L' B2 D' R2 F B' L'
L' B2 D' R2 B' F L'
L' B2 D' F R2 B' L'
L' B2 D' F B' L' R2
L' B2 D' F B' R2 L'
L' B2 D' B' R2 F L'
L' B2 D' B' F L' R2
L' B2 D' B' F R2 L'
