U2 L U L2 F' B'
U2 L U L2 B' F'
U2 L2 U L F' B'
U2 L2 U L B' F'
U2 L2 U F' L B'
R U' B L' D F2
F' U F R U' L'
L' F' U F R U'
U' B L' D' F' B2
U' B L' D' B2 F'
U' B L' F' D' B2
U' B L' D' B2 D2 F'
U' B L' D' B2 F' D
U' B L' D' B2 F' D'
U' B L' D' B2 F' D2
U' B L' D2 F' D B2
U' B L' F' U' L2 U
U' B L' F' D' B2 D
U' B L' F' D' B2 D'
U' B L' F' D' B2 D2
U' B L' F' B D' B2
U' B L' F' B' D' B2
U' B L' F' B2 D' B2
U' B L' F2 D' F B2
U' B L' F2 D' B2 F
U' B L' B D' F' B2
U' B L' B D' B2 F'
U' B L' B F' D' B2
U' B L' B' D' F' B2
U' B L' B' D' B2 F'
U' B L' B' F' D' B2
U' B L' B2 D' F' B2
U' B L' B2 D' B2 F'
U' B L' B2 F' D' B2
U2 B L' D F' R B'
U2 B L' D F' B' R
U2 B L' D B' F' R
U' B L2 F' D' L B'
U2 B L' B' D F' R
U' B U' L U L2 F'
U' B U' L U F' L2
U' B D L' D' F' B2
U' B D L' D' B2 F'
U' B D L' F' D' B2
U' B D' L' D' F' B2
U' B D' L' D' B2 F'
U' B D' L' F' D' B2
U' B D2 L' D' F' B2
U' B D2 L' D' B2 F'
U' B D2 L' F' D' B2
L' B F' U F R U'
F' B U F R U' L'
U' B' L' F' U R' U'
U2 B' L' F' B' D' R2
U2 B' L' B' D' F' R2
U2 B' L' B' F' D' R2
U' B' R' U' L' R F'
U' B' R' U' R L' F'
R B' R' U' L' F' B2
R B' R' U' L' B2 F'
R B' R' U' B2 L' F'
R B' U' B2 D L' F
B' F' U F R U' L'
F' B' U F R U' L'
B2 F' U F R U' L'
B F' U F R U' L'
L' B' F' U F R U'
U' B2 L2 D L F' B'
U' B2 L2 D L B' F'
U' B2 L2 D F' L B'
U' B2 L2 F' D L B'
U2 B2 L' D' F' R2 B'
U2 B2 L' D' F' B' R2
U2 B2 L' D' B' F' R2
U2 B2 L' F' D' R2 B'
U2 B2 L' F' D' B' R2
R B2 R' U' B' L' F'
U' B2 D L F' B' L2
U' B2 D L B' L2 F'
U' B2 D L B' F' L2
U' B2 D L' F' D2 B2
F' B2 U F R U' L'
U2 B2 D' L' F' R2 B'
U2 B2 D' L' F' B' R2
U2 B2 D' L' B' F' R2
L' B2 F' U F R U'
