F2 L R U' L U'
L2 U L' F2 U2 L2
F2 R L U' L U'
L2 U F2 U2 L R
L2 U F2 U2 R L
F2 R D L U2 F2
F2 R D' L B2 U2
F2 R D' B2 U2 R'
L2 U' L D2 R2 B2
L2 U' L D2 B2 R2
D2 R2 U B2 L' R'
D2 R2 U B2 R' L'
F2 D L R U2 F2
F2 D L U2 F2 L'
F2 D R L U2 F2
F2 D' L R B2 U2
F2 D' L B2 R U2
F2 D' R L B2 U2
F2 D' R B2 U2 R'
F2 D' B2 R U2 R2
L F2 U' L U' L
D2 B2 L' D' R' F2
D2 B2 L' D' F2 R'
D2 B2 D' L' R' F2
D2 B2 D' L' F2 R'
D2 B2 D' R' L' F2
F2 D R L U2 F2 D'
F2 D R L U2 F2 D2
F2 D R L D2 B2 U2
F2 D R L B U2 F2
F2 D R L B' U2 F2
F2 D R L B2 U2 F2
F2 D R L2 U2 F2 R
F2 D R D2 L B2 U2
F2 D R D2 B2 U2 R'
F2 D R B2 U2 R' F2
F2 D R B2 U2 F2 R'
B2 D R2 U' L' R F2
B2 D R2 U' R L' F2
F2 D U2 L2 F2 L' R
F2 D U2 L2 F2 R L'
F2 D U2 F2 L' D2 R2
F2 D F2 L' D2 R2 B2
F2 D F2 L' D2 B2 R2
F2 D F2 D2 B2 L' R'
F2 D F2 D2 B2 R' L'
F2 D B2 R U2 R2 F2
F2 D B2 R U2 F2 R2
L2 F' U F' U2 L R
L2 F' U F' U2 R L
F2 D B2 U2 F2 L' R'
F2 D B2 U2 F2 R' L'
F2 D' L R U2 D2 F2
F2 D' L R D2 U2 F2
F2 D' L R B2 U2 D
F2 D' L R B2 U2 D'
F2 D' L R B2 U2 D2
F2 D' L R B2 D U2
F2 D' L R B2 D' U2
F2 D' L R B2 D2 U2
F2 D' L R' B2 R2 U2
F2 D' L R2 B2 U2 L
F2 D' L U2 D2 F2 L'
F2 D' L D2 R U2 F2
F2 D' L D2 U2 F2 L'
F2 D' L B' R B' U2
F2 D' L B2 R U2 D
F2 D' L B2 R U2 D'
F2 D' L B2 R U2 D2
F2 D' L B2 R D U2
F2 D' L B2 R D' U2
F2 D' L B2 R D2 U2
F2 D' L B2 D R U2
F2 D' L B2 D' R U2
F2 D' L B2 D2 R U2
F2 D' L' R B2 L2 U2
F2 D' L' B2 L2 R U2
F2 D' L' B2 R L2 U2
F2 D' L2 R B2 L' U2
F2 D' L2 B2 L' R U2
F2 D' L2 B2 R L' U2
F2 D' R L U2 D2 F2
F2 D' R L D2 U2 F2
F2 D' R L B2 U2 D
F2 D' R L B2 U2 D'
F2 D' R L B2 U2 D2
F2 D' R L B2 D U2
F2 D' R L B2 D' U2
F2 D' R L B2 D2 U2
F2 D' R L' B2 L2 U2
F2 D' R L2 B2 L' U2
F2 D' R D2 L U2 F2
F2 D' R B2 L U2 R'
F2 D' R B2 L' U2 R'
F2 D' R B2 L2 U2 R'
F2 D' R B2 U2 R' D
F2 D' R B2 U2 R' D'
F2 D' R B2 U2 R' D2
F2 D' R B2 U2 D R'
F2 D' R B2 U2 D' R'
F2 D' R B2 U2 D2 R'
F2 D' R B2 D U2 R'
F2 D' R B2 D' U2 R'
F2 D' R B2 D2 U2 R'
F2 D' R' L B2 R2 U2
F2 D' R' B2 R2 U2 R
F2 D' R2 L B2 U2 L
F2 D' R2 B2 U2 L R'
F2 D' R2 B2 U2 R' L
U' F2 L R U' L U'
R' F2 L R U' L U'
U2 F2 L R U' L U'
R2 F2 L R U' L U'
U F2 L R U' L U'
R F2 L R U' L U'
L' F2 L2 U R U L2
U' F2 R L U' L U'
R' F2 R L U' L U'
U' F2 R D L U2 F2
U' F2 R D' L B2 U2
U' F2 R D' B2 U2 R'
R' F2 R D L U2 F2
F D' F L R B2 U2
R' F2 R D' L B2 U2
F D' F L B2 R U2
R' F2 R D' B2 U2 R'
F D' F R L B2 U2
F D' F R B2 U2 R'
U2 F2 R L U' L U'
U2 F2 R D L U2 F2
R2 F2 R L U' L U'
U2 F2 R D' L B2 U2
U2 F2 R D' B2 U2 R'
F D' F B2 R U2 R2
R2 F2 R D L U2 F2
R2 F2 R D' L B2 U2
R2 F2 R D' B2 U2 R'
U F2 R L U' L U'
D2 F2 R2 U B2 L R'
D2 F2 R2 U B2 R' L
L F2 R U' L U' L
R F2 R L U' L U'
U F2 R D L U2 F2
U F2 R D' L B2 U2
U F2 R D' B2 U2 R'
R F2 R D L U2 F2
R F2 R D' L B2 U2
R F2 R D' B2 U2 R'
L F2 R' U' L U' L
F2 D' B' R B' U2 R'
F2 D' B2 L R U2 R2
F2 D' B2 L' R U2 R2
F2 D' B2 L2 R U2 R2
L F2 R2 U' L U' L
F2 D' B2 R L U2 R2
F2 D' B2 R L' U2 R2
F2 D' B2 R L2 U2 R2
F2 D' B2 R U2 R2 D
F2 D' B2 R U2 R2 D'
F2 D' B2 R U2 R2 D2
F2 D' B2 R D2 L2 U2
F2 D' B2 U2 R' D2 L2
F2 D' B2 D R U2 R2
F2 D' B2 D' R U2 R2
F2 D' B2 D2 R U2 R2
F2 D2 L R U R U
F2 D2 L U2 D' F2 L'
F2 D2 L D R B2 U2
F2 D2 L D B2 R U2
F2 D2 L D' R U2 F2
F2 D2 L D' U2 F2 L'
U' F2 D L R U2 F2
U' F2 D L U2 F2 L'
R' F2 D L R U2 F2
U' F2 D R L U2 F2
R' F2 D L U2 F2 L'
L F2 U' L U' L D
L F2 U' L U' L D'
L F2 U' L U' L D2
L F2 U' L U' D L
L F2 U' L U' D' L
L F2 U' L U' D2 L
L F2 U' L D U' L
L F2 U' L D' U' L
L F2 U' L D2 U' L
R' F2 D R L U2 F2
F D' B2 F R U2 R2
L F2 U' D' L B2 U'
U' F2 D' L R B2 U2
U' F2 D' L B2 R U2
U2 F2 D L R U2 F2
U2 F2 D L U2 F2 L'
R' F2 D' L R B2 U2
U' F2 D' R L B2 U2
R' F2 D' L B2 R U2
U' F2 D' R B2 U2 R'
U2 F2 D R L U2 F2
R' F2 D' R L B2 U2
L F2 U2 L' D L' F2
R' F2 D' R B2 U2 R'
L F2 U2 L2 U L' U'
R2 F2 D L R U2 F2
R2 F2 D L U2 F2 L'
R2 F2 D R L U2 F2
U' F2 D' B2 R U2 R2
U2 F2 D' L R B2 U2
U2 F2 D' L B2 R U2
R' F2 D' B2 R U2 R2
D F2 D R2 B2 L R'
D F2 D R2 B2 R' L
U2 F2 D' R L B2 U2
U F2 D L R U2 F2
U F2 D L U2 F2 L'
U2 F2 D' R B2 U2 R'
F2 D2 R L U R U
U F2 D R L U2 F2
R2 F2 D' L R B2 U2
R2 F2 D' L B2 R U2
D F2 D B2 R' D2 L2
R F2 D L R U2 F2
R2 F2 D' R L B2 U2
R F2 D L U2 F2 L'
R2 F2 D' R B2 U2 R'
R F2 D R L U2 F2
U2 F2 D' B2 R U2 R2
U F2 D' L R B2 U2
U F2 D' L B2 R U2
R2 F2 D' B2 R U2 R2
U F2 D' R L B2 U2
U F2 D' R B2 U2 R'
R F2 D' L R B2 U2
R F2 D' L B2 R U2
L F2 D' U' L B2 U'
R F2 D' R L B2 U2
R F2 D' R B2 U2 R'
B2 D2 R' B2 L' D F2
U F2 D' B2 R U2 R2
B2 D2 R2 U L' R B2
B2 D2 R2 U L' B2 R
B2 D2 R2 U R L' B2
B2 D2 R2 U R B2 L'
B2 D2 R2 U B2 L' R
B2 D2 R2 U B2 R L'
R F2 D' B2 R U2 R2
L F2 D2 R2 U' L U'
D2 F2 B2 D' F2 L' R'
D2 F2 B2 D' F2 R' L'
L F2 B2 U R' U L2
D2 B L' B D' R' F2
D2 B L' B D' F2 R'
D2 B' D' B' L' R' F2
D2 B' D' B' L' F2 R'
D2 B' D' B' R' L' F2
D2 B2 L' R' U' R' U
D2 B2 L' U' R2 U R
D2 B2 L' D R' D2 F2
D2 B2 L' D' R F2 R2
D2 B2 L' D' R' F2 D
D2 B2 L' D' R' F2 D'
D2 B2 L' D' R' F2 D2
D2 B2 L' D' F R' F
D2 B2 L' D' F2 R' D
D2 B2 L' D' F2 R' D'
D2 B2 L' D' F2 R' D2
D2 B2 L' D' F2 D R'
D2 B2 L' D' F2 D' R'
D2 B2 L' D' F2 D2 R'
D2 B2 L' D2 R' D F2
D2 B2 L' F D' R' F2
D2 B2 L' F D' F2 R'
D2 B2 L' F' D' R' F2
D2 B2 L' F' D' F2 R'
D2 B2 L' F2 D' R' F2
D2 B2 L' F2 D' F2 R'
D2 B2 L2 D' L R' F2
D2 B2 L2 D' L F2 R'
D2 B2 L2 D' R' L F2
D2 B2 L2 D' R' F2 L
D2 B2 L2 D' F2 L R'
D2 B2 L2 D' F2 R' L
D B2 L' F2 D R' B2
D2 B2 R' L' U' R' U
D2 B2 R' U' R' U L'
B2 F2 R U' L2 U' R2
D' B2 U L2 U L R'
D' B2 U L2 U R' L
B2 F2 R U2 R2 D F2
F2 B2 R U' L2 U' R2
F2 B2 R U2 R2 D F2
D B2 R2 U' L' R F2
D B2 R2 U' R L' F2
L2 B2 U L' R' F2 U2
L2 B2 U L' F2 R' U2
L2 B2 U R' L' F2 U2
L2 B2 U R' F2 U2 R
D2 B2 U' R2 U L' R
D2 B2 U' R2 U R L'
L2 B2 U F2 R' U2 R2
D' B2 U2 R' D' L' B2
D' B2 U2 R' D' B2 L'
D' B2 U2 D' L' R' B2
D' B2 U2 D' R' L' B2
D' B2 U2 D' R' B2 L'
D2 B2 D L' R' D2 F2
D2 B2 D L' D2 R' F2
D2 B2 D L' D2 F2 R'
D2 B2 D R' L' D2 F2
D2 B2 D R' D2 L' F2
D' B2 D F2 R U2 R2
D2 B2 D' L R' F2 L2
D2 B2 D' L F2 L2 R'
D2 B2 D' L F2 R' L2
D2 B2 D' L' R F2 R2
D2 B2 D' L' R' F2 D
D2 B2 D' L' R' F2 D'
D2 B2 D' L' R' F2 D2
D2 B2 D' L' F R' F
D2 B2 D' L' F2 R' D
D2 B2 D' L' F2 R' D'
D2 B2 D' L' F2 R' D2
D2 B2 D' L' F2 D R'
D2 B2 D' L' F2 D' R'
D2 B2 D' L' F2 D2 R'
D2 B2 D' L2 R' F2 L
D2 B2 D' L2 F2 L R'
D2 B2 D' L2 F2 R' L
D2 B2 D' R L' F2 R2
D2 B2 D' R' L F2 L2
D2 B2 D' R' L' F2 D
D2 B2 D' R' L' F2 D'
D2 B2 D' R' L' F2 D2
D2 B2 D' R' L2 F2 L
D' B2 D' U2 L' R' B2
D' B2 D' U2 R' L' B2
D' B2 D' U2 R' B2 L'
D2 B2 D' F2 R' D2 L2
D2 B2 D2 R' D L' F2
B2 F2 U2 D F2 L' R'
B2 F2 U2 D F2 R' L'
F2 B2 U2 D F2 L' R'
F2 B2 U2 D F2 R' L'
B2 F2 D R U2 R2 F2
B2 F2 D R U2 F2 R2
F2 B2 D R U2 R2 F2
F2 B2 D R U2 F2 R2
B2 F2 D U2 F2 L' R'
B2 F2 D U2 F2 R' L'
F2 B2 D U2 F2 L' R'
F2 B2 D U2 F2 R' L'
B2 F2 D' R B2 U2 R2
F2 B2 D' R B2 U2 R2
B2 F2 D' B2 L R U2
B2 F2 D' B2 R L U2
F2 B2 D' B2 L R U2
F2 B2 D' B2 R L U2
D2 B2 F2 D' F2 L' R'
D2 B2 F2 D' F2 R' L'
L B2 F2 U R' U L2
