L2 R' F' R U' L2
R' L2 F' R U' L2
R' U L2 F' R U'
R' U F' L2 R U'
R' U F' R L2 U'
R2 D R' F2 B R'
R2 D R' B R' F2
R2 D R' B F2 R'
R2 D F2 R' B R'
R2 D F2 B R' B
R2 D B R' F2 B
R2 D B R' B F2
R2 D B F2 R' B
R' F' L2 R U' L2
R' F' R L2 U' L2
R2 D R' B R' F2 D2
R2 D R' B F R' F
R2 D R' B F2 R' D
R2 D R' B F2 R' D'
R2 D R' B F2 R' D2
R2 D R' B F2 D R'
R2 D R' B F2 D' R'
R2 D R' B F2 D2 R'
R2 D R2 F2 R B R'
R2 D F R' F B R'
R2 D F R' B R' F
R2 D F R' B F R'
F' U L2 R F U' R
R2 D F B R' F B
R2 D F B R' B F
F' U R L2 F U' R
F' U R F L2 U' R
R2 D F2 R' B R' D
R2 D F2 R' B R' D'
R2 D F2 R' B R' D2
R2 D F2 R' B D R'
R2 D F2 R' B D' R'
R2 D F2 R' B D2 R'
R2 D F2 B R' D B
R2 D F2 B R' D' B
R2 D F2 B R' D2 B
R2 D F2 B R' B D
R2 D F2 B R' B D'
R2 D F2 B R' B D2
R2 D B R' F2 D B
R2 D B R' F2 D' B
R2 D B R' F2 D2 B
R2 D B R' F2 B D
R2 D B R' F2 B D'
R2 D B R' F2 B D2
R2 D B R' B F2 D
R2 D B R' B F2 D'
R2 D B R' B F2 D2
R2 D B F R' F B
R2 D B F R' B F
R2 D B F2 R' D B
R2 D B F2 R' D' B
R2 D B F2 R' D2 B
R2 D B F2 R' B D
R2 D B F2 R' B D'
R2 D B F2 R' B D2
L' D' L' U' L2 B' R'
L D' L U' B' L2 R'
L D' L U' B' R' L2
F U F L2 U' R B
U' D B' U R' F2 B
U' D B' U R' B F2
U' D B' U F2 R' B
D2 U' R2 B' L U R'
D2 U' B' L R2 U R
D2 U' B' R2 L U R
D U' B' U R' F2 B
D U' B' U R' B F2
D U' B' U F2 R' B
U' D2 R2 B' L U R'
U' D2 B' L R2 U R
U' D2 B' R2 L U R
U F L2 U2 L U R
D F R' F D B R2
D F R' F B D R2
D F R' B F D R2
R' F U F2 L2 R U'
R' F U F2 R L2 U'
L2 F U2 L' B' U L'
U' F' L2 R B' U' R'
R' F' L2 R U' L2 D
R' F' L2 R U' L2 D'
R' F' L2 R U' L2 D2
R' F' L2 R D' B2 U'
R' F' L2 R B U' L2
R' F' L2 R B' U' L2
R' F' L2 R B2 U' L2
R' F' L2 D' R B2 U'
R' F' L2 D' B2 R U'
U' F' L2 B' R U' R2
R' F' L2 B R U' L2
R' F' L2 B' R U' L2
R' F' L2 B2 R U' L2
U' F' R L2 B' U' R'
R' F' R L2 U' L2 D
R' F' R L2 U' L2 D'
R' F' R L2 U' L2 D2
R' F' R L2 D' B2 U'
R' F' R L2 B U' L2
R' F' R L2 B' U' L2
R' F' R L2 B2 U' L2
R2 F' L2 R F' U' L2
R' F' R B L2 U' L2
R' F' R B' L2 U' L2
U F' L2 R U L U2
R' F' R B2 L2 U' L2
L2 F' R U2 B U L2
R2 F' R L2 F' U' L2
R2 F' R F' L2 U' L2
U F' R L2 U L U2
U F' R U' D F2 R
U F' R D U' F2 R
L2 F' R' F' R2 U' L2
U F' R F2 L2 U' R
R2 F' U L2 R F' U'
R2 F' U R L2 F' U'
R2 F' U R F' L2 U'
U F' D R U' F2 R
R' F' B L2 R U' L2
R' F' B R L2 U' L2
R' F' B' L2 R U' L2
R' F' B' R L2 U' L2
R' F' B2 L2 R U' L2
R' F' B2 R L2 U' L2
D F2 R B' D' R2 B
D F2 R' U F' U' B
D F2 R' B U F' U'
D F2 R2 D R B R'
D F2 U' B' U R' B
R' B L2 F' R U' L2
L2 B R' F' R U' L2
R' B U L2 F' R U'
R' B U F' L2 R U'
R' B U F' R L2 U'
R2 B D R' F2 B R'
R2 B D R' B R' F2
R2 B D R' B F2 R'
R2 B D F2 R' B R'
R2 B D F2 B R' B
R2 B D B R' F2 B
R2 B D B R' B F2
R2 B D B F2 R' B
R' B F' L2 R U' L2
R' B F' R L2 U' L2
R' B' L2 F' R U' L2
L2 B' R' F' R U' L2
U' B' U D R' F2 B
U' B' U D R' B F2
R' B' U L2 F' R U'
U' B' U D F2 R' B
R' B' U F' L2 R U'
R' B' U F' R L2 U'
U' B' D U R' F2 B
U' B' D U R' B F2
U' B' D U F2 R' B
R2 B' D R' F2 B R'
R2 B' D R' B R' F2
R2 B' D R' B F2 R'
R2 B' D F2 R' B R'
R2 B' D F2 B R' B
R2 B' D B R' F2 B
R2 B' D B R' B F2
R2 B' D B F2 R' B
R' B' F' L2 R U' L2
R' B' F' R L2 U' L2
R' B2 L2 F' R U' L2
L2 B2 R' F' R U' L2
R' B2 U L2 F' R U'
R' B2 U F' L2 R U'
R' B2 U F' R L2 U'
R2 B2 D R' F2 B R'
R2 B2 D R' B R' F2
R2 B2 D R' B F2 R'
R2 B2 D F2 R' B R'
R2 B2 D F2 B R' B
R2 B2 D B R' F2 B
R2 B2 D B R' B F2
R2 B2 D B F2 R' B
R' B2 F' L2 R U' L2
R' B2 F' R L2 U' L2
