F L' B2 U L2 U
F L' B2 U2 D' B2
F L' B2 D F2 U2
F L' B2 D' U2 B2
D' U L R2 B' U
D' U L R2 B' U
D' U L B' R2 U
D' U R2 L B' U
D' U R2 L B' U
U D' L R2 B' U
U D' L B' R2 U
U D' R2 L B' U
B2 U' R' F' U' R
B2 U' F' R' U' R2
B2 F L' U' R' U'
B2 F' U' R' U' R2
B2 F' U2 R D B2
F B2 L' U' R' U'
F' B2 U' R' U' R2
F' B2 U2 R D B2
F2 B2 U' R' F' U'
B2 F2 U' R' F' U'
R2 D' F2 R2 L B' U
B2 U' R' U' F' R F
B2 U' R' F U L' U2
B2 U' R' F' U' R D
B2 U' R' F' U' R D'
B2 U' R' F' U' R D2
B2 U' R' F' U' D R
B2 U' R' F' U' D' R
B2 U' R' F' U' D2 R
B2 U' R' F' D U' R
B2 U' R' F' D' U' R
B2 U' R' F' D2 U' R
B2 U' R2 D R F' U'
B2 U' R2 F' U' R B
B2 U' D R F' R2 U'
B2 U' D R' U2 B U
B2 U' F R' U L' U2
B2 U' F R' F2 U' R
D' U2 L R2 B' U L'
B2 U' F' R' U' R2 D
B2 U' F' R' U' R2 D'
B2 U' F' R' U' R2 D2
B2 U' F' R' D' F2 U'
B2 U' F' R' F U' R2
B2 U' F' R' F' U' R2
B2 U' F' R' F2 U' R2
D' U2 L B' R2 U L'
B2 U' F' U' R D B2
B2 U' F' D R' U' R2
B2 U' F' D' R' U' R2
B2 U' F' D2 R' U' R2
B2 U' F2 R' F U' R
U D2 L B U R' F2
U D2 L B U F2 R'
D' U2 R2 L B' U L'
D2 U2 F2 B D' R' B
U2 D2 F2 B D' R' B
D2 U2 B F2 D' R' B
U2 D2 B F2 D' R' B
L' F L' B2 U L' U
B2 U2 F' R D F B2
B2 U2 F' R D B2 F
B2 U2 F' R F D B2
L F L' B2 U' R' U'
D' F U L R2 B' U
D' F U L B' R2 U
D' F U R2 L B' U
L' F B2 L' U L' U
L' F B2 D L' F2 U2
L' F B2 D F2 U2 R
L' F B2 D' L' U2 B2
B2 D U' R F' R2 U'
B2 D U' R' U2 B U
L F B2 L' U L U
D' F' U L R2 B' U
D' F' U L B' R2 U
D' F' U R2 L B' U
B2 D' L' U' R' F U'
B2 D' L' U' F R' U'
F D' L' U L2 R2 U
F D' L' U R2 L2 U
F D' L' U2 D' F2 B2
F D' L' U2 D' B2 F2
F D' L' D F2 B2 U2
F D' L' D B2 F2 U2
F D' L' D' U2 F2 B2
F D' L' D' U2 B2 F2
F' D' U L R2 U R'
F' D' U R2 L U R'
L' F' B2 U L2 U R
L' F' B2 U2 R D' B2
L' F' B2 U2 D' R B2
L' F' B2 U2 D' B2 R
L' F' B2 D F2 L' U2
L' F' B2 D' U2 R B2
L' F' B2 D' U2 B2 R
B2 D' U B2 L B' U
D' F2 U L R2 B' U
D' F2 U L B' R2 U
D' F2 U R2 L B' U
F D2 L' U L2 U F2
F D2 L' U2 F2 D' B2
F' D2 U L U R F2
B' D2 B' L U' R' U'
B D2 B U2 D R' B
B D2 B D U2 R' B
D2 B U2 F2 D' R' B
B2 F L' U' R' U' D
B2 F L' U' R' U' D'
B2 F L' U' R' U' D2
B2 F L' U' R' D U'
B2 F L' U' R' D' U'
B2 F L' U' R' D2 U'
B2 F L' U' D R' U'
B2 F L' U' D' R' U'
B2 F L' U' D2 R' U'
B2 F L' D U' R' U'
B2 F L' D' U' R' U'
B2 F L' D2 U' R' U'
B2 F L' F U' R' U'
B2 F L' F' U' R' U'
B2 F L' F2 U' R' U'
B F L' B U' R' U'
F B L' B U' R' U'
B2 F U' R' U L' U2
B2 F U' R' F2 U' R
B2 F U' F2 R' U' R2
B2 F D L' U' R' U'
B F D L' F B U2
B2 F D' L' U' R' U'
B F D L' B F U2
F B D L' F B U2
F B D L' B F U2
B F D B L' F U2
B2 F D2 L' U' R' U'
F B D B L' F U2
B2 F' L U' R' U' R2
B2 F' L U2 R D B2
B2 F' L' U' R' U' R2
B2 F' L' U2 R D B2
B2 F' L2 U' R' U' R2
B2 F' L2 U2 R D B2
B2 F' U B U R B
B2 F' U B2 L U R
B2 F' U' R' U' R2 D
B2 F' U' R' U' R2 D'
B2 F' U' R' U' R2 D2
B2 F' U' R' D' F2 U'
B2 F' U' R' F U' R2
B2 F' U' R' F' U' R2
B2 F' U' R' F2 U' R2
B2 F' U' D R' U' R2
B2 F' U' D' R' U' R2
B2 F' U' D2 R' U' R2
B2 F' U2 R U R2 U'
B2 F' U2 R D B2 D
B2 F' U2 R D B2 D'
B2 F' U2 R D B2 D2
B2 F' U2 R B D B2
B2 F' U2 R B' D B2
B2 F' U2 R B2 D B2
B2 F' U2 D R D B2
B2 F' U2 D' R D B2
B2 F' U2 D2 R D B2
B2 F' D U' R' U' R2
B2 F' D U2 R D B2
B2 F' D' U' R' U' R2
B2 F' D' U2 R D B2
B2 F' D2 U' R' U' R2
B2 F' D2 U2 R D B2
F' B2 L U' R' U' R2
F' B2 L U2 R D B2
B2 F2 L U' R' F' U'
F2 B2 L U' R' F' U'
F' B2 L' U' R' U' R2
F' B2 L' U2 R D B2
B2 F2 L' U' R' F' U'
F2 B2 L' U' R' F' U'
F' B2 L2 U' R' U' R2
F' B2 L2 U2 R D B2
B2 F2 L2 U' R' F' U'
F2 B2 L2 U' R' F' U'
F B2 L' U' R' U' D
F B2 L' U' R' U' D'
F B2 L' U' R' U' D2
F B2 L' U' R' D U'
F B2 L' U' R' D' U'
F B2 L' U' R' D2 U'
F B2 L' U' D R' U'
F B2 L' U' D' R' U'
F B2 L' U' D2 R' U'
F B2 L' D U' R' U'
F B2 L' D' U' R' U'
F B2 L' D2 U' R' U'
F B2 L' F U' R' U'
F B2 L' F' U' R' U'
F B2 L' F2 U' R' U'
F' B2 U B U R B
F' B2 U B2 L U R
F' B2 U' R' U' R2 D
F' B2 U' R' U' R2 D'
F' B2 U' R' U' R2 D2
F' B2 U' R' D' F2 U'
F' B2 U' R' F U' R2
F' B2 U' R' F' U' R2
F' B2 U' R' F2 U' R2
F' B2 U' D R' U' R2
F' B2 U' D' R' U' R2
B2 F2 U' R' D F' U'
B2 F2 U' R' D' F' U'
B2 F2 U' R' D2 F' U'
B2 F2 U' R' F' U' D
B2 F2 U' R' F' U' D'
B2 F2 U' R' F' U' D2
B2 F2 U' R' F' D U'
B2 F2 U' R' F' D' U'
B2 F2 U' R' F' D2 U'
F' B2 U' D2 R' U' R2
B2 F2 U' D R' F' U'
F2 B2 U' R' D F' U'
F2 B2 U' R' D' F' U'
F2 B2 U' R' D2 F' U'
F2 B2 U' R' F' U' D
F2 B2 U' R' F' U' D'
F2 B2 U' R' F' U' D2
F2 B2 U' R' F' D U'
F2 B2 U' R' F' D' U'
F2 B2 U' R' F' D2 U'
B2 F2 U' D' R' F' U'
B2 F2 U' D2 R' F' U'
F2 B2 U' D R' F' U'
B2 F2 U' F R' F' U'
F2 B2 U' D' R' F' U'
B2 F2 U' F' R' F' U'
F2 B2 U' D2 R' F' U'
B2 F2 U' F2 R' F' U'
F2 B2 U' F R' F' U'
F2 B2 U' F' R' F' U'
F2 B2 U' F2 R' F' U'
F' B2 U2 R U R2 U'
F' B2 U2 R D B2 D
F' B2 U2 R D B2 D'
F' B2 U2 R D B2 D2
F' B2 U2 R B D B2
F' B2 U2 R B' D B2
F' B2 U2 R B2 D B2
F' B2 U2 D R D B2
F' B2 U2 D' R D B2
F' B2 U2 D2 R D B2
B2 F2 U2 B' D' R' B
F B2 U' R' U L' U2
F B2 U' R' F2 U' R
F2 B2 U2 B' D' R' B
L' B2 F L' U L' U
F' B2 D U' R' U' R2
F' B2 D U2 R D B2
F B2 U' F2 R' U' R2
B2 F2 D U' R' F' U'
F2 B2 D U' R' F' U'
L' B2 F D L' F2 U2
L' B2 F D F2 U2 R
L' B2 F D' L' U2 B2
F' B2 D' U' R' U' R2
F' B2 D' U2 R D B2
L' B2 F' U L2 U R
B2 F2 D' U' R' F' U'
L' B2 F' U2 R D' B2
L' B2 F' U2 D' R B2
L' B2 F' U2 D' B2 R
F2 B2 D' U' R' F' U'
L' B2 F' D F2 L' U2
L' B2 F' D' U2 R B2
L' B2 F' D' U2 B2 R
F B2 D L' U' R' U'
F' B2 D2 U' R' U' R2
F' B2 D2 U2 R D B2
L B2 F L' U L U
B2 F2 D2 U' R' F' U'
F2 B2 D2 U' R' F' U'
F B2 D' L' U' R' U'
F B2 D2 L' U' R' U'
