R' L' D F' B2 U'
L' R' D F' B2 U'
L' R' D B2 F' U'
R' L' D B2 F' U'
L' R' D2 F' U' L2
R' L' D2 F' U' L2
L' R' F' U R2 U2
L' R' F' U' D2 L2
R' L' F' U R2 U2
L' R' F' D B2 U'
R' L' F' U' D2 L2
L' R' F' D2 U' L2
R' L' F' D B2 U'
R' L' F' D2 U' L2
R U' L' R2 F' U'
R U' R2 L' F' U'
R' D L' F' B2 U'
R' D L' B2 F' U'
R' D B2 L' F' U'
L' F' R' F' U' L'
L' R' F' B D2 U' L2
R' L' F' B' D2 U' L2
L' R' F' B' U R2 U2
R' L' F' B2 U R2 U2
L' R' F' B' U' D2 L2
R' L' F' B2 U' D2 L2
L' R' F' B' D B2 U'
R' L' F' B2 D B2 U'
R' L' F' B2 D2 U' L2
L' R' F' B' D2 U' L2
L R' F' D B2 U' F2
L' R' F' B2 U R2 U2
L' R' F' B2 U' D2 L2
L' R' F' B2 D B2 U'
L' R' F' B2 D2 U' L2
L2 R' F' D2 L U' L
R' L' F2 D F B2 U'
R' L' F2 D B2 F U'
L' R' F2 D F B2 U'
L' R' F2 D B2 F U'
R' L' F2 D2 F U' L2
L' R' F2 D2 F U' L2
R' L' B D F' B2 U'
R' L' B D B2 F' U'
L' R' B D F' B2 U'
L' R' B D B2 F' U'
R' L' B D2 F' U' L2
L' R' B D2 F' U' L2
R' L' B F' U R2 U2
R' L' B F' U' D2 L2
R' L' B F' D B2 U'
R' L' B F' D2 U' L2
L' R' B F' U R2 U2
L' R' B F' U' D2 L2
L' R' B F' D B2 U'
L' R' B F' D2 U' L2
R' L' B' D F' B2 U'
R' L' B' D B2 F' U'
L' R' B' D F' B2 U'
L' R' B' D B2 F' U'
R' L' B' D2 F' U' L2
L' R' B' D2 F' U' L2
R' L' B' F' U R2 U2
R' L' B' F' U' D2 L2
R' L' B' F' D B2 U'
R' L' B' F' D2 U' L2
L' R' B' F' U R2 U2
L' R' B' F' U' D2 L2
L' R' B' F' D B2 U'
L' R' B' F' D2 U' L2
R2 L' B2 R F' U' L
R' L' B2 D F' B2 U'
L' R' B2 D F' B2 U'
R' L' B2 D B2 F' U'
L' R' B2 D B2 F' U'
R' L' B2 D2 F' U' L2
L' R' B2 D2 F' U' L2
R' L' B2 F' U R2 U2
R' L' B2 F' U' D2 L2
R' L' B2 F' D B2 U'
L' R' B2 F' U R2 U2
R' L' B2 F' D2 U' L2
L' R' B2 F' U' D2 L2
L' R' B2 F' D B2 U'
L' R' B2 F' D2 U' L2
D2 L' F' R' F' U' L'
D' L' F' R' F' U' L'
D L' F' R' F' U' L'
R L2 U' L R2 F' U'
R L2 U' R2 L F' U'
R L2 U' R2 F' L U'
B L' F2 U' L' B' R'
R' L2 D L F' B2 U'
R' L2 D L B2 F' U'
R' L2 D F' L B2 U'
R' L2 D2 L F' U' L
R' L2 D2 F' L U' L
R' L2 F' L U R2 U2
R' L2 F' L U' D2 L2
R' L2 F' L D B2 U'
R' L2 F' L D2 U' L2
R' L2 F' D L B2 U'
R' L2 F' D2 L U' L
L' R2 B2 R F' U' L
D2 R U' L' R2 F' U'
D' R U' L' R2 F' U'
D2 R U' R2 L' F' U'
D' R U' R2 L' F' U'
D R U' L' R2 F' U'
D R U' R2 L' F' U'
R U B U2 L' R2 U'
R U B U2 R2 L' U'
R U B U2 R2 L' U'
F2 R D B U L' B
F2 R D B U B L'
R U' L R2 F' L2 U'
F2 R D2 B L2 U L
R U' L' R2 D F' U'
R U' L' R2 D' F' U'
R U' L' R2 D2 F' U'
R U' L' R2 F' U' D
R U' L' R2 F' U' D'
R U' L' R2 F' U' D2
R U' L' R2 F' D U'
R U' L' R2 F' D' U'
R U' L' R2 F' D2 U'
R U' L' F R2 F' U'
R U' L' F' R2 F' U'
R U' L' F2 R2 F' U'
R U' L2 R2 F' L U'
F2 R B U L' D B2
F2 R B U D L' B2
F2 R B U D B2 L'
F2 R B U2 R2 U' L'
F2 R B D U L' B2
F2 R B D U B2 L'
F2 R B D2 L2 U L
R U' R2 L F' L2 U'
R U' R2 L' D F' U'
R U' R2 L' D' F' U'
R U' R2 L' D2 F' U'
R U' R2 L' F' U' D
R U' R2 L' F' U' D'
R U' R2 L' F' U' D2
R U' R2 L' F' D U'
R U' R2 L' F' D' U'
R U' R2 L' F' D2 U'
R U' R2 L2 F' L U'
R U' R2 D L' F' U'
R U' R2 D' L' F' U'
R U' R2 D2 L' F' U'
D2 R' L' D F' B2 U'
D2 R' L' D B2 F' U'
D' R' L' D F' B2 U'
D' R' L' D B2 F' U'
D2 R' L' D2 F' U' L2
D' R' L' D2 F' U' L2
D2 R' L' F' U R2 U2
D2 R' L' F' U' D2 L2
D2 R' L' F' D B2 U'
D2 R' L' F' D2 U' L2
D' R' L' F' U R2 U2
D' R' L' F' U' D2 L2
D' R' L' F' D B2 U'
D' R' L' F' D2 U' L2
D R' L' D F' B2 U'
D R' L' D B2 F' U'
D R' L' D2 F' U' L2
D R' L' F' U R2 U2
D R' L' F' U' D2 L2
D R' L' F' D B2 U'
D R' L' F' D2 U' L2
R U' F R2 F' L' U'
F2 R' U2 R2 B U L'
D2 R' D L' F' B2 U'
D' R' D L' F' B2 U'
D2 R' D L' B2 F' U'
D' R' D L' B2 F' U'
D R' D L' F' B2 U'
D R' D L' B2 F' U'
D2 R' D B2 L' F' U'
D' R' D B2 L' F' U'
D R' D B2 L' F' U'
F' R' D' F' U' L' F
F2 R' D2 L2 F' U' L
F' R' F L' F2 U' L'
R U2 L' R2 F' U' L
F' R' F' U2 R U L'
F R' F' L' U R U2
R U2 R2 L' F' U' L
R' D L F' L2 B2 U'
R' D L F' B2 L2 U'
R' D L B2 L2 F' U'
R' D L B2 F' L2 U'
R' D L' D F' U' L2
R' D L' F' U' D L2
R' D L' F' D U' L2
R' D L' F' B2 U' D
R' D L' F' B2 U' D'
R' D L' F' B2 U' D2
R' D L' F' B2 D U'
R' D L' F' B2 D' U'
R' D L' F' B2 D2 U'
R' D L' B2 D F' U'
R' D L' B2 D' F' U'
R' D L' B2 D2 F' U'
R' D L' B2 F' U' D
R' D L' B2 F' U' D'
R' D L' B2 F' U' D2
R' D L' B2 F' D U'
R' D L' B2 F' D' U'
R' D L' B2 F' D2 U'
R' D L2 F' L B2 U'
L' D R' D F' B2 U'
L' D R' D B2 F' U'
L' D R' D2 F' U' L2
L' D R' F' U R2 U2
L' D R' F' U' D2 L2
L' D R' F' D B2 U'
L' D R' F' D2 U' L2
L' D F' R' F' U' L'
R' D B L' F' B U'
R' D B L' B F' U'
R' D B2 L F' L2 U'
R' D B2 L' D F' U'
R' D B2 L' D' F' U'
R' D B2 L' D2 F' U'
R' D B2 L' F' U' D
R' D B2 L' F' U' D'
R' D B2 L' F' U' D2
R' D B2 L' F' D U'
R' D B2 L' F' D' U'
R' D B2 L' F' D2 U'
R' D B2 L2 F' L U'
R' D B2 D L' F' U'
R' D B2 D' L' F' U'
R' D B2 D2 L' F' U'
R' D' L' D' F' U' L2
R' D' L' D2 F' B2 U'
R' D' L' D2 B2 F' U'
R' D' L' F' U2 F' U
L' D' R' D F' B2 U'
L' D' R' D B2 F' U'
L' D' R' D2 F' U' L2
L' D' R' F' U R2 U2
L' D' R' F' U' D2 L2
L' D' R' F' D B2 U'
L' D' R' F' D2 U' L2
L' D' F' R' F' U' L'
R' D' F' U2 F' R U
R D' F2 U B R U
R' D2 L F' L2 U' L'
R' D2 L2 F' L U' L'
L' D2 R' D F' B2 U'
L' D2 R' D B2 F' U'
L' D2 R' D2 F' U' L2
L' D2 R' F' U R2 U2
L' D2 R' F' U' D2 L2
L' D2 R' F' D B2 U'
L' D2 R' F' D2 U' L2
L' D2 F' R' F' U' L'
L' F R' F' U R U2
L' F D R' F' B U'
L' F D R' B F' U'
F D R' F' L' B U'
F D R' F' B L' U'
F D R' B F' L' U'
L2 F' L R' F' U' L'
L F' L2 R' F' U' L'
L' F' R' D F' U' L'
L' F' R' D' F' U' L'
L' F' R' D2 F' U' L'
L2 F' R' L F' U' L'
L' F' R' F' U' L' D
L' F' R' F' U' L' D'
L' F' R' F' U' L' D2
L' F' R' F' U' D L'
L' F' R' F' U' D' L'
L' F' R' F' U' D2 L'
L' F' R' F' D U' L'
L' F' R' F' D' U' L'
L' F' R' F' D2 U' L'
L' F' R' F' B U' L'
L' F' R' F' B' U' L'
L' F' R' F' B2 U' L'
L' F' R' B F' U' L'
L' F' R' B' F' U' L'
L' F' R' B2 F' U' L'
L2 F' R' F' L U' L2
L F' R' L2 F' U' L'
L F' R' F' L2 U' L
L' F' D R' F' U' L'
L' F' D' R' F' U' L'
L' F' D2 R' F' U' L'
R' F' D2 B' L U' L
F' D' R' F' U' L' F
L2 F2 L R' F' U' L2
L F2 L2 R' F' U' L
L2 F2 R' L F' U' L2
L F2 R' L2 F' U' L
L' F2 B U' L' B' R'
R' B L' D F' B2 U'
R' B L' D B2 F' U'
R' B L' D2 F' U' L2
R' B L' F' U R2 U2
R' B L' F' U' D2 L2
R' B L' F' D B2 U'
R' B L' F' D2 U' L2
R' B D L' F' B2 U'
R' B D L' B2 F' U'
R' B D B2 L' F' U'
R B U2 L' R2 U' L
R B U2 R2 L' U' L
F2 B R B L U L2
L' B F2 U' L' B' R'
R' B' L' D F' B2 U'
R' B' L' D B2 F' U'
R' B' L' D2 F' U' L2
R' B' L' F' U R2 U2
R' B' L' F' U' D2 L2
R' B' L' F' D B2 U'
R' B' L' F' D2 U' L2
R' B' D L' F' B2 U'
R' B' D L' B2 F' U'
R' B' D B2 L' F' U'
R' B2 L' D F' B2 U'
R' B2 L' D B2 F' U'
R' B2 L' D2 F' U' L2
R' B2 L' F' U R2 U2
R' B2 L' F' U' D2 L2
R' B2 L' F' D B2 U'
R' B2 L' F' D2 U' L2
R2 B2 L' R F' U' L2
B2 F2 L R B U L2
F2 B2 L R B U L2
R2 B2 R L' F' U' L2
B2 F2 R L B U L2
F2 B2 R L B U L2
B F2 R B L U L2
R' B2 D L' F' B2 U'
R' B2 D L' B2 F' U'
R' B2 D B2 L' F' U'
