L2 R U F L' B
L2 R U F B L'
L2 R U B F L'
R L2 U F L' B
R L2 U F B L'
R L2 U B F L'
R U L2 F L' B
R U L2 F B L'
R U L2 B F L'
R' U' F' R B' U2
R' U' F' B' R U2
R' U' B' F' R U2
R2 U' B' F' R F' U2
R U' B' F U2 L' B2
R U' B' F U2 B2 L'
R U' B' F' R U2 B2
L' U2 L' U' F B' L'
L' U2 L' U' B' F L'
B' R' F' R U B U
R U2 L2 U' F L' B
R U2 L2 U' F B L'
R U2 L2 U' B F L'
F' R2 U' R' B' U2 B2
D R2 U' B' R' U2 B
L2 D R F' U F2 B
L2 D R F' U B F2
L' D F' R F' U B
R2 D' L' F L' U F
U' D B' U' R' B U'
R D' L2 U F B L
R D' L2 U B F L
F' U' R B' U' R' U'
D2 U' B' U' R' U' L
D U' B' U' R' B U'
F' U' B' R U' R2 U'
F' U' B' R U2 D B2
F' U' B' R D U2 B2
F' U' B' R D' F2 U2
R2 D2 U L B' L F
R' D2 U' F' B' U2 L
R' D2 U' B' F' U2 L
F U' B' U' R' U' L'
R2 D2 U' B' U2 L B'
R D2 U' B' U2 L B2
F U2 L2 U' F L B'
U' D2 B' U' R' U' L
L' F R U L' F B
L' F R U L' B F
L' F R U B L' F
R F L2 U F L B
U F L2 F D' L B'
R' F U' F2 R B' U2
R' F U' F2 B' R U2
R' F U' B' F2 R U2
R F U L2 F L B
R F U B L' D2 F2
R F U B D2 L' F2
R F U' B' U2 L' B2
R F U' B' U2 B2 L'
R' F D' L2 U F L
U' F B' U' R' U' L'
U' F' R B' U' R' U'
R' F' R B' U B U
R2 F' U' R F' B' U2
R2 F' U' R B' F' U2
R2 F' U' B' R F' U2
R F' U B D2 F2 L'
R F' U' B' R U2 B2
U' F' B' R U' R2 U'
U' F' B' R U2 D B2
U' F' B' R D U2 B2
U' F' B' R D' F2 U2
B' F U B U L' B'
B' F U2 L' B' D' R2
U' B' U' D R' B U'
B' F' R U2 D B R'
B' F' R D U2 B R'
F' B' R U2 D B R'
F' B' R D U2 B R'
U' B' D U' R' B U'
U' B' F U' R' U' L'
U' B' F' R U' R2 U'
U' B' F' R U2 D B2
U' B' F' R D U2 B2
U' B' F' R D' F2 U2
F B' U B U L' B'
F B' U2 L' B' D' R2
