B2 L' R' U' F
B2 L' R' U' F
B2 R' L' U' F
B2 L R' U B' U2
U2 L U D L2 F
U2 L D U L2 F
B2 L' R' U' D F
B2 L' R' U' D' F
B2 L' R' U' D' F
B2 L' R' U' D2 F
B2 L' R' U' F D
B2 L' R' U' F D'
B2 L' R' U' F D2
B2 L' R' D U' F
B2 L' R' D' U' F
B2 L' R' D2 U' F
B2 L' D R' U' F
U' L' D F L2 B'
B2 L' D' R' U' F
B2 L' D2 R' U' F
B L' B R' U' F
L' U' D F L2 B'
B2 R' L U B' U2
B2 R' L' U' D F
B2 R' L' U' D' F
B2 R' L' U' D2 F
B2 R' L' U' F D
B2 R' L' U' F D'
B2 R' L' U' F D2
B2 R' L' D U' F
B2 R' L' D' U' F
B2 R' L' D2 U' F
B2 R' U' L' F L
B2 R2 D2 R U' F'
L' D U' F L2 B'
B' D' B' L R' U'
B' D' B' R' L U'
B2 D2 R' U B U2
R' B2 L' R' U' F
R2 B2 L' R' U' F
R' B2 R' L' U' F
R2 B2 R' L' U' F
L' B2 U' D' F B2
L' B2 U' D' B2 F
R B2 L' R' U' F
L' B2 U' F D' B2
L B2 U B U2 B'
L' B2 D' U' F B2
L' B2 D' U' B2 F
R B2 R' L' U' F
L' B2 D2 R2 U' F
B' U' L' D' F B' L
L D' U' B' R2 U2 R2
B' U' L' D' B' F L
B' U' L' F D' B' L
B' U' L' B' D F L'
D2 U2 L R F2 U F
U2 D2 L R F2 U F
D2 U2 L F2 R U F'
U2 D2 L F2 R U F'
D U2 L F' R U L
D U2 L F2 U L F
U D2 L F2 U R F'
L' D2 R2 U' D' F L2
L' D2 R2 U2 F2 U F'
D2 U2 R L F2 U F
L' D2 R2 D' U' F L2
L' D2 R2 D2 B2 U' F
U2 D2 R L F2 U F
B2 U2 L' U2 R' U' F
B2 U2 L2 U2 R' U' F'
D2 U2 F2 L R U F'
D U2 F' L R U L
D2 U2 F2 R L U F'
D U2 F' R L U L
U2 D2 F2 L R U F'
U2 D2 F2 R L U F'
D U2 F2 L U L F
U2 F L U D L2 F
U2 F L D U L2 F
U' F L' D F L2 B'
B2 D R' D' L' U' F
B2 D R' F L' F' U'
B2 D R2 D R U' F'
U2 F' L U D L2 F
U2 F' L D U L2 F
U' F' L' D F L2 B'
B2 D F L' F' R' U'
B' D' R B' L R' U'
B' D' R B' R' L U'
B2 D' R' D L' U' F
B' D' R' B' L R' U'
B' D' R' B' R' L U'
B2 D' R' B' L B U'
B' D' R2 B' L R' U'
B' D' R2 B' R' L U'
B2 D' R2 D' R U' F'
U2 F2 L U D L2 F
U' F2 L' D F L2 B'
U2 F2 L D U L2 F
B' D' B' L R' U' D
B' D' B' L R' U' D'
B' D' B' L R' U' D2
B' D' B' L R' D U'
B' D' B' L R' D' U'
B' D' B' L R' D2 U'
B' D' B' L D R' U'
B' D' B' L D' R' U'
B' D' B' L D2 R' U'
B' D' B' R' L U' D
B' D' B' R' L U' D'
B' D' B' R' L U' D2
B' D' B' R' L D U'
B' D' B' R' L D' U'
B' D' B' R' L D2 U'
B' D' B' R' D L U'
B' D' B' R' D' L U'
B' D' B' R' D2 L U'
B2 D' B' L B R' U'
B' D' B' D L R' U'
B' D' B' D R' L U'
B' D' B' D' L R' U'
B' D' B' D' R' L U'
B' D' B' D2 L R' U'
B' D' B' D2 R' L U'
B D' B U2 R' U B
B2 D2 L R' U B U2
L F2 U D L2 R2 F
L F2 U D L2 F R2
L F2 U D R2 L2 F
B2 D2 L' R' U B U2
L' F2 D L2 F' R2 B
L' F2 D F' L2 R2 B
L' F2 D F' R2 L2 B
L' F2 D F' R2 B L2
B2 D2 L2 R' U B U2
B2 D2 R U' D F' B2
B2 D2 R U' D B2 F'
B2 D2 R U' F' D B2
B2 D2 R D U' F' B2
B2 D2 R D U' B2 F'
L F2 D U L2 R2 F
L F2 D U L2 F R2
L F2 D U R2 L2 F
B2 D2 R' L U B U2
B2 D2 R' L' U B U2
B2 D2 R' L2 U B U2
B2 D2 R' U D B U2
B2 D2 R' U D' B U2
B2 D2 R' U D2 B U2
B2 D2 R' U B U2 D
B2 D2 R' U B U2 D'
B2 D2 R' U B U2 D2
B2 D2 R' U B D U2
B2 D2 R' U B D' U2
B2 D2 R' U B D2 U2
B2 D2 R' U' R2 F' R2
B2 D2 R' U2 R2 U F'
B2 D2 R' D U B U2
B2 D2 R' D' U B U2
B2 D2 R' D2 U B U2
B' D2 R2 B' R' U' F'
R' B L' B R' U' F
R2 B L' B R' U' F
R B L' B R' U' F
B' D2 B' R' U B U2
B2 F L' F' R' U' F2
D' B D B2 L U' B'
L' B D' B U' F B
L' B D' B U' B F
L' B D2 B R2 U' F
B2 F' L' R' U' F R
B2 F' R' L' U' F R
B2 F' R' D F L' U'
B2 F' R' F L' U' F
R' B' D' B' L R' U'
R' B' D' B' R' L U'
L' B' D' B' U' F B'
L' B' D' B' U' B' F
L' B' D2 R2 B' U' F
L' B' D2 B' R2 U' F
R2 B' D' B' L R' U'
R2 B' D' B' R' L U'
R B' D' B' L R' U'
R B' D' B' R' L U'
R' B2 L R' U B' U2
B2 F' D R' F L' U'
B2 F' D F L' R' U'
B2 F' D F R' L' U'
U' B2 L' R' U' R F
R' B2 L' R' U' D F
R' B2 L' R' U' D' F
R' B2 L' R' U' D2 F
R' B2 L' R' U' F D
R' B2 L' R' U' F D'
R' B2 L' R' U' F D2
R' B2 L' R' D U' F
R' B2 L' R' D' U' F
R' B2 L' R' D2 U' F
L2 B2 L U' D' F B2
L2 B2 L U' D' B2 F
L2 B2 L U' F D' B2
R' B2 L' D R' U' F
L2 B2 L D' U' F B2
L2 B2 L D' U' B2 F
R' B2 L' D' R' U' F
L2 B2 L D2 R2 U' F
R' B2 L' D2 R' U' F
R2 B2 L R' U B' U2
L2 B2 L' U B' U2 B
L' B2 L2 U B' U2 B
R2 B2 L' R' U' D F
R2 B2 L' R' U' D' F
R2 B2 L' R' U' D2 F
R2 B2 L' R' U' F D
R2 B2 L' R' U' F D'
R2 B2 L' R' U' F D2
R2 B2 L' R' D U' F
R2 B2 L' R' D' U' F
R2 B2 L' R' D2 U' F
R2 B2 L' D R' U' F
R B2 L R' U B' U2
R2 B2 L' D' R' U' F
R2 B2 L' D2 R' U' F
L' B2 R U' D' F B2
L' B2 R U' D' B2 F
L' B2 R U' F D' B2
L' B2 R D' U' F B2
L' B2 R D' U' B2 F
U' B2 R' L' U' R F
L' B2 R D2 R2 U' F
F' B2 L' R' U' F R
R B2 L' R' U' D F
R B2 L' R' U' D' F
R B2 L' R' U' D2 F
R B2 L' R' U' F D
R B2 L' R' U' F D'
R B2 L' R' U' F D2
R B2 L' R' D U' F
R B2 L' R' D' U' F
U' B2 R' U' D2 R F'
R B2 L' R' D2 U' F
R' B2 R' L U B' U2
R' B2 R' L' U' D F
R' B2 R' L' U' D' F
R' B2 R' L' U' D2 F
R' B2 R' L' U' F D
R' B2 R' L' U' F D'
R' B2 R' L' U' F D2
R' B2 R' L' D U' F
R' B2 R' L' D' U' F
R' B2 R' L' D2 U' F
B2 F2 L' R' F2 U' F'
R' B2 R' U' L' F L
U' B2 R' D2 U' R F'
R B2 L' D R' U' F
F2 B2 L' R' F2 U' F'
R B2 L' D' R' U' F
D' B2 R' U R' U2 F'
R B2 L' D2 R' U' F
L' B2 R' U' D' F B2
L' B2 R' U' D' B2 F
L' B2 R' U' F D' B2
L' B2 R' D' U' F B2
L' B2 R' D' U' B2 F
L' B2 R' D2 R2 U' F
L B2 L2 D2 R2 U' F'
R' B2 R2 D2 R U' F'
R2 B2 R' L U B' U2
L' B2 R2 U' D' F B2
L' B2 R2 U' D' B2 F
L' B2 R2 U' F D' B2
R2 B2 R' L' U' D F
R2 B2 R' L' U' D' F
R2 B2 R' L' U' D2 F
R2 B2 R' L' U' F D
R2 B2 R' L' U' F D'
R2 B2 R' L' U' F D2
R2 B2 R' L' D U' F
R2 B2 R' L' D' U' F
R2 B2 R' L' D2 U' F
L' B2 R2 D' U' F B2
L' B2 R2 D' U' B2 F
R2 B2 R' U' L' F L
L' B2 R2 D2 R2 U' F
F B2 L' F' R' U' F2
L' B2 U D F2 U2 F'
R B2 R' L U B' U2
F' B2 R' L' U' F R
R B2 R' L' U' D F
R B2 R' L' U' D' F
R B2 R' L' U' D2 F
R B2 R' L' U' F D
R B2 R' L' U' F D'
R B2 R' L' U' F D2
R B2 R' L' D U' F
R B2 R' L' D' U' F
R B2 R' L' D2 U' F
R2 B2 R2 D2 R U' F'
R B2 R' U' L' F L
B2 F2 R' L' F2 U' F'
F' B2 R' D F L' U'
F2 B2 R' L' F2 U' F'
F' B2 R' F L' U' F
L' B2 U' D' F B2 D
L' B2 U' D' F B2 D'
L' B2 U' D' F B2 D2
L' B2 U' D' B2 D F
L' B2 U' D' B2 D' F
L' B2 U' D' B2 D2 F
L' B2 U' D' B2 F D
L' B2 U' D' B2 F D'
L' B2 U' D' B2 F D2
B2 F2 R' F2 L' U' F
L' B2 U' D2 F D B2
L' B2 U' F U' L2 U
L' B2 U' F D' B2 D
L' B2 U' F D' B2 D'
L' B2 U' F D' B2 D2
L' B2 U' F B D' B2
L' B2 U' F B' D' B2
L' B2 U' F B2 D' B2
F2 B2 R' F2 L' U' F
L' B2 U' F2 D' F' B2
L' B2 U' F2 D' B2 F'
L' B2 U' B D' F B2
L' B2 U' B D' B2 F
L' B2 U' B F D' B2
L' B2 U' B' D' F B2
L' B2 U' B' D' B2 F
L' B2 U' B' F D' B2
L' B2 U' B2 D' F B2
L' B2 U' B2 D' B2 F
L' B2 U' B2 F D' B2
L' B2 U2 L2 U' B' U2
R B2 R2 D2 R U' F'
L B2 U D B U2 B'
L B2 U D' B U2 B'
L B2 U D2 B U2 B'
L2 B2 U2 L' R' U F'
L B2 U F B U2 B'
L B2 U F' B U2 B'
L B2 U F2 B U2 B'
L2 B2 U2 R' L' U F'
L B2 U B U2 D B'
L B2 U B U2 D' B'
L B2 U B U2 D2 B'
L B2 U B U2 B' D
L B2 U B U2 B' D'
L B2 U B U2 B' D2
L B2 U B D U2 B'
L B2 U B D' U2 B'
L B2 U B D2 U2 B'
L B2 U B F U2 B'
L B2 U B F' U2 B'
L B2 U B F2 U2 B'
L' B2 D U F2 U2 F'
L' B2 D' R U' F B2
L' B2 D' R U' B2 F
L' B2 D' R' U' F B2
L' B2 D' R' U' B2 F
L' B2 D' R2 U' F B2
L' B2 D' R2 U' B2 F
L' B2 D' U' F B2 D
L' B2 D' U' F B2 D'
L' B2 D' U' F B2 D2
L' B2 D' U' B2 D F
L' B2 D' U' B2 D' F
L' B2 D' U' B2 D2 F
L' B2 D' U' B2 F D
L' B2 D' U' B2 F D'
L' B2 D' U' B2 F D2
R' B2 D2 R' U B U2
L' B2 D2 R2 U' D F
L' B2 D2 R2 U' D' F
L' B2 D2 R2 U' D2 F
L' B2 D2 R2 U' F D
L' B2 D2 R2 U' F D'
L' B2 D2 R2 U' F D2
L' B2 D2 R2 D U' F
L' B2 D2 R2 D' U' F
L' B2 D2 R2 D2 U' F
L' B2 D2 U' F D B2
L B2 D U B U2 B'
F' B2 D R' F L' U'
F' B2 D F L' R' U'
F' B2 D F R' L' U'
R2 B2 D2 R' U B U2
L B2 D' U B U2 B'
L B2 D2 U B U2 B'
R B2 D2 R' U B U2
