U' R' F2 U' F'
R' F2 U' L' F'
R' L F2 U' L' F
L R' F2 U' L' F
U2 R D R2 F B2
U2 R D R2 B2 F
U2 R D F R2 B2
U2 R D F B2 R2
U2 R D B2 R2 F
U2 R D B2 F R2
F2 R' U R U2 F'
U' R' U' D R2 F
U' R' U' D F R2
U' R' D U' R2 F
U' R' D U' F R2
U' R' F2 L U' F'
U' R' F2 L' U' F'
U' R' F2 L2 U' F'
U' R' F2 U' D F'
U' R' F2 U' D' F'
U' R' F2 U' D2 F'
U' R' F2 U' F' D
U' R' F2 U' F' D'
U' R' F2 U' F' D2
U' R' F2 D U' F'
U' R' F2 D' U' F'
U' R' F2 D2 U' F'
R D F B2 L R2
R D F B2 R2 L
U' D R' U' R' F
U' D R' U' F R'
R D B2 R2 F L
R D B2 F L R2
R D B2 F R2 L
D U' R' U' R' F
D U' R' U' F R'
F2 U' R' U' R F'
U' F R' F U' F'
U2 F U R' F U'
U2 F U F R' U'
R' F2 L U' L2 F'
R' F2 L U' F' L2
R' F2 L2 U' L F'
R' F2 L2 U' F' L
R' F2 U' L F' L2
R' F2 U' L' D F'
R' F2 U' L' D' F'
R' F2 U' L' D2 F'
R' F2 U' L' F' D
R' F2 U' L' F' D'
R' F2 U' L' F' D2
R' F2 U' L2 F' L
R' F2 U' D L' F'
R' F2 U' D' L' F'
R' F2 U' D2 L' F'
R' F2 D U' L' F'
R' F2 D' U' L' F'
R' F2 D2 U' L' F'
R' F2 B U' L' F'
R' F2 B' U' L' F'
R' F2 B2 U' L' F'
R' B F2 U' L' F'
R' B' F2 U' L' F'
R' B2 F2 U' L' F'
U2 R D B2 R' F R'
U R D U F R2 B2
U R D U F B2 R2
U2 R D B2 R2 D F
U2 R D B2 R2 D' F
U2 R D B2 R2 D2 F
U2 R D B2 R2 F D
U2 R D B2 R2 F D'
U2 R D B2 R2 F D2
U R D U B2 R2 F
U R D U B2 F R2
U2 R D B2 F R2 D
U2 R D B2 F R2 D'
U2 R D B2 F R2 D2
U2 R D B2 F' R2 F2
D R D B2 R F L
U2 R D2 F D' R2 B2
U2 R D2 F D' B2 R2
L U' L' R' F2 U' F'
U' R F R2 F U' F'
U2 R F U R2 F U'
U2 R F U F R2 U'
L2 U' L2 R' F2 U' F'
U' R F2 R2 U B U2
U' R F2 U' D F' B2
U' R F2 U' D B2 F'
U' R F2 U' F' D B2
U' R F2 D U' F' B2
U' R F2 D U' B2 F'
R2 U' R F2 U' L' F'
L2 U' R' L2 F2 U' F'
L' U' R' F' L' F' U'
L U' R' L' F2 U' F'
L2 U' R' F2 L2 U' F
L2 U' R' F2 U B' U2
L U' R' F2 L' U' F
U2 R B D R2 F B2
U2 R B D R2 B2 F
U2 R B D F R2 B2
U2 R B D F B2 R2
U2 R B D B2 R2 F
U2 R B D B2 F R2
L' U' D R' U' R' F'
R' U' D F2 L' F' R2
U2 R B' D R2 F B2
U2 R B' D R2 B2 F
U2 R B' D F R2 B2
U2 R B' D F B2 R2
U2 R B' D B2 R2 F
U2 R B' D B2 F R2
R U' R2 F2 U' L' F'
R U' D F B2 L R2
R U' D F B2 R2 L
U2 R B2 D R2 F B2
U2 R B2 D R2 B2 F
U2 R B2 D F R2 B2
U2 R B2 D F B2 R2
U2 R B2 D B2 R2 F
U2 R B2 D B2 F R2
R U' D B2 R2 F L
R U' D B2 F L R2
R U' D B2 F R2 L
F2 R' L U R U2 F'
U' R' L F2 L' U' F
F2 R' L' U R U2 F'
R' U' F U F U' L'
U' R' L' F2 L U' F
F2 R' L2 U R U2 F'
L' U' F' L' F' R' U'
U' R' L2 F2 L2 U' F
U' R' L2 F2 U B' U2
D' R' U L2 R B' U2
U2 R' L2 F2 U' L2 F
D' R' U L2 B' R U2
D' R' U R L2 B' U2
U' R' U D' L2 B' U2
F2 R' U R U2 D F'
F2 R' U R U2 D' F'
F2 R' U R U2 D2 F'
F2 R' U R U2 F' D
F2 R' U R U2 F' D'
F2 R' U R U2 F' D2
F2 R' U R D U2 F'
F2 R' U R D' U2 F'
F2 R' U R D2 U2 F'
F2 R' U R B U2 F'
F2 R' U R B' U2 F'
F2 R' U R B2 U2 F'
F2 R' U R' B R2 U2
D R' U R U2 R2 F
D R' U R U2 F R2
L2 U' F2 L2 R' U' F
L2 U' F2 R' L2 U' F
L2 U' F2 R' U B' U2
F2 R' U B R U2 F'
F2 R' U B' R U2 F'
F2 R' U B2 R U2 F'
U' R' U' R D R2 F
U' R' U' R D F R2
L U' F2 L' R' U' F
U' R' U' R' D R2 F
U' R' U' R' D F R2
U R' U D F R2 B
U' R' U' R2 D R2 F
U' R' U' R2 D F R2
U' R' U' D R' F R'
U' R' U' D R2 D F
U' R' U' D R2 D' F
U' R' U' D R2 D2 F
U' R' U' D R2 F D
U' R' U' D R2 F D'
U' R' U' D R2 F D2
U' R' U' D F R2 D
U' R' U' D F R2 D'
U' R' U' D F R2 D2
U' R' U' D F' R2 F2
U' R' U' D' F D2 R2
L U' F2 R' L' U' F
U' R' U' D2 F D' R2
U' R' U' F U F U'
D R' U' R' D2 F L2
D R' U' R' F D2 L2
F2 R' U' D2 F2 L' F
F2 R' U' F2 D2 L' F
D R' U' F2 L' F' R'
U' R' U2 D2 B2 U F
U' R' D U' R' F R'
U' R' D U' R2 D F
U' R' D U' R2 D' F
U' R' D U' R2 D2 F
U' R' D U' R2 F D
U' R' D U' R2 F D'
U' R' D U' R2 F D2
U' R' D U' F R2 D
U' R' D U' F R2 D'
U' R' D U' F R2 D2
U' R' D U' F' R2 F2
D' R' D F2 U' L' F'
U' R' D F' U' R2 F2
U2 R' D R2 D F B2
U2 R' D R2 D B2 F
U' R' D F' U' F2 R2
U2 R' D R2 F D B2
U' R' D F2 U' F' R2
U2 R' D F R2 D B2
U R' D U F R2 B
U' R' D' U L2 B' U2
U' R' D' U' F D2 R2
U' R' D2 U' F D' R2
U' R' D2 U2 B2 U F
D2 R' D2 F2 U' L' F'
F2 R' D2 U' F2 L' F
U' R' F D F U' F'
U' R' F D' F U' F'
U' R' F D2 F U' F'
U' R' F' L F' U' F'
U' R' F' L' F' U' F'
U' R' F' L2 F' U' F'
F R' F U' F L' F2
U' R' F' D' L2 F' U'
U' R' F' D' F' L2 U'
L' U2 R D R2 F' B2
L' U2 R D R2 B2 F'
U' R' F2 L U' D F'
U' R' F2 L U' D' F'
U' R' F2 L U' D2 F'
U' R' F2 L U' F' D
U' R' F2 L U' F' D'
U' R' F2 L U' F' D2
U' R' F2 L D U' F'
U' R' F2 L D' U' F'
U' R' F2 L D2 U' F'
U' R' F2 L' U' D F'
U' R' F2 L' U' D' F'
U' R' F2 L' U' D2 F'
U' R' F2 L' U' F' D
U' R' F2 L' U' F' D'
U' R' F2 L' U' F' D2
U' R' F2 L' D U' F'
U' R' F2 L' D' U' F'
U' R' F2 L' D2 U' F'
U' R' F2 L2 U' D F'
U' R' F2 L2 U' D' F'
U' R' F2 L2 U' D2 F'
U' R' F2 L2 U' F' D
U' R' F2 L2 U' F' D'
U' R' F2 L2 U' F' D2
U' R' F2 L2 D U' F'
U' R' F2 L2 D' U' F'
U' R' F2 L2 D2 U' F'
L2 U2 R D B2 R2 F'
U2 R' F2 L U' L' F'
U2 R' F2 L' U' L F'
U2 R' F2 L' U' F' L
U' R' F2 U B U2 F'
U' R' F2 U B' U2 F'
U' R' F2 U B2 U2 F'
U' R' F2 U' L' F' L
U2 R' F2 L2 U' L2 F'
U2 R' F2 L2 U' F' L2
U' R' F2 U' L2 F' L2
U' R' F2 U' D F' D
U' R' F2 U' D F' D'
U' R' F2 U' D F' D2
U' R' F2 U' D' F' D
U' R' F2 U' D' F' D'
U' R' F2 U' D' F' D2
U' R' F2 U' D2 F' D
U' R' F2 U' D2 F' D'
U' R' F2 U' D2 F' D2
U' R' F2 U' F2 D F
U' R' F2 U' F2 D' F
U' R' F2 U' F2 D2 F
U' R' F2 D L U' F'
U' R' F2 D L' U' F'
U' R' F2 D L2 U' F'
U' R' F2 D U' F' D
U' R' F2 D U' F' D'
U' R' F2 D U' F' D2
U' R' F2 D' L U' F'
U' R' F2 D' L' U' F'
U' R' F2 D' L2 U' F'
U' R' F2 D' U' F' D
U' R' F2 D' U' F' D'
U' R' F2 D' U' F' D2
U' R' F2 D2 L U' F'
U' R' F2 D2 L' U' F'
U' R' F2 D2 L2 U' F'
U' R' F2 D2 U' F' D
U' R' F2 D2 U' F' D'
U' R' F2 D2 U' F' D2
R2 U2 R F2 U' L' F'
D R' F2 U' L' F' R'
B R' F2 U' L' F' B'
B R' F2 U' L' B' F'
U R' F2 U' D' L2 F'
U R' F2 U' D' F' L2
U R' F2 U2 F2 U F
U R' F2 D' U' L2 F'
U R' F2 D' U' F' L2
F2 R' B U R U2 F'
U R' F2 D2 B2 U' F'
F2 R' B' U R U2 F'
R U2 R2 F2 U' L' F'
F2 R' B2 U R U2 F'
R U2 D F B2 L R2
R U2 D F B2 R2 L
R U2 D B2 R2 F L
R U2 D B2 F L R2
R U2 D B2 F R2 L
U2 R2 U R F2 U' F'
U' R2 D R U' R F
U R2 U2 R F2 U' F'
R D L' B2 L R2 F
R D L' B2 L F R2
R D L' B2 R2 L F
U' R2 F2 U2 L' U F'
R D L2 B2 L R2 F'
R D L2 B2 R2 L F'
R D L2 B2 R2 F' L
R2 D R B2 U' R F
R' D R2 D F B2 L
R' D R2 D B2 F L
R' D R2 F D B2 L
R D R' U2 R' F B2
R D R' U2 R' B2 F
R D R' U2 F R' B2
R' D U R U2 R F
R D R2 F2 L' F' B2
R D R2 F2 L' B2 F'
R D R2 F2 B2 L' F'
R' D U' F2 L' F' R2
L' D U' R' U' R' F'
R D R2 B2 F2 L' F'
R D U F B2 L R2
R D U F B2 R2 L
R D U B2 R2 F L
R D U B2 F L R2
R D U B2 F R2 L
R D U' F B2 L R2
R D U' F B2 R2 L
R D U' B2 R2 F L
R D U' B2 F L R2
R D U' B2 F R2 L
D2 U L' B2 L U F
R D U2 F B2 L R2
R D U2 F B2 R2 L
R D U2 B2 R2 F L
R D U2 B2 F L R2
R D U2 B2 F R2 L
R D F L B2 L R2
R D F L B2 R2 L
R D F L' B2 L R2
R D F L' B2 R2 L
R D F L2 B2 L R2
R D F L2 B2 R2 L
R' D F2 U' L' F' R2
R D F B' R2 B' L
R D F B2 L R2 D
R D F B2 L R2 D'
R D F B2 L R2 D2
R D F B2 R2 L D
R D F B2 R2 L D'
R D F B2 R2 L D2
R D F B2 R2 D L
R D F B2 R2 D' L
R D F B2 R2 D2 L
R D F' R2 F2 L' B2
R D F' R2 F2 B2 L'
R D F' R2 B2 F2 L'
U2 D R D R F B2
U2 D R D R B2 F
U2 D R D B2 R F
U' D R' U' R F R2
U' D R' U' R' D F
U' D R' U' R' D' F
U' D R' U' R' D2 F
U' D R' U' R' F D
U' D R' U' R' F D'
U' D R' U' R' F D2
U' D R' U' D R' F
U' D R' U' D F R'
U' D R' U' D' R' F
U' D R' U' D' F R'
U' D R' U' D2 R' F
U' D R' U' D2 F R'
U' D R' U' F R' D
U' D R' U' F R' D'
U' D R' U' F R' D2
U' D R' U' F D R'
U' D R' U' F D' R'
U' D R' U' F D2 R'
U' D R' U' F' R' F2
R D F' B2 L R2 F2
R D F' B2 L F2 R2
U' D R' D U' R' F
U' D R' D U' F R'
R D F' B2 R2 L F2
R D F' B2 R2 F2 L
U' D R' D' U' R' F
U' D R' D' U' F R'
U' D R' D2 U' R' F
U' D R' D2 U' F R'
U' D R' F' U' R' F2
U' D R' F' U' F2 R'
U' D R' F2 U' F' R'
F U R F R2 B U'
R D F2 B2 L F' R2
U2 D R2 U R U' F
F U R' F U2 F' U
U2 D F R D R B2
U2 D F R D B2 R
U2 D F R2 U R U'
R D B' R2 F B' L
R D B' R2 B' F L
U2 D F U R' U' R'
R2 D B2 R U' R F
U' D F' R' U' R' F2
U' D F' R' U' F2 R'
R D B' F R2 B' L
R D B2 R' F L R'
R D B2 R' F R' L
R D B2 R2 D F L
R D B2 R2 D' F L
R D B2 R2 D2 F L
R D B2 R2 F L D
R D B2 R2 F L D'
R D B2 R2 F L D2
R D B2 R2 F D L
R D B2 R2 F D' L
R D B2 R2 F D2 L
R D B2 R2 F' L F2
R D B2 R2 F2 L F'
R D B2 F L R2 D
R D B2 F L R2 D'
R D B2 F L R2 D2
R D B2 F R2 L D
R D B2 F R2 L D'
R D B2 F R2 L D2
R D B2 F R2 D L
R D B2 F R2 D' L
R D B2 F R2 D2 L
R D B2 F' L R2 F2
R D B2 F' L F2 R2
R D B2 F' R2 L F2
R D B2 F' R2 F2 L
R D B2 F2 L F' R2
L2 D' L2 U' R' U' F
F U F R2 B R U'
R D' L2 R' F2 B' U2
R D' L2 R' B' F2 U2
R D' L2 F2 R' B' U2
R D' R' L2 F2 B' U2
R D' R' L2 B' F2 U2
R' D' U L2 R B' U2
R' D' U L2 B' R U2
R' D' U R L2 B' U2
R D' R' F2 L2 U2 F'
F2 U' L R' U' R F'
F2 U' L' R' U' R F'
U' D' R' U L2 B' U2
D' U' R' U L2 B' U2
U' D' R' U' D2 R2 F
U' D' R' U' D2 F R2
U' D' R' U' F D2 R2
D' U' R' U' D2 R2 F
D' U' R' U' D2 F R2
D' U' R' U' F D2 R2
D2 U' R' U' D' R2 F
D2 U' R' U' D' F R2
D2 U' R' U' F D' R2
U' D' R' D F2 U' F'
D' U' R' D F2 U' F'
D2 U' R' U2 B2 U F
U' D' R' D2 U' R2 F
U' D' R' D2 U' F R2
D' U' R' D2 U' R2 F
D' U' R' D2 U' F R2
D2 U' R' D' U' R2 F
D2 U' R' D' U' F R2
D2 U' R' D2 F2 U' F'
F2 U' L2 R' U' R F'
D U' R' U' R F R2
D U' R' U' R' D F
D U' R' U' R' D' F
D U' R' U' R' D2 F
D U' R' U' R' F D
D U' R' U' R' F D'
D U' R' U' R' F D2
D U' R' U' D R' F
D U' R' U' D F R'
D U' R' U' D' R' F
D U' R' U' D' F R'
D U' R' U' D2 R' F
D U' R' U' D2 F R'
D U' R' U' F R' D
D U' R' U' F R' D'
D U' R' U' F R' D2
D U' R' U' F D R'
D U' R' U' F D' R'
D U' R' U' F D2 R'
D U' R' U' F' R' F2
D U' R' D U' R' F
D U' R' D U' F R'
D U' R' D' U' R' F
D U' R' D' U' F R'
D U' R' D2 U' R' F
D U' R' D2 U' F R'
D U' R' F' U' R' F2
D U' R' F' U' F2 R'
D U' R' F2 U' F' R'
F2 U' R' L U' R F'
F2 U' R' L' U' R F'
F2 U' R' L2 U' R F'
F2 U' R' U' R D F'
F2 U' R' U' R D' F'
F2 U' R' U' R D2 F'
F2 U' R' U' R F' D
F2 U' R' U' R F' D'
F2 U' R' U' R F' D2
D U' F' R' U' R' F2
D U' F' R' U' F2 R'
F U' R' F2 L' F' U'
F2 U' D R' U' R F'
F' U' D' L2 F' R' U'
F' U' D' F' L2 R' U'
F' U' D' F' R' L2 U'
F2 U' D' R' U' R F'
F2 U' D2 R' U' R F'
F' U' F R' F2 U' F'
F2 U' F R' U' R F2
F U' F R' U2 R U
F' U' F2 R' F U' F'
F2 U' F2 R' U' R F
B2 U' F2 U2 L U F'
F U' F' R' F2 L' U'
B U' F2 L' U' F' B'
B U' F2 L' U' B' F'
U D2 L' B2 L U F
U' D2 R' U' D' R2 F
U' D2 R' U' D' F R2
U' D2 R' U' F D' R2
U' D2 R' U2 B2 U F
U' D2 R' D' U' R2 F
U' D2 R' D' U' F R2
U' D2 R' D2 F2 U' F'
D U2 R D R F B2
D U2 R D R B2 F
D U2 R D B2 R F
D U2 R2 U R U' F
D2 U2 F U' B2 L U
U2 D2 F U' B2 L U
D U2 F R D R B2
D U2 F R D B2 R
D U2 F R2 U R U'
D U2 F U R' U' R'
R D2 F D' B2 L R2
R D2 F D' B2 R2 L
D2 U2 B2 L U L' F
L2 D2 B' U B' L U
U2 D2 B2 L U L' F
B U2 F U R F U'
F2 U2 F' U R' U' R
U2 F R U R2 F U'
U2 F R U F R2 U'
F' U2 F2 U R' F U'
F' U2 F2 U F R' U'
U' F R' D F U' F'
U' F R' D' F U' F'
U' F R' D2 F U' F'
U' F R' F L U' F'
U' F R' F L' U' F'
U' F R' F L2 U' F'
U' F R' F U' D F'
U' F R' F U' D' F'
U' F R' F U' D2 F'
U' F R' F U' F' D
U' F R' F U' F' D'
U' F R' F U' F' D2
U' F R' F D U' F'
U' F R' F D' U' F'
U' F R' F D2 U' F'
D F R D B2 L R
D F R D B2 R L
U2 F R2 U R F U'
U2 F U R F R2 U'
U2 F U R' D F U'
U2 F U R' D' F U'
U2 F U R' D2 F U'
U2 F U R' F U' D
U2 F U R' F U' D'
U2 F U R' F U' D2
U2 F U R' F D U'
U2 F U R' F D' U'
U2 F U R' F D2 U'
U2 F U D R' F U'
U2 F U D F R' U'
U2 F U D' R' F U'
U2 F U D' F R' U'
U2 F U D2 R' F U'
U2 F U D2 F R' U'
U2 F U F R' U' D
U2 F U F R' U' D'
U2 F U F R' U' D2
U2 F U F R' D U'
U2 F U F R' D' U'
U2 F U F R' D2 U'
U2 F U F D R' U'
U2 F U F D' R' U'
U2 F U F D2 R' U'
U2 F U F' R' F2 U'
U' F D R' F U' F'
U' F D' R' F U' F'
U2 F D U R' F U'
U2 F D U F R' U'
U' F D2 R' F U' F'
U2 F D' U R' F U'
U2 F D' U F R' U'
F2 D R' U R U2 F'
U2 F D2 U R' F U'
U2 F D2 U F R' U'
R' F' L F' U' L' F'
F2 D U' R' U' R F'
R' F' L' F' U' L' F'
D' F' L2 U' R' U' F2
R' F' L2 F' U' L' F'
D F' R' U' F2 L' R'
D F' R' U' F2 R' L'
D2 F' U B2 L U F2
L' F' U' F' L' R' U'
L' F' U' F' R' L' U'
D F' U' R' U' R' F2
D F' U' R' U' F2 R'
U' F' D' L2 F' R' U'
R' F' D' L2 F' U' L'
U' F' D' F' L2 R' U'
U' F' D' F' R' L2 U'
R' F' D' F' L2 U' L
B2 D' L2 B' U L' U
B D' L2 B' U' R' U'
F2 D' R' U R U2 F'
R' F2 L U' L F' L
R' F2 L U' L2 D F'
R' F2 L U' L2 D' F'
R' F2 L U' L2 D2 F'
R' F2 L U' L2 F' D
R' F2 L U' L2 F' D'
R' F2 L U' L2 F' D2
R' F2 L U' F L2 F2
R' F2 L U' F' L2 D
R' F2 L U' F' L2 D'
R' F2 L U' F' L2 D2
F' D' U' L2 F' R' U'
R' F2 L D' B2 U' F'
F' D' U' F' L2 R' U'
F' D' U' F' R' L2 U'
F2 D' U' R' U' R F'
R' F2 L B U' L2 F'
R' F2 L B U' F' L2
R' F2 L B' U' L2 F'
R' F2 L B' U' F' L2
R' F2 L B2 U' L2 F'
R' F2 L B2 U' F' L2
R' F2 L2 U' L D F'
R' F2 L2 U' L D' F'
R' F2 L2 U' L D2 F'
R' F2 L2 U' L F' D
R' F2 L2 U' L F' D'
R' F2 L2 U' L F' D2
R' F2 L2 U' L' F' L2
R' F2 L2 U' D L F'
R' F2 L2 U' D F' L
R' F2 L2 U' D' L F'
R' F2 L2 U' D' F' L
R' F2 L2 U' D2 L F'
R' F2 L2 U' D2 F' L
R' F2 L2 U' F L F2
R' F2 L2 U' F' L D
R' F2 L2 U' F' L D'
R' F2 L2 U' F' L D2
R' F2 L2 U' F' D L
R' F2 L2 U' F' D' L
R' F2 L2 U' F' D2 L
R' F2 L2 D U' L F'
R' F2 L2 D U' F' L
R' F2 L2 D' U' L F'
R' F2 L2 D' U' F' L
R' F2 L2 D2 U' L F'
R' F2 L2 D2 U' F' L
U' F2 R' U' R F' R'
U' F2 R' U2 R U F'
U' F2 R' D2 L' U' F
L2 F2 R' U R B' U2
L2 F2 R' U B' R U2
R' F2 U R2 B U2 L'
L F2 R' U' F2 L' F
R' F2 U B U2 L' F'
R' F2 U B' U2 L' F'
R' F2 U B2 U2 L' F'
D2 F2 U B2 L U F'
R' F2 U' L F L2 F2
R' F2 U' L F' L2 D
R' F2 U' L F' L2 D'
R' F2 U' L F' L2 D2
R' F2 U' L' D F' D
R' F2 U' L' D F' D'
R' F2 U' L' D F' D2
R' F2 U' L' D' F' D
R' F2 U' L' D' F' D'
R' F2 U' L' D' F' D2
R' F2 U' L' D2 F' D
R' F2 U' L' D2 F' D'
R' F2 U' L' D2 F' D2
R' F2 U' L' F2 D F
R' F2 U' L' F2 D' F
R' F2 U' L' F2 D2 F
R' F2 U' L2 D L F'
R' F2 U' L2 D F' L
R' F2 U' L2 D' L F'
R' F2 U' L2 D' F' L
R' F2 U' L2 D2 L F'
R' F2 U' L2 D2 F' L
R' F2 U' L2 F L F2
R' F2 U' L2 F' L D
R' F2 U' L2 F' L D'
R' F2 U' L2 F' L D2
R' F2 U' L2 F' D L
R' F2 U' L2 F' D' L
R' F2 U' L2 F' D2 L
R' F2 U' D L F' L2
R' F2 U' D L' D F'
R' F2 U' D L' D' F'
R' F2 U' D L' D2 F'
R' F2 U' D L' F' D
R' F2 U' D L' F' D'
R' F2 U' D L' F' D2
R' F2 U' D L2 F' L
R' F2 U' D' L F' L2
R' F2 U' D' L' D F'
R' F2 U' D' L' D' F'
R' F2 U' D' L' D2 F'
R' F2 U' D' L' F' D
R' F2 U' D' L' F' D'
R' F2 U' D' L' F' D2
R' F2 U' D' L2 F' L
U' F2 U' F' U R' U'
R' F2 U' D2 L F' L2
R' F2 U' D2 L' D F'
R' F2 U' D2 L' D' F'
R' F2 U' D2 L' D2 F'
R' F2 U' D2 L' F' D
R' F2 U' D2 L' F' D'
R' F2 U' D2 L' F' D2
R' F2 U' D2 L2 F' L
R F2 R2 U B R U2
R' F2 U' B' L' F' B
R' F2 U' B' L' B F'
R' F2 U' B2 L' F' B2
R' F2 U' B2 L' B2 F'
R' F2 D L U' L2 F'
R' F2 D L U' F' L2
R' F2 D L2 U' L F'
R' F2 D L2 U' F' L
R' F2 D U' L F' L2
R' F2 D U' L' D F'
R' F2 D U' L' D' F'
R' F2 D U' L' D2 F'
R' F2 D U' L' F' D
R' F2 D U' L' F' D'
R' F2 D U' L' F' D2
R' F2 D U' L2 F' L
R' F2 D B U' L' F'
R' F2 D B' U' L' F'
R F2 U' D F' B2 L
R F2 U' D B2 L F'
R F2 U' D B2 F' L
R' F2 D B2 U' L' F'
