F L R' B' L U
F R' L B' L U
D2 R' F L' B U
D' R' F U B R'
D2 R' F B L' U
D2 R' B F L' U
F R' B' L B' U
R' F L B' L U
D2 F L' R' B U
D2 F R' L' B U
D' F R' U B R'
D2 F R' B L' U
R' F B' L B' U
F D' R' U B R'
R' B' F L B' U
U' D2 F L' R' B U
D2 U2 F L' R' B U
U' D2 F R' L' B U
D' U2 F R' U B R'
U' D2 F R' B L' U
U D2 R' F L' B U
U D2 R' F B L' U
D2 U2 F R' L' B U
D2 U2 F R' B L' U
U D2 R' B F L' U
U2 D2 F L' R' B U
U2 D2 F R' L' B U
U2 D2 F R' B L' U
U D2 F L' R' B U
U D2 F R' L' B U
U D2 F R' B L' U
U' F L R' B' L U
D' F L R' U B R'
D2 F L R' B L2 U
R' F L B' L U D
R' F L B' L U D'
R' F L B' L U D2
R' F L B' L D U
R' F L B' L D' U
R' F L B' L D2 U
U2 F L R' B' L U
R' F L B' D L U
R' F L B' D' L U
R' F L B' D2 L U
D' F L' R' U B R'
D2 F L' R' D B U
D2 F L' R' D' B U
D2 F L' R' D2 B U
D2 F L' R' B U D
D2 F L' R' B U D'
D2 F L' R' B U D2
D2 F L' R' B D U
D2 F L' R' B D' U
D2 F L' R' B D2 U
U F L R' B' L U
D' F L2 R' U B R'
R F L R2 B' L U
R F L B' L R2 U
R F L B' R2 L U
U' F R' L B' L U
D' F R' L U B R'
D' F R' L' U B R'
D2 F R' L B L2 U
D' F R' L2 U B R'
D2 F R' L' D B U
D2 F R' L' D' B U
D2 F R' L' D2 B U
D2 F R' L' B U D
D2 F R' L' B U D'
D2 F R' L' B U D2
D2 F R' L' B D U
D2 F R' L' B D' U
D2 F R' L' B D2 U
D' F R' U B R' D
D' F R' U B R' D'
D' F R' U B R' D2
D' F R' U B D R'
D' F R' U B D' R'
D' F R' U B D2 R'
D2 F R' D L' B U
D2 F R' D B L' U
D2 F R' D' L' B U
D2 F R' D' B L' U
D2 F R' D2 L' B U
D2 F R' D2 B L' U
U' F R' B' L B' U
U2 F R' L B' L U
D2 F R' B L' U D
D2 F R' B L' U D'
D2 F R' B L' U D2
D2 F R' B L' D U
D2 F R' B L' D' U
D2 F R' B L' D2 U
D2 F R' B D L' U
D2 F R' B D' L' U
D' F R' B' U B2 R'
D2 F R' B D2 L' U
D2 F R' B' L' B2 U
D F R' U' L' F U2
U2 F R' B' L B' U
U F R' L B' L U
R' F U D' R' B R'
R' F U D' B R' B
U F R' B' L B' U
R F R2 L B' L U
R F R2 B' L B' U
U' F D' R' U B R'
R' F D' U R' B R'
R' F D' U B R' B
R' F D' B U R' B
U2 F D' R' U B R'
U F D' R' U B R'
D' F B U R' F' B
D' F B U R' B F'
R' F B' L D B' U
R' F B' L D' B' U
R' F B' L D2 B' U
R' F B' L B' U D
R' F B' L B' U D'
R' F B' L B' U D2
R' F B' L B' D U
R' F B' L B' D' U
R' F B' L B' D2 U
R F B' L R2 B' U
R F B' L B' R2 U
R' F' L F2 B' L U
R' F' L B' L F2 U
R F B' R2 L B' U
R' F' L B' F2 L U
D' F' R' F2 U B R'
F D' L R' U B R'
F D' L' R' U B R'
F D' L2 R' U B R'
F' D' R' U L2 B R'
F' D' R' U B L2 R'
F' D' R' U B R' L2
R' F' B' L F2 B' U
R' F' B' L B' F2 U
F D' R' L U B R'
F D' R' L' U B R'
F D' R' L2 U B R'
F D' R' U B R' D
F D' R' U B R' D'
F D' R' U B R' D2
F D' R' U B D R'
F D' R' U B D' R'
F D' R' U B D2 R'
F D' R' B' U B2 R'
R' F2 L F' B' L U
R' F2 L B' L F' U
R' F2 L B' F' L U
F2 D' F' R' U B R'
F D' B U R' F' B
F D' B U R' B F'
R' F2 B' L F' B' U
R' F2 B' L B' F' U
B' F L B R' B2 U
B' F L B' U2 L U'
D' B F U R' F' B
D' B F U R' B F'
R' B' L D' B' U L
L B' L U2 B' L U'
R2 B' R F L B' U
F B' L B R' B2 U
F B' L B' U2 L U'
R B' R2 F L B' U
R' B' F L D B' U
R' B' F L D' B' U
R' B' F L D2 B' U
R' B' F L B' U D
R' B' F L B' U D'
R' B' F L B' U D2
R' B' F L B' D U
R' B' F L B' D' U
R' B' F L B' D2 U
R' B' F' L F2 B' U
R' B' F' L B' F2 U
R' B' F2 L F' B' U
R' B' F2 L B' F' U
R B' F L R2 B' U
R B' F L B' R2 U
R B' F R2 L B' U
