L2 R2 U' F L2 U'
R2 L2 U' F L2 U'
R2 U B' R2 U F'
R2 U B' U' B U2
R2 U' L2 F U' F'
B2 R2 U' F' U' F
U R2 U B' U B
U2 D' F2 B' U B
U2 D' B' F2 U B
D' U2 F2 B' U B
U2 D2 B' U L2 B
U2 D2 B' U B L2
D2 U2 B' U L2 B
D2 U2 B' U B L2
D' U2 B' F2 U B
F2 D B2 R2 F' U'
U2 B' U D2 L2 B
U2 B' U D2 B L2
U2 B' U B D2 L2
U2 B' U' R2 F' U2
U B' U' R2 U2 F'
U B' U' B R2 U2
U2 B' D' F2 U B
U2 B' D2 U L2 B
U2 B' D2 U B L2
D B2 U2 B U B'
R2 U B' R2 D2 U F'
R2 U B' U R2 F' R2
R2 U B' U' D B U2
R2 U B' U' D' B U2
R2 U B' U' D2 B U2
R2 U B' U' B U2 D
R2 U B' U' B U2 D'
R2 U B' U' B U2 D2
R2 U B' U' B D U2
R2 U B' U' B D' U2
R2 U B' U' B D2 U2
R2 U B' D R2 U F'
R2 U B' D U' B U2
R2 U B' D' R2 U F'
R2 U B' D' U' B U2
R2 U B' D2 R2 U F'
R2 U B' D2 U' B U2
R U B' U' B R U2
R2 U B2 D' B R2 U
R2 U B2 D2 B U F2
R2 U' L F' U' F R
R2 U' L2 D F U' F'
R2 U' L2 D' F U' F'
R2 U' L2 D2 F U' F'
R2 U' L2 F L U' F'
R2 U' L2 F L' U' F'
R2 U' L2 F L2 U' F'
R2 U' L2 F U' D F'
R2 U' L2 F U' D' F'
R2 U' L2 F U' D2 F'
R2 U' L2 F U' F' D
R2 U' L2 F U' F' D'
R2 U' L2 F U' F' D2
R2 U' L2 F D U' F'
R2 U' L2 F D' U' F'
R2 U' L2 F D2 U' F'
R2 U' D L2 F U' F'
L2 U' D F B2 U' F
U R B' U' B R U2
L2 U' D B2 F U' F
R2 U' D' L2 F U' F'
D R B2 U2 B U B'
R2 U' D2 L2 F U' F'
L2 U' F L2 U R2 U2
L2 U' F L2 U' D2 L2
L2 U' F L2 D B2 U'
L2 U' F L2 D2 U' L2
R2 U' F L2 F U' F2
L2 U' F D B2 U' F2
R2 U' F U2 B' U F'
R2 U' F' U2 B' U F
R2 U' F2 L2 F U' F
R2 U' F2 U2 B' U F2
R2 U' F2 D' L2 F U'
D' R' U2 F2 B' U B
D2 R' U2 B' U L2 B
D2 R' U2 B' U B L2
D' R' U2 B' F2 U B
B R' U2 B2 U L B2
R2 U2 R U' R' B' U
R2 U2 R' U' R B' U
R2 U2 R' U' B' R U
R2 U2 R2 U' R2 B' U
R2 U2 R2 U' B' R2 U
U R' B' U' B R' U2
D R' B2 U2 B U B'
B2 R2 L U' L' F' U'
B2 R2 L' U' L F' U'
B2 R2 L' U' F' L U'
B R2 L' U B2 R' U
U R2 L' U L B' U
B2 R2 L2 U' L2 F' U'
B2 R2 L2 U' F' L2 U'
B R2 L2 D L2 U2 F2
B R2 L2 D' B2 U2 R2
U R2 L2 U L2 B' U
B2 R2 U' L F' U' F
B2 R2 U' L' F' U' F
B2 R2 U' L2 F' U' F
U R2 U D B' U B
U R2 U D' B' U B
B R2 U B2 U D2 F2
B R2 U B2 U' B2 U2
B R2 U B2 D' R2 U
B R2 U B2 D2 U F2
U R2 U D2 B' U B
B2 R2 U' D F' U' F
B2 R2 U' D' F' U' F
B2 R2 U' D2 F' U' F
B2 R2 U' F' U' D F
B2 R2 U' F' U' D' F
B2 R2 U' F' U' D2 F
B2 R2 U' F' U' F D
B2 R2 U' F' U' F D'
B2 R2 U' F' U' F D2
B2 R2 U' F' D U' F
B2 R2 U' F' D' U' F
B2 R2 U' F' D2 U' F
U R2 U B' L U B
U R2 U B' L' U B
U R2 U B' L2 U B
U R2 U B' U D B
U R2 U B' U D' B
U R2 U B' U D2 B
U R2 U B' U B D
U R2 U B' U B D'
U R2 U B' U B D2
U R2 U B' D U B
U R2 U B' D' U B
U R2 U B' D2 U B
B R2 U' D2 F2 U' F2
U2 R2 U' B' R2 F' U
R U2 F2 B' U L' B
R U2 F2 B' U B L'
R' U2 B' U B' L B2
D' R2 U2 F2 B' U B
D2 R2 U2 B' U L2 B
D2 R2 U2 B' U B L2
D' R2 U2 B' F2 U B
B R2 U2 R2 D' R2 F2
B R2 U2 R2 D' F2 R2
R2 U2 B' L U L' B
R2 U2 B' L U B L'
B R2 U2 D' R2 D' F2
R2 U2 B' L' U L B
R2 U2 B' L2 U L2 B
R2 U2 B' L2 U B L2
B2 R2 D U' F' U' F
B R2 D L2 U' L2 U'
B R2 D L2 U2 D F2
B R2 D L2 D U2 F2
B R2 D L2 D' B2 U2
U R2 D U B' U B
R U2 B' F2 U L' B
R U2 B' F2 U B L'
B2 R2 D' U' F' U' F
B R2 D' U2 R2 D' F2
U R2 D' U B' U B
B2 R2 D2 U' F' U' F
B R2 D2 U' F2 U' F2
U R2 D2 U B' U B
R2 D L2 U' F L2 U'
U R2 F U B' U B
U R2 F' U B' U B
U R2 F2 U B' U B
B2 R2 B U' F' U' F
B2 R2 B' U' F' U' F
B2 R2 B2 U' F' U' F
R2 D U B' R2 U F'
R2 D U B' U' B U2
R2 D U' L2 F U' F'
L2 D U' F B2 U' F
D R2 B2 U2 B U B'
L2 D U' B2 F U' F
U' D L2 F B2 U' F'
U' D L2 B2 F U' F'
B' U R2 U2 R2 D B2
F' U R2 F U B' U
F2 U R2 F2 U B' U
B U R2 U B2 U B2
F U R2 U B' U B2
F U R2 U2 B D' R2
B2 U D2 B U L2 F
D' U F2 B' R2 U F'
D' U F2 B' U' B U2
F' U F R2 U B' U
R2 D' L2 U' F L2 U'
D' U B' R2 F2 U F
D2 U B' R2 U L2 F'
D2 U B' R2 U F' L2
D2 U B' U' B U2 L2
U2 D B' L U B L
U2 D B' L2 F U B
D' U B' F2 R2 U F'
D' U B' F2 U' B U2
U2 D B' U B D L2
U2 D B' U2 B' U' B2
F U F' R2 U B' U
F2 U F2 R2 U B' U
B2 U B U D2 L2 F
B2 U B U' R2 B' U2
B2 U B U' B' R2 U2
B2 U B D2 U L2 F
R2 D' U B' R2 U F'
R2 D' U B' U' B U2
R2 D' U' L2 F U' F'
B U B2 U D2 L2 F2
B U B2 U D2 F2 L2
B U B2 U' R2 B2 U2
B U B2 U' B2 R2 U2
B U B2 D' R2 F2 U
B U B2 D' F2 R2 U
B U B2 D2 U L2 F2
B U B2 D2 U F2 L2
D U' L2 F B2 U' F'
D U' L2 B2 F U' F'
B' U' R2 D' F2 U2 F2
U2 D' F2 D B' U B
U2 D' F2 D' B' U B
U2 D' F2 D2 B' U B
U2 D' F2 B' L U B
U2 D' F2 B' L' U B
U2 D' F2 B' L2 U B
U2 D' F2 B' U D B
U2 D' F2 B' U D' B
U2 D' F2 B' U D2 B
U2 D' F2 B' U B D
U2 D' F2 B' U B D'
U2 D' F2 B' U B D2
U2 D' F2 B' D U B
U2 D' F2 B' D' U B
U2 D' F2 B' D2 U B
U D' F2 B' R2 U F'
U D' F2 B' U' B U2
U2 D' B' L F2 U B
U2 D' B' L' F2 U B
U2 D' B' L2 F2 U B
U2 D' B' U D' L2 B
U2 D' B' U D' B L2
U2 D' B' U B D' L2
U2 D' B' D' U L2 B
U2 D' B' D' U B L2
U2 D' B' F2 L U B
U2 D' B' F2 L' U B
U2 D' B' F2 L2 U B
U2 D' B' F2 U D B
U2 D' B' F2 U D' B
U2 D' B' F2 U D2 B
U2 D' B' F2 U B D
U2 D' B' F2 U B D'
U2 D' B' F2 U B D2
U2 D' B' F2 D U B
U2 D' B' F2 D' U B
U2 D' B' F2 D2 U B
U D' B' R2 F2 U F
B U' D2 F2 U' L2 F2
B U' D2 F2 U' F2 L2
U D' B' F2 R2 U F'
U D' B' F2 U' B U2
R2 D2 L2 U' F L2 U'
D2 U2 L2 U F U' F'
U2 D2 L2 U F U' F'
R2 D2 U B' R2 U F'
R2 D2 U B' U' B U2
R2 D2 U' L2 F U' F'
D2 U2 F B' U L2 B
D2 U2 F B' U B L2
U2 D2 F B' U L2 B
U2 D2 F B' U B L2
D2 U2 F' B' U L2 B
D2 U2 F' B' U B L2
D' U2 F2 D B' U B
U2 D2 F' B' U L2 B
U2 D2 F' B' U B L2
D' U2 F2 D' B' U B
D' U2 F2 D2 B' U B
D' U2 F2 B' L U B
D' U2 F2 B' L' U B
D' U2 F2 B' L2 U B
D' U2 F2 B' U D B
D' U2 F2 B' U D' B
D' U2 F2 B' U D2 B
D' U2 F2 B' U B D
D' U2 F2 B' U B D'
D' U2 F2 B' U B D2
D' U2 F2 B' D U B
D' U2 F2 B' D' U B
D' U2 F2 B' D2 U B
D2 U2 F2 B' U L2 B
D2 U2 F2 B' U B L2
U2 D2 F2 B' U L2 B
U2 D2 F2 B' U B L2
D' U2 B' L F2 U B
D' U2 B' L' F2 U B
D2 U2 B' L U L B
D' U2 B' L2 F2 U B
D2 U2 B' L' U L' B
D2 U2 B' L' U B L'
D' U2 B' U D' L2 B
D' U2 B' U D' B L2
D' U2 B' U B D' L2
D2 U2 B' U L' B L'
D2 U2 B' U L2 D B
D2 U2 B' U L2 D' B
D2 U2 B' U L2 D2 B
D2 U2 B' U L2 B D
D2 U2 B' U L2 B D'
D2 U2 B' U L2 B D2
D2 U2 B' U B L2 D
D2 U2 B' U B L2 D'
D2 U2 B' U B L2 D2
D2 U2 B' U B' L2 B2
D' U2 B' D' U L2 B
D' U2 B' D' U B L2
U2 D2 B' L U L B
D2 U2 B' D F2 U B
U2 D2 B' L' U L' B
U2 D2 B' L' U B L'
D' U2 B' F2 L U B
D' U2 B' F2 L' U B
D' U2 B' F2 L2 U B
D' U2 B' F2 U D B
D' U2 B' F2 U D' B
D' U2 B' F2 U D2 B
D' U2 B' F2 U B D
D' U2 B' F2 U B D'
D' U2 B' F2 U B D2
D2 U2 B' F U L2 B
D2 U2 B' F U B L2
D' U2 B' F2 D U B
D' U2 B' F2 D' U B
D' U2 B' F2 D2 U B
D2 U2 B' F' U L2 B
D2 U2 B' F' U B L2
D2 U2 B' F2 U L2 B
D2 U2 B' F2 U B L2
U2 D2 B' U L' B L'
U2 D2 B' U L2 D B
U2 D2 B' U L2 D' B
U2 D2 B' U L2 D2 B
U2 D2 B' U L2 B D
U2 D2 B' U L2 B D'
U2 D2 B' U L2 B D2
U2 D2 B' U B L2 D
U2 D2 B' U B L2 D'
U2 D2 B' U B L2 D2
U2 D2 B' U B' L2 B2
D U2 B' L U B L
U2 D2 B' D F2 U B
D U2 B' L2 F U B
U2 D2 B' F U L2 B
U2 D2 B' F U B L2
U2 D2 B' F' U L2 B
U2 D2 B' F' U B L2
U2 D2 B' F2 U L2 B
U2 D2 B' F2 U B L2
D U2 B' U B D L2
D U2 B' U2 B' U' B2
U D2 B' R2 U L2 F'
U D2 B' R2 U F' L2
U D2 B' U' B U2 L2
B2 U2 D' F2 B U B'
B2 U2 D' B F2 U B'
F2 U2 D' F2 B' L2 U
F2 U2 D' B' L2 F2 U
F2 U2 D' B' F2 L2 U
B U2 D' R2 D' L2 F2
B U2 D' R2 D' F2 L2
F' U2 D2 B' U L2 B'
B2 U2 D2 B U B' L2
F2 U2 D2 B' U B' L2
L2 F L2 U R2 U2 B
L2 F L2 U F' R2 U2
B2 U2 B U D2 B' L2
B2 U2 B U B' D2 L2
B2 U2 B U' R2 U2 B'
B2 U2 B D' F2 U B'
B2 U2 B D2 U B' L2
F' U2 B' U D2 L2 B'
F' U2 B' U' R2 F U2
F' U2 B' U' F R2 U2
F2 U2 B' U D2 L2 B2
F2 U2 B' U D2 B2 L2
F2 U2 B' U' R2 F2 U2
F' U2 B' D2 U L2 B'
F2 U2 B' U' F2 R2 U2
F2 U2 B' D' L2 F2 U
F2 U2 B' D' F2 L2 U
F2 U2 B' D2 U L2 B2
F2 U2 B' D2 U B2 L2
U F R2 U B' U B
F U2 B' U' R2 U2 B
F U2 B' U' F' R2 U2
B U2 B2 U B2 D2 L2
B U2 B2 U' R2 U2 B2
B D L2 U' L2 B2 U'
B D L2 U' B2 L2 U'
B D L2 U2 D L2 F2
B D L2 U2 D F2 L2
B D L2 D U2 L2 F2
B D L2 D U2 F2 L2
B D L2 D' R2 B2 U2
B D L2 D' B2 R2 U2
U2 F D' F2 B' U B
U2 F D' B' F2 U B
U2 F D2 B' U L2 B
U2 F D2 B' U B L2
F2 D R2 B2 U2 B U
U2 F B' U D2 L2 B
U2 F B' U D2 B L2
U2 F B' U B D2 L2
U2 F B' U' R2 F' U2
U2 F B' D' F2 U B
U2 F B' D2 U L2 B
U2 F B' D2 U B L2
U F B' U' R2 U2 F'
U F B' U' B R2 U2
D F B2 R2 F' U' B
F2 D F B2 R2 F' U'
F2 D F' B2 R2 F' U'
F2 D F2 B2 R2 F' U'
B' D B2 U2 B2 U B2
U F' R2 U B' U B
F2 D B2 R2 D F' U'
F2 D B2 R2 D' F' U'
F2 D B2 R2 D2 F' U'
F2 D B2 R2 F' U' D
F2 D B2 R2 F' U' D'
F2 D B2 R2 F' U' D2
F2 D B2 R2 F' D U'
F2 D B2 R2 F' D' U'
F2 D B2 R2 F' D2 U'
B2 D B2 U2 B' U B
F2 D B2 F R2 F' U'
F2 D B2 F' R2 F' U'
F2 D B2 F2 R2 F' U'
F D B2 R2 F' U' B
D2 F' U2 B' U L2 B'
U2 F' D' F2 B' U B
U2 F' D' B' F2 U B
U2 F' D2 B' U L2 B
U2 F' D2 B' U B L2
U2 F' B' U D2 L2 B
U2 F' B' U D2 B L2
U2 F' B' U B D2 L2
U2 F' B' U' R2 F' U2
U2 F' B' D' F2 U B
U2 F' B' D2 U L2 B
U2 F' B' D2 U B L2
U F' B' U' R2 U2 F'
U F' B' U' B R2 U2
B2 D' U2 F2 B U B'
B2 D' U2 B F2 U B'
F2 D' U2 F2 B' L2 U
F2 D' U2 B' L2 F2 U
F2 D' U2 B' F2 L2 U
B D' U2 R2 D' L2 F2
B D' U2 R2 D' F2 L2
B' D' F2 U' F2 U2 F2
U F2 R2 U B' U B
U2 F2 D' F2 B' U B
U2 F2 D' B' F2 U B
U2 F2 D2 B' U L2 B
U2 F2 D2 B' U B L2
D' F2 B' U' F2 U2 F2
B2 D2 R2 F' U' L2 B'
U2 F2 B' U D2 L2 B
U2 F2 B' U D2 B L2
U2 F2 B' U B D2 L2
U2 F2 B' U' R2 F' U2
U2 F2 B' D' F2 U B
U2 F2 B' D2 U L2 B
U2 F2 B' D2 U B L2
B2 D2 U B U L2 F
U F2 B' U' R2 U2 F'
U F2 B' U' B R2 U2
D F2 B2 D R2 F' U'
F' D2 U2 B' U L2 B'
B2 D2 U2 B U B' L2
B D2 U' F2 U' L2 F2
B D2 U' F2 U' F2 L2
F2 D2 U2 B' U B' L2
R2 B L' U B2 R' U
R2 B L2 D L2 U2 F2
R2 B L2 D' B2 U2 R2
B D2 F2 U F2 U2 L2
B D2 F2 U' L2 D2 B2
L2 B R2 U' F L2 U'
R2 B U B2 U D2 F2
R2 B U B2 U' B2 U2
R2 B U B2 D' R2 U
R2 B U B2 D2 U F2
D' B U2 F2 B2 U B2
R2 B U' D2 F2 U' F2
D2 B U2 B2 U L2 B2
D2 B U2 B2 U B2 L2
D' B U2 B2 F2 U B2
R2 B U2 R2 D' R2 F2
R2 B U2 R2 D' F2 R2
R2 B U2 D' R2 D' F2
R2 B D L2 U' L2 U'
R2 B D L2 U2 D F2
R2 B D L2 D U2 F2
R2 B D L2 D' B2 U2
U' B D2 F2 U' L2 F2
U' B D2 F2 U' F2 L2
U2 B D' F2 U R2 B'
U2 B D' F2 U B' R2
R2 B D' U2 R2 D' F2
R2 B D2 U' F2 U' F2
B' F U R2 U2 B R2
B' F U F' R2 U2 R2
B' F U' F' R2 U2 F
U2 B' L U D2 L2 B
U2 B' L U D2 B L2
U2 B' L U B D2 L2
U2 B' L U' R2 F' U2
U2 B' L D' F2 U B
U2 B' L D2 U L2 B
U2 B' L D2 U B L2
U2 B' L' U D2 L2 B
U2 B' L' U D2 B L2
U2 B' L' U B D2 L2
U2 B' L' U' R2 F' U2
U2 B' L' D' F2 U B
U2 B' L' D2 U L2 B
U2 B' L' D2 U B L2
U2 B' L2 U D2 L2 B
U2 B' L2 U D2 B L2
U2 B' L2 U B D2 L2
U2 B' L2 U' R2 F' U2
U2 B' L2 D' F2 U B
U2 B' L2 D2 U L2 B
U2 B' L2 D2 U B L2
F2 B D2 F2 U' L2 B2
F2 B D2 F2 U' B2 L2
U B' R U' R U2 F'
L2 B' R2 U' F L2 U'
B F D2 F2 U' L2 B'
F B D2 F2 U' L2 B'
U2 B' U L D2 L2 B
U2 B' U L D2 B L2
U2 B' U L B D2 L2
U2 B' U L' D2 L2 B
U2 B' U L' D2 B L2
U2 B' U L' B D2 L2
U2 B' U L2 D2 L2 B
U2 B' U L2 D2 B L2
U2 B' U L2 B D2 L2
U2 B' U D' B D' L2
U2 B' U D2 L' B L'
U2 B' U D2 L2 D B
U2 B' U D2 L2 D' B
U2 B' U D2 L2 D2 B
U2 B' U D2 L2 B D
U2 B' U D2 L2 B D'
U2 B' U D2 L2 B D2
U2 B' U D2 B L2 D
U2 B' U D2 B L2 D'
U2 B' U D2 B L2 D2
U2 B' U D2 B' L2 B2
U2 B' U B L D2 L2
U2 B' U B L' D2 L2
U2 B' U B L2 D2 L2
U2 B' U B U2 R2 U2
U2 B' U B D2 L2 D
U2 B' U B D2 L2 D'
U2 B' U B D2 L2 D2
U2 B' U B2 D2 B' L2
U2 B' U' R2 D F' U2
U2 B' U' R2 D' F' U2
U2 B' U' R2 D2 F' U2
U2 B' U' R2 F' U2 D
U2 B' U' R2 F' U2 D'
U2 B' U' R2 F' U2 D2
U2 B' U' R2 F' D U2
U2 B' U' R2 F' D' U2
U2 B' U' R2 F' D2 U2
U2 B' U' F R2 F' U2
U2 B' U' F' R2 F' U2
U2 B' U' F2 R2 F' U2
U2 B' U2 D B2 U' B'
U B' U' R2 U2 D F'
U B' U' R2 U2 D' F'
U B' U' R2 U2 D2 F'
U B' U' R2 U2 F' D
U B' U' R2 U2 F' D'
U B' U' R2 U2 F' D2
U B' U' R2 D U2 F'
U B' U' R2 D' U2 F'
U B' U' R2 D2 U2 F'
U B' U' R2 B U2 F'
U B' U' R2 B' U2 F'
U B' U' R2 B2 U2 F'
U B' U' D2 B U2 L2
U B' U' B R2 U2 D
U B' U' B R2 U2 D'
U B' U' B R2 U2 D2
U B' U' B R2 D U2
U B' U' B R2 D' U2
U B' U' B R2 D2 U2
U B' U' B U2 D2 L2
U B' U' B D2 U2 L2
U B' U' B' R2 B2 U2
U B' U' B2 R2 B' U2
U2 B' D U2 B2 U' B'
U2 B' D' L F2 U B
U2 B' D' L' F2 U B
U2 B' D' L2 F2 U B
B' F' U R2 F U2 R2
U2 B' D' U B D' L2
B' F' U F R2 U2 R2
U2 B' D' F2 L U B
U2 B' D' F2 L' U B
U2 B' D' F2 L2 U B
U2 B' D' F2 U D B
U2 B' D' F2 U D' B
U2 B' D' F2 U D2 B
U2 B' D' F2 U B D
U2 B' D' F2 U B D'
U2 B' D' F2 U B D2
U2 B' D' F2 D U B
U2 B' D' F2 D' U B
U2 B' D' F2 D2 U B
F' B' U R2 F U2 R2
U2 B' D2 L U L B
F' B' U F R2 U2 R2
U2 B' D2 L' U L' B
U2 B' D2 L' U B L'
F2 B' U R2 F2 U2 R2
B' F' U' R2 F U2 F'
U2 B' D2 U L' B L'
U2 B' D2 U L2 D B
U2 B' D2 U L2 D' B
U2 B' D2 U L2 D2 B
U2 B' D2 U L2 B D
U2 B' D2 U L2 B D'
U2 B' D2 U L2 B D2
U2 B' D2 U B L2 D
U2 B' D2 U B L2 D'
U2 B' D2 U B L2 D2
U2 B' D2 U B' L2 B2
F2 B' U F2 R2 U2 R2
B' F' U' F R2 B U2
U2 B' D2 F U L2 B
U2 B' D2 F U B L2
U2 B' D2 F' U L2 B
U2 B' D2 F' U B L2
U2 B' D2 F2 U L2 B
U2 B' D2 F2 U B L2
U B' D' R2 F2 U F
F' B' U' R2 F U2 F'
F' B' U' F R2 B U2
U B' D' F2 R2 U F'
F2 B' U' R2 F2 U2 F2
U B' D' F2 U' B U2
U2 B' F U D2 L2 B
U2 B' F U D2 B L2
U2 B' F U B D2 L2
F2 B' U' F2 R2 U2 F2
U2 B' F U' R2 F' U2
F B' U R2 U2 B R2
U2 B' F D' F2 U B
U B' D2 R2 U L2 F'
U B' D2 R2 U F' L2
U2 B' F D2 U L2 B
U2 B' F D2 U B L2
F B' U F' R2 U2 R2
U B' D2 U' B U2 L2
U2 B' F' U D2 L2 B
U2 B' F' U D2 B L2
U2 B' F' U B D2 L2
U2 B' F' U' R2 F' U2
D' B' F2 U' F2 U2 F2
U2 B' F' D' F2 U B
U2 B' F' D2 U L2 B
U2 B' F' D2 U B L2
F B' U' F' R2 U2 F
U B' F U' R2 U2 F'
U B' F U' B R2 U2
U2 B' F2 U D2 L2 B
U2 B' F2 U D2 B L2
U2 B' F2 U B D2 L2
U2 B' F2 U' R2 F' U2
U2 B' F2 D' F2 U B
U2 B' F2 D2 U L2 B
U2 B' F2 D2 U B L2
U B' F' U' R2 U2 F'
U B' F' U' B R2 U2
U B' F2 U' R2 U2 F'
U B' F2 U' B R2 U2
D2 B2 R2 F' U' L2 B'
L2 B2 R2 U' F L2 U'
D2 B2 U B U L2 F
D B2 R2 F' U F U2
R2 B2 U B U' B' U2
B' F2 U R2 F2 U2 R2
R' B2 U2 B U B' L
D2 B2 U2 B U B' L2
D' B2 U2 F2 B U B'
D' B2 U2 B F2 U B'
B' F2 U F2 R2 U2 R2
B' F2 U' R2 F2 U2 F2
D B2 U2 L B U B'
D B2 U2 L' B U B'
D B2 U2 L2 B U B'
B' F2 U' F2 R2 U2 F2
D B2 U2 D B U B'
D B2 U2 D' B U B'
D B2 U2 D2 B U B'
D B2 U2 B U D B'
D B2 U2 B U D' B'
D B2 U2 B U D2 B'
D B2 U2 B U B' D
D B2 U2 B U B' D'
D B2 U2 B U B' D2
D B2 U2 B D U B'
D B2 U2 B D' U B'
D B2 U2 B D2 U B'
D B2 D U2 B U B'
D B2 D' U2 B U B'
B2 F2 D R2 F' B2 U'
B2 F2 D R2 B2 F' U'
F2 B2 D R2 F' B2 U'
F2 B2 D R2 B2 F' U'
U B2 D' F2 B R2 U
U B2 D' B R2 F2 U
D B2 D2 U2 B U B'
U B2 D' B F2 R2 U
D B2 F R2 F' U' B
U B2 D2 B U L2 F2
U B2 D2 B U F2 L2
B F2 D2 F2 U' L2 B2
B F2 D2 F2 U' B2 L2
D B2 F2 D R2 F' U'
