U2 L B U L2
U2 L D F2 B U
U2 L D B F2 U
U2 L F B U L2
U2 L F' B U L2
U2 L F2 B U L2
U2 L B U L2 D
U2 L B U L2 D'
U2 L B U L2 D2
U L B U L2 F
U2 L B D F2 U
U2 L B F U L2
U2 L B F' U L2
U2 L B F2 U L2
U' L' U' L2 B U
U' L' U' B L2 U
U2 L' B L2 U L2
U' L' B' D' R2 B2
U' L' B' D' B2 R2
B2 R' U2 B' U L'
U2 D L B U L2
L D F2 B R U
L D B F2 R U
U2 D' L B U L2
B' U' L' D' R2 B'
B' U' L' D' B' R2
B' U' D' L' R2 B'
B' U' D' L' B' R2
B' U' D' R2 L' B'
U2 D2 L B U L2
D2 U2 L B U L2
D' U2 L B U L2
D U2 L B U L2
F U2 L B U L
B' U2 B2 U L' B'
B' D' U' L' R2 B'
B' D' U' L' B' R2
B' D' U' R2 L' B'
L F2 B R U L2
L B U2 L' U' L'
L B D F2 R U
L B F2 R U L2
R' B' U' L' B' R'
U2 L B F2 U L2 D2
D L B F2 R U L2
U2 L B F2 D F2 U
U L B F U L2 F
U' L B' L2 D' R2 B2
U' L B' L2 D' B2 R2
U L B F' U L2 F
U L B F2 U L2 F
U2 L B' U L2 D' R2
U2 L B2 D F2 B' U
U2 L B2 D B' F2 U
L R' D F2 R B U
U' L' U D2 R2 F' U'
U' L' U' L' B L' U
U L' U B L2 F U
U' L' U' L2 D B U
U' L' U' L2 D' B U
U' L' U' L2 D2 B U
U' L' U' L2 B U D
U' L' U' L2 B U D'
U' L' U' L2 B U D2
U' L' U' L2 B D U
U' L' U' L2 B D' U
U' L' U' L2 B D2 U
U' L' U' D' B U B
U' L' U' B L2 U D
U' L' U' B L2 U D'
U' L' U' B L2 U D2
U' L' U' B L2 D U
U' L' U' B L2 D' U
U' L' U' B L2 D2 U
U' L' U' B U D' B2
U' L' U' B D' U B2
U2 L' U' B L2 U F
U' L' U' B' L2 B2 U
L R' F2 R B U L2
U' L' D' U' B U B
U' L' D' B' D' R2 B'
U' L' D' B' D' B' R2
U' L' D' B2 U' B' U
U' L' D2 U R2 F' U'
U2 L' F L2 B U L2
U2 L' F B L2 U L2
U2 L' F' L2 B U L2
U2 L' F' B L2 U L2
U2 L' F2 L2 B U L2
U2 L' F2 B L2 U L2
U2 L' B L2 U L2 D
U2 L' B L2 U L2 D'
U2 L' B L2 U L2 D2
U2 L' B L2 D F2 U
U2 L' B L2 F U L2
U2 L' B L2 F' U L2
U2 L' B L2 F2 U L2
U L' B L2 U F L2
U' L' B D' B2 D' R2
U2 L' B F L2 U L2
U2 L' B F' L2 U L2
U2 L' B F2 L2 U L2
U' L' B' R D' R2 B2
U' L' B' R D' B2 R2
U' L' B' R' D' R2 B2
U' L' B' R' D' B2 R2
U2 L' B' L2 B2 U L2
U' L' B' R2 D' R2 B2
U' L' B' R2 D' B2 R2
U' L' B' U' L2 B2 U
U' L' B' U' B2 L2 U
U' L' B' D' R B2 R
U' L' B' D' R2 B2 D
U' L' B' D' R2 B2 D'
U' L' B' D' R2 B2 D2
U' L' B' D' B' R2 B'
U' L' B' D' B2 R2 D
U' L' B' D' B2 R2 D'
U' L' B' D' B2 R2 D2
U L' B' D' R2 F' B2
U L' B' D' R2 B2 F'
U' L' B2 U' B' L2 U
B2 L2 R' F L2 U' L'
U L2 U L' B U L2
B L2 U D L F2 B'
B L2 U D L B' F2
B L2 U D F2 L B'
U' L2 U' L' B U L2
U2 L2 D L' B U L2
B L2 D U L F2 B'
B L2 D U L B' F2
B L2 D U F2 L B'
U2 L2 D' L' B U L2
L' U L U2 L B U
U2 L2 D2 L' B U L2
B2 L2 F L2 R' U' L'
B2 L2 F R' L2 U' L'
U2 L2 B D L' F U
L' U D2 L R2 F' U'
L' U D2 R2 L F' U'
L' U D2 R2 F' L U'
B' R U' L' D' R2 B'
B' R U' L' D' B' R2
B' R U' D' L' R2 B'
B' R U' D' L' B' R2
B' R U' D' R2 L' B'
B' R U2 B2 U L' B'
B' R D' U' L' R2 B'
B' R D' U' L' B' R2
B' R D' U' R2 L' B'
R' U' L' D' B' R' B'
R' U' L' B D' B2 R'
R' U' L' B' R' D' B2
R' U' L' B' D' R' B2
L' U' L2 B U2 L' U'
B2 R' L2 F L2 U' L'
B' R' U' L' D' R2 B'
B' R' U' L' D' B' R2
B' R' U' D' L' R2 B'
B' R' U' D' L' B' R2
B' R' U' D' R2 L' B'
B2 R' U2 D B' U L'
B2 R' U2 D' B' U L'
B2 R' U2 D2 B' U L'
B' R' U2 B2 U L' B'
B2 R' U2 B' U L' D
B2 R' U2 B' U L' D'
B2 R' U2 B' U L' D2
B2 R' U2 B' U D L'
B2 R' U2 B' U D' L'
B2 R' U2 B' U D2 L'
B2 R' U2 B' D U L'
B2 R' U2 B' D' U L'
B2 R' U2 B' D2 U L'
L' U' B2 R' B' L2 U
B2 R' D U2 B' U L'
F2 R' D B2 R' F' U'
B' R' D' U' L' R2 B'
B' R' D' U' L' B' R2
B' R' D' U' R2 L' B'
R' U2 L U2 F U' L2
B2 R' D' U2 B' U L'
R2 U2 L U2 F' U' L2
B2 R' D2 U2 B' U L'
R' U2 L' B' L2 U L2
L U2 L' U2 B U L'
B2 R' B U' L' D' R2
B2 R' B U' D' L' R2
B2 R' B U' D' R2 L'
B2 R' B U2 B2 U L'
B2 R' B D' U' L' R2
B2 R' B D' U' R2 L'
D2 R' B' U' L' B' R'
D' R' B' U' L' B' R'
D R' B' U' L' B' R'
B2 R' B2 U2 B U L'
F R' B2 R' F' U' L'
R U2 D2 L B' U L2
B' R2 U' L' D' R2 B'
B' R2 U' L' D' B' R2
B' R2 U' D' L' R2 B'
B' R2 U' D' L' B' R2
B' R2 U' D' R2 L' B'
B' R2 U2 B2 U L' B'
B' R2 D' U' L' R2 B'
B' R2 D' U' L' B' R2
B' R2 D' U' R2 L' B'
L2 D L' B U L2 F2
L2 D L' B U F2 L2
F2 R2 F' B2 R' U' L
F R2 F' U' L' D' B2
F R2 F' U2 L U L2
F R2 F' B' U' L' B'
F R2 F' B2 R' U' L'
L D R' F2 R B U
F R2 B' F' U' L' B'
F2 R2 B2 F' R' U' L
D' U L B U L2 F
D2 U L B U L2 F
U2 D L D F2 B U
U2 D L D B F2 U
F R2 B2 F' R' U' L'
U2 D L F B U L2
U2 D L F' B U L2
U' D L' U' L2 B U
U2 D L F2 B U L2
U' D L' U' B L2 U
U2 D L B U L2 D
U2 D L B U L2 D'
U2 D L B U L2 D2
U2 D L B D F2 U
U2 D L B F U L2
U2 D L B F' U L2
U2 D L B F2 U L2
D U L B U L2 F
U' D L' B' D' R2 B2
U' D L' B' D' B2 R2
U D L B U L2 F
U2 D L' B L2 U L2
L D F2 D B R U
L D F2 D' B R U
L D F2 D2 B R U
L D F2 B R U D
L D F2 B R U D'
L D F2 B R U D2
L D F2 B R D U
L D F2 B R D' U
L D F2 B R D2 U
L D F2 B D R U
L D F2 B D' R U
L D F2 B D2 R U
L D F2 B' R B2 U
R' D B' U' L' B' R'
L D F2 B2 R B' U
L D B R F2 R U
L D B R' F2 R U
L D B R2 F2 R U
L D B F2 R U D
L D B F2 R U D'
L D B F2 R U D2
L D B F2 R D U
L D B F2 R D' U
L D B F2 R D2 U
L D B F2 D R U
L D B F2 D' R U
L D B F2 D2 R U
L D B' F2 R B2 U
L D B2 F2 R B' U
U2 D' L D F2 B U
U2 D' L D B F2 U
U' D' L' U' L2 B U
D' U' L' U' L2 B U
U' D' L' U' B L2 U
U2 D' L F B U L2
D' U' L' U' B L2 U
D2 U' L' U' L2 B U
U2 D' L F' B U L2
D2 U' L' U' B L2 U
U2 D' L F2 B U L2
U2 D' L B U L2 D
U2 D' L B U L2 D'
U2 D' L B U L2 D2
U2 D' L B D F2 U
U2 D' L B F U L2
U2 D' L B F' U L2
U2 D' L B F2 U L2
D' U' L' B' D' R2 B2
U' D' L' B' D' R2 B2
U' D' L' B' D' B2 R2
D' U' L' B' D' B2 R2
D2 U' L' B' D' R2 B2
D2 U' L' B' D' B2 R2
U D' L B U L2 F
D U' L' U' L2 B U
D U' L' U' B L2 U
U2 D' L' B L2 U L2
D U' L' B' D' R2 B2
D U' L' B' D' B2 R2
B' U' L' R D' R2 B'
B' U' L' R D' B' R2
B' U' L' R' D' R2 B'
B' U' L' R' D' B' R2
B' U' L' R2 D' R2 B'
B' U' L' R2 D' B' R2
B' U' L' U' B2 U B
B' U' L' D B' D2 R2
B' U' L' D' R B' R
B' U' L' D' R2 D B'
B' U' L' D' R2 D' B'
B' U' L' D' R2 D2 B'
B' U' L' D' R2 B' D
B' U' L' D' R2 B' D'
B' U' L' D' R2 B' D2
B' U' L' D' B R2 B2
B' U' L' D' B' R2 D
B' U' L' D' B' R2 D'
B' U' L' D' B' R2 D2
B' U' L' D2 B' D R2
B' U' L' B' U' B' U
B U' L' D' B2 R' B
B' U' R L' D' R2 B'
B' U' R L' D' B' R2
B' U' R D' L' R2 B'
B' U' R D' L' B' R2
B' U' R D' R2 L' B'
B' U' R' L' D' R2 B'
B' U' R' L' D' B' R2
B' U' R' D' L' R2 B'
B' U' R' D' L' B' R2
B' U' R' D' R2 L' B'
B' U' R2 L' D' R2 B'
B' U' R2 L' D' B' R2
R' D' B' U' L' B' R'
B' U' R2 D' L' R2 B'
B' U' R2 D' L' B' R2
B' U' R2 D' R2 L' B'
L D' B U2 L' B U'
L D' B U2 B L' U'
L' D' B2 U' R' B' U
B' U' D' L' R B' R
B' U' D' L' R2 D B'
B' U' D' L' R2 D' B'
B' U' D' L' R2 D2 B'
B' U' D' L' R2 B' D
B' U' D' L' R2 B' D'
B' U' D' L' R2 B' D2
B' U' D' L' B R2 B2
B' U' D' L' B' R2 D
B' U' D' L' B' R2 D'
B' U' D' L' B' R2 D2
B' U' D' R L' B' R
B' U' D' R2 L' D B'
B' U' D' R2 L' D' B'
B' U' D' R2 L' D2 B'
B' U' D' R2 L' B' D
B' U' D' R2 L' B' D'
B' U' D' R2 L' B' D2
B' U' D' R2 D L' B'
B' U' D' R2 D' L' B'
B' U' D' R2 D2 L' B'
B' U' D' R2 B L' B'
B' U' D' R2 B' L' B'
B' U' D' R2 B2 L' B'
B' U' D' B L' R2 B'
B' U' D' B L' B' R2
B' U' D' B R2 L' B'
B' U' D' B' L' R2 B'
B' U' D' B' L' B' R2
B' U' D' B' R2 L' B'
B' U' D' B2 L' R2 B'
B' U' D' B2 L' B' R2
B' U' D' B2 R2 L' B'
B' U' D2 L' D R2 B'
B' U' D2 L' D B' R2
B' U' D2 L' B' D R2
B U' D' L' B2 R' B
L2 D2 L' B R2 U L2
D' U2 L D F2 B U
D' U2 L D B F2 U
D' U2 L F B U L2
D2 U2 L D F2 B U
D2 U2 L D B F2 U
D' U2 L F' B U L2
D' U2 L F2 B U L2
D' U2 L B U L2 D
D' U2 L B U L2 D'
D' U2 L B U L2 D2
D' U2 L B D F2 U
D' U2 L B F U L2
D' U2 L B F' U L2
D' U2 L B F2 U L2
D2 U2 L F B U L2
D2 U2 L F' B U L2
D2 U2 L F2 B U L2
D2 U2 L B U L2 D
D2 U2 L B U L2 D'
D2 U2 L B U L2 D2
D2 U2 L B D F2 U
D2 U2 L B F U L2
D2 U2 L B F' U L2
D2 U2 L B F2 U L2
U' D2 L' U' L2 B U
U2 D2 L D F2 B U
U2 D2 L D B F2 U
U' D2 L' U' B L2 U
U2 D2 L F B U L2
U2 D2 L F' B U L2
U2 D2 L F2 B U L2
U2 D2 L B U L2 D
U2 D2 L B U L2 D'
U2 D2 L B U L2 D2
U2 D2 L B D F2 U
U2 D2 L B F U L2
U2 D2 L B F' U L2
U2 D2 L B F2 U L2
D U2 L D F2 B U
D U2 L D B F2 U
D' U2 L' B L2 U L2
U' D2 L' B' D' R2 B2
U' D2 L' B' D' B2 R2
D U2 L F B U L2
D2 U2 L' B L2 U L2
D U2 L F' B U L2
D U2 L F2 B U L2
D U2 L B U L2 D
D U2 L B U L2 D'
D U2 L B U L2 D2
D U2 L B D F2 U
D U2 L B F U L2
D U2 L B F' U L2
D U2 L B F2 U L2
B' U' B L' B' D' R2
U D2 L B U L2 F
U2 D2 L' B L2 U L2
D U2 L' B L2 U L2
L' D2 R2 F' L U' L'
L' D2 U L R2 F' U'
L' D2 U R2 L F' U'
L' D2 U R2 F' L U'
B U' B' L' D' B2 R'
F' U2 L F B U L'
F' U2 L B F U L'
F2 U2 L F2 B U L'
F2 U2 L B U' R U2
F2 U2 L B F2 U L'
F U2 L D B U L
R D2 U2 L B' U L2
F U2 L D' B U L
F U2 L D2 B U L
F U2 L F B U L
F U2 L F' B U L
F U2 L F2 B U L
F U2 L B U L D
F U2 L B U L D'
F U2 L B U L D2
F U2 L B U D L
F U2 L B U D' L
F U2 L B U D2 L
F U2 L B D U L
F U2 L B D' U L
F U2 L B D2 U L
F U2 L B F U L
F U2 L B F' U L
F U2 L B F2 U L
F U2 L' B L2 U L'
F U2 L2 B L' U L2
R' D2 B' U' L' B' R'
L D2 B D' F2 R U
F U2 D L B U L
U2 F L F' B U L'
F U2 D' L B U L
U2 F L B F' U L'
F' U2 F L B U L2
F U2 D2 L B U L
F U2 F L B U L
F2 U2 F2 L B U L2
F U2 F' L B U L
F U2 F2 L B U L
F U2 B U D L B'
F U2 B D U L B'
B2 U2 B2 L B U L2
B' U2 B2 U L' D B'
B' U2 B2 U L' D' B'
B' U2 B2 U L' D2 B'
B' U2 B2 U L' B' D
B' U2 B2 U L' B' D'
B' U2 B2 U L' B' D2
B' U2 B2 U D L' B'
B' U2 B2 U D' L' B'
B' U2 B2 U D2 L' B'
B' U2 B2 U B L' B'
B' U2 B2 U B' L' B'
B' U2 B2 U B2 L' B'
B' U2 B2 D U L' B'
B' U2 B2 D' U L' B'
B' U2 B2 D2 U L' B'
U F U L F B U
U F U L B F U
D' F U2 L B U L
D2 F U2 L B U L
D F U2 L B U L
B2 D R' U2 B' U L'
R' F B2 R' F' U' L'
L F B U L F L
U2 F' L F B U L'
U2 F' L B F U L'
F D U2 L B U L
R2 F' U2 L F U L'
R2 F' U2 F L U L2
B' D' R U' L' R B'
B' D' R U' L' B' R
B' D' R U' R L' B'
R2 F' D B2 R' B U'
B' D' R' U' L' R' B'
B' D' R' U' R' L' B'
B2 D' R' U2 B' U L'
B' D' U' L' R B' R
B' D' U' L' R2 D B'
B' D' U' L' R2 D' B'
B' D' U' L' R2 D2 B'
B' D' U' L' R2 B' D
B' D' U' L' R2 B' D'
B' D' U' L' R2 B' D2
B' D' U' L' B R2 B2
B' D' U' L' B' R2 D
B' D' U' L' B' R2 D'
B' D' U' L' B' R2 D2
B' D' U' R L' B' R
B' D' U' R2 L' D B'
B' D' U' R2 L' D' B'
B' D' U' R2 L' D2 B'
B' D' U' R2 L' B' D
B' D' U' R2 L' B' D'
B' D' U' R2 L' B' D2
B' D' U' R2 D L' B'
B' D' U' R2 D' L' B'
B' D' U' R2 D2 L' B'
B' D' U' R2 B L' B'
B' D' U' R2 B' L' B'
B' D' U' R2 B2 L' B'
B' D' U' B L' R2 B'
B' D' U' B L' B' R2
B' D' U' B R2 L' B'
B' D' U' B' L' R2 B'
B' D' U' B' L' B' R2
B' D' U' B' R2 L' B'
U' F2 L B U F2 L'
B' D' U' B2 L' R2 B'
B' D' U' B2 L' B' R2
B' D' U' B2 R2 L' B'
R2 F' B2 D R' B U'
B D' U' L' B2 R' B
U2 F2 L F2 B U L'
U2 F2 L B U' R U2
U2 F2 L B F2 U L'
F D' U2 L B U L
B' D' B' R' U' L' R'
B' D' B' R' U' R' L'
L F2 D B R F2 U
B2 D2 R' U2 B' U L'
L F2 B R U L2 D
L F2 B R U L2 D'
L F2 B R U L2 D2
L F2 B R D F2 U
L F2 B R F U L2
L F2 B R F' U L2
L F2 B R F2 U L2
B' D2 U' L' D R2 B'
B' D2 U' L' D B' R2
B' D2 U' L' B' D R2
L F2 B D R F2 U
L F2 B' R B2 U L2
L F2 B2 R B' U L2
F D2 U2 L B U L
U2 B L2 U D L B'
U2 B L2 D U L B'
B' D2 F2 U R U2 B
L B R U2 L' U' L'
L B R D F2 R U
L B R F2 R U L2
L B R' U2 L' U' L'
L B R' D F2 R U
L B R' F2 R U L2
U2 B U L2 D L B'
U2 B U D L B' L2
L B R2 U2 L' U' L'
L B R2 D F2 R U
U2 B U B' L' D' B2
L B R2 F2 R U L2
L B U L D L F2
L B U L D F2 L
L B U L2 U L U'
U2 B U2 B R' U' L'
U2 B U2 B2 U' L' B'
U2 B D L U B' L2
L2 B D L' F U F
L B U2 L' U' L' D
L B U2 L' U' L' D'
L B U2 L' U' L' D2
L B U2 L' U' D L'
L B U2 L' U' D' L'
L B U2 L' U' D2 L'
L B U2 L' D U' L'
L B U2 L' D' U' L'
L B U2 L' D2 U' L'
L B U2 L' B U' L'
L B U2 L' B' U' L'
L B U2 L' B2 U' L'
U2 B D U L B' L2
L B U2 D' L' B2 U'
L B U2 D' B2 L' U'
L B U2 B L' U' L'
L B U2 B' L' U' L'
L B U2 B2 L' U' L'
L B D R F2 R U
L B D R' F2 R U
L B D R2 F2 R U
L B D F2 R U D
L B D F2 R U D'
L B D F2 R U D2
L B D F2 R D U
L B D F2 R D' U
L B D F2 R D2 U
L B D F2 D R U
L B D F2 D' R U
L B D F2 D2 R U
L B D' U2 L' B2 U'
L B D' U2 B2 L' U'
L B F U L F L
L B F2 R U L2 D
L B F2 R U L2 D'
L B F2 R U L2 D2
L B F2 R D F2 U
L B F2 R F U L2
L B F2 R F' U L2
L B F2 R F2 U L2
L B F2 D R F2 U
R2 B' R U' L' B' R'
R' B' U' L' R B' R'
R' B' U' L' R' B' R'
R' B' U' L' R2 B' R'
R' B' U' L' D B' R'
R' B' U' L' D' B' R'
R' B' U' L' D2 B' R'
D2 B' U' L' D' R2 B'
D2 B' U' L' D' B' R2
R' B' U' L' B' R' D
R' B' U' L' B' R' D'
R' B' U' L' B' R' D2
R' B' U' L' B' D R'
R' B' U' L' B' D' R'
R' B' U' L' B' D2 R'
R' B' U' R L' B' R'
D' B' U' L' D' R2 B'
D' B' U' L' D' B' R2
R' B' U' R' L' B' R'
R' B' U' R2 L' B' R'
R' B' U' D L' B' R'
R' B' U' D' L' B' R'
D2 B' U' D' L' R2 B'
D2 B' U' D' L' B' R2
D2 B' U' D' R2 L' B'
R' B' U' D2 L' B' R'
D' B' U' D' L' R2 B'
D' B' U' D' L' B' R2
D' B' U' D' R2 L' B'
R' B' U' B' L' R' B'
R' B' U' B' R' L' B'
R B' R2 U' L' B' R'
D B' U' L' D' R2 B'
D B' U' L' D' B' R2
D2 B' U2 B2 U L' B'
D B' U' D' L' R2 B'
D' B' U2 B2 U L' B'
D B' U' D' L' B' R2
D B' U' D' R2 L' B'
R' B' D U' L' B' R'
R' B' D' U' L' B' R'
D2 B' D' U' L' R2 B'
D2 B' D' U' L' B' R2
D2 B' D' U' R2 L' B'
D B' U2 B2 U L' B'
D' B' D' U' L' R2 B'
D' B' D' U' L' B' R2
D' B' D' U' R2 L' B'
R' B' D2 U' L' B' R'
D B' D' U' L' R2 B'
D B' D' U' L' B' R2
D B' D' U' R2 L' B'
L B' F2 R B2 U L2
F2 B' D2 F2 U' L' B'
D2 B2 R' U2 B' U L'
D' B2 R' U2 B' U L'
L' B2 R' B' L2 U L2
D B2 R' U2 B' U L'
R B2 R' U2 B U L'
L' B2 U' R' B' L2 U
L B2 D F2 R B' U
L B2 D F2 B' R U
R' B2 F R' F' U' L'
L B2 D B' F2 R U
B' F2 D2 F2 U' L' B'
R2 B2 F' D R' B U'
L B2 F2 R B' U L2
