B L' R2 U' L2 B
B L' R2 U' B L2
B' L' U F' R' U2
B L' U F' U2 L2
R2 L' B' U' B2 L
R2 L' B2 U' B' L
L' R2 B' U' B2 L
L' R2 B2 U' B' L
B R2 L' U' L2 B
B R2 L' U' B L2
F' U' F L' B' U'
L' B R2 U' L B
L' B U F' U2 L
R2 B' L' U' B2 L
L' B' U F' R' U2
L' R2 D B2 U' B' L
B' L' B2 R2 U' L B
B' L' B2 U F' U2 L
B L' B2 R2 U' L2 B
B L' B2 R2 U' B L2
L' R2 D' B' U' B2 L
B L' B2 U F' U2 L2
L' R2 D' B2 U' B' L
L' R2 D2 B' U' B2 L
L' R2 D2 B2 U' B' L
L' R2 B' U R' U2 B2
L' R2 B' U' L B2 L
L' R2 B' U' L' B2 L
L' R2 B' U' L2 B2 L
L' R2 B' U' B2 L D
L' R2 B' U' B2 L D'
L' R2 B' U' B2 L D2
L' R2 B' U' B2 D L
L' R2 B' U' B2 D' L
L' R2 B' U' B2 D2 L
L R2 B' L2 U' B2 L
L2 R2 B' U' B2 L F
R2 L2 B' U' B2 L F
L' R2 B2 R U' B' L
L' R2 B2 R' U' B' L
L' R2 B2 R2 U' B' L
L' R2 B2 U' B' L D
L' R2 B2 U' B' L D'
L' R2 B2 U' B' L D2
L' R2 B2 U' B' D L
L' R2 B2 U' B' D' L
L' R2 B2 U' B' D2 L
L' U F' R U' B U'
L' U F' R' U F' U
L' U F' U F' U L'
L' U F' U' B U' L
F' R U' F L' B' U'
R U' L' B' R' U' R
F' R' U' F L' B' U'
B R' D2 L' U' L2 B'
B2 R2 L' U' B' L B2
D2 R2 L' B' U' B2 L
D' R2 L' B' U' B2 L
L' U2 F U' R F2 U2
L' U2 F U' F2 U2 L'
D2 R2 L' B2 U' B' L
B R2 L' U' L' B L'
B R2 L' U' L2 D B
B R2 L' U' L2 D' B
B R2 L' U' L2 D2 B
B R2 L' U' L2 B D
B R2 L' U' L2 B D'
B R2 L' U' L2 B D2
D' R2 L' B2 U' B' L
U' R2 L' B' U' R2 B2
U' R2 L' B' U' B2 R2
B R2 L' U' B L2 D
B R2 L' U' B L2 D'
B R2 L' U' B L2 D2
B R2 L' U' B' L2 B2
B2 R2 L' B' U' L B2
B R2 L' D' B2 U' B'
D R2 L' B' U' B2 L
B R2 L' B' U' L2 B2
B R2 L' B' U' B2 L2
D R2 L' B2 U' B' L
B R2 L' B2 U' B' L2
L' U2 F2 U' F U2 L'
F' R2 U' F L' B' U'
B R2 U' L D F2 B
B R2 U' L D B F2
B R2 U' L B D F2
B R2 D L' U' L2 B
B R2 D L' U' B L2
B R2 D' L' U' L2 B
B R2 D' L' U' B L2
B R2 D2 L' U' L2 B
B R2 D2 L' U' B L2
R' D L' B R' U' L
R2 D L' B' U' B2 L
R2 D L' B2 U' B' L
D' R2 B' L' U' B2 L
D2 R2 B' L' U' B2 L
B2 R2 B' L' U' L2 B2
B2 R2 B' L' U' B2 L2
L' D R2 B' U' B2 L
L' D R2 B2 U' B' L
D R2 B' L' U' B2 L
R' D B L' R' U' L2
R' D B R' L' U' L2
L' D B R2 U' L B
L' D B U F' U2 L
L' D B' U F' R' U2
R2 D B' L' U' B2 L
R2 D' L' B' U' B2 L
R2 D' L' B2 U' B' L
B' U F' D R' B U2
L' D' R2 B' U' B2 L
L' D' R2 B2 U' B' L
L' D' B R2 U' L B
L' D' B U F' U2 L
L' D' B' U F' R' U2
R2 D' B' L' U' B2 L
F' U' F L' D B' U'
F' U' F L' D' B' U'
F' U' F L' D2 B' U'
F' U' F L' B' U' D
F' U' F L' B' U' D'
F' U' F L' B' U' D2
F' U' F L' B' D U'
F' U' F L' B' D' U'
F' U' F L' B' D2 U'
F' U' F D L' B' U'
F' U' F D' L' B' U'
F' U' F D2 L' B' U'
F' U' F B L' B' U'
F' U' F B' L' B' U'
F' U' F B2 L' B' U'
R2 D2 L' B' U' B2 L
R2 D2 L' B2 U' B' L
F' U' B F L' B' U'
L' D2 R2 B' U' B2 L
L' D2 R2 B2 U' B' L
F' U' B' F L' B' U'
F' U' B2 F L' B' U'
R' D2 B L' U' L2 B'
L' D2 B R2 U' L B
L' D2 B U F' U2 L
L' D2 B' U F' R' U2
R2 D2 B' L' U' B2 L
U2 F U' R F2 B U2
U2 F U' R B F2 U2
B' D L' U F' R' U2
B D L' R2 U' L2 B
B D L' R2 U' B L2
B D L' U F' U2 L2
B D R2 L' U' L2 B
B D R2 L' U' B L2
U F' R' U F' R U
D2 F' U' F L' B' U'
D' F' U' F L' B' U'
L' F' U' F U' F' L'
U F' U F' R U L'
B' D' L' U F' R' U2
D F' U' F L' B' U'
B2 D' L' R2 U' B L
B D' L' R2 U' L2 B
B D' L' R2 U' B L2
B D' L' U F' U2 L2
B2 D' R2 L' U' B L
B D' R2 L' U' L2 B
B D' R2 L' U' B L2
U2 F2 R U' F U2 L'
B' D2 L' U F' R' U2
B2 D2 L' U F' R U2
B D2 L' R2 U' L2 B
B D2 L' R2 U' B L2
B D2 L' U F' U2 L2
L F2 D F2 R2 B L
B D2 R2 L' U' L2 B
B D2 R2 L' U' B L2
R' B L' R' U' L2 B
R' B L' R' U' B L2
D2 B L' R2 U' L2 B
D2 B L' R2 U' B L2
D' B L' R2 U' L2 B
D' B L' R2 U' B L2
D2 B L' U F' U2 L2
D' B L' U F' U2 L2
R2 B L D F2 D R2
R2 B L F2 D R2 F2
R2 B L F2 D F2 R2
R2 B L' U' L2 D' B2
D B L' R2 U' L2 B
D B L' R2 U' B L2
D B L' U F' U2 L2
R2 B L' D' B2 U' B2
R2 B L' B U' B' L2
R2 B L' B' U' L2 B
R2 B L' B' U' B L2
R2 B L' B2 U' L2 B2
R2 B L' B2 U' B2 L2
R B L' R U' L2 B
R B L' R U' B L2
R' B R' L' U' L2 B
R' B R' L' U' B L2
L B L2 R2 U' L' B
L B L2 R2 U' B L'
L' B R' U' D2 L B'
L' B R' D2 U' L B'
D2 B R2 L' U' L2 B
D2 B R2 L' U' B L2
D' B R2 L' U' L2 B
D' B R2 L' U' B L2
L' B R2 U' L D B
L' B R2 U' L D' B
L' B R2 U' L D2 B
L' B R2 U' L B D
L' B R2 U' L B D'
L' B R2 U' L B D2
L' B R2 U' L' B L2
L' B R2 U' L2 B L'
L' B R2 U' D L B
L' B R2 U' D' L B
L' B R2 U' D2 L B
L' B R2 D U' L B
R B R L' U' L2 B
R B R L' U' B L2
L' B R2 D' U' L B
L' B R2 D2 U' L B
L' B U R2 U2 L B
D B R2 L' U' L2 B
D B R2 L' U' B L2
L' B U D F' U2 L
L' B U D' F' U2 L
L' B U D2 F' U2 L
L' B U F' R U2 L
L' B U F' R' U2 L
L' B U F' R2 U2 L
L' B U F' U2 L D
L' B U F' U2 L D'
L' B U F' U2 L D2
L' B U F' U2 D L
L' B U F' U2 D' L
L' B U F' U2 D2 L
L' B U F' D U2 L
L' B U F' D' U2 L
L' B U F' D2 U2 L
L' B U' L R2 B R2
L' B U' L U2 F' U2
L B R2 L2 U' L' B
L B R2 L2 U' B L'
L' B U' R2 L B R2
L' B D R2 U' L B
L' B D U F' U2 L
L' B D' R2 U' L B
L' B D' U F' U2 L
R' B D2 L' U' L2 B'
L' B D2 R2 U' L B
L' B D2 U F' U2 L
F' B U' F L' U' L2
R' B' L' U R' U2 B
D2 B' L' U F' R' U2
D' B' L' U F' R' U2
R2 B' L' U R' U2 B2
R2 B' L' U' L B2 L
R2 B' L' U' L' B2 L
R2 B' L' U' L2 B2 L
R2 B' L' U' B2 L D
R2 B' L' U' B2 L D'
R2 B' L' U' B2 L D2
R2 B' L' U' B2 D L
R2 B' L' U' B2 D' L
R2 B' L' U' B2 D2 L
D B' L' U F' R' U2
R2 B' L' B' U' B' L
L B' L2 U F' R' U2
L' B' U D F' R' U2
L' B' U D' F' R' U2
L' B' U D2 F' R' U2
L' B' U F R' F2 U2
L' B' U F' R' U2 D
L' B' U F' R' U2 D'
L' B' U F' R' U2 D2
L' B' U F' R' D U2
L' B' U F' R' D' U2
L' B' U F' R' D2 U2
L' B' U F' D R' U2
L' B' U F' D' R' U2
L' B' U F' D2 R' U2
L' B' U F2 R' F U2
L2 B' U F' R' U2 F'
B' F' R' U' F L' U'
R2 B' U' B2 L D F2
F' B' R' U' F L' U'
L' B' D U F' R' U2
L' B' D' U F' R' U2
L' B' D2 U F' R' U2
B F' U' F L' U' L2
R2 B2 L' U' L B' L
R2 B2 L' U' B' L B'
R2 B2 L' B' U' L B'
L' B2 R2 U' B' L B2
L' B2 R2 B' U' L B2
L' B2 U D2 F' R U2
R2 B2 U' B' L D F2
L' B2 D' R2 U' B L
L' B2 D2 U F' R U2
