F' L R2 B U' B'
U L D' F' U' L2
U L D2 F' B2 U'
U L D2 B2 F' U'
U L F' U2 F' U
D2 L F' B2 U' B2
D2 L B2 F' U' B2
D' L2 U L' F' U'
F' R2 L B U' B'
D2 U L F' B2 U'
D' U L F' U' L
D2 U L B2 F' U'
D2 U F' L B2 U'
D' U F' L U' L
F2 U F L U' L'
U D' L F' U' L
U D' F' L U' L
U D2 L F' B2 U'
U D2 L B2 F' U'
U D2 F' L B2 U'
L D2 F' B2 U' B2
L D2 B2 F' U' B2
D2 F' L B2 U' B2
U F' L U2 F' U
L F' R2 B U' B'
U' F2 U2 F L U'
D' L2 U L' D F' U'
D' L2 U L' D' F' U'
D' L2 U L' D2 F' U'
D2 L2 U L' B2 F' U'
D' L2 U L' F' U' D
D' L2 U L' F' U' D'
D' L2 U L' F' U' D2
D' L2 U L' F' D U'
D' L2 U L' F' D' U'
D' L2 U L' F' D2 U'
D' L2 U L2 F' L U'
D' L2 U D L' F' U'
D' L2 U D' L' F' U'
D' L2 U D2 L' F' U'
D2 L2 U B2 L' F' U'
R L2 F2 R B U B'
F L2 U B' L' F2 U'
L2 R2 F2 B R U B'
R2 L2 F2 B R U B'
L2 R2 B F2 R U B'
R2 L2 B F2 R U B'
D' L2 D U L' F' U'
D' L2 D' U L' F' U'
R2 U L U2 F2 B U
R2 U L U2 B F2 U
D' L2 D2 U L' F' U'
U L2 D2 L' F' B2 U'
U L2 D2 L' B2 F' U'
L2 U L' D' F' U' L2
L2 U L' D2 F' B2 U'
L2 U L' D2 B2 F' U'
L2 U L' F' U2 F' U
U L2 D2 B2 L' F' U'
L' U L2 D' F' U' L2
L' U L2 D2 F' B2 U'
L' U L2 D2 B2 F' U'
L' U L2 F' U2 F' U
U' L2 F2 L2 R B' U
U' L2 F2 L2 B' R U
U' L2 F2 R L2 B' U
U L2 F' U2 F' R U
F L2 B' L' F2 U' B
F2 L2 B' U2 L' U' B
D2 L2 B2 L' F' U' B2
L2 U D2 L' F' B2 U'
L2 U D2 L' B2 F' U'
F' R L B' U' B L
L' U F L2 F2 B' U'
L' U F L2 B' F2 U'
L2 U D2 B2 L' F' U'
L' U F' L2 U2 F' U
L2 U F' U2 F' R U
L U F' U2 F' U F
F2 R U F L U' L'
L2 U' R F2 R B U
U' R F2 U2 L F U'
L2 U' R2 F2 B R U
F' R B' U' B L F
L2 U' R2 B F2 R U
L U' R2 F2 B U F2
L U' R2 B F2 U F2
F2 R' U F L U' L'
L2 U' F2 R U2 F U'
L' U' F2 U2 F L2 U'
R' U' F2 B2 R' B U
L U' F2 U2 F U' F
R2 U' F2 B2 R' B' U
R U' F2 B' U R' F'
R' U' B2 R' F2 B U
R' U' B2 R' B F2 U
R' U' B2 F2 R' B U
R2 U' B2 R' F2 B' U
R U' B' F2 U R' F'
R2 U' B2 R' B' F2 U
R2 U' B2 F2 R' B' U
F' R' D2 L B' U' B
U' R' F2 B2 R' B U
U' R' B2 R' F2 B U
U' R' B2 R' B F2 U
U' R' B2 F2 R' B U
F' R2 L D B U' B'
F' R2 L D' B U' B'
F' R2 L D2 B U' B'
F' R2 L B R U' B'
F' R2 L B R' U' B'
F' R2 L B R2 U' B'
F' R2 L B U' D B'
F' R2 L B U' D' B'
F' R2 L B U' D2 B'
F' R2 L B U' B' D
F' R2 L B U' B' D'
F' R2 L B U' B' D2
F' R2 L B D U' B'
F' R2 L B D' U' B'
F' R2 L B D2 U' B'
F2 R2 U F L U' L'
L U2 F2 D' L2 B' U
F' R2 D L B U' B'
F' R2 D' L B U' B'
F' R2 D2 L B U' B'
U' R2 F2 B2 R' B' U
B R2 F2 B R' U B2
B R2 B R' F2 U B2
B R2 B F2 R' U B2
U' R2 B2 R' F2 B' U
U' R2 B2 R' B' F2 U
U' R2 B2 F2 R' B' U
D' U L D F' U' L
D2 U L D F' U' L2
D' U L D' F' U' L
D' U L D2 F' U' L
D' U L F' U' L D
D' U L F' U' L D'
D' U L F' U' L D2
D' U L F' U' D L
D' U L F' U' D' L
D' U L F' U' D2 L
D' U L F' D U' L
D' U L F' D' U' L
D' U L F' D2 U' L
D2 U L F' U' D L2
D2 U L F' D U' L2
D2 U L F' B2 U' D
D2 U L F' B2 U' D'
D2 U L F' B2 U' D2
D2 U L F' B2 D U'
D2 U L F' B2 D' U'
D2 U L F' B2 D2 U'
D2 U L B2 D F' U'
D2 U L B2 D' F' U'
D2 U L B2 D2 F' U'
D2 U L B2 F' U' D
D2 U L B2 F' U' D'
D2 U L B2 F' U' D2
D2 U L B2 F' D U'
D2 U L B2 F' D' U'
D2 U L B2 F' D2 U'
D U L D F' B2 U'
D U L D B2 F' U'
D U L D2 F' U' L2
D U L F' U R2 U2
D U L F' U' D2 L2
D U L F' D B2 U'
D U L F' D2 U' L2
D2 U L' F' L2 B2 U'
D2 U L' F' B2 L2 U'
U D L D F' B2 U'
U D L D B2 F' U'
U D L D2 F' U' L2
D2 U L' B2 L2 F' U'
D2 U L' B2 F' L2 U'
U D L F' U R2 U2
U D L F' U' D2 L2
U D L F' D B2 U'
U D L F' D2 U' L2
D2 U L2 B2 L' F' U'
L D F' D B2 U' B2
F U L2 B' L' F2 U'
D' U F L F2 U' L
D2 U F L F2 B2 U'
D2 U F L B2 F2 U'
F2 U D F L U' L'
D' U F' L U' L D
D' U F' L U' L D'
D' U F' L U' L D2
D' U F' L U' D L
D' U F' L U' D' L
D' U F' L U' D2 L
D' U F' L D U' L
D' U F' L D' U' L
D' U F' L D2 U' L
D2 U F' L U' D L2
D2 U F' L D U' L2
D2 U F' L B2 U' D
D2 U F' L B2 U' D'
D2 U F' L B2 U' D2
D2 U F' L B2 D U'
D2 U F' L B2 D' U'
D2 U F' L B2 D2 U'
D2 U F' L' B2 L2 U'
D2 U F' L2 B2 L' U'
F2 U D' F L U' L'
D' U F' D' L B2 U'
D2 U F' D L U' L
D U F' L U R2 U2
D U F' L U' D2 L2
D U F' L D B2 U'
D U F' L D2 U' L2
D2 U F' B2 U2 R' U
U D F' L U R2 U2
U D F' L U' D2 L2
U D F' L D B2 U'
U D F' L D2 U' L2
F2 U D2 F L U' L'
D U F' D L B2 U'
D U F' D2 L U' L
F2 U F L U' L' D
F2 U F L U' L' D'
F2 U F L U' L' D2
F2 U F L U' D L'
F2 U F L U' D' L'
F2 U F L U' D2 L'
F2 U F L D U' L'
F2 U F L D' U' L'
F2 U F L D2 U' L'
F2 U F L B U' L'
F2 U F L B' U' L'
F2 U F L B2 U' L'
U D F' D L B2 U'
U D F' D2 L U' L
R' D' L2 F' D R F'
F2 U F D L U' L'
F2 U F D' L U' L'
F2 U F D2 L U' L'
L2 D' L2 U L F' U'
L2 D' L2 U F' L U'
L D' L2 U L2 F' U'
L D' L2 U F' L2 U'
L D' L2 F D R2 F2
L D' L2 F D F2 R2
F U F2 L U2 F' U
D2 U B2 F' U2 R' U
U D' L D F' U' L
U D' L D' F' U' L
U D' L D2 F' U' L
U D' L F' U' L D
U D' L F' U' L D'
U D' L F' U' L D2
U D' L F' U' D L
U D' L F' U' D' L
U D' L F' U' D2 L
U D' L F' D U' L
U D' L F' D' U' L
U D' L F' D2 U' L
L D' F L2 D R2 F2
L D' F L2 D F2 R2
L D' F' U' L2 D' B2
L D' F' D' B2 U' B2
L D' F' B U' B' L2
L D' F' B' U' L2 B
L D' F' B' U' B L2
L D' F' B2 U' L2 B2
L D' F' B2 U' B2 L2
U D' F L F2 U' L
U2 D' F' L U' L B'
U D' F' L U' L D
U D' F' L U' L D'
U D' F' L U' L D2
U D' F' L U' D L
U D' F' L U' D' L
U D' F' L U' D2 L
U D' F' L D U' L
U D' F' L D' U' L
U D' F' L D2 U' L
L D' B F' U' B' L2
U D' F' D' L B2 U'
L D' B' F' U' L2 B
L D' B' F' U' B L2
L D' B2 F' U' L2 B2
L D' B2 F' U' B2 L2
L2 D2 L' F' B2 U' B2
L2 D2 L' B2 F' U' B2
F U' D2 F B2 R' U
F U' D2 B2 R' F U
F U' D2 B2 F R' U
F' U' F' B2 R' U R
F U' F U2 F L U'
U D2 L D F' U' L2
U D2 L F' U' D L2
U D2 L F' D U' L2
U D2 L F' B2 U' D
U D2 L F' B2 U' D'
U D2 L F' B2 U' D2
U D2 L F' B2 D U'
U D2 L F' B2 D' U'
U D2 L F' B2 D2 U'
U D2 L B2 D F' U'
U D2 L B2 D' F' U'
U D2 L B2 D2 F' U'
U D2 L B2 F' U' D
U D2 L B2 F' U' D'
U D2 L B2 F' U' D2
U D2 L B2 F' D U'
U D2 L B2 F' D' U'
U D2 L B2 F' D2 U'
U D2 L' F' L2 B2 U'
U D2 L' F' B2 L2 U'
U D2 L' B2 L2 F' U'
U D2 L' B2 F' L2 U'
L2 D2 U L' F' B2 U'
L2 D2 U L' B2 F' U'
U D2 L2 B2 L' F' U'
L2 D2 U B2 L' F' U'
F' U' B2 F' R' U R
D' U2 F' L U' L B'
U D2 F L F2 B2 U'
U D2 F L B2 F2 U'
U D2 F' L U' D L2
U D2 F' L D U' L2
U D2 F' L B2 U' D
U D2 F' L B2 U' D'
U D2 F' L B2 U' D2
U D2 F' L B2 D U'
U D2 F' L B2 D' U'
U D2 F' L B2 D2 U'
U D2 F' L' B2 L2 U'
U D2 F' L2 B2 L' U'
L D2 F' R B2 U' B2
L D2 F' R' B2 U' B2
L D2 F' R2 B2 U' B2
U D2 F' D L U' L
U D2 F' B2 U2 R' U
L D2 F' B2 R U' B2
L D2 F' B2 R' U' B2
L D2 F' B2 R2 U' B2
L D2 F' B2 U' B2 D
L D2 F' B2 U' B2 D'
L D2 F' B2 U' B2 D2
L D2 F' B2 D' R2 U'
L2 D2 B2 L' F' U' B2
D2 F L F2 B2 U' B2
D2 F L B2 F2 U' B2
D' F L' D L' R2 F2
D' F L' D L' F2 R2
D' F L' D R2 L' F2
D2 F L' D L2 R2 F2
D2 F L' D L2 F2 R2
D2 F L' D R2 L2 F2
D2 F L' D R2 F2 L2
D2 F L' D F2 L2 R2
D2 F L' D F2 R2 L2
L D2 B2 D' F' R2 U'
U D2 B2 F' U2 R' U
L D2 B2 F' R U' B2
L D2 B2 F' R' U' B2
L D2 B2 F' R2 U' B2
L D2 B2 F' U' B2 D
L D2 B2 F' U' B2 D'
L D2 B2 F' U' B2 D2
L D2 B2 F' D' R2 U'
F2 U2 F L R2 U' B
F2 U2 F L U F' U2
D' F L2 U L' F2 U'
F2 U2 F R2 L U' B
L' F L2 F2 B' U' B
L' F L2 B' F2 U' B
U F L2 B' L' F2 U'
D' F U L F2 U' L
D2 F U L F2 B2 U'
D2 F U L B2 F2 U'
L' F U L2 F2 B' U'
L' F U L2 B' F2 U'
D' F U F2 L U' L
D2 F U F2 L B2 U'
F' D L R2 B U' B'
U' F D2 F B2 R' U
U' F D2 B2 R' F U
U' F D2 B2 F R' U
F' D R2 L B U' B'
F2 D U F L U' L'
D2 F' L R B2 U' B2
U' F' L U2 L' F' U
D2 F' L R' B2 U' B2
D2 F' L R2 B2 U' B2
D' F' L B U' B' L
D2 F' L B2 R U' B2
D2 F' L B2 R' U' B2
D2 F' L B2 R2 U' B2
D' F' L B2 U' B2 L
D2 F' L B2 U' B2 D
D2 F' L B2 U' B2 D'
D2 F' L B2 U' B2 D2
D2 F' L B2 D' R2 U'
D F' L D B2 U' B2
D2 F' L' B2 L2 U' B2
U F' L R2 B R2 U'
U F' L U2 D F' U
U F' L U2 D' F' U
U F' L U2 D2 F' U
U F' L U2 F' U D
U F' L U2 F' U D'
U F' L U2 F' U D2
U F' L U2 F' D U
U F' L U2 F' D' U
U F' L U2 F' D2 U
U F' L D U2 F' U
U F' L D' U2 F' U
L' F' L2 R2 B U' B'
U F' L D2 U2 F' U
U F' L B U2 F' U
U F' L B' U2 F' U
U F' L B2 U2 F' U
D2 F' L2 B2 L' U' B2
D2 F' R L B2 U' B2
D2 F' R' L B2 U' B2
D2 F' R2 L B2 U' B2
L' F' R2 L2 B U' B'
L F' R B' U' B L
U F' R2 L B R2 U'
L F' R2 D B U' B'
L F' R2 D' B U' B'
L F' R2 D2 B U' B'
L F' R2 B R U' B'
L F' R2 B R' U' B'
L F' R2 B R2 U' B'
L F' R2 B U' D B'
L F' R2 B U' D' B'
L F' R2 B U' D2 B'
L F' R2 B U' B' D
L F' R2 B U' B' D'
L F' R2 B U' B' D2
L F' R2 B D U' B'
L F' R2 B D' U' B'
L F' R2 B D2 U' B'
F' D' L R2 B U' B'
L2 F' U' F' R U R'
D' F' D' L B2 U' B2
D F' D L B2 U' B2
U F' U2 F' U2 L U'
L F' U2 F' L2 U B'
L F' U2 F' U' F U2
U F' D L U2 F' U
L F' D R2 B U' B'
U F' D' L U2 F' U
L F' D' R2 B U' B'
F' D' R2 L B U' B'
U F' D2 L U2 F' U
L F' D2 R2 B U' B'
D2 F' B2 U2 R' U B2
L F' B R2 B U' B2
F2 D' U F L U' L'
L F' B U2 F' U B'
L F' B' U2 F' U B
L F' B2 R2 B U' B
U F' B2 U2 F' R' U
L F' B2 U2 F' U B2
L F' B2 D' R2 B U'
L2 F2 L2 R B' U B
U' F2 R U2 F L U'
L2 F2 R L2 B' U B
U' F2 R' U2 F L U'
U' F2 R2 U2 F L U'
D2 F2 U F L B2 U'
D' F2 U F L U' L
L' F2 U F L2 U' L2
F' D2 L R2 B U' B'
U' F2 U2 D F L U'
U' F2 U2 D' F L U'
U' F2 U2 D2 F L U'
U' F2 U2 F L U' D
U' F2 U2 F L U' D'
U' F2 U2 F L U' D2
U' F2 U2 F L D U'
U' F2 U2 F L D' U'
U' F2 U2 F L D2 U'
U' F2 U2 F D L U'
U' F2 U2 F D' L U'
U' F2 U2 F D2 L U'
U' F2 U2 F' L F2 U'
U' F2 U2 F2 L F' U'
U' F2 D U2 F L U'
U' F2 D' U2 F L U'
U' F2 D2 U2 F L U'
F' D2 R2 L B U' B'
U' F2 B2 R' U2 F U'
R' F2 B2 R' B U B
F2 D2 U F L U' L'
R2 F2 B2 R' B' U B'
F D2 U' F B2 R' U
F D2 U' B2 R' F U
F D2 U' B2 F R' U
F D2 F B2 R' U B2
U' B R2 F2 B R' U
U' B R2 B R' F2 U
U' B R2 B F2 R' U
F D2 B2 R' F U B2
F D2 B2 F R' U B2
L B D' F' U' B' L2
L B D2 F' B2 U' B
L B D2 B2 F' U' B
L B F' R2 B U' B2
L B F' U2 F' U B'
F2 B' L2 B' R' U B2
L B' D' F' U' L2 B
L B' D' F' U' B L2
L B' D2 F' B2 U' B'
B2 F' U2 F' R' U B2
L B' D2 B2 F' U' B'
L B' F' U2 F' U B
R' B2 R' F2 B U B
R' B2 R' B F2 U B
B2 F2 L2 R' B' U B'
B' F2 L2 B' R' U B2
F2 B2 L2 R' B' U B'
U' B2 R2 B R F2 U
R2 B2 R' F2 B' U B'
R2 B2 R' B' F2 U B'
B2 F2 R' L2 B' U B'
F2 B2 R' L2 B' U B'
B2 F2 R' U2 F U' B2
B2 F2 R' D L2 B' U
F2 B2 R' U2 F U' B2
F2 B2 R' D L2 B' U
F' B2 U2 F' R' U B2
B2 F2 D L2 R' B' U
B2 F2 D R' L2 B' U
F2 B2 D L2 R' B' U
F2 B2 D R' L2 B' U
L B2 D' F' R2 U' L2
D2 B2 F' U2 R' U B2
U' B2 F2 R' U2 F U'
R' B2 F2 R' B U B
U B2 D2 F' B2 L U'
U B2 D2 B2 L F' U'
U B2 D2 B2 F' L U'
R2 B2 F2 R' B' U B'
L B2 F' R2 B U' B
L B2 F' U2 F' U B2
U B2 F' U2 F' R' U
L B2 F' D' R2 B U'
