U L' D F2 R
D' B2 R' U L'
U2 L U L U2 L
U2 L D' B2 U' R'
D L F2 R U' L2
U2 L B2 U' L2 R'
U2 L B2 U' R' L2
U L' R D F2 R
U L' R' D F2 R
U L' R2 D F2 R
U L' D R F2 R
U L' D R' F2 R
U L' D R2 F2 R
U L' D F2 R D
U L' D F2 R D'
U L' D F2 R D2
U L' D F2 D R
U L' D F2 D' R
U L' D F2 D2 R
U L' F2 R D F2
U L' F2 D R F2
U' L2 U' L' U' L2
U' L2 U2 L D F2
R' U L' D F2 R
R2 U L' D F2 R
R U L' D F2 R
U R L' D F2 R
D' R B2 R' U L'
U R' L' D F2 R
B2 R' U D2 L' R2
B2 R' U D2 R2 L'
B2 R' U' L2 U2 L
B2 R' D' B2 U L'
B2 R' D2 U L' R2
B2 R' D2 U R2 L'
D' R' B2 R' U L'
U R2 L' D F2 R
D' R2 B2 R' U L'
U2 D L F2 U' L2
D2 U L' R2 D F2
U D L' D R2 F2
U D L' D F2 R2
D U L' D R2 F2
D U L' D F2 R2
D2 U R2 L' D F2
R' D' B2 R' U L'
R2 D' B2 R' U L'
R D' B2 R' U L'
U2 D2 L U' L2 R2
U2 D2 L U' R2 L2
D2 U2 L U' L2 R2
D2 U2 L U' R2 L2
D U2 L F2 U' L2
U D2 L' R2 D F2
U D2 L' R2 D F2
U D2 R2 L' D F2
B2 D' R' B2 U L'
B2 D2 R' U L' R'
B2 D2 R' U R' L'
D2 B2 R' U L' R'
D2 B2 R' U R' L'
D' B2 R' U L' D
D' B2 R' U L' D'
D' B2 R' U L' D2
D' B2 R' U D L'
D' B2 R' U D' L'
D' B2 R' U D2 L'
D' B2 R' D U L'
D' B2 R' D' U L'
D' B2 R' D2 U L'
D' B2 D R' U L'
D' B2 D' R' U L'
D' B2 D2 R' U L'
U L F' L2 D F2 R
U2 L F' D' B2 U' R'
U2 L F' B2 U' L2 R'
U2 L F' B2 U' R' L2
D2 L F2 R U' L2 R
D2 L F2 R U' R L2
D L F2 R U' L2 D
D L F2 R U' L2 D'
D L F2 R U' L2 D2
D L F2 R D' B2 U'
D L F2 R B U' L2
D L F2 R B' U' L2
D L F2 R B2 U' L2
U L F2 L2 D F2 R
U2 L F2 U L U2 L
D L F2 D' R B2 U'
U2 L F2 D' B2 U' R'
D L F2 D' B2 R U'
D L F2 B R U' L2
D L F2 B' R U' L2
U2 L F2 B2 U' L2 R'
U2 L F2 B2 U' R' L2
D L F2 B2 R U' L2
D L B F2 R U' L2
D L B' F2 R U' L2
U2 L B2 U' L2 R' D
U2 L B2 U' L2 R' D'
U2 L B2 U' L2 R' D2
U2 L B2 U' L2 D R'
U2 L B2 U' L2 D R'
U2 L B2 U' L2 D' R'
U2 L B2 U' L2 D2 R'
U2 L B2 U' R' L2 D
U2 L B2 U' R' L2 D'
U2 L B2 U' R' L2 D2
U L B2 U' L2 R' B2
U L B2 U' R' L2 B2
U L B2 U' R' B2 L2
U2 L B2 F U' L2 R'
U2 L B2 F U' R' L2
U2 L B2 F' U' L2 R'
U2 L B2 F' U' R' L2
D L B2 F2 R U' L2
U2 L B2 F2 U' L2 R'
U2 L B2 F2 U' R' L2
U L' R D R F2 R
U L' R D R' F2 R
U L' R D R2 F2 R
U L' R D F2 R D
U L' R D F2 R D'
U L' R D F2 R D2
U L' R D F2 D R
U L' R D F2 D' R
U L' R D F2 D2 R
U L' R F2 R D F2
U L' R F2 D R F2
U L' R' D R F2 R
U L' R' D R' F2 R
U L' R' D R2 F2 R
U L' R' D F2 R D
U L' R' D F2 R D'
U L' R' D F2 R D2
U L' R' D F2 D R
U L' R' D F2 D' R
U L' R' D F2 D2 R
U L' R' F2 R D F2
U L' R' F2 D R F2
U2 L' R2 D F2 R B2
U2 L' R2 D F2 B2 R
U2 L' R2 D B2 F2 R
U L' R2 D R F2 R
U L' R2 D R' F2 R
U L' R2 D R2 F2 R
U L' R2 D F2 R D
U L' R2 D F2 R D'
U L' R2 D F2 R D2
U L' R2 D F2 D R
U L' R2 D F2 D' R
U L' R2 D F2 D2 R
U L' R2 F2 R D F2
U L' R2 F2 D R F2
D L' U L2 F2 R U'
U L' U L2 U L U2
D' L' U' L B2 R' U
U L' U F2 L2 U' R
U L' U2 L' U' L' U'
U L' U2 D L' U2 F2
U L' U2 D' L' B2 U2
U L' U2 D' B2 L' U2
U' L' D L' U2 L F2
U' L' D L' U2 F2 L
U L' D R F2 R D
U L' D R F2 R D'
U L' D R F2 R D2
U L' D R F2 D R
U L' D R F2 D' R
U L' D R F2 D2 R
U L' D R' F2 R D
U L' D R' F2 R D'
U L' D R' F2 R D2
U L' D R' F2 D R
U L' D R' F2 D' R
U L' D R' F2 D2 R
U' L' D F2 R D2 B2
U L' D R2 F2 R D
U L' D R2 F2 R D'
U L' D R2 F2 R D2
U L' D R2 F2 D R
U L' D R2 F2 D' R
U L' D R2 F2 D2 R
U' L' D F2 D2 R B2
U' L' D F2 D2 B2 R
U L' D U2 L' U2 F2
U L' D F R F R
U L' D F R' F R
U L' D F R2 F R
U L' D F D F R
U L' D F D' F R
U L' D F D2 F R
U L' D F2 R2 D R'
U L' D F2 R2 D' R'
U L' D F2 R2 D2 R'
U L' D F2 D R D
U L' D F2 D R D'
U L' D F2 D R D2
U' L' D' L' B2 R' U2
U L' D F2 D' R D
U L' D F2 D' R D'
U L' D F2 D' R D2
U L' D F2 D2 R D
U L' D F2 D2 R D'
U L' D F2 D2 R D2
U L' D F2 B R B'
U L' D F2 B2 R B2
U L' D B F2 R B'
U L' D B2 F2 R B2
U L' D' R D2 F2 R
U L' D' R' D2 F2 R
U L' D' R2 D2 F2 R
U L' D' U2 L' B2 U2
U' L' D' B2 L' U2 L
U L' D' U2 B2 L' U2
U L' D' F2 R D2 F2
U L' D' F2 D2 R F2
U L' D2 F2 D' R F2
U L' F D F R F
U2 L' F2 L2 U' L2 R
U2 L' F2 L2 U' R L2
U L' F2 R U L2 U'
U L' F2 R D F2 D
U L' F2 R D F2 D'
U L' F2 R D F2 D2
U L' F2 R F D F2
U L' F2 R F' D F2
U L' F2 R F2 D F2
U L' F2 R2 D R' F2
U L' F2 R2 D F2 R'
U L' F2 U L2 U' R
U L' F2 D R F2 D
U L' F2 D R F2 D'
U L' F2 D R F2 D2
U L' F2 D R' F2 R2
U L' F2 D R2 F2 R'
U L' F2 D' R D2 F2
U L' B D F2 R B'
U L' B D F2 B' R
U L' B D B' F2 R
U L' B' D F2 B R
U L' B' D B F2 R
U' L2 R U' L' U' L2
U' L2 R U2 L D F2
U' L2 R' U' L' U' L2
U' L2 R' U2 L D F2
U' L2 R2 U' L' U' L2
U' L2 R2 U2 L D F2
B2 L2 U L2 R' U L'
B2 L2 U R' L2 U L'
U' L2 U F U L F
U' L2 U F2 R U L
U' L2 U' L' U' L2 D
U' L2 U' L' U' L2 D'
U' L2 U' L' U' L2 D2
U' L2 U' L' D' B2 U'
U' L2 U' L' B U' L2
U' L2 U' L' B' U' L2
U' L2 U' L' B2 U' L2
U' L2 U' D L' U' L2
U' L2 U' D' L' U' L2
U' L2 U' D2 L' U' L2
U' L2 U2 L U L2 U'
U' L2 U2 L D F2 D
U' L2 U2 L D F2 D'
U' L2 U2 L D F2 D2
U' L2 U2 L F D F2
U' L2 U2 L F' D F2
U' L2 U2 L F2 D F2
U' L2 U2 D L D F2
U' L2 U2 D' L D F2
U' L2 U2 D2 L D F2
U' L2 D U' L' U' L2
U' L2 D U2 L D F2
U L2 D L D F2 R
U' L2 D' U' L' U' L2
U' L2 D' U2 L D F2
U L2 D' L D F2 R
L U L U L2 U L'
L U L U2 D' L B2
R' U L' R D F2 R
L U L D F2 U2 L
R' U L' R' D F2 R
L U L D' U2 L B2
R' U L' R2 D F2 R
U' L2 D2 U' L' U' L2
U' L2 D2 U2 L D F2
U L2 D2 L D F2 R
R' U L' D R F2 R
R' U L' D R' F2 R
R' U L' D R2 F2 R
R' U L' D F2 R D
R' U L' D F2 R D'
R' U L' D F2 R D2
R' U L' D F2 D R
R' U L' D F2 D' R
R' U L' D F2 D2 R
R2 U L' R D F2 R
R2 U L' R' D F2 R
R2 U L' R2 D F2 R
R' U L' F2 R D F2
R' U L' F2 D R F2
R U L' R D F2 R
R U L' R' D F2 R
R U L' R2 D F2 R
R2 U L' D R F2 R
R2 U L' D R' F2 R
R2 U L' D R2 F2 R
R2 U L' D F2 R D
R2 U L' D F2 R D'
R2 U L' D F2 R D2
R2 U L' D F2 D R
R2 U L' D F2 D' R
R2 U L' D F2 D2 R
R U L' D R F2 R
R U L' D R' F2 R
R U L' D R2 F2 R
R U L' D F2 R D
R U L' D F2 R D'
R U L' D F2 R D2
R U L' D F2 D R
R U L' D F2 D' R
R U L' D F2 D2 R
R2 U L' F2 R D F2
R2 U L' F2 D R F2
R U L' F2 R D F2
R U L' F2 D R F2
L2 U L2 U L' D F2
L2 U L2 U2 L U' L2
R' U R L' D F2 R
R2 U R L' D F2 R
R U R L' D F2 R
R' U R' L' D F2 R
R2 U R' L' D F2 R
R U R' L' D F2 R
R' U R2 L' D F2 R
R2 U R2 L' D F2 R
R U R2 L' D F2 R
R' U D L' D R2 F2
R' U D L' D F2 R2
U' L2 B' U' L' B' U'
R2 U D L' D R2 F2
R2 U D L' D F2 R2
R U D L' D R2 F2
R U D L' D F2 R2
U' L2 B2 R' U' L' U'
R' U D2 L' R2 D F2
R' U D2 R2 L' D F2
R2 U D2 L' R2 D F2
R2 U D2 R2 L' D F2
R U D2 L' R2 D F2
D R L F2 R U' L2
R U D2 R2 L' D F2
U' R L2 U' L' U' L2
U R L' D R F2 R
U R L' D R' F2 R
U R L' D R2 F2 R
U' R L2 U2 L D F2
U R L' D F2 R D
U R L' D F2 R D'
U R L' D F2 R D2
U R L' D F2 D R
U R L' D F2 D' R
U R L' D F2 D2 R
U R L' F2 R D F2
U R L' F2 D R F2
D2 R U L' R D F2
D2 R U L' D R F2
D2 R U R L' D F2
B2 R U L' D' F2 R
D R U L' D R2 F2
D R U L' D F2 R2
L2 U F2 L2 R U L'
L2 U F2 R L2 U L'
D2 R U2 L U' L2 R
D2 R U2 L U' R L2
U' R U2 L' D F2 R
D R U2 L F2 U' L2
U R D L' D R2 F2
U R D L' D F2 R2
L' U' L D' B2 R' U
B2 R D' B2 U L' F2
U R D2 L' R2 D F2
U R D2 R2 L' D F2
L2 U' L' U2 L' U L'
D R D2 B2 R' U L'
R' U' L2 U' L' U' L2
R' U' L2 U2 L D F2
R2 U' L2 U' L' U' L2
R2 U' L2 U2 L D F2
R U' L2 U' L' U' L2
R U' L2 U2 L D F2
D2 R B2 R' U L' R2
D2 R B2 R' U R2 L'
D' R B2 R' U L' D
D' R B2 R' U L' D'
D' R B2 R' U L' D2
D' R B2 R' U D L'
D' R B2 R' U D' L'
D' R B2 R' U D2 L'
D' R B2 R' D U L'
D' R B2 R' D' U L'
D' R B2 R' D2 U L'
D' R B2 D R' U L'
D' R B2 D' R' U L'
L2 U' D' L' U' L2 B2
L2 U' D' L' U' B2 L2
D' R B2 D2 R' U L'
L2 U' D2 L' R2 U' L2
L2 U' D2 R2 L' U' L2
D R' L F2 R U' L2
U' R' L2 U' L' U' L2
U' R' L2 U2 L D F2
U R' L' D R F2 R
U R' L' D R' F2 R
U R' L' D R2 F2 R
U R' L' D F2 R D
U R' L' D F2 R D'
U R' L' D F2 R D2
U R' L' D F2 D R
U R' L' D F2 D' R
U R' L' D F2 D2 R
U R' L' F2 R D F2
U R' L' F2 D R F2
D2 R' U L' R' D F2
D2 R' U L' D R' F2
D2 R' U L' D F2 R'
D2 R' U R' L' D F2
B2 R' U L' U2 L' U2
B2 R' U L' F2 R F2
B2 R' U R D2 L' R2
B2 R' U R D2 R2 L'
B2 R' U R' D2 L' R2
B2 R' U R' D2 R2 L'
B2 R' U R2 D2 L' R2
B2 R' U R2 D2 R2 L'
D R' U L' D R2 F2
D R' U L' D F2 R2
B2 R' U D L' D R2
B2 R' U D' L' D' R2
B2 R' U D2 L' R2 D
B2 R' U D2 L' R2 D'
B2 R' U D2 L' R2 D2
B2 R' U D2 R2 L' D
B2 R' U D2 R2 L' D'
B2 R' U D2 R2 L' D2
B2 R' U D2 R2 D L'
B2 R' U D2 R2 D' L'
B2 R' U D2 R2 D2 L'
B2 R' U' L2 R U2 L
B2 R' U' L2 R' U2 L
B2 R' U' L2 R2 U2 L
B2 R' U' L2 U2 L D
B2 R' U' L2 U2 L D'
B2 R' U' L2 U2 L D2
B2 R' U' L2 U2 D L
B2 R' U' L2 U2 D' L
B2 R' U' L2 U2 D2 L
B2 R' U' L2 D U2 L
B2 R' U' L2 D' U2 L
B2 R' U' L2 D2 U2 L
B2 R' U' R L2 U2 L
B2 R' U' R' L2 U2 L
B2 R' U' R2 L2 U2 L
D2 R' U2 L U' L2 R'
D2 R' U2 L U' R' L2
U' R' U2 L' D F2 R
D R' U2 L F2 U' L2
B2 R' D U L' D R2
U R' D L' D R2 F2
U R' D L' D F2 R2
R' U2 L U L U2 L
B2 R' D' U L' D' R2
R' U2 L D' B2 U' R'
F2 R' D' F2 B2 R' U
B2 R' D' B2 U L' D
B2 R' D' B2 U L' D'
B2 R' D' B2 U L' D2
B2 R' D' B2 U D L'
B2 R' D' B2 U D' L'
B2 R' D' B2 U D2 L'
R2 U2 L U L U2 L
B2 R' D' B2 D U L'
B2 R' D' B2 D' U L'
B2 R' D' B2 D2 U L'
R' U2 L B2 U' L2 R'
R' U2 L B2 U' R' L2
F2 R' D' B2 R' F2 U
F2 R' D' B2 F2 R' U
R2 U2 L D' B2 U' R'
R U2 L U L U2 L
B2 R' D2 U L' R2 D
B2 R' D2 U L' R2 D'
B2 R' D2 U L' R2 D2
B2 R' D2 U R2 L' D
B2 R' D2 U R2 L' D'
B2 R' D2 U R2 L' D2
B2 R' D2 U R2 D L'
B2 R' D2 U R2 D' L'
B2 R' D2 U R2 D2 L'
R U2 L D' B2 U' R'
U R' D2 L' R2 D F2
R2 U2 L B2 U' L2 R'
R2 U2 L B2 U' R' L2
B2 R' D2 B U L' R2
B2 R' D2 B U R2 L'
B2 R' D2 B' U L' R2
B2 R' D2 B' U R2 L'
B2 R' D2 B2 U L' R2
B2 R' D2 B2 U R2 L'
U R' D2 R2 L' D F2
R U2 L B2 U' L2 R'
R U2 L B2 U' R' L2
D R' D2 B2 R' U L'
L U2 L' U D2 L' R2
L U2 L' U D2 R2 L'
L U2 L' U' L2 U2 L
L U2 L' D' B2 U L'
L U2 L' D2 U L' R2
L U2 L' D2 U R2 L'
B2 R' F2 U' L2 R U2
B2 R' F2 U' R L2 U2
B2 R' B U D2 L' R2
B2 R' B U D2 R2 L'
B2 R' B U' L2 U2 L
B2 R' B D' B2 U L'
B2 R' B D2 U L' R2
B2 R' B D2 U R2 L'
R' U2 D L F2 U' L2
B2 R' B' U D2 L' R2
B2 R' B' U D2 R2 L'
B2 R' B' U' L2 U2 L
B2 R' B' D' B2 U L'
B2 R' B' D2 U L' R2
B2 R' B' D2 U R2 L'
R2 U2 D L F2 U' L2
D' R' B2 R' U L' D
D' R' B2 R' U L' D'
D' R' B2 R' U L' D2
D' R' B2 R' U D L'
D' R' B2 R' U D' L'
D' R' B2 R' U D2 L'
D' R' B2 R' D U L'
D' R' B2 R' D' U L'
D' R' B2 R' D2 U L'
R U2 D L F2 U' L2
D' R' B2 D R' U L'
D' R' B2 D' R' U L'
B2 R' B2 U D2 L' R2
B2 R' B2 U D2 R2 L'
D' R' B2 D2 R' U L'
B2 R' B2 U' L2 U2 L
L2 U2 D' L B2 D F2
R' U2 D2 L U' L2 R2
R' U2 D2 L U' R2 L2
B2 R' B2 D' B2 U L'
B2 R' B2 D2 U L' R2
B2 R' B2 D2 U R2 L'
L2 U2 D2 L D F2 B2
L2 U2 D2 L D B2 F2
R2 U2 D2 L U' L2 R2
R2 U2 D2 L U' R2 L2
D R2 L F2 R U' L2
R U2 D2 L U' L2 R2
R U2 D2 L U' R2 L2
U2 R2 L' D F2 R B2
U2 R2 L' D F2 B2 R
U2 R2 L' D B2 F2 R
U' R2 L2 U' L' U' L2
U' R2 L2 U2 L D F2
U R2 L' D R F2 R
U R2 L' D R' F2 R
U R2 L' D R2 F2 R
U R2 L' D F2 R D
U R2 L' D F2 R D'
U R2 L' D F2 R D2
U R2 L' D F2 D R
U R2 L' D F2 D' R
U R2 L' D F2 D2 R
U R2 L' F2 R D F2
U R2 L' F2 D R F2
D R2 U L' D R2 F2
D R2 U L' D F2 R2
U' R2 U2 L' D F2 R
D R2 U2 L F2 U' L2
U R2 D L' D R2 F2
U R2 D L' D F2 R2
B2 R2 D' R B2 U L'
L U2 B2 L' U L' R'
L U2 B2 L' U R' L'
L' D L U L' F2 R
R' D L F2 R U' L2
B2 R2 D' B2 R U L'
F2 R2 D' B2 R' U L
B2 R2 D2 R U L' R
B2 R2 D2 R U R L'
R2 D L F2 R U' L2
U R2 D2 L' R2 D F2
R D L F2 R U' L2
U R2 D2 R2 L' D F2
D R2 D2 B2 R' U L'
R' D U L' D R2 F2
R' D U L' D F2 R2
D' R2 B2 R' U L' D
D' R2 B2 R' U L' D'
D' R2 B2 R' U L' D2
D' R2 B2 R' U D L'
D' R2 B2 R' U D' L'
D' R2 B2 R' U D2 L'
D' R2 B2 R' D U L'
D' R2 B2 R' D' U L'
D2 R2 B2 R' U L' R
D2 R2 B2 R' U R L'
D' R2 B2 R' D2 U L'
R2 D U L' D R2 F2
R2 D U L' D F2 R2
D' R2 B2 D R' U L'
D' R2 B2 D' R' U L'
D' R2 B2 D2 R' U L'
R D U L' D R2 F2
R D U L' D F2 R2
R' D U2 L F2 U' L2
U2 D L U' L2 D R2
R2 D U2 L F2 U' L2
D2 U L' R D R F2
D2 U L' R' D R' F2
D2 U L' R' D F2 R'
D2 U L' R2 U L2 U'
D2 U L' R2 D F2 D
D2 U L' R2 D F2 D'
D2 U L' R2 D F2 D2
D2 U L' R2 F D F2
D2 U L' R2 F' D F2
D2 U L' R2 F2 D F2
B' U L' R' F2 R F
D2 U L' U L2 U' R2
B' U L' R2 F2 R F'
U2 D L F2 U' L2 D
U2 D L F2 U' L2 D'
U2 D L F2 U' L2 D2
U2 D L F2 D' B2 U'
U2 D L F2 B U' L2
U2 D L F2 B' U' L2
U2 D L F2 B2 U' L2
B2 U L' R D' F2 R
U2 D L B F2 U' L2
B' U L' U2 L' B' U2
D' U L' D F2 D2 R2
D2 U L' D F2 D' R2
D' U L' D' R2 D2 F2
U2 D L B' F2 U' L2
U2 D L B2 F2 U' L2
D2 U L' F R2 D F2
R D U2 L F2 U' L2
D2 U L' F' R2 D F2
D2 U L' F2 R2 D F2
B' U L' F' R' F' R
B' U L' F2 R' F' R2
F2 U L' D F2 L' R
F2 U L' D F2 R L'
D U L' R D R2 F2
D U L' R D F2 R2
D U L' R' D R2 F2
D U L' R' D F2 R2
D U L' R2 D R2 F2
D U L' R2 D F2 R2
B2 U L' F2 R D' F2
D U L' U L2 F2 U'
D U L' U F2 L2 U'
U2 D L' F2 L2 U' L2
D U L' D R' F2 R'
D U L' D R2 F2 D
D U L' D R2 F2 D'
D U L' D R2 F2 D2
D U L' D F R2 F
D U L' D F2 R2 D
D U L' D F2 R2 D'
D U L' D F2 R2 D2
U D L' R D R2 F2
U D L' R D F2 R2
B U L' D' F2 R F'
U D L' R' D R2 F2
U D L' R' D F2 R2
U D L' R2 D R2 F2
U D L' R2 D F2 R2
U D L' U L2 F2 U'
U D L' U F2 L2 U'
B U L' F2 D' R F'
U D L' D R' F2 R'
U D L' D R2 F2 D
U D L' D R2 F2 D'
U D L' D R2 F2 D2
U D L' D F R2 F
U D L' D F2 R2 D
U D L' D F2 R2 D'
U D L' D F2 R2 D2
D2 U R L' D R F2
L' D F2 R U' L U
B2 U R L' D' F2 R
B' U R D2 L' R2 F'
L' D F2 U' L U R
B' U R D2 R2 L' F'
D U R L' D R2 F2
D U R L' D F2 R2
L' D F2 B2 R D B2
L2 D F2 U R U L
D2 U R' L' D R' F2
D2 U R' L' D F2 R'
B' U R' L' F2 R F
U D R L' D R2 F2
U D R L' D F2 R2
B' U R' D2 L' F' R2
D U R' L' D R2 F2
D U R' L' D F2 R2
D2 U R2 L' U L2 U'
D2 U R2 L' D F2 D
D2 U R2 L' D F2 D'
D2 U R2 L' D F2 D2
D2 U R2 L' F D F2
D2 U R2 L' F' D F2
D2 U R2 L' F2 D F2
B' U R2 L' F2 R F'
D2 U R2 U L U' L2
D2 U R2 D L' D F2
U D R' L' D R2 F2
U D R' L' D F2 R2
D2 U R2 D' L' D F2
D2 U R2 D2 L' D F2
B' U R2 D2 L' R2 F
B' U R2 D2 L' F R2
B' U R2 D2 R2 L' F
D U R2 L' D R2 F2
D U R2 L' D F2 R2
U D R2 L' D R2 F2
U D R2 L' D F2 R2
B U D L' D R2 F
B U D L' D F R2
L' D B2 F2 R D B2
B' U D2 L' R' F' R'
B' U D2 R' L' F' R'
B' U D2 R2 D2 L' F
U2 D F2 L U R U2
L2 D' L B2 D F2 R
F' U F L' D F2 R
B U D2 R2 D' L' F
L2 D' L' U' B2 L2 R'
L2 D' L' U' B2 R' L2
R' D' R B2 R' U L'
F2 U F2 L' D F2 R
D' U B2 R' U L' B2
D' U B2 R' U B2 L'
R' D' R' B2 R' U L'
R2 D' R B2 R' U L'
R D' R B2 R' U L'
R' D' R2 B2 R' U L'
R2 D' R' B2 R' U L'
U2 D' L U' L2 D' R2
U2 D' L U2 B2 U L2
U2 D' L D' B2 U' R2
R D' R' B2 R' U L'
R2 D' R2 B2 R' U L'
L2 D' U' L' U' L2 B2
L2 D' U' L' U' B2 L2
R D' R2 B2 R' U L'
U D' L' D F2 D2 R2
U D' L' D' R2 D2 F2
L2 D' U2 L B2 D F2
B' U' L' B' L' U2 L
B' U' L2 U2 L' F L2
F2 U' L2 R U' L' U'
B2 U' L2 U R' U L
F2 U' R L2 U' L' U'
L D' F2 R B2 U' R'
L D' F2 B2 R U' R2
R' D' B2 R' U L' D
R' D' B2 R' U L' D'
R' D' B2 R' U L' D2
R' D' B2 R' U D L'
R' D' B2 R' U D' L'
R' D' B2 R' U D2 L'
R' D' B2 R' D U L'
R' D' B2 R' D' U L'
R' D' B2 R' D2 U L'
R' D' B2 D R' U L'
R' D' B2 D' R' U L'
R' D' B2 D2 R' U L'
R2 D' B2 R' U L' D
R2 D' B2 R' U L' D'
R2 D' B2 R' U L' D2
R2 D' B2 R' U D L'
R2 D' B2 R' U D' L'
R2 D' B2 R' U D2 L'
R2 D' B2 R' D U L'
R2 D' B2 R' D' U L'
R2 D' B2 R' D2 U L'
R2 D' B2 D R' U L'
R2 D' B2 D' R' U L'
R2 D' B2 D2 R' U L'
R D' B2 R' U L' D
R D' B2 R' U L' D'
R D' B2 R' U L' D2
R D' B2 R' U D L'
R D' B2 R' U D' L'
R D' B2 R' U D2 L'
R D' B2 R' D U L'
R D' B2 R' D' U L'
R D' B2 R' D2 U L'
L2 D2 L D F2 R B2
L2 D2 L D F2 B2 R
L2 D2 L D B2 F2 R
L D' B2 U2 L' U R'
R D' B2 D R' U L'
R D' B2 D' R' U L'
R D' B2 D2 R' U L'
L D' B2 F2 R U' R2
D' U2 L U' L2 D' R2
D' U2 L U2 B2 U L2
D2 U2 L U' L2 R2 D
D2 U2 L U' L2 R2 D'
D2 U2 L U' L2 R2 D2
D2 U2 L U' R2 L2 D
D2 U2 L U' R2 L2 D'
D2 U2 L U' R2 L2 D2
D' U2 L D' B2 U' R2
D2 U2 L D' F2 B2 U'
D2 U2 L D' B2 F2 U'
D2 U2 L F U' L2 R2
D2 U2 L F U' R2 L2
D2 U2 L F' U' L2 R2
D2 U2 L F' U' R2 L2
D2 U2 L F2 U' L2 R2
D2 U2 L F2 U' R2 L2
U D' B2 R' U L' B2
U D' B2 R' U B2 L'
D2 U2 L B U' L2 R2
D2 U2 L B U' R2 L2
U2 D2 L U' L2 R2 D
U2 D2 L U' L2 R2 D'
U2 D2 L U' L2 R2 D2
U2 D2 L U' R2 L2 D
U2 D2 L U' R2 L2 D'
U2 D2 L U' R2 L2 D2
D2 U2 L B' U' L2 R2
D2 U2 L B' U' R2 L2
