U' R F B' U2 R
U R F B' U2 R'
U' R B' F U2 R
U R B' F U2 R'
U' B' R F U2 R
U B' R F U2 R2
U' D B' R F U2 R
D2 U B' R F U2 R2
D U B' R F U2 R2
U D B' R F U2 R2
B2 U B R F L U2
D' U' R F B' U2 R
U' D' R F B' U2 R
D2 U' R F B' U2 R
U' D' R B' F U2 R
D' U' R B' F U2 R
D2 U' R B' F U2 R
D U' R F B' U2 R
D U' R B' F U2 R
U D' R F B' U2 R'
U D' R B' F U2 R'
B2 U' R F U2 R F'
B U' R F B2 U2 R
B U' R B2 F U2 R
U' D' B' R F U2 R
D' U' B' R F U2 R
D2 U' B' R F U2 R
D U' B' R F U2 R
U D' B' R F U2 R2
B2 U' B R F U2 R
U' D2 R F B' U2 R
R' D2 U L2 F B' R'
R' D2 U L2 B' R' F
R' D2 U L2 B' F R'
U' D2 R B' F U2 R
R' D2 U' L2 F R B'
R' D2 U' L2 F B' R
R' D2 U' L2 B' F R
U D2 R F B' U2 R'
B U' B2 R F U2 R
U D2 R B' F U2 R'
U' D2 B' R F U2 R
U D2 B' R F U2 R2
L F L U' F B' L'
L F L U' B' F L'
U' F L2 U2 R F L'
U F L2 U2 F L' R
U F L2 U2 F R L'
U' F U2 L2 R F L'
U' F U2 R L2 F L'
U F U2 L2 F L' R
U F U2 L2 F R L'
U' F D2 B' U2 L R
U' F D2 B' U2 R L
U F D2 B' U2 L R'
U F D2 B' U2 R' L
R F B' L U' F U'
R F B' L' U B' U
R F B' U B' U R'
R F B' U' F U' R
L2 F2 D B' L' F' R
L2 F2 B' L' F' D R2
L2 F2 B' D L' F' R
U' B R F B2 U2 R
U' B R B2 F U2 R
U B R F L B2 U2
U B R F B2 U2 R'
U B R B2 F U2 R'
B' F L U' F U' L'
B' F U' F U' L' R
B' F U' F U' R L'
U' B' L2 R U2 B' R'
U' B' R L2 U2 B' R'
U' B' R D F U2 R
U' B' R D' F U2 R
U' B' R D2 F U2 R
U' B' R F L U2 R
U' B' R F L' U2 R
U' B' R F L2 U2 R
U' B' R F U2 R D
U' B' R F U2 R D'
U' B' R F U2 R D2
U' B' R F U2 D R
U' B' R F U2 D' R
U' B' R F U2 D2 R
U' B' R F D U2 R
U' B' R F D' U2 R
U' B' R F D2 U2 R
U' B' R F' L' F2 U2
U B' L2 R U2 R2 B'
U B' L2 R U2 B' R2
U' B' R' F R2 U2 R'
U2 B' R F U B U
U' B' R2 F R' U2 R2
U B' R L2 U2 R2 B'
U B' R L2 U2 B' R2
U B' R D2 L2 U2 B'
U B' R D2 F L2 U2
U B' R F L U2 R2
U B' R F L' U2 R2
U B' R F L2 U2 R2
U B' R F U2 R2 D
U B' R F U2 R2 D'
U B' R F U2 R2 D2
U B' R F D2 L2 U2
U B' R F2 U2 R2 B
U B' R' F R2 U2 R2
F B' L U' F U' L'
U' B' D R F U2 R
U' B' D' R F U2 R
U B' U2 R' D2 L2 B'
U' B' D2 R F U2 R
U B' D R F U2 R2
U B' D' R F U2 R2
U B' D2 R F U2 R2
L2 B' F2 L' F' D R2
F B' U' F U' L' R
F B' U' F U' R L'
R B' F L U' F U'
R B' F L' U B' U
L2 B' F2 D L' F' R
R B' F U B' U R'
R B' F U' F U' R
U' B2 R F U2 R F'
