F2 L' R2 U L' R'
F2 L' R2 U R' L'
D' R B2 U' F2 R
F2 R2 L' U L' R'
F2 R2 L' U R' L'
R F2 L' U' L' R
R F2 L' U' R L'
D' B2 R U' F2 R
F2 U R2 L' U R' L'
R2 D B F2 U R B
L' D B2 U' R U' L'
R2 D B2 F2 L U R
D' U B2 R U' F2 R
L2 D' R' F2 D B2 R'
L' D' U' R U' L' F2
D' U' R B2 U' F2 R
U' D' R B2 U' F2 R
F2 U' L' R2 U L' R'
F2 U' L' R2 U R' L'
U2 D' R B2 U' F2 R
U D' R B2 U' F2 R
L D' F2 L D' R2 B2
L D' F2 L D' B2 R2
R D' F2 L' B2 U' R
F2 U' R2 L' U L' R'
F2 U' R2 L' U R' L'
R D' F2 B2 L' U' R
L2 D' B2 R' F2 D B2
D' U' B2 R U' F2 R
U' D' B2 R U' F2 R
R D' B2 F2 L' U' R
U2 D' B2 R U' F2 R
U D' B2 R U' F2 R
L D2 L2 R U' L' R
L D2 L2 R U' R L'
L D2 R L2 U' L' R
L D2 R L2 U' R L'
L2 D2 R' D F2 B2 R'
L2 D2 R' D B2 R' F2
L2 D2 R' D B2 F2 R'
D' U2 R B2 U' F2 R
L' D2 U' L2 R U' L
L' D2 U' R L2 U' L
F2 U2 L' R2 U L' R'
F2 U2 L' R2 U R' L'
F2 U2 R2 L' U L' R'
F2 U2 R2 L' U R' L'
D' U2 B2 R U' F2 R
L2 D2 B2 R' D F2 B2
L2 D2 B2 R' D B2 F2
R F' U' L2 R' F' R
R F' U' R' L2 F' R
R F' U' R' F' L2 R
R F' U' R' F' R L2
B' D' R B2 U' F2 R
B2 D' R B2 U' F2 R
B D' R B2 U' F2 R
D' F' B2 U' F' R B
U' F2 L' R2 U L' R'
U' F2 L' R2 U R' L'
U2 F2 L' R2 U L' R'
U2 F2 L' R2 U R' L'
L F2 L D' F2 B2 R'
L F2 L D' B2 R' F2
L F2 L D' B2 F2 R'
D F2 L' U R D2 F2
D F2 L' U D2 R F2
D F2 L' U' B2 U2 R
D F2 L' D' R2 U R'
D F2 L' D2 U R F2
U F2 L' R2 U L' R'
U F2 L' R2 U R' L'
L' F2 R U L' R U
L' F2 R U R L' U
R F2 L' U' L' R D
R F2 L' U' L' R D'
R F2 L' U' L' R D2
R F2 L' U' L' D R
R F2 L' U' L' D' R
R F2 L' U' L' D2 R
R F2 L' U' R L' D
R F2 L' U' R L' D'
R F2 L' U' R L' D2
R F2 L' U' R D L'
R F2 L' U' R D' L'
R F2 L' U' R D2 L'
R F2 L' U' D L' R
R F2 L' U' D R L'
R F2 L' U' D' L' R
R F2 L' U' D' R L'
R F2 L' U' D2 L' R
R F2 L' U' D2 R L'
R F2 L' D U' L' R
R F2 L' D U' R L'
R F2 L' D' U' L' R
R F2 L' D' U' R L'
R F2 L' D2 U' L' R
R F2 L' D2 U' R L'
R F2 L' B U' L' R
R F2 L' B U' R L'
R F2 L' B' U' L' R
R F2 L' B' U' R L'
R F2 L' B2 U' L' R
R F2 L' B2 U' R L'
U' F2 R2 L' U L' R'
U' F2 R2 L' U R' L'
U' F2 R2 L' U R' L'
U2 F2 R2 L' U L' R'
U2 F2 R2 L' U R' L'
U2 F2 R2 L' U R' L'
B' D' B2 R U' F2 R
U F2 R2 L' U L' R'
U F2 R2 L' U R' L'
U F2 R2 L' U R' L'
B2 D' B2 R U' F2 R
R2 F2 U L2 R D B2
R2 F2 U R L2 D B2
B D' B2 R U' F2 R
R2 F2 U2 R' U' L2 R2
R2 F2 U2 R' U' R2 L2
D F2 D' L' R2 U R'
D F2 D' R2 L' U R'
D F2 D2 L' U R F2
R F2 D' L' B2 U' R
R F2 D' B2 L' U' R
R2 F2 B U L2 R B
R2 F2 B U R L2 B
R2 F2 B U R B L2
R F2 B L' U' L' R
R F2 B L' U' R L'
R2 F2 B2 L U L R
R2 F2 B2 L U R L
R F2 B' L' U' L' R
R F2 B' L' U' R L'
R F2 B2 L' U' L' R
R F2 B2 L' U' R L'
R2 B U' L' U2 B' L'
F2 B L' R2 U L' R'
F2 B L' R2 U R' L'
R2 B D F2 U R B
F2 B R2 L' U L' R'
F2 B R2 L' U R' L'
R2 B F2 U L2 R B
R2 B F2 U R L2 B
R2 B F2 U R B L2
R B F2 L' U' L' R
R B F2 L' U' R L'
D' B' R B' U' F2 R
F2 B' L' R2 U L' R'
F2 B' L' R2 U R' L'
F2 B' R2 L' U L' R'
F2 B' R2 L' U R' L'
R2 B2 L U D2 L R2
R2 B2 L U D2 R2 L
R2 B2 L U' L2 U2 L'
R2 B2 L D2 U L R2
R2 B2 L D2 U R2 L
R B' F2 L' U' L' R
R B' F2 L' U' R L'
D B2 L' U F2 L' U
D' B2 R U L' U2 F2
D' B2 R U' R F2 R
D' B2 R U' R' F2 R
D' B2 R U' R2 F2 R
D' B2 R U' F2 R D
D' B2 R U' F2 R D'
D' B2 R U' F2 R D2
D' B2 R U' F2 D R
D' B2 R U' F2 D' R
D' B2 R U' F2 D2 R
B' F2 L' R2 U L' R'
B' F2 L' R2 U R' L'
D' B2 R F' U' F' R
B2 F2 L' R2 U L' R'
B2 F2 L' R2 U R' L'
F2 B2 L' R2 U L' R'
F2 B2 L' R2 U R' L'
B F2 L' R2 U L' R'
B F2 L' R2 U R' L'
B' F2 R2 L' U L' R'
B' F2 R2 L' U R' L'
B2 F2 R2 L' U L' R'
B2 F2 R2 L' U R' L'
F2 B2 R2 L' U L' R'
F2 B2 R2 L' U R' L'
D B2 U F2 L' U R
B F2 R2 L' U L' R'
B F2 R2 L' U R' L'
L2 B2 D' R' F2 D B2
R2 B2 D F2 L U R
L2 B2 D2 R' D F2 B2
L2 B2 D2 R' D B2 F2
D' B2 F' U' F' R B
R2 B2 F2 L U L R
R2 B2 F2 L U R L
R B2 F2 L' U' L' R
R B2 F2 L' U' R L'
