B L D R2 F2 B2
B L D R2 B2 F2
B L D F2 R2 B2
B L D F2 B2 R2
B L D B2 R2 F2
B L D B2 F2 R2
B' L' R2 F2 U' L'
U' L' R2 F2 B' U'
U' L' R2 B' F2 U'
B L' R2 F2 U' L2
R2 L' F2 B U' L
R2 L' B F2 U' L
U' L' F2 R2 B' U'
U' L' F2 B' R2 U'
B L' F2 R2 U' L2
U' L' B' R2 F2 U'
U' L' B' F2 R2 U'
L' R2 F2 B U' L
L' R2 B F2 U' L
B' R2 L' F2 U' L'
U' R2 L' F2 B' U'
U' R2 L' B' F2 U'
B R2 L' F2 U' L2
F2 R2 B U' L F
L' F2 R2 B U' L
L' F2 B R2 U' L
R2 B L' F2 U' L2
L' B R2 F2 U' L
L' B F2 R2 U' L
L' B' R2 F2 U' L'
R2 B L' F2 U' L2 D
R2 B L' F2 U' L2 D'
R2 B L' F2 U' L2 D2
R2 B L' F2 D' B2 U'
R2 B L' F2 B U' L2
R2 B L' F2 B' U' L2
R2 B L' F2 B2 U' L2
R2 B L' B F2 U' L2
R2 B L' B' F2 U' L2
R2 B L' B2 F2 U' L2
R B L' R F2 U' L2
U' B R2 L' F2 B' U'
U' B R2 L' B' F2 U'
L' B R' F2 R' U' L
L' B R2 U' L D R2
L' B R2 U' D L R2
L' B R2 U' D R2 L
L' B R2 D U' L R2
L' B R2 D U' R2 L
R B R L' F2 U' L2
L' B R2 F2 U' L D
L' B R2 F2 U' L D'
L' B R2 F2 U' L D2
L' B R2 F2 U' D L
L' B R2 F2 U' D' L
L' B R2 F2 U' D2 L
L' B R2 F2 D U' L
L' B R2 F2 D' U' L
L' B R2 F2 D2 U' L
L' B U' L D R2 B2
L' B U' L D B2 R2
L' B U' D L R2 B2
L' B U' D L B2 R2
L' B U' D R2 L B2
L B R2 F2 L2 U' L'
R2 B U' L D R2 F2
R2 B U' L D F2 R2
L' B D U' L R2 B2
L' B D U' L B2 R2
L' B D U' R2 L B2
L2 B D L B2 R2 F'
R2 B D L' U' L2 R2
R2 B D L' U' R2 L2
L B D L R2 F2 B2
L B D L R2 B2 F2
L B D L F2 R2 B2
L B D L F2 B2 R2
L B D L B2 R2 F2
L B D L B2 F2 R2
L B D R2 L F2 B2
L B D R2 L B2 F2
L B D R2 F2 L B2
L B D F2 L R2 B2
L B D F2 L B2 R2
L B D F2 R2 L B2
L B D B2 R2 F2 L'
L' B F R2 F U' L
F2 B R2 U2 R' U L
L' B F2 R2 U' L D
L' B F2 R2 U' L D'
L' B F2 R2 U' L D2
L' B F2 R2 U' D L
L' B F2 R2 U' D' L
L' B F2 R2 U' D2 L
L' B F2 R2 D U' L
L' B F2 R2 D' U' L
L' B F2 R2 D2 U' L
L' B F2 U' L D B2
L' B F2 U' D L B2
L' B F2 D U' L B2
U' B' L' R2 F2 B' U'
U' B' L' R2 B' F2 U'
R2 B F2 U2 R U L
U' B' L' F2 R2 B' U'
U' B' L' F2 B' R2 U'
L B F2 L2 R2 U' L'
U' B' L' B' R2 F2 U'
U' B' L' B' F2 R2 U'
L B F2 R2 L2 U' L'
R2 B' L' F2 U R' U2
R2 B' L' F2 B2 U' L
R2 B' L' B2 F2 U' L
L B' L2 R2 F2 U' L'
U' B' R2 L' F2 B' U'
U' B' R2 L' B' F2 U'
L' B' R2 F2 U' L' D
L' B' R2 F2 U' L' D'
L' B' R2 F2 U' L' D2
L' B' R2 F2 U' D L'
L' B' R2 F2 U' D' L'
L' B' R2 F2 U' D2 L'
L' B' R2 F2 D U' L'
L' B' R2 F2 D' U' L'
L' B' R2 F2 D2 U' L'
L' B' R2 F2 B U' L'
L' B' R2 F2 B' U' L'
L' B' R2 F2 B2 U' L'
L' B' R2 B F2 U' L'
L' B' R2 B' F2 U' L'
L' B' R2 B2 F2 U' L'
L B' R2 L2 F2 U' L'
L' B' U' D B2 L R2
L' B' U' D B2 R2 L
L B' R2 F2 L2 U' L
L' B' D U' B2 L R2
L' B' D U' B2 R2 L
L B' D R2 F2 L' B2
L B' D R2 F2 B2 L'
L B' D R2 B2 F2 L'
L B' D F2 B2 L R2
L B' D F2 B2 R2 L
L B' D B2 L R2 F2
L B' D B2 L F2 R2
L B' D B2 R2 L F2
L B' D B2 R2 F2 L
L B' D B2 F2 L R2
L B' D B2 F2 R2 L
L' B' F2 R2 U R U2
L' B' F2 U' D B2 L
L' B' F2 D U' B2 L
U' B2 L' R2 F2 B' U'
U' B2 L' R2 B' F2 U'
U' B2 L' F2 R2 B' U'
U' B2 L' F2 B' R2 U'
U' B2 L' B' R2 F2 U'
U' B2 L' B' F2 R2 U'
R2 B2 L' F2 B' U' L
R2 B2 L' B' F2 U' L
U' B2 R2 L' F2 B' U'
U' B2 R2 L' B' F2 U'
L' B2 R2 F2 B' U' L
L' B2 R2 B' F2 U' L
B F2 R2 U2 R' U L
L' B2 F2 R2 B' U' L
