R' U' B2 L F
R' L U' B2 L F
B L U R2 F' U2
B L U' D2 L2 B
B L U' D2 B L2
B L U' B D2 L2
B L D B2 U' B'
U' L D2 F L2 B'
B L D2 U' L2 B
B L D2 U' B L2
U' L F B2 D2 L2
R' L' U' B2 L F
L' R' U' B2 L F
L R' U' B2 L F
L2 R' U' B2 L F
U' L B2 D2 F L2
U' L B2 F D2 L2
R' L2 U' B2 L F
R' U R' U2 F' B2
R' U R' U2 B2 F'
R U R B U2 B
R' U' L F B2 L
R' U' L B2 F L
R' U' F B2 L F
R' U' F' B2 L F
R' U' F2 B2 L F
U2 R' U B2 L F
R' U' B2 L D F
R' U' B2 L D' F
R' U' B2 L D2 F
R' U' B2 L F D
R' U' B2 L F D'
R' U' B2 L F D2
R' U' B2 D L F
R' U' B2 D' L F
R' U' B2 D2 L F
R' U' B2 F L F
U R' U2 F' B2 L
R' U' B2 F' L F
R' U' B2 F2 L F
U R' U2 B2 L F'
U R' U2 B2 F' L
U' R' B2 L R F
U' R' B2 R L F
B D L B2 U' B'
B' D B2 L U' B
B D2 L U' L B
U' B2 L D2 F L2
U' B2 L F D2 L2
U' B2 L' D2 L2 F
U' B2 D2 L F L
U' L' U2 B' R2 U2 B'
B L' D B2 U' F2 B'
B L' D B2 U' B' F2
U' L' D2 L2 D2 F B2
U' L' D2 L2 D2 B2 F
U' L' D2 F L2 F B'
U' L' D2 F L2 B' F
R' L2 U R' U2 F' B2
R' L2 U R' U2 B2 F'
R L2 U R B U2 B
R' L2 U' L F B2 L
R' L2 U' L B2 F L
R' L2 U' F B2 L F
R' L2 U' F' B2 L F
R' L2 U' F2 B2 L F
R' L2 U' B2 L D F
R' L2 U' B2 L D' F
R' L2 U' B2 L D2 F
R' L2 U' B2 L F D
R' L2 U' B2 L F D'
R' L2 U' B2 L F D2
R' L2 U' B2 D L F
R' L2 U' B2 D' L F
R' L2 U' B2 D2 L F
R' L2 U' B2 F L F
R' L2 U' B2 F' L F
R' L2 U' B2 F2 L F
U' L' B D2 L2 F2 B
U' L' B D2 L2 B F2
U' L' B D2 F2 L2 B
U' L' B D2 F2 B L2
U' L' B D2 B L2 F2
U' L' B D2 B F2 L2
U' L' B' R2 U2 R2 B'
U' L' B' R2 U2 B' R2
U' L' B2 U2 R2 U2 F'
U' L' B2 U2 B R2 U2
U L' B2 D2 L2 R' F'
U L' B2 D2 R' L2 F'
U L' B2 D2 R' F' L2
U2 L2 R' U B2 L F
B L2 D L' B2 U' B'
B L2 D2 L' U' L' B
B L2 D2 L' U' B L'
R' U L' B2 L R' F'
R' U L' B2 R' L F'
R' U L' B2 R' F' L
R' U R B R2 F' U2
R' U R' U2 F' B2 D
R' U R' U2 F' B2 D'
R' U R' U2 F' B2 D2
R U R D2 F2 B U2
R' U R' U2 B2 D F'
R' U R' U2 B2 D' F'
R' U R' U2 B2 D2 F'
R' U R' U2 B2 F' D
R' U R' U2 B2 F' D'
R' U R' U2 B2 F' D2
R U R D2 B F2 U2
L' U R' U2 F' B2 L
L' U R' U2 B2 L F'
L' U R' U2 B2 F' L
R U R F B U2 B
R U R F' B U2 B
R' U R' D2 F2 U2 F
R U R F2 B U2 B
R' U R' F U2 F2 B2
R' U R' F U2 B2 F2
R U R B U2 D B
R U R B U2 D' B
R U R B U2 D2 B
R U R B U2 B D
R U R B U2 B D'
R U R B U2 B D2
R U R B D U2 B
R U R B D' U2 B
R U R B D2 U2 B
R U R B F U2 B
R U R B F' U2 B
R U R B F2 U2 B
R' U R' F2 U2 F B2
R' U R' F2 U2 B2 F
L2 U R' U2 F' B2 L
L2 U R' U2 B2 L F'
L2 U R' U2 B2 F' L
R' U R' B U2 F' B
R' U R' B U2 B F'
R' U R' B' U2 F' B'
R' U R' B' U2 B' F'
L U R' U2 F' B2 L
L U R' U2 B2 L F'
L U R' U2 B2 F' L
U' L2 B2 L D2 L2 F
U' L2 B2 L' D2 F L2
U' L2 B2 L' F D2 L2
R' U D2 R' F2 U2 F
B R L U R F' U2
R' U D2 F2 R' U2 F'
R U D2 R F2 B U2
R U D2 R B F2 U2
R' U F R' U2 F' B2
R' U F R' U2 B2 F'
R' U F U2 B2 L F
R' U F' R' U2 F' B2
R' U F' R' U2 B2 F'
R' U F' U2 B2 L F
R' U F2 R' U2 F' B2
R' U F2 R' U2 B2 F'
R' U F2 U2 B2 L F
R U F2 L' B2 R' F'
B' R U' D' F2 B' L'
U2 R U' R B U2 B
B' R U' D' B' F2 L'
B' R U' B' D' F2 L'
R' U B' U2 B' L F
R U B' R B U2 B2
B' R D' U' F2 B' L'
B' R D' U' B' F2 L'
R U B2 R B U2 B'
R' U' L F L B2 L
R' U' L F L' B2 L
R' U' L F L2 B2 L
R' U' L F B2 L D
R' U' L F B2 L D'
R' U' L F B2 L D2
R' U' L F B2 D L
R' U' L F B2 D' L
R' U' L F B2 D2 L
L' U' L D2 F L2 B'
R' U' L F' B2 L F2
L' U' L F B2 D2 L2
R' U' L F2 B2 L F'
R' U' L B2 D F L
R' U' L B2 D' F L
R' U' L B2 D2 F L
R' U' L B2 F L D
R' U' L B2 F L D'
R' U' L B2 F L D2
R' U' L B2 F D L
R' U' L B2 F D' L
R' U' L B2 F D2 L
R' U' L B2 F' L F2
R' U' L B2 F2 L F'
L2 U' L D2 F L2 B'
L' U' L B2 D2 F L2
L' U' L B2 F D2 L2
L2 U' L F B2 D2 L2
R2 U' L F B2 D L2
L U' L D2 F L2 B'
L2 U' L B2 D2 F L2
L2 U' L B2 F D2 L2
L U' L F B2 D2 L2
R2 U' L B2 D F L2
R2 U' L B2 F D L2
R U' L F2 L' F' B2
R U' L F2 L' B2 F'
R U' L F2 B2 L' F'
L U' L B2 D2 F L2
L U' L B2 F D2 L2
R U' L B2 F2 L' F'
U R D2 F2 B U2 L'
U R D2 B R F2 U2
U R D2 B F2 U2 L'
R' U' L2 B2 L' F L2
R U' L2 F2 L' F B2
R U' L2 F2 L' B2 F
R U' L2 F2 B2 L' F
R U' L2 B2 F2 L' F
R U' R U2 R' F' B2
R U' R U2 R' B2 F'
U R F' B U2 B L
B2 R F2 D L' R2 F
B2 R F2 D L' F R2
B2 R F2 D R2 L' F
L' U' R' B2 L R F
L' U' R' B2 R L F
U R F2 B U2 L' B
U R F2 B U2 B L'
L2 U' R' B2 L R F
L2 U' R' B2 R L F
L U' R' B2 L R F
L U' R' B2 R L F
U R B R2 F' R' U2
U R B F' U2 B L
U R B F2 U2 L' B
U R B F2 U2 B L'
U R B' R B2 U2 B
R U' R2 B2 L R2 F
R U' R2 B2 L F R2
R U' R2 B2 R2 L F
U R B2 R B' U2 B
U2 R' L U B2 L F
U' R' L B2 R F L
R' U' F L F B2 L
R' U' F L B2 F L
U2 R' L' U B2 L F
R' U' F B2 L D F
R' U' F B2 L D' F
R' U' F B2 L D2 F
R' U' F B2 L F D
R' U' F B2 L F D'
R' U' F B2 L F D2
R' U' F B2 D L F
R' U' F B2 D' L F
R' U' F B2 D2 L F
R' U' F' L F B2 L
R' U' F' L B2 F L
R U' F L F L' B2
R U' F L F B2 L'
R U' F L B2 F L'
U2 R' L2 U B2 L F
U R' L' F' B2 L R'
U R' L' F' B2 R' L
U R' L' B2 L F' R'
U R' L' B2 F' L R'
U R' L' B2 F' R' L
R' U' F' B2 L D F
R' U' F' B2 L D' F
R' U' F' B2 L D2 F
R' U' F' B2 L F D
R' U' F' B2 L F D'
R' U' F' B2 L F D2
R' U' F' B2 D L F
R' U' F' B2 D' L F
R' U' F' B2 D2 L F
R U' F B2 L F L'
R' U' F2 L F B2 L
R' U' F2 L B2 F L
U2 R' U L F B2 L
U2 R' U L B2 F L
U2 R' U F B2 L F
U2 R' U F' B2 L F
U2 R' U F2 B2 L F
R' U' F2 B2 L D F
R' U' F2 B2 L D' F
R' U' F2 B2 L D2 F
R' U' F2 B2 L F D
R' U' F2 B2 L F D'
R' U' F2 B2 L F D2
R' U' F2 B2 D L F
R' U' F2 B2 D' L F
R' U' F2 B2 D2 L F
U2 R' U B2 L D F
U2 R' U B2 L D' F
U2 R' U B2 L D2 F
U2 R' U B2 L F D
U2 R' U B2 L F D'
U2 R' U B2 L F D2
B' R' U' R' U2 R B'
R' U' B L F B L
B' R' U' R' U2 B' R
U2 R' U B2 D L F
R' U' B L B F L
U2 R' U B2 D' L F
U2 R' U B2 D2 L F
U2 R' U B2 F L F
U2 R' U B2 F' L F
U2 R' U B2 F2 L F
R U' F2 L F L2 B2
R U' F2 L F B2 L2
R U' F2 L B2 F L2
U2 R' U' R' U2 F' B2
U2 R' U' R' U2 B2 F'
R' U' B D B L F
R' U' B D' B L F
R' U' B D2 B L F
R U' F2 B2 L F L2
U R' U2 L F' B2 L
U R' U2 L B2 L F'
U R' U2 L B2 F' L
U R' U2 L' F' B2 L
U R' U2 L' B2 L F'
U R' U2 L' B2 F' L
U R' U2 L2 F' B2 L
U R' U2 L2 B2 L F'
U R' U2 L2 B2 F' L
R' U' B2 L R F R'
R' U' B2 L R2 F R2
R' U' B2 L D F D
R' U' B2 L D F D'
R' U' B2 L D F D2
R' U' B2 L D' F D
R' U' B2 L D' F D'
R' U' B2 L D' F D2
R' U' B2 L D2 F D
R' U' B2 L D2 F D'
R' U' B2 L D2 F D2
R' U' B2 L F2 D F'
R' U' B2 L F2 D' F'
R' U' B2 L F2 D2 F'
R' U' B2 L' F L2 F
R' U' B2 L' F' L2 F
R' U' B2 L' F2 L2 F
L' U' B2 L D2 F L2
L' U' B2 L F D2 L2
R' U' B2 R L F R'
L' U' B2 L' D2 L2 F
U R' U2 F B2 L F2
U R' U2 F' L B2 L
U R' U2 F' L' B2 L
U R' U2 F' L2 B2 L
R' U' B2 R2 L F R2
U R' U2 F' B2 L D
U R' U2 F' B2 L D'
U R' U2 F' B2 L D2
U R' U2 F' B2 D L
U R' U2 F' B2 D' L
U R' U2 F' B2 D2 L
L2 U' B2 L D2 F L2
U R' U2 B2 L D F'
U R' U2 B2 L D' F'
U R' U2 B2 L D2 F'
U R' U2 B2 L F' D
U R' U2 B2 L F' D'
U R' U2 B2 L F' D2
L2 U' B2 L F D2 L2
U R' U2 B2 L' F' L2
U R' U2 B2 D L F'
U R' U2 B2 D F' L
U R' U2 B2 D' L F'
R' U' B2 D L D F
U R' U2 B2 D' F' L
R' U' B2 D L D' F
R' U' B2 D L D2 F
R' U' B2 D L F D
R' U' B2 D L F D'
R' U' B2 D L F D2
U R' U2 B2 D2 L F'
U R' U2 B2 D2 F' L
U R' U2 B2 F L F2
U R' U2 B2 F' L D
U R' U2 B2 F' L D'
U R' U2 B2 F' L D2
U R' U2 B2 F' D L
U R' U2 B2 F' D' L
U R' U2 B2 F' D2 L
L2 U' B2 L' D2 L2 F
R' U' B2 D F L F
R' U' B2 D F' L F
R' U' B2 D F2 L F
R' U' B2 D' L D F
R' U' B2 D' L D' F
R' U' B2 D' L D2 F
R' U' B2 D' L F D
R' U' B2 D' L F D'
R' U' B2 D' L F D2
R' U' B2 D' F L F
R' U' B2 D' F' L F
R' U' B2 D' F2 L F
R' U' B2 D2 L D F
R' U' B2 D2 L D' F
R' U' B2 D2 L D2 F
R' U' B2 D2 L F D
R' U' B2 D2 L F D'
R' U' B2 D2 L F D2
R2 U' B2 L D F L2
R2 U' B2 L F D L2
R' U' B2 D2 F L F
R' U' B2 D2 F' L F
R' U' B2 D2 F2 L F
R' U' B2 F L D F
R' U' B2 F L D' F
R' U' B2 F L D2 F
R' U' B2 F L F D
R' U' B2 F L F D'
R' U' B2 F L F D2
R2 U' B2 L' D L2 F
R' U' B2 F D L F
R' U' B2 F D' L F
R' U' B2 F D2 L F
R' U' B2 F' L D F
R' U' B2 F' L D' F
R' U' B2 F' L D2 F
R' U' B2 F' L F D
R' U' B2 F' L F D'
R' U' B2 F' L F D2
L' U' B2 D2 L F L
R' U' B2 F' D L F
R' U' B2 F' D' L F
R' U' B2 F' D2 L F
R' U' B2 F2 L D F
R' U' B2 F2 L D' F
R' U' B2 F2 L D2 F
R' U' B2 F2 L F D
R' U' B2 F2 L F D'
R' U' B2 F2 L F D2
R' U' B2 F2 D L F
R' U' B2 F2 D' L F
R' U' B2 F2 D2 L F
L U' B2 L D2 F L2
L U' B2 L F D2 L2
L U' B2 L' D2 L2 F
R U' B2 L F2 L' F'
R' U2 L U B2 L F
L2 U' B2 D2 L F L
R U' B2 L2 F2 L' F
R2 U' B2 D L F L
R U' B2 U2 R B U2
L U' B2 D2 L F L
R U' B2 F L F L'
R U' B2 F2 L F L2
R' U2 L' U B2 L F
R2 U2 L' U L F B2
R2 U2 L' U L B2 F
R' U2 L2 U B2 L F
F' R' F U' B2 L F
U R' D2 F2 R' U2 F
U R' F R' U2 F2 B2
U R' F R' U2 B2 F2
U R' F U2 F2 B2 L
U R' F U2 B2 L F2
U R' F U2 B2 F2 L
U R' F B2 L F2 R
U' R' F' B2 L F R
U R' F' L' B2 L R'
U R' F' L' B2 R' L
L' U2 R' U B2 L F
F2 R' F2 U' B2 L F
L2 U2 R' U B2 L F
U R' F2 R' U2 F B2
U R' F2 R' U2 B2 F
U R' F2 U2 F B2 L
U R' F2 U2 B2 F L
L U2 R' U B2 L F
U' R' B' R B' L F
U R' B U2 F' L' B
U R' B U2 F' B L'
U R' B U2 B F' L'
R U2 R2 U B2 L F
U' R' B2 L R D F
U' R' B2 L R D' F
U' R' B2 L R D2 F
U' R' B2 L R F D
U' R' B2 L R F D'
U' R' B2 L R F D2
U' R' B2 L R' F R2
U' R' B2 L R2 F R'
U' R' B2 L D R F
U' R' B2 L D' R F
U' R' B2 L D2 R F
U' R' B2 R L D F
U' R' B2 R L D' F
U' R' B2 R L D2 F
U' R' B2 R L F D
U' R' B2 R L F D'
U' R' B2 R L F D2
U' R' B2 R D L F
U' R' B2 R D' L F
U' R' B2 R D2 L F
U' R' B2 R F L F
U' R' B2 R F' L F
U' R' B2 R F2 L F
U' R' B2 R' L F R2
U' R' B2 R2 L F R'
U R' B' U2 F' B' L
U' R' B2 D L R F
U R' B' U2 B' L F'
U' R' B2 D R L F
U R' B' U2 B' F' L
U' R' B2 D' L R F
U' R' B2 D' R L F
B2 R' B2 U' L F B2
B2 R' B2 U' L B2 F
U' R' B2 D2 L R F
U' R' B2 D2 R L F
U' R' B2 F' L F R
U R' B2 L F2 R F
U' R2 L U2 R2 F B2
U' R2 L U2 R2 B2 F
U' R2 L U2 F R2 B2
U' R2 L U2 F B2 R2
U' R2 L U2 B2 R2 F
U' R2 L U2 B2 F R2
U R' B2 F L F2 R
U' R2 L' U2 B2 R2 F'
U' R2 L' B' U2 R2 B'
U' R2 L' B' U2 B' R2
D' R2 U' L D' F L2
D' R2 U' L' D' L2 F
U R2 U R U F' B2
U R2 U R U B2 F'
D' R2 U' D' L F L
U' R2 U2 R' F' R' B2
U R2 U' R U' F' B2
U R2 U' R U' B2 F'
D' R2 U2 F R F U
U' R2 U2 B2 R' F' R'
U R2 U2 R F' R' B2
D' R2 D' L U' L F
U R2 U2 B2 R F' R'
D' R2 D' U' L F L
D' R2 D' B L U' L
D' R2 D2 B L B U'
U2 R2 F R U B2 L
B R2 F' U' F L U'
D' R2 B L U' D' L2
D' R2 B L U2 F2 U
D' R2 B L D' U' L2
D' R2 B L D2 B2 U'
D' R2 B D' L U' L
D' R2 B D2 L B2 U'
D' R2 B' U2 R' F2 U
D' R2 B' U2 F2 R' U
D' R2 B' D2 B2 L U'
D2 U R F2 B U2 L2
D2 U R B F2 U2 L2
D2 U R' F2 U2 F L2
B' U R2 U R U B'
B U R2 F' U' L U'
D2 U F2 R B U2 L2
D2 U F2 R' U2 L2 F'
D2 U F2 R' U2 F' L2
D2 U F2 U2 L F L
R' D' R2 U R B U2
D' U' L D' F L2 B'
U' D' L D' F L2 B'
D2 U' L D2 F L B2
D2 U' L F L2 B' L'
R D' R2 U R' U2 F'
D2 U' F L F L B'
U' D2 L D2 F L B2
U' D2 L F L2 B' L'
R' D2 U R' F2 U2 F
R' D2 U F2 R' U2 F'
U D2 R F2 B U2 L2
U D2 R B F2 U2 L2
R D2 U R F2 B U2
R D2 U R B F2 U2
U' D2 F L F L B'
D2 U2 F R U L2 B'
U D2 R' F2 U2 F L2
U2 D2 F R U L2 B'
B' U2 R' U B2 L B
B' U2 R' U' R' U2 B'
U D2 F2 R B U2 L2
U D2 F2 R' U2 L2 F'
U D2 F2 R' U2 F' L2
U D2 F2 U2 L F L
B' U2 D' R' F2 U B'
U' F L D2 F L2 B'
B' U2 D' F2 R' U B'
U' F L F B2 D2 L2
U' F L B2 D2 F L2
U' F L B2 F D2 L2
B' U2 D2 R' U B' L2
U2 F R U' R U2 B2
U2 F R F2 U L' B2
U2 F R F2 U B2 L'
U' F R' B2 L R F
U' F R' B2 R L F
U F R' U2 F' B2 L
U F R' U2 B2 L F'
U F R' U2 B2 F' L
B D L U' D L2 B
B D L U' D B L2
B D L D U' L2 B
B D L D U' B L2
B' D L' B2 L U' B'
B D L B2 R U' B'
B D L B2 R' U' B'
B D L B2 R2 U' B'
B D L B2 U' D B'
B D L B2 U' D' B'
B D L B2 U' D2 B'
B D L B2 U' B' D
B D L B2 U' B' D'
B D L B2 U' B' D2
B D L B2 D U' B'
B D L B2 D' U' B'
B D L B2 D2 U' B'
B2 D L' B2 U' F B2
B2 D L' B2 U' B2 F
U2 F D' R F2 L' U
U' F B2 L D2 F L2
U' F B2 L F D2 L2
U' F B2 L' D2 L2 F
U' F B2 D2 L F L
U' F' L D2 F L2 B'
U' F' L F B2 D2 L2
U' F' L B2 D2 F L2
U' F' L B2 F D2 L2
U' F' R' B2 L R F
U' F' R' B2 R L F
D' F' R2 F B L U'
D' F' R2 B F L U'
U F' R' U2 F' B2 L
U F' R' U2 B2 L F'
U F' R' U2 B2 F' L
B' D B2 L U' D B
B' D B2 L U' D' B
B' D B2 L U' D2 B
B' D B2 L U' B D
B' D B2 L U' B D'
B' D B2 L U' B D2
B' D B2 L D U' B
B' D B2 L D' U' B
B' D B2 L D2 U' B
B2 D B2 L' U' F B2
B2 D B2 L' U' B2 F
B' D B2 D L U' B
B' D B2 D' L U' B
B' D B2 D2 L U' B
B D B2 U2 R' U B'
B D' L U' D' L2 B
B D' L U' D' B L2
B D' L U' B D' L2
B D' L U2 F2 U B
B D' L D' U' L2 B
B D' L D' U' B L2
B D' L D2 B2 U' B'
U' F' B2 L D2 F L2
U' F' B2 L F D2 L2
U' F' B2 L' D2 L2 F
U' F' B2 D2 L F L
U' F2 L D2 F L2 B'
U' F2 L F B2 D2 L2
U' F2 L B2 D2 F L2
U' F2 L B2 F D2 L2
B' D' U2 R' F2 U B'
B' D' U2 F2 R' U B'
U' F2 R' B2 L R F
U' F2 R' B2 R L F
F D' F' R2 B L U'
U F2 R' U2 F' B2 L
U F2 R' U2 B2 L F'
U F2 R' U2 B2 F' L
B D2 L U' L D B
B D2 L U' L D' B
B D2 L U' L D2 B
B D2 L U' L B D
B D2 L U' L B D'
B D2 L U' L B D2
B D2 L U' L' B L2
B D2 L U' L2 B L'
B D2 L U' D L B
B D2 L U' D' L B
B D2 L U' D2 L B
B D2 L D U' L B
