U B' L F U2
D L2 U' F R B
F R U B' L U2
R' U B' L F U2
R2 U B' L F U2
R U B' L F U2
L2 U' R F B R'
L2 U' R B R' F
L2 U' R B F R'
U' R B R' D2 F2
U' R B D2 R' F2
U' R B D2 F2 R'
L2 U' F R B R'
U F B' L F U2
U F' B' L F U2
U F2 B' L F U2
U' B R B R2 F'
U' B' L U2 L' B'
U B' L D F U2
U B' L D' F U2
U B' L D2 F U2
U B' L F U2 D
U B' L F U2 D'
U B' L F U2 D2
U B' L F D U2
U B' L F D' U2
U B' L F D2 U2
U B' D L F U2
U B' D' L F U2
U B' D2 L F U2
U B' F L F U2
U B' F' L F U2
U B' F2 L F U2
U' R B2 R' B' R' F'
U' R B2 R2 F' B' R'
U' R B2 R2 B' F' R'
L' U' D2 R F' B R
L' U' D2 R B F' R
L' U' D2 F' R F' B
L' U' D2 F' R B F'
L2 U' D2 F' R F2 B
L2 U' D2 F' R B F2
L2 U' F R B R' D
L2 U' F R B R' D'
L2 U' F R B R' D2
L2 U' F R B D R'
L2 U' F R B D' R'
L2 U' F R B D2 R'
L2 U' F R2 B R' B
L2 U' F B R B R2
D R' L2 U' F R B
L2 U' F' R F2 B R'
L2 U' F' R B R' F2
L2 U' F' R B F2 R'
L2 U' F2 R B R' F'
R' U' B R B R2 F'
L2 U' F2 D2 F' R B
L2 U' B R F B R2
L2 U' B R B R2 F
L2 U' B R B F R2
L2 U' B R' F D2 B2
U2 R' U' B' L F U2
R2 U' B R B R2 F'
R' U' B' L U2 L' B'
R U' B R B R2 F'
L2 U' B F R B R2
U' R' U2 F' B' L U2
U' R' U2 B' L F' U2
U' R' U2 B' F' L U2
R2 U' B' L U2 L' B'
R U' B' L U2 L' B'
U' R' F' B' L U2 L'
U' R' B' F' L U2 L'
U R' B' L R F U2
U R' B' R L F U2
D R2 L2 U' F R B
U2 R2 U' B' L F U2
L' D L' F L' R U'
L' D L' F R L' U'
R' D L2 U' F R B
R2 D L2 U' F R B
R D L2 U' F R B
U' R2 B R' D2 F2 B
U' R2 B R' D2 B F2
U R2 B' L R2 F U2
U R2 B' L F R2 U2
U R2 B' R2 L F U2
D2 U L F L' B' U2
L' D F L' R F U'
L' D F R L' F U'
D2 U F B' L' U2 B'
D2 U F' B' U2 R B
D2 U B' L F L' U2
D2 U B' F L' U2 B'
D2 U B' F' U2 R B
F' U B' L U L2 U
F' U B' L U2 D' B2
F' U B' L D F2 U2
F' U B' L D' U2 B2
F2 U B' D' L U2 B'
F U B' L U' R U'
L2 D' F R F' U' F
D2 U' F' R B D2 F2
L' D2 R U' F' R B
U D2 L F L' B' U2
B' U' B R U' B R'
L' D2 U' R F' B R
L' D2 U' R B F' R
L' D2 U' F' R F' B
L' D2 U' F' R B F'
L2 D2 U' F' R F2 B
L2 D2 U' F' R B F2
U' D2 F' R B D2 F2
U D2 F B' L' U2 B'
U D2 F' B' U2 R B
U D2 B' L F L' U2
U D2 B' F L' U2 B'
U D2 B' F' U2 R B
D' F L2 R F' U' F2
D' F R L2 F' U' F2
R' F R U B' L U2
D2 F R U B' L' U2
D F L2 R U' F R
D' F R F' L2 U' F
D' F R F' U B' U2
U' F R B R' D2 F2
U' F R B D2 R' F2
U' F R B D2 F2 R'
R2 F R U B' L U2
D F R L2 U' F R
R F R U B' L U2
U' F U2 B' L F U2
L2 F D' R F' U' F
F D L2 R U' F R
L' F D2 R U' F' R
U' F B R B R2 F'
F D R L2 U' F R
U' F B' L U2 L' B'
U F B' L D F U2
U F B' L D' F U2
U F B' L D2 F U2
U F B' L F U2 D
U F B' L F U2 D'
U F B' L F U2 D2
U F B' L F D U2
U F B' L F D' U2
U F B' L F D2 U2
U F B' D L F U2
U F B' D' L F U2
U F B' D2 L F U2
U' F' R B R' D2 F2
U' F' R B D2 R' F2
U' F' R B D2 F2 R'
U' F' U2 B' L F U2
F D' L2 R F' U' F2
U' F' B R B R2 F'
F D' R L2 F' U' F2
U' F' B' L U2 L' B'
F D' R F' L2 U' F
F D' R F' U B' U2
U F' B' L D F U2
U F' B' L D' F U2
U F' B' L D2 F U2
U F' B' L F U2 D
U F' B' L F U2 D'
U F' B' L F U2 D2
U F' B' L F D U2
U F' B' L F D' U2
U F' B' L F D2 U2
U F' B' D L F U2
U F' B' D' L F U2
U F' B' D2 L F U2
U' F2 R B R' D2 F2
U' F2 R B D2 R' F2
U' F2 R B D2 F2 R'
U' F2 U2 B' L F U2
U' F2 B R B R2 F'
U' F2 B' L U2 L' B'
U F2 B' L D F U2
U F2 B' L D' F U2
U F2 B' L D2 F U2
U F2 B' L F U2 D
U F2 B' L F U2 D'
U F2 B' L F U2 D2
U F2 B' L F D U2
U F2 B' L F D' U2
U F2 B' L F D2 U2
U2 B L U R' D2 F2
U2 B L U D2 R' F2
U2 B L U D2 F2 R'
U F2 B' D L F U2
U2 B L U' B2 L U2
U F2 B' D' L F U2
U F2 B' D2 L F U2
U2 B L D' R2 U R
U2 B L D2 U R' F2
U2 B L D2 U F2 R'
U B L F B2 L U2
U B L B2 F L U2
U' B R F B R2 F'
U' B R F' B R2 F'
U' B R F2 B R2 F'
U' B R B R2 D F'
U' B R B R2 D' F'
U' B R B R2 D2 F'
U' B R B R2 F' D
U' B R B R2 F' D'
U' B R B R2 F' D2
U' B R B F R2 F'
U' B R B F' R2 F'
U' B R B F2 R2 F'
U B L' B2 L U2 B
U' B R' U2 F' B2 U2
U' B R' U2 B2 F' U2
U' B R' F D2 F2 B2
U' B R' F D2 B2 F2
U B L2 B2 L U2 B'
U B R' D2 F2 L' B'
B' F L U' B R U'
U' B U2 B2 L F U2
U B U2 R B R2 F'
U2 B D' L R2 U R
U' B D2 R F2 B R2
U' B D2 R B R2 F2
U' B D2 R B F2 R2
U2 B D' R2 L U R
U' B D2 F2 R B R2
U2 B D2 L U R' F2
U2 B D2 L U F2 R'
U' B F R B R2 F'
U' B F' R B R2 F'
U B D2 R' F2 L' B'
U' B F2 R B R2 F'
U' B' L R U2 L' B
U' B' L R U2 B L'
U' B' L U2 L' D B'
U' B' L U2 L' D' B'
U' B' L U2 L' D2 B'
U' B' L U2 L' B' D
U' B' L U2 L' B' D'
U' B' L U2 L' B' D2
U' B' L U2 D L' B'
U' B' L U2 D' L' B'
U' B' L U2 D2 L' B'
U' B' L U2 B L' B'
U' B' L U2 B' L' B'
U' B' L U2 B2 L' B'
U' B' L D U2 L' B'
U' B' L D' U2 L' B'
U' B' L D2 U2 L' B'
U' B' L F2 R U2 B
U B' L R F R' U2
U B' L R2 F R2 U2
U B' L U L2 U B'
U B' L U2 L2 B' L2
U B' L D F U2 D
U B' L D F U2 D'
U B' L D F U2 D2
U B' L D F D U2
U B' L D F D' U2
U B' L D F D2 U2
U B' L D' F U2 D
U B' L D' F U2 D'
U B' L D' F U2 D2
U B' L D' F D U2
U B' L D' F D' U2
U B' L D' F D2 U2
U' B' R L U2 L' B
U' B' R L U2 B L'
U B' L D2 F U2 D
U B' L D2 F U2 D'
U B' L D2 F U2 D2
U B' L D2 F D U2
U B' L D2 F D' U2
U B' L D2 F D2 U2
U B' L F' U2 D2 B2
U B' L F' D2 U2 B2
U B' L F2 D F' U2
U B' L F2 D' F' U2
U B' L F2 D2 F' U2
U B' L' U2 D2 R2 B'
U B' L' U2 D2 B' R2
U B' L' U2 B' D2 R2
U B' L' D2 U2 R2 B'
U B' L' D2 U2 B' R2
U B' L' F L2 F U2
U B' L' F' L2 F U2
U B' L' F2 L2 F U2
U' B' R' F' L U2 L'
U B' R L F R' U2
U B' R2 L F R2 U2
F B' L U' B R U'
U' B' U2 L F U2 F'
U' B' D L U2 L' B'
U' B' D' L U2 L' B'
U B' U2 R B2 R' B'
U' B' D2 L U2 L' B'
U B' U2 R2 B2 R' B
U B' U2 B R B R'
U B' U2 B2 R B R2
U B' D L D F U2
U B' D L D' F U2
U B' D L D2 F U2
U B' D L F U2 D
U B' D L F U2 D'
U B' D L F U2 D2
U B' D L F D U2
U B' D L F D' U2
U B' D L F D2 U2
U' B' F L U2 L' B'
U B' D F L F U2
U B' D F' L F U2
U B' D F2 L F U2
U B' D' L D F U2
U B' D' L D' F U2
U B' D' L D2 F U2
U B' D' L F U2 D
U B' D' L F U2 D'
U B' D' L F U2 D2
U B' D' L F D U2
U B' D' L F D' U2
U B' D' L F D2 U2
U' B' F' L U2 L' B'
U B' D' F L F U2
U B' D' F' L F U2
U B' D' F2 L F U2
U' B' F2 L U2 L' B'
U B' D2 L D F U2
U B' D2 L D' F U2
U B' D2 L D2 F U2
U B' D2 L F U2 D
U B' D2 L F U2 D'
U B' D2 L F U2 D2
U B' D2 L F D U2
U B' D2 L F D' U2
U B' D2 L F D2 U2
U B' D2 F L F U2
U B' D2 F' L F U2
U B' D2 F2 L F U2
U B' F L D F U2
U B' F L D' F U2
U B' F L D2 F U2
U B' F L F U2 D
U B' F L F U2 D'
U B' F L F U2 D2
U B' F L F D U2
U B' F L F D' U2
U B' F L F D2 U2
U B' F D L F U2
U B' F D' L F U2
U B' F D2 L F U2
U B' F' L D F U2
U B' F' L D' F U2
U B' F' L D2 F U2
U B' F' L F U2 D
U B' F' L F U2 D'
U B' F' L F U2 D2
U B' F' L F D U2
U B' F' L F D' U2
U B' F' L F D2 U2
U B' F' D L F U2
U B' F' D' L F U2
U B' F' D2 L F U2
U B' F2 L D F U2
U B' F2 L D' F U2
U B' F2 L D2 F U2
U B' F2 L F U2 D
U B' F2 L F U2 D'
U B' F2 L F U2 D2
U B' F2 L F D U2
U B' F2 L F D' U2
U B' F2 L F D2 U2
U B' F2 D L F U2
U B' F2 D' L F U2
U B' F2 D2 L F U2
U B2 L F B L U2
U B2 L B F L U2
U B2 L' B L U2 B2
U B2 L' B U2 B2 R'
U B2 L2 B L U2 B'
U' B2 R2 F' B' R' B
U' B2 R2 B' F' R' B
U B2 D B L F U2
U B2 D' B L F U2
U B2 D2 B L F U2
