F' R D R2 U2 F'
F' R D B R2 U2
F' R D' B U2 L2
U R F R U B
F' R B U F2 U
F' R B U2 D' L2
F' R B U2 D' L2
F' R B D R2 U2
F' R B D' U2 L2
F' R' U F2 U F
F' R' U2 D' L2 F'
F' R' U2 D' F' L2
F' R' D R2 B U2
F' R' D' U2 L2 F'
F' R' D' U2 F' L2
F' U F R F U
F' U2 L D' F L2
F' U2 L' D' L2 F
F' U2 D' L F L
U F R U D2 B2
U F R U' F2 U2
U F R D' L2 U
U F R D2 U B2
F' D R B R U2
U F D' L2 R U
U F D' R L2 U
U F D2 R U B2
F' D' R B U2 L2
F' D' R' U2 L2 F'
F' D' R' U2 F' L2
F' D' U2 L F L
F' B R D R2 U2 F'
F' B R D B R2 U2
F' B R D' B U2 L2
F' B R B U F2 U
F' B R B U2 D' L2
F' B R B D R2 U2
F' B R B D' U2 L2
F' B R' U F2 U F
F' B R' U2 D' L2 F'
F' B R' U2 D' F' L2
F' B R' D R2 B U2
F' B R' D' U2 L2 F'
F' B R' D' U2 F' L2
F' B U F R F U
F' B U2 L D' F L2
F' B U2 L' D' L2 F
F' B U2 D' L F L
R B F2 U F' L' U
F' B D R B R U2
F' B D' R B U2 L2
F' B D' R' U2 L2 F'
F' B D' R' U2 F' L2
F' B D' U2 L F L
B' F' R D R2 U2 F'
B' F' R D B R2 U2
B' F' R D' B U2 L2
B' F' R B U F2 U
F' B' R D R2 U2 F'
B' F' R B U2 D' L2
B' F' R B D R2 U2
B' F' R B D' U2 L2
F' B' R D B R2 U2
F' B' R D' B U2 L2
B2 F' R D R2 U2 F'
B2 F' R D B R2 U2
B2 F' R D' B U2 L2
B' F' R' U F2 U F
F' B' R B U F2 U
F' B' R B U2 D' L2
F' B' R B D R2 U2
F' B' R B D' U2 L2
B' F' R' U2 D' L2 F'
B' F' R' U2 D' F' L2
B' F' R' D R2 B U2
B2 F' R B U F2 U
B2 F' R B U2 D' L2
B2 F' R B D R2 U2
B2 F' R B D' U2 L2
B' F' R' D' U2 L2 F'
B' F' R' D' U2 F' L2
F' B' R' U F2 U F
F' B' R' U2 D' L2 F'
F' B' R' U2 D' F' L2
F' B' R' D R2 B U2
B2 F' R' U F2 U F
F' B' R' D' U2 L2 F'
F' B' R' D' U2 F' L2
B2 F' R' U2 D' L2 F'
B2 F' R' U2 D' F' L2
B F' R D R2 U2 F'
B2 F' R' D R2 B U2
B F' R D B R2 U2
B F' R D' B U2 L2
B2 F' R' D' U2 L2 F'
B2 F' R' D' U2 F' L2
B F' R B U F2 U
B F' R B U2 D' L2
B F' R B D R2 U2
B F' R B D' U2 L2
B F' R' U F2 U F
B F' R' U2 D' L2 F'
B F' R' U2 D' F' L2
B F' R' D R2 B U2
B F' R' D' U2 L2 F'
B F' R' D' U2 F' L2
B' F' U F R F U
F' B' U F R F U
B2 F' U F R F U
B' F' U2 L D' F L2
B' F' U2 L' D' L2 F
B F' U F R F U
B' F' U2 D' L F L
F' B' U2 L D' F L2
F' B' U2 L' D' L2 F
B2 F' U2 L D' F L2
B2 F' U2 L' D' L2 F
F' B' U2 D' L F L
B2 F' U2 D' L F L
B' F' D R B R U2
B F' U2 L D' F L2
F' B' D R B R U2
B F' U2 L' D' L2 F
B2 F' D R B R U2
B F' U2 D' L F L
B' F' D' R B U2 L2
B' F' D' R' U2 L2 F'
B' F' D' R' U2 F' L2
B' F' D' U2 L F L
F' B' D' R B U2 L2
F' B' D' R' U2 L2 F'
F' B' D' R' U2 F' L2
B F' D R B R U2
B2 F' D' R B U2 L2
B2 F' D' R' U2 L2 F'
B2 F' D' R' U2 F' L2
F' B' D' U2 L F L
B2 F' D' U2 L F L
B F' D' R B U2 L2
B F' D' R' U2 L2 F'
B F' D' R' U2 F' L2
B F' D' U2 L F L
F' B2 R D R2 U2 F'
F' B2 R D B R2 U2
F' B2 R D' B U2 L2
F' B2 R B U F2 U
F' B2 R B U2 D' L2
F' B2 R B D R2 U2
F' B2 R B D' U2 L2
F' B2 R' U F2 U F
F' B2 R' U2 D' L2 F'
F' B2 R' U2 D' F' L2
F' B2 R' D R2 B U2
F' B2 R' D' U2 L2 F'
F' B2 R' D' U2 F' L2
F' B2 U F R F U
F' B2 U2 L D' F L2
F' B2 U2 L' D' L2 F
F' B2 U2 D' L F L
F' B2 D R B R U2
F' B2 D' R B U2 L2
F' B2 D' R' U2 L2 F'
F' B2 D' R' U2 F' L2
F' B2 D' U2 L F L
