U L R B' U
U L B' R U
U R L B' U
U L R D B' U
U L R D' B' U
U L R D2 B' U
U L R B' U D
U L R B' U D'
U L R B' U D2
U L R B' D U
U L R B' D' U
U L R B' D2 U
U2 L R B' U L'
U L R' B' R2 U
U L D R B' U
U L D B' R U
U L D' R B' U
U L D' B' R U
U L D2 R B' U
U L D2 R B' U
U L D2 B' R U
U L B R B2 U
U L B' R U D
U L B' R U D'
U L B' R U D2
U L B' R D U
U2 L B' R U L'
U L B' R D' U
U L B' R D2 U
U L B' D R U
U L B' D' R U
U L B' D2 R U
L' U L2 R B' U
L' U L2 B' R U
L' U R L2 B' U
L U R B' U B
U R L D B' U
U R L D' B' U
U R L D2 B' U
U2 R L B' U L'
U R L B' U D
U R L B' U D'
U R L B' U D2
U R L B' D U
U R L B' D' U
U R L B' D2 U
U R' L B' R2 U
F' U L B' U F
L B R B2 U L
L B' R U' R' U2
L' U L2 B' R U D2
L' U L2 B' R D U
L' U L2 B' R D' U
L' U L2 B' R D2 U
L' U L2 B' D R U
L' U L2 B' D' R U
L' U L2 B' D2 R U
L' U R L2 D B' U
L' U R L2 D' B' U
L' U R L2 D2 B' U
L' U R L2 B' U D
L' U R L2 B' U D'
L' U R L2 B' U D2
L' U R L2 B' D U
L' U R L2 B' D' U
L' U R L2 B' D2 U
L2 U R L' B' U R'
L' U R B L2 B' U
L' U R B' L2 B' U
L' U R B2 L2 B' U
L U R D B' U B
L U R D' B' U B
L' U R' L2 B' R2 U
L U R D2 B' U B
L2 U R B' L' U R'
L U R B' L U B
L U R B' L' U B
L U R B' L2 U B
L U R B' U D B
L U R B' U D' B
L U R B' U D2 B
L U R B' U B D
L U R B' U B D'
L U R B' U B D2
L U R B' D U B
L U R B' D' U B
L U R B' D2 U B
U L2 B L' R B' U
U L2 B L' B' R U
U L2 B R L' B' U
U L2 B' L' R B' U
U L2 B' L' B' R U
U L2 B' R L' B' U
L U D R B' U B
U L2 B2 L' R B' U
U L2 B2 L' B' R U
U L2 B2 R L' B' U
L U D' R B' U B
U2 R L D B' U L'
U2 R L D' B' U L'
U2 R L D2 B' U L'
U' R L B' U2 B U'
U2 R L B' U L' D
U2 R L B' U L' D'
U2 R L B' U L' D2
U2 R L B' U D L'
U2 R L B' U D' L'
U2 R L B' U D2 L'
U2 R L B' D U L'
U2 R L B' D' U L'
U2 R L B' D2 U L'
U R L D B' U D
U R L D B' U D'
U R L D B' U D2
U R L D B' D U
U R L D B' D' U
U R L D B' D2 U
L U D2 R B' U B
U R L D' B' U D
U R L D' B' U D'
U R L D' B' U D2
U R L D' B' D U
U R L D' B' D' U
U R L D' B' D2 U
U R L D2 B' U D
U R L D2 B' U D'
U R L D2 B' U D2
U R L D2 B' D U
U R L D2 B' D' U
U R L D2 B' D2 U
U R L B U D' R2
U R L B D' U R2
U R L B2 D B U
U R L B2 D' B U
U R L B2 D2 B U
U R L' B L2 B' U
U R L' B' L2 B' U
U R L' B2 L2 B' U
U R L2 D L' B' U
U R L2 D' L' B' U
U R L2 D2 L' B' U
U R L2 B L' B' U
U R L2 B' L' B' U
U R L2 B2 L' B' U
L' U B L2 R B' U
L' U B L2 B' R U
L' U B R L2 B' U
L U B R B2 U B
L' U B' L2 R B' U
L' U B' L2 B' R U
L' U B' R L2 B' U
L2 U B' L' R U R2
L2 U B' R L' U R2
L' U B2 L2 R B' U
L' U B2 L2 B' R U
L' U B2 R L2 B' U
U R D' L B U R'
U2 R F L B' U L'
U R F L F' B' U
U R F L B' F' U
U2 R F' L B' U L'
U2 R F2 L B' U L'
U R F2 L F2 B' U
U R F2 L B' F2 U
R U' R' U L B' U
U R B L B' L U
B R B' L B' U L
U' R' L B' R2 F' U
U2 R' L B' R2 U L'
U R' L D' B' U F2
U R' L B R2 B2 U
U R' L B' R2 U D
U R' L B' R2 U D'
U R' L B' R2 U D2
U R' L B' R2 D U
U R' L B' R2 D' U
U R' L B' R2 D2 U
U R' L B' U D' F2
U R' L B' D' U F2
U2 R' U' L R2 B' U
U2 R' U' L B' R2 U
U2 R' U' R2 L B' U
U' R' U2 L R2 B' U
U' R' U2 L B' R2 U
U' R' U2 R2 L B' U
L' U2 L2 R B' U L2
L' U2 L2 B' R U L2
L' U2 R L2 B' U L2
L2 U2 R B L' U L
U R2 L D R' B' U
U R2 L D' R' B' U
U R2 L D2 R' B' U
U2 R2 U' L R' B' U
U2 R2 U' R' L B' U
U' R2 U2 L R' B' U
U' R2 U2 R' L B' U
U R2 D2 L R' B U
U R2 D2 R' L B U
D' U L R B U R'
D2 U L R U2 F' U'
L D U R B' U B
D2 U L R' B R2 U
B' U L R B' U B2
F' U L R B' U F
F' U L R' B' U F
F' U L R2 B' U F
F' U L D B' U F
F' U L D' B' U F
F' U L D2 B' U F
F2 U L U2 L2 F U'
D' U L B R U R2
F2 U L D B' U F2
B U L R B' L U
F2 U L D2 R2 B' U
B' U L B' R U B
F' U L B' R U F
F2 U L D2 B' R2 U
F' U L B' R' U F
F' U L B' R2 U F
F' U L B' U D F
F' U L B' U D' F
F' U L B' U D2 F
F' U L B' U F D
F' U L B' U F D'
F' U L B' U F D2
F' U L B' D U F
F' U L B' D' U F
F' U L B' D2 U F
F2 U L B' U D F2
F2 U L B' U2 L2 U'
F2 U L B' D U F2
F2 U L B' D2 R2 U
B U L B' L R U
B U L B' R L U
D' U R L B U R'
D2 U R L U2 F' U'
F' U R L B' U F
B' U R L B' U B2
B' U R U D' B R'
D' U R D L B' U
B' U R D' U B R'
L' D F2 U' L' F' U'
B U R L B' L U
D2 U R' L B R2 U
F' U R' L B' U F
D U R D' L B' U
B U R B' L B' U
U D R D' L B' U
F' U R2 L B' U F
L D B R B2 U L
L D B' R U' R' U2
B' U D' R U B R'
U D' L R B U R'
B U B' L R B' U
B U B' L B' R U
B U B' R L B' U
B2 U B2 L R B' U
B2 U B2 L B' R U
B2 U B2 R L B' U
U D' L B R U R2
L D' U R B' U B
F2 U' L' U2 L2 B' U
F2 U' L' D' F U' B2
U D' R L B U R'
F2 U' L' D2 R2 F U'
F2 U' L' D2 F R2 U'
F2 U' L' F U' D' B2
F2 U' L' F U2 L2 U
F2 U' L' F D' U' B2
F2 U' L' F D2 R2 U'
U D' R D L B' U
L D' B R B2 U L
L D' B' R U' R' U2
B' U' F2 L' F U' B'
B2 U' F2 L' R' F U'
B2 U' F2 L' F R' U'
U D2 L R U2 F' U'
B2 U' F2 R' L' F U'
U D2 L R' B R2 U
U D2 R L U2 F' U'
L D2 U R B' U B
U D2 R' L B R2 U
F' U2 L B' R' U L'
L D2 B R B2 U L
L D2 B' R U' R' U2
U F L F' R B' U
U F L F' B' R U
U F L B' F' R U
D F' U L U R F
U' F' U2 L B' R' U
B' D' U R U B R'
R' F2 L R2 B' U L2
R' F2 L B' R2 U L2
U' F2 L' U2 L2 B' U
U' F2 L' D' F U' B2
U' F2 L' D2 R2 F U'
U' F2 L' D2 F R2 U'
U' F2 L' F U' D' B2
U' F2 L' F U2 L2 U
U' F2 L' F D' U' B2
U' F2 L' F D2 R2 U'
R' F2 R2 L B' U L2
L F2 B' U2 L' U' L
U B L R B' L U
U B L B' L R U
U B L B' R L U
U B R L B' L U
L B R F B2 U L
L B R F' B2 U L
L B R F2 B2 U L
U B R B' L B' U
L B R B2 U L D
L B R B2 U L D'
L B R B2 U L D2
L B R B2 U D L
L B R B2 U D' L
L B R B2 U D2 L
L B R B2 D U L
L B R B2 D' U L
L B R B2 D2 U L
L B R B2 F U L
L B R B2 F' U L
L B R B2 F2 U L
L' B U L2 R B' U
L' B U L2 B' R U
L' B U R L2 B' U
L B U R B2 U B2
L B U B2 R U B2
D' B' L U R U B
L B' R U B2 L B2
L B' R U' R' U2 D
L B' R U' R' U2 D'
L B' R U' R' U2 D2
L B' R U' R' D U2
L B' R U' R' D' U2
L B' R U' R' D2 U2
L B' R U' D R' U2
L B' R U' D' R' U2
L B' R U' D2 R' U2
L B' R U2 B2 U' L
L B' R D U' R' U2
L B' R D' U' R' U2
L B' R D2 U' R' U2
L B' R F U' R' U2
L B' R F' U' R' U2
L B' R F2 U' R' U2
U B' R B L B' U
L' B' U L2 R B' U
L B' R' U D' F2 L'
L' B' U L2 B' R U
L' B' U R L2 B' U
L B' R' D' U F2 L'
L B' R' F2 R2 U L'
L B' R2 D' R' F2 U
L B' R2 D' F2 R' U
L B' R2 D2 R' U L2
L B' D R U' R' U2
L B' D' R U' R' U2
F2 B' U' L' F U' B'
L B' D2 R U' R' U2
L B' F2 U2 L' U' L
L' B2 U L2 R B' U
L' B2 U L2 B' R U
L' B2 U R L2 B' U
L B2 U B R U B'
B' F2 U' L' F U' B'
B2 F2 U' L' R' F U'
B2 F2 U' L' F R' U'
F2 B2 U' L' R' F U'
F2 B2 U' L' F R' U'
B2 F2 U' R' L' F U'
F2 B2 U' R' L' F U'
