R' L U B L B2
D2 L R' U B L
L R' U B L B2
L2 R' F L' U B'
R' L2 F L' U B'
D2 L2 R' F U B
D L2 R' F L' U
D2 L2 F R' U B
D L2 F L' R' U
D L2 F R' L' U
D2 R' L U B L
D2 R' L2 F U B
D R' L2 F L' U
D2 R' U B D L2
D2 R' U2 B' U' B2
R' D L2 F L' U
L2 F L' R' U B'
L2 F R' L' U B'
U2 B2 L B U' B2
F R' L2 F L' U B'
D2 R' U D' B D L2
D2 R' U D2 B D L2
D2 R' U B L D L2
D2 R' U B L' D L2
D2 R' U B L2 D L2
D2 R' U B U B2 U'
D2 R' U B D L2 D
D2 R' U B D L2 D'
D2 R' U B D L2 D2
D2 R' U2 D B' U' B2
D2 R' U2 D' B' U' B2
D2 R' U2 D2 B' U' B2
D' R' U2 B R' B2 U'
D2 R' U2 B' R U' B2
D2 R' U2 B' R' U' B2
D2 R' U2 B' R2 U' B2
D2 R' U2 B' U' B2 D
D2 R' U2 B' U' B2 D'
D2 R' U2 B' U' B2 D2
D2 R' U2 B' D' R2 U'
D' R' U2 B' U2 L U
D2 R' D L U B L
D2 R' D L2 F U B
F' R' D L2 F L' U
D2 R' D U B D L2
D2 R' D U2 B' U' B2
F2 R' D L2 F L' U
D2 R' D' L U B L
F R' D L2 F L' U
D2 R' D' L2 F U B
D2 R' D' U B D L2
D2 R' D' U2 B' U' B2
D2 R' D2 L U B L
D2 R' D2 L2 F U B
D' R' D2 L2 F L' U
D2 R' D2 U B D L2
D2 R' D2 U2 B' U' B2
D2 R' F L U B L
D2 R' F L2 F U B
D2 R' F U B D L2
D2 R' F U2 B' U' B2
D R' F L2 F L U
D2 R' F' L U B L
D2 R' F' L2 F U B
D2 R' F' U B D L2
D2 R' F' U2 B' U' B2
D2 R' F2 L U B L
D2 R' F2 L2 F U B
D R' F' U2 R B' U'
D R' F' U2 B' R U'
D2 R' F2 U B D L2
D2 R' F2 U2 B' U' B2
D R' F2 U2 B' R' U'
R' U2 D' B R' B2 U'
R' U2 D' B' U2 L U
R' U2 D2 R' B' U' B2
R' U2 D2 B' R' U' B
R' U2 B' U' L B' L'
R' U2 B' U2 L U B'
R' U2 B' D2 R' U' B
R' U2 B2 D' B R' U'
L U2 B2 L U' B L
R' D L' F L' F U
R' D L2 F L' U D
R' D L2 F L' U D'
R' D L2 F L' U D2
R' D L2 F L' D U
R' D L2 F L' D' U
R' D L2 F L' D2 U
R' D L2 F D L' U
R' D L2 F D' L' U
R' D L2 F D2 L' U
R2 D L2 R F L' U
R2 D R L2 F L' U
L' D R' U' F U2 L'
L2 D R' F L' U B'
L D R' U B L B2
R' D F L2 F L U
L2 D F L' R' U B'
L2 D F R' L' U B'
R' D F' U2 R B' U'
R' D F' U2 B' R U'
R' D F2 U2 B' R' U'
L' D' L2 R' U B' L
R' D' L2 D2 F L' U
L' D' R' L2 U B' L
L' D' R' U L2 B' L
L2 D' R' F L' U B'
L D' R' U B L B2
R' D' U2 B R' B2 U'
R' D' U2 B' U2 L U
L2 D' F L' R' U B'
L2 D' F R' L' U B'
R' D2 L2 D' F L' U
L2 D2 R' F L' U B'
L D2 R' U B L B2
R' D2 U2 R' B' U' B2
R' D2 U2 B' R' U' B
B' U2 L B R' U B2
L2 D2 F L' R' U B'
L2 D2 F R' L' U B'
D2 F L R' U B L
R' F L U B L B2
L2 F L R' U' F U2
L2 F L' R' U D B'
L2 F L' R' U D' B'
L2 F L' R' U D2 B'
L2 F L' R' U B' D
L2 F L' R' U B' D'
L2 F L' R' U B' D2
L2 F L' R' D U B'
L2 F L' R' D' U B'
L2 F L' R' D2 U B'
D2 F L2 R' F U B
L2 F L' D R' U B'
L2 F L' D' R' U B'
L2 F L' D2 R' U B'
R' F L2 F L' U B'
D2 F L2 F R' U B
L2 F L2 D2 R' U B
D F L2 R' F L U
D F L2 F L R' U
D F L2 F R' L U
D2 F R' L U B L
D2 F R' L2 F U B
D2 F R' U B D L2
D2 F R' U2 B' U' B2
B' U2 B L R' U B'
L2 F R' L U' F U2
L2 F R' L' U D B'
L2 F R' L' U D' B'
L2 F R' L' U D2 B'
L2 F R' L' U B' D
L2 F R' L' U B' D'
L2 F R' L' U B' D2
L2 F R' L' D U B'
B' U2 B R' L U B'
L2 F R' L' D' U B'
L2 F R' L' D2 U B'
L2 F R' U2 R U' B
L2 F R' D L' U B'
L2 F R' D' L' U B'
L2 F R' D2 L' U B'
B' U2 B D2 R' U B
D F R' L2 F L U
L F R' U B L B2
F' U2 B2 L B U' B2
F2 U2 B2 L B U' B2
F U2 B2 L B U' B2
R' F D L2 F L' U
F' D L2 R' F L' U
L2 F D L' R' U B'
L2 F D R' L' U B'
F2 D L2 R' F L' U
F' D L2 F L' R' U
F' D L2 F R' L' U
F2 D L2 F L' R' U
F2 D L2 F R' L' U
L2 F D' L' R' U B'
L2 F D' R' L' U B'
F D L2 R' F L' U
F D L2 F L' R' U
F D L2 F R' L' U
L2 F D2 L' R' U B'
F' D R' L2 F L' U
L2 F D2 R' L' U B'
F2 D R' L2 F L' U
F D R' L2 F L' U
D2 F' L R' U B L
R' F' L U B L B2
L2 F' L' R' F2 U B'
D2 F' L2 R' F U B
R' F' L2 F L' U B'
L2 F' L' F2 R' U B'
D2 F' L2 F R' U B
D2 F' R' L U B L
D2 F' R' L2 F U B
D2 F' R' U B D L2
D2 F' R' U2 B' U' B2
L2 F' R' L' F2 U B'
L2 F' R' F2 L' U B'
D F' R' U2 R2 B' U'
D F' R' U2 B' R2 U'
D F' R' D2 L2 F U
L F' R' U B L B2
B2 D' L B R' U' R'
R' F' D L2 F L' U
D2 F2 L R' U B L
R' F2 L U B L B2
D2 F2 L2 R' F U B
L2 F2 L' F' R' U B'
R' F2 L2 F L' U B'
D2 F2 L2 F R' U B
D2 F2 R' L U B L
D2 F2 R' L2 F U B
D2 F2 R' U B D L2
D2 F2 R' U2 B' U' B2
D F2 R' U2 B' R' U'
L F2 R' U B L B2
F' D2 L R' U B L
F2 D2 L R' U B L
R' F2 D L2 F L' U
F D2 L R' U B L
F' D2 L2 R' F U B
F2 D2 L2 R' F U B
F' D2 L2 F R' U B
F2 D2 L2 F R' U B
F D2 L2 R' F U B
F' D2 R' L U B L
F' D2 R' L2 F U B
F' D2 R' U B D L2
F D2 L2 F R' U B
F2 D2 R' L U B L
F' D2 R' U2 B' U' B2
F2 D2 R' L2 F U B
F2 D2 R' U B D L2
F2 D2 R' U2 B' U' B2
F D2 R' L U B L
F D2 R' L2 F U B
F D2 R' U B D L2
F D2 R' U2 B' U' B2
B D2 F2 B' R' U B
B D2 B' R' F2 U B
B D2 B' F2 R' U B
D' B' U2 L B R' U
D2 B' U2 B R' U B
U2 B2 L U' B' D L2
U2 B2 L D B U' B2
U2 B2 L D' B U' B2
U2 B2 L D2 B U' B2
U2 B2 L B R U' B2
U2 B2 L B R' U' B2
U2 B2 L B R2 U' B2
U2 B2 L B U' B2 D
U2 B2 L B U' B2 D'
U2 B2 L B U' B2 D2
U2 B2 L B D' R2 U'
U2 B2 L' B L2 U' B'
U2 B2 L2 B L' U' B'
U' B2 U' L B U' B2
U B2 U L B U' B2
U2 B2 D' L B R' U'
