D' R' F' B2 U2 R
D' R' B2 F' U2 R
D F2 R B D2 R' L2
B2 D' B2 R' F' U2 R
D F2 B R B L R2
D F2 B R B R2 L
D B R F2 B L R2
D B R F2 B R2 L
D B R B L R2 F2
D B R B L F2 R2
D B R B R2 L F2
D B R B R2 F2 L
D B R B F2 L R2
D B R B F2 R2 L
D B F2 R B L R2
D B F2 R B R2 L
R' B' D L2 F' U2 F'
R' B' D F' L2 U2 F'
R' B' D' F' B2 U2 R2
R' B' D' B2 U2 R2 B
R' B' D' B2 F' U2 R2
R' B' F' D L2 U2 F2
R' B' F' D' B2 U2 R2
L2 B2 R F' U' L B
D' B2 R' F' U2 L R
D' B2 R' F' U2 R L
R' B2 F' U' L2 F U'
