F' U' L' R2 F B'
F' U' L' R2 B' F
F' U' L' F R2 B'
F' U' L' F R2 B'
F' U' L' F B' R2
F' U' L' B' R2 F
F' U' L' B' F R2
F' U' R2 L' F B'
F' U' R2 L' B' F
F U' F2 L' R2 B' F
F U' F2 L' F R2 B'
F U' F2 L' F B' R2
F U' F2 L' B' R2 F
F U' F2 L' B' F R2
F U' F2 R2 L' F B'
F U' F2 R2 L' B' F
F' U' B' L' R2 F B'
F' U' B' L' R2 B' F
F' U' B' L' F R2 B'
F' U' B' L' F B' R2
F' U' B' L' B' R2 F
F' U' B' L' B' F R2
F' U' B' R2 L' F B'
F' U' B' R2 L' B' F
F' U' B2 L' R2 F B'
F' U' B2 L' R2 B' F
F' U' B2 L' F R2 B'
F' U' B2 L' F B' R2
F' U' B2 L' B' R2 F
F' U' B2 L' B' F R2
F' U' B2 R2 L' F B'
F' U' B2 R2 L' B' F
L' F R2 B2 D L B'
R' F' U' L' R' F B'
R' F' U' L' R' B' F
R' F' U' L' F R' B'
R' F' U' R' L' F B'
R' F' U' R' L' B' F
L' F' U' L' R2 F2 B'
L' F' U' L' R2 B' F2
L' F' U' L' F2 R2 B'
L' F' U' L' F2 B' R2
L' F' U' L' B' R2 F2
L' F' U' L' B' F2 R2
L' F' U' R2 L' F2 B'
L' F' U' R2 L' B' F2
R2 F' B L' D' F B2
R2 F' B L' D' B2 F
R2 F' B L' F D' B2
F' B L U L2 R2 F
F' B L U L2 F R2
F' B L U R2 L2 F
F' B L' R2 D' F B2
F' B L' R2 D' B2 F
F' B L' R2 F D' B2
F' B L' F R2 D' B2
F' B R2 L' D' F B2
F' B R2 L' D' B2 F
F' B R2 L' F D' B2
R2 B F' L' D' F B2
R2 B F' L' D' B2 F
R2 B F' L' F D' B2
B F' L U L2 R2 F
B F' L U L2 F R2
B F' L U R2 L2 F
B F' L' R2 D' F B2
B F' L' R2 D' B2 F
B F' L' R2 F D' B2
B F' L' F R2 D' B2
B' F' R' U' L' R' F
B' F' R' U' L' F R'
B' F' R' U' R' L' F
F' B' R' U' L' R' F
F' B' R' U' L' F R'
F' B' R' U' R' L' F
B F' R2 L' D' F B2
B F' R2 L' D' B2 F
B F' R2 L' F D' B2
