U L U2 F U' F'
U2 L B' U L' R'
U2 L B' U R' L'
B2 U' R' F' U' F
F U2 L U L' R
F U2 L U R L'
L2 U L' B' U2 L' U'
L' U L2 U2 L' F U'
U2 L2 B' L' U L' R'
U2 L2 B' L' U R' L'
L2 U D L' B' U F2
L2 U D2 L' R2 B' U
L2 U D2 L' B' R2 U
L2 U D2 R2 L' B' U
U R L U2 F U' F'
U' R U' L B U L'
F R B2 R' U' L R
F R B2 R' U' R L
U R' L U2 F U' F'
U R2 L U2 F U' F'
L U2 B' L' U' L R'
L U2 B' L' U' R' L
L2 D U L' B' U F2
D' U L U2 F U' F'
D2 U L U2 F U' F'
D U L U2 F U' F'
F' U L' U L2 U L2
U2 D L B' U L' R'
U2 D L B' U R' L'
U D L U2 F U' F'
R2 D F B2 R' U' R2
R2 D B2 R' F U' R
R2 D B2 F R' U' R2
U2 D' L B' U L' R'
U2 D' L B' U R' L'
U D' L U2 F U' F'
B2 U' L R' F' U' F
B2 U' L' R' F' U' F
B2 U' L2 R' F' U' F
B2 U' R' L F' U' F
B2 U' R' L' F' U' F
B2 U' R' L2 F' U' F
B2 U' R' D F' U' F
F U' R U' L U L'
B2 U' R' D' F' U' F
B2 U' R' D2 F' U' F
B2 U' R' F' U' D F
B2 U' R' F' U' D' F
B2 U' R' F' U' D2 F
B2 U' R' F' U' F D
B2 U' R' F' U' F D'
B2 U' R' F' U' F D2
B2 U' R' F' D U' F
B2 U' R' F' D' U' F
B2 U' R' F' D2 U' F
B2 U' D R' F' U' F
L2 D' B2 U L' B' U
B2 U' D' R' F' U' F
B2 U' D2 R' F' U' F
B2 U' F' R' F' U' F2
D' U2 L B' U L' R'
D' U2 L B' U R' L'
D2 U2 L B' U L' R'
D2 U2 L B' U R' L'
U2 D2 L B' U L' R'
U2 D2 L B' U R' L'
B2 U' F2 R' F' U' F'
U D2 L U2 F U' F'
D U2 L B' U L' R'
D U2 L B' U R' L'
L2 D2 U L' R2 B' U
L2 D2 U L' B' R2 U
L2 D2 U R2 L' B' U
F' U2 L U D2 L' R2
F' U2 L U D2 R2 L'
F' U2 L U' L2 U2 L
F' U2 L D' B2 U L'
F' U2 L D2 U L' R2
F' U2 L D2 U R2 L'
F U' B2 R D L2 B2
F U' B2 R D B2 L2
F U2 L U L' R D
F U2 L U L' R D'
F U2 L U L' R D2
F U2 L U L' D R
F U2 L U L' D' R
F U2 L U L' D2 R
F U2 L U R L' D
F U2 L U R L' D'
F U2 L U R L' D2
F U2 L U R D L'
F U2 L U R D' L'
F U2 L U R D2 L'
F U2 L U D L' R
F U2 L U D R L'
F U2 L U D' L' R
F U2 L U D' R L'
F U2 L U D2 L' R
F U2 L U D2 R L'
F U2 L D U L' R
F U2 L D U R L'
F U2 L D' U L' R
F U2 L D' U R L'
F U2 L D2 U L' R
F U2 L D2 U R L'
F U2 L B U L' R
F U2 L B U R L'
F U2 L B' U L' R
F U2 L B' U R L'
F U2 L B2 U L' R
F U2 L B2 U R L'
F U2 R U' L R' U
F U2 R U' R' L U
F2 U2 D' L B' U L'
F U2 D L U L' R
F U2 D L U R L'
F U2 D' L U L' R
F U2 D' L U R L'
U2 F L B' U L' R'
U2 F L B' U R' L'
F U2 D2 L U L' R
F U2 D2 L U R L'
F2 U2 F' L U L' R
F2 U2 F' L U R L'
F' U2 F2 L U L' R
F' U2 F2 L U R L'
B U2 B' L U L' R'
B U2 B' L U R' L'
D' F U2 L U L' R
D' F U2 L U R L'
D2 F U2 L U L' R
D2 F U2 L U R L'
D F U2 L U L' R
D F U2 L U R L'
R2 F D B2 R' U' R2
B2 D U' R' F' U' F
R F B2 R' U' L R2
R F B2 R' U' R2 L
U2 F' L B' U L' R'
U2 F' L B' U R' L'
F D U2 L U L' R
F D U2 L U R L'
L2 F' D' L' F B2 U2
L2 F' D' L' B2 F U2
L2 F' D' B2 L' F U2
B2 D' U' R' F' U' F
F2 D' U2 L B' U L'
U2 F2 L B' U L' R'
U2 F2 L B' U R' L'
F D' U2 L U L' R
F D' U2 L U R L'
B2 D2 U' R' F' U' F
F D2 U2 L U L' R
F D2 U2 L U R L'
B2 F R' U R U2 R
B2 F R' D' F2 U' L'
B2 F R' F2 U' L' R2
B2 F R' F2 U' R2 L'
B2 F' L' U' L R' U'
B2 F' L' U' R' L U'
B2 F' R' U L' R U2
B2 F' R' U R L' U2
B2 F' R' F2 U' L' R
B2 F' R' F2 U' R L'
F' B2 L' U' L R' U'
F' B2 L' U' R' L U'
U' B2 R' F' B2 U' F
U' B2 R' B2 F' U' F
F' B2 R' U L' R U2
F' B2 R' U R L' U2
D2 B2 U' R' F' U' F
D' B2 U' R' F' U' F
R B2 R' F U' L R
R B2 R' F U' R L
F' B2 R' F2 U' L' R
F' B2 R' F2 U' R L'
F B2 R' U R U2 R
D B2 U' R' F' U' F
F B2 R' D' F2 U' L'
F B2 R' F2 U' L' R2
F B2 R' F2 U' R2 L'
R B2 F R' U' L R2
R B2 F R' U' R2 L
