B R D F L B2
B R F L D B2
B R F D L B2
D R F B L B'
D R B F L B'
B R' U' R2 F L
B R' U' F L R2
B R' U' F R2 L
D' R' F B L R2
D' R' F B R2 L
D' R' B R2 F L
D' R' B F L R2
D' R' B F R2 L
R D F B L B'
R D B F L B'
R2 D' R' F B L
R2 D' R' B F L
R2 D' F R' B L
R2 F D' R' B L
R F D B L B'
D B R F L B'
B R' F' U' L F2 R2
B R' F' U' R2 L F2
B R' F' U' R2 F2 L
B R' F' U' F2 L R2
B R' F' U' F2 R2 L
D' R' F2 B L F' R2
B R' F2 U' L F' R2
B R' F2 U' F' L R2
B R' F2 U' F' R2 L
D' R' B R' F L R'
D' R' B R' F R' L
D' R' B R2 D F L
D' R' B R2 D' F L
D' R' B R2 D2 F L
D' R' B R2 F L D
D' R' B R2 F L D'
D' R' B R2 F L D2
D' R' B R2 F D L
D' R' B R2 F D' L
D' R' B R2 F D2 L
D' R' B R2 F' L F2
D' R' B R2 F2 L F'
D' R' B F L R2 D
D' R' B F L R2 D'
D' R' B F L R2 D2
D' R' B F R2 L D
D' R' B F R2 L D'
D' R' B F R2 L D2
D' R' B F R2 D L
D' R' B F R2 D' L
D' R' B F R2 D2 L
D' R' B F' L R2 F2
D' R' B F' L F2 R2
D' R' B F' R2 L F2
D' R' B F' R2 F2 L
D' R' B F2 L F' R2
D R' B R2 F L B'
D R' B F L R2 B'
D R' B F L B' R2
D R' B F R2 L B'
D' R' B2 R2 F B' L
D' R' B2 R2 B' F L
D' R' B2 F R2 B' L
D2 R2 D R' F B L
D2 R2 D R' B F L
D2 R2 D F R' B L
U R2 D' R' F L' B
U R2 D' R' F B L'
U R2 D' R' B F L'
U R2 D' F L' R' B
U R2 D' F R' L' B
U R2 D' F R' B L'
D R2 D2 R' F B L
D R2 D2 R' B F L
D' R2 F R B L R2
D' R2 F R B R2 L
D R2 D2 F R' B L
B R2 F L D R' B
B R2 F R' D' L B'
D R2 F R' B L B'
B R2 F D L R' B
B R2 F D R' L B
B R2 F D' L R' B'
B R2 F D' R' L B'
D R2 F D2 R' B L
D R2 F B L B' R'
L' D R B L F B'
L' D R B L B' F
R2 D R' F B L B'
R2 D R' B F L B'
D R2 B F L B' R'
R2 D F R' B L B'
R D F L B L B2
R2 D F D2 R' B L
R2 D F B L B' R'
R D F B L D B'
R D F B L D' B'
R D F B L D2 B'
R D F B L B' D
R D F B L B' D'
R D F B L B' D2
R D F B2 L B' L
B2 U R D2 F L' B
B2 U R D2 F B L'
B2 U R D2 B F L'
B2 U R F B' L B2
L' D B L R F B'
L' D B L R B' F
L' D B L B' R F
B2 U R B' F L B2
R D F' B L F2 B'
R D F' B L B' F2
B U R D F L B2
L' D B R L F B'
L' D B R L B' F
B U R F L D B2
B U R F D L B2
B U R' U' R2 F L
B U R' U' F L R2
B U R' U' F R2 L
R D F2 B L F' B'
R D F2 B L B' F'
R2 D B F L B' R'
R D B F L D B'
R D B F L D' B'
R D B F L D2 B'
R D B F L B' D
R D B F L B' D'
R D B F L B' D2
R D B F' L F2 B'
R D B F' L B' F2
R D B F2 L F' B'
R D B F2 L B' F'
B2 U D2 R F L' B
B2 U D2 R F B L'
B2 U D2 R B F L'
R D B2 F L B' L
R2 D' L' R' B L F
L' D' R' B L R2 F
L' D' R' B L F R2
L' D' R' B R2 L F
R2 D' R' L' B L F
R2 D' R' D F B L
R2 D' R' D B F L
R2 D' R' D' F B L
R2 D' R' D' B F L
R2 D' R' D2 F B L
R2 D' R' D2 B F L
R2 D' R' F L B L
R2 D' R' F L' B L
R2 D' R' F L2 B L
R2 D' R' F D B L
R2 D' R' F D' B L
R2 D' R' F D2 B L
R2 D' R' F B L D
R2 D' R' F B L D'
R2 D' R' F B L D2
R2 D' R' F B D L
R2 D' R' F B D' L
R2 D' R' F B D2 L
R2 D' R' F' B L F2
R2 D' R' F2 B L F'
R2 D' R' B D F L
R2 D' R' B D' F L
R2 D' R' B D2 F L
R2 D' R' B F L D
R2 D' R' B F L D'
R2 D' R' B F L D2
R2 D' R' B F D L
R2 D' R' B F D' L
R2 D' R' B F D2 L
R2 D' R' B F' L F2
R2 D' R' B F2 L F'
B2 U B' R F L B
R D' R' B R F L
B2 U B2 R F B L
B2 U B2 R B F L
B2 U' L' R B' L F
R2 D' F L R' B L
R2 D' F L' R' B L
R2 D' F L2 R' B L
R2 D' F R' L B L
R2 D' F R' L' B L
R2 D' F R' L2 B L
R2 D' F R' D B L
R2 D' F R' D' B L
R2 D' F R' D2 B L
R2 D' F R' B L D
R2 D' F R' B L D'
R2 D' F R' B L D2
R2 D' F R' B D L
R2 D' F R' B D' L
R2 D' F R' B D2 L
B2 U' L' B' L R F
B2 U' L' B' R L F
R D' F R' B L R
R D' F R' B R L
R2 D' F' R' F2 B L
R2 D' F' R' B L F2
R2 D' F' R' B F2 L
B2 U' R L' B' L F
R D' F D2 B L B'
R D' F B D2 L B'
B2 U' R D2 F L' B'
B2 U' R F L' B' L
B U' R D F L B2
B U' R F L D B2
B U' R F D L B2
B U' R' U' R2 F L
B U' R' U' F L R2
B U' R' U' F R2 L
L2 D' B' R' U2 B R2
R D' B D2 F L B'
R D' B F D2 L B'
B2 U' D2 R F L' B'
R D2 F B L D' B2
B U2 R D F L B2
B U2 R F L D B2
B U2 R F D L B2
B U2 R' U' R2 F L
B U2 R' U' F L R2
B U2 R' U' F R2 L
R D2 B D' F L B'
R D2 B F L D' B2
R2 F L D' R' B L
R F L D B L B'
R2 F L' D' R' B L
R F L' D B L B'
R2 F L2 D' R' B L
R' F R' D' R' B L
R F L2 D B L B'
D' F R' D2 B L R'
D' F R' D2 B R' L
R' F R2 D B L B'
R F R D' R' B L
R2 F R' D B L B'
R F U R B R' U'
R2 F D R' B L B'
R2 F D B L B' R'
R2 F D' L R' B L
R F D L B L B2
R2 F D' L' R' B L
R2 F D' L2 R' B L
R2 F D' R' L B L
R2 F D' R' L' B L
R2 F D' R' L2 B L
R2 F D' R' D B L
R2 F D' R' D' B L
R2 F D' R' D2 B L
R2 F D' R' B L D
R2 F D' R' B L D'
R2 F D' R' B L D2
R2 F D' R' B D L
R2 F D' R' B D' L
R2 F D' R' B D2 L
D' F D2 B L R' B'
D' F D2 B R' L B'
R F D B L D B'
R F D B L D' B'
R F D B L D2 B'
R F D B L B' D
R F D B L B' D'
R F D B L B' D2
R F D B2 L B' L
B D R D F L B2
B D R F L D B2
R F D' R' B L R
R F D' R' B R L
B D R F D L B2
D F D2 R' B L R'
D F D2 R' B R' L
R F D' B D2 L B'
B D R' U' R2 F L
B D R' U' F L R2
B D R' U' F R2 L
D F D2 B L R' B
D F D2 B R' L B
R F D2 B D' L B'
R F B L U R' U'
R F B U R' U' L
R F B' L' D' B2 L
B D' R D F L B2
B D' R F L D B2
B D' R F D L B2
B D' R' U' R2 F L
B D' R' U' F L R2
B D' R' U' F R2 L
F D' R' D' B L R'
F D' R' D' B R' L
R2 F2 D' F' R' B L
R F2 D F' B L B'
R F2 D B L F' B'
R F2 D B L B' F'
R F2 D B F' L B'
B D2 R D F L B2
B D2 R F L D B2
B D2 R F D L B2
B D2 R' U' R2 F L
B D2 R' U' F L R2
B D2 R' U' F R2 L
B2 D2 U R F L' B
B2 D2 U R F B L'
B2 D2 U R B F L'
L' B L R D F B2
L' B L R D B2 F
L' B L R F D B2
B2 D2 U' R F L' B'
D B L D2 R F' B'
D B L D2 R B' F'
D B L D2 B' R F'
D B L B' D2 R F'
L' B R L D F B2
L' B R L D B2 F
L' B R L F D B2
D2 B R D' F L B'
L' B R D L F B2
L' B R D L B2 F
D2 B R F L D' B2
D' B R F L D2 B2
D' B R F D2 L B2
R' B R' U' R' F L
R' B R' U' F L R'
R' B R' U' F R' L
D' B R' F L B R2
D B R F L D B'
D B R F L D' B'
D B R F L D2 B'
D B R F L B' D
D B R F L B' D'
D B R F L B' D2
D B R F' L F2 B'
D B R F' L B' F2
D B R F2 L F' B'
D B R F2 L B' F'
R' B R2 F D' L B'
D B R' F L R2 B'
D B R' F L B' R2
D B R' F R2 L B'
F D2 B L D R' B
F D2 B R' D' L B'
R B R' U' R F L
F D2 B D L R' B
F D2 B D R' L B
D B R2 F L R' B'
D B R2 F R' L B'
F D2 B D' L R' B'
F D2 B D' R' L B'
D B U R F L B'
D B U' R F L B'
R B U R' U' F L
D B U2 R F L B'
D2 B D' R F L B'
D' B D2 R F L B'
R B F L U R' U'
R B F U R' U' L
D' B' R F D2 L2 B2
D' B' R F D2 B2 L2
R B' L' D' B2 L F
D' B' R' U2 F B R2
D' B' R' U2 B R2 F
D' B' R' U2 B F R2
L2 B' R' U L U R2
R B' F L' D' B2 L
D B2 R F L B' L
D B2 R F B' L B'
D B2 R B' F L B'
U' B2 U R F B L
U' B2 U R B F L
