F' R U D L2 B
F' R U D B L2
D R U L2 F' B
D R U L2 B F'
D R U F' L2 B
D R U F' B L2
D R U B L2 F'
D R U B F' L2
F' R U2 B2 U' B'
F' R D U L2 B
F' R D U B L2
F' R D2 F2 U B
F U2 L' B2 U' B
F U2 B2 L' U' B'
F' D R U L2 B
F' D R U B L2
F' D2 R F2 U B
F D2 F2 R U B
F' R F U D B L2
F' R F U2 B2 U' B'
F' R F D U L2 B
F' R F D U B L2
D R F U L2 F2 B
D R F U L2 B F2
F' R F D2 F2 U B
D R F U F2 L2 B
D R F U F2 B L2
D R F U B L2 F2
D R F U B F2 L2
F' R F' U D L2 B
F' R F' U D B L2
F' R F' U2 B2 U' B'
F' R F' D U L2 B
F' R F' D U B L2
F' R F' D2 F2 U B
D' R F2 U L' F B
D' R F2 U L' B F
D' R F2 U B L' F
F' R F2 U D L2 B
F' R F2 U D B L2
F' R F2 U2 B2 U' B'
F' R F2 D U L2 B
F' R F2 D U B L2
F' R F2 D2 F2 U B
D R F2 U F L2 B
D R F2 U F B L2
D R F2 U B F L2
D R B L2 F' D R2
D R' U' F' B U2 L2
D R' U' B F' U2 L2
L' D R U L2 F' B
L' D R U L2 B F'
L' D R U F' L2 B
L' D R U F' B L2
L' D R U B L2 F'
L' D R U B F' L2
L2 D R U L2 F' B
L2 D R U L2 B F'
L2 D R U F' L2 B
L2 D R U F' B L2
L2 D R U B L2 F'
L2 D R U B F' L2
L D R U L2 F' B
L D R U L2 B F'
L D R U F' L2 B
L D R U F' B L2
L D R U B L2 F'
L D R U B F' L2
F U2 L B2 L2 U' B'
F U2 L' R B2 U' B
F U2 L' R' B2 U' B
F U2 L' R2 B2 U' B
F U2 L' U' D B' L2
F U2 L' D U' B' L2
F U2 L' B2 U' D B
F U2 L' B2 U' D' B
F U2 L' B2 U' D2 B
F U2 L' B2 U' B D
F U2 L' B2 U' B D'
F U2 L' B2 U' B D2
F U2 L' B2 D U' B
F U2 L' B2 D' U' B
F U2 L' B2 D2 U' B
F U2 R L' B2 U' B
F U2 R B2 L' U' B'
F U2 R' L' B2 U' B
F U2 R' B2 L' U' B'
F U2 R2 L' B2 U' B
F U2 R2 B2 L' U' B'
F U2 D L' U' B' L'
U2 F L' F' B2 U' B
U2 F L' B2 F' U' B
U F L' B2 R U' R'
D F R U L2 F' B
D F R U L2 B F'
D F R U F' L2 B
D F R U F' B L2
D F R U B L2 F'
D F R U B F' L2
F U2 B L' B U' B2
U' F U' L' B2 U' B
F' U2 B2 U2 R U B
F' D L R U L B
U' F U' B2 L' U' B'
U F U L' R B2 U'
U F U L' B2 R U'
U F U R L' B2 U'
U F U R B2 L' U'
F U2 B2 L' R U' B'
F U2 B2 L' R' U' B'
F U2 B2 L' R2 U' B'
F U2 B2 L' U' D B'
F U2 B2 L' U' D' B'
F U2 B2 L' U' D2 B'
F U2 B2 L' U' B' D
F U2 B2 L' U' B' D'
F U2 B2 L' U' B' D2
F U2 B2 L' D U' B'
F U2 B2 L' D' U' B'
F U2 B2 L' D2 U' B'
L' F U2 L' B2 U' B
F U2 B2 R L' U' B'
F U2 B2 R' L' U' B'
F U2 B2 R2 L' U' B'
U F U B2 L' R U'
U F U B2 R L' U'
F' D L' R U L' B
F' D L' R U B L'
F U2 B2 D L' U' B'
F U2 B2 D' L' U' B'
L2 F U2 L' B2 U' B
F U2 B2 D2 L' U' B'
L' F U2 B2 L' U' B'
L2 F U2 B2 L' U' B'
L F U2 L' B2 U' B
R F U2 L' B2 U' B'
F' D R L U L B
F' D R L' U L' B
F' D R L' U B L'
L F U2 B2 L' U' B'
F' D R U L' B L'
F' D R U L2 D B
F' D R U L2 D' B
F' D R U L2 D2 B
F' D R U L2 B D
F' D R U L2 B D'
F' D R U L2 B D2
F' D R U B L2 D
F' D R U B L2 D'
F' D R U B L2 D2
F' D R U B' L2 B2
F' D R D F2 U B
F' D R F U L2 B
F' D R F U B L2
F' D R F' U L2 B
F' D R F' U B L2
F' D R F2 U L2 B
F' D R F2 U B L2
R' F D2 F2 R U B2
L' F D2 F2 R U B
L2 F D2 F2 R U B
L F D2 F2 R U B
U2 F B2 L' F' U' B'
U F B2 L' R U' R'
U F B2 R L' U' R'
F2 D F R U L2 B
F2 D F R U B L2
F D U2 L' U' B' L'
R' F' R U2 B2 U' B2
L' F' R U D L2 B
L' F' R U D B L2
L' F' R U2 B2 U' B'
L' F' R D U L2 B
L' F' R D U B L2
L' F' R D2 F2 U B
L2 F' R U D L2 B
L2 F' R U D B L2
L2 F' R U2 B2 U' B'
L2 F' R D U L2 B
L2 F' R D U B L2
L2 F' R D2 F2 U B
D F' R U L2 F' B
D F' R U L2 B F'
D F' R U F' L2 B
D F' R U F' B L2
D F' R U B L2 F'
D F' R U B F' L2
L F' R U D L2 B
L F' R U D B L2
L F' R U2 B2 U' B'
L F' R D U L2 B
L F' R D U B L2
F D F2 R U L2 B
F D F2 R U B L2
L F' R D2 F2 U B
L' F' D R U L2 B
L' F' D R U B L2
L2 F' D R U L2 B
L2 F' D R U B L2
L F' D R U L2 B
L F' D R U B L2
L' F' D2 R F2 U B
F' D' R F2 U L' B
F' D' R F2 U B L'
D2 F' D2 F' R U B
L2 F' D2 R F2 U B
L F' D2 R F2 U B
D F2 R U L2 F' B
D F2 R U L2 B F'
D F2 R U F' L2 B
D F2 R U F' B L2
D F2 R U B L2 F'
D F2 R U B F' L2
F' D2 L R F2 U B
F' D2 L' R F2 U B
F' D2 L2 R F2 U B
D2 F2 D' R U F' B
D2 F2 D' R U B F'
F' D2 R L F2 U B
F' D2 R L' F2 U B
F' D2 R L2 F2 U B
F' D2 R U D' L2 B
F' D2 R U D' B L2
F' D2 R U B D' L2
F' D2 R D' U L2 B
F' D2 R D' U B L2
F' D2 R F2 L U B
F' D2 R F2 L' U B
F' D2 R F2 L2 U B
F' D2 R F2 U D B
F' D2 R F2 U D' B
F' D2 R F2 U D2 B
F' D2 R F2 U B D
F' D2 R F2 U B D'
F' D2 R F2 U B D2
F' D2 R F2 D U B
F' D2 R F2 D' U B
F' D2 R F2 D2 U B
F' D2 R2 F2 R' U B
F2 D2 F R F U B
F' D2 F2 U2 L' U' B'
F D2 F2 L R U B
F D2 F2 L' R U B
F D2 F2 L2 R U B
F D2 F2 R L U B
F D2 F2 R L' U B
F D2 F2 R L2 U B
F D2 F2 R U D B
F D2 F2 R U D' B
F D2 F2 R U D2 B
F D2 F2 R U B D
F D2 F2 R U B D'
F D2 F2 R U B D2
F D2 F2 R D U B
F D2 F2 R D' U B
F D2 F2 R D2 U B
F D2 F2 D R U B
F D2 F2 D' R U B
F D2 F2 D2 R U B
U2 B2 D' L' U' F B'
U2 B2 D' L' U' B' F
U2 B2 F L' F' U' B'
U B2 F L' R U' R'
U B2 F R L' U' R'
