D' L' F' B' L R'
D' L' F' B' R' L
D' L' B' L F' R'
D' L' B' F' L R'
D' L' B' F' R' L
D F L' F2 B' R'
D F L' B' R' F2
D F L' B' F2 R'
D' F' L' B' L R'
D' F' L' B' R' L
F2 D F L' B' R'
L' F' D' B' L2 R'
L' F' D' B' R' L2
F' D' L' B' L R'
F' D' L' B' R' L
L' F' B' R' D' L2
L' F' B' D' L2 R'
L' F' B' D' R' L2
L' B' F' R' D' L2
L' B' F' D' L2 R'
L' B' F' D' R' L2
F' R D' L' B' L R'
F' R D' L' B' R' L
D R F L' B' R' F'
L' U' F U F2 B' R'
L' U' F U B' R' F2
L' U' F U B' F2 R'
F2 R' D F L' B' R'
F' R' D' L' B' L R'
F' R' D' L' B' R' L
L' U2 F U R F2 B'
L' U2 F U R B' F2
L' U2 F U B' R F2
F2 R2 D F L' B' R'
F' R2 D' L' B' L R'
F' R2 D' L' B' R' L
D' R2 B L R' F U2
D' R2 B L F R' U2
D' R2 B R' L F U2
D R2 B L F U2 L'
R D F L' B' R' F'
L' D F' D' B' L2 R'
L' D F' D' B' R' L2
L' D F' B' R' D' L2
L' D F' B' D' L2 R'
L' D F' B' D' R' L2
R2 D B L F U2 L'
L' D B' F' R' D' L2
L' D B' F' D' L2 R'
L' D B' F' D' R' L2
U2 D F L' R F2 B
U2 D F L' R B F2
U2 D F R L' F2 B
U2 D F R L' B F2
U2 D F R B L' F2
R D' L' B' L R' F'
R D' L' B' R' L F'
R D' L' B' R' F' L
L' D' F' D' B' L2 R'
L' D' F' D' B' R' L2
L' D' F' B' R' D' L2
L' D' F' B' D' L2 R'
L' D' F' B' D' R' L2
R2 D' B L R' F U2
R2 D' B L F R' U2
R2 D' B R' L F U2
L' D' B' F' R' D' L2
L' D' B' F' D' L2 R'
L' D' B' F' D' R' L2
F' U' F' L' F B' U
F' U' F' L' B' F U
D U2 F L' R F2 B
D U2 F L' R B F2
D U2 F R L' F2 B
D U2 F R L' B F2
D U2 F R B L' F2
L' D2 F' D' B' L2 R'
L' D2 F' D' B' R' L2
L' D2 F' B' R' D' L2
L' D2 F' B' D' L2 R'
L' D2 F' B' D' R' L2
L' D2 B' F' R' D' L2
L' D2 B' F' D' L2 R'
L' D2 B' F' D' R' L2
F2 U2 D F L' R B
F2 U2 D F R L' B
F2 U2 D F R B L'
D' F L' F2 B' L R'
D' F L' F2 B' R' L
D' F L' B' L R' F2
D' F L' B' L F2 R'
D' F L' B' R' L F2
D' F L' B' R' F2 L
D' F L' B' F2 L R'
D' F L' B' F2 R' L
D F L' R F2 B' R'
D F L' R B' R' F2
D F L' R B' F2 R'
D F L' R' F2 B' R'
D F L' R' B' R' F2
D F L' R' B' F2 R'
D F L' R2 F2 B' R'
D F L' R2 B' R' F2
D F L' R2 B' F2 R'
D F L' F B' R' F
D F L' F2 R B' R'
D F L' F2 R' B' R'
D F L' F2 R2 B' R'
D F L' F2 D B' R'
D F L' F2 D' B' R'
D F L' F2 D2 B' R'
D F L' F2 B' R' D
D F L' F2 B' R' D'
D F L' F2 B' R' D2
D F L' F2 B' D R'
D F L' F2 B' D' R'
D F L' F2 B' D2 R'
D F L' B' R F2 R2
D F L' B' R' F2 D
D F L' B' R' F2 D'
D F L' B' R' F2 D2
D F L' B' F R' F
D F L' B' F2 R' D
D F L' B' F2 R' D'
D F L' B' F2 R' D2
D F L' B' F2 D R'
D F L' B' F2 D' R'
D F L' B' F2 D2 R'
D F L2 F2 L B' R'
D F R L' F2 B' R'
D F R L' B' R' F2
D F R L' B' F2 R'
D F R' L' F2 B' R'
D F R' L' B' R' F2
D F R' L' B' F2 R'
D F R2 L' F2 B' R'
D F R2 L' B' R' F2
D F R2 L' B' F2 R'
F' D L' D2 B' L R'
F' D L' D2 B' R' L
B D L F U2 L' F2
F2 D R F L' B' R'
F2 D R' F L' B' R'
L' F B U F2 B2 R'
L' F B U B2 R' F2
L' F B U B2 F2 R'
L' F B' R' F2 D' L2
F2 D R2 F L' B' R'
D F B' L' R' F2 B'
D F B' L' R' B' F2
D F B' L' F2 R' B'
L' F B2 U F2 B R'
L' F B2 U B R' F2
L' F B2 U B F2 R'
D F B' R' L' F2 B'
D F B' R' L' B' F2
D' F' L' R B' L R'
D' F' L' R B' R' L
D' F' L' R' B' L R'
D' F' L' R' B' R' L
D' F' L' R2 B' L R'
D' F' L' R2 B' R' L
U' F' L' F B' U F'
D2 F' L' D B' L R'
D2 F' L' D B' R' L
B' D F L' R' F2 B'
B' D F L' R' B' F2
B' D F L' F2 R' B'
F2 D U2 F L' R B
F2 D U2 F R L' B
F2 D U2 F R B L'
U' F' L' B' F U F'
B' D F R' L' F2 B'
B' D F R' L' B' F2
F' D F L' F' B' R'
F' D F L' B' F' R'
D' F' L' B' L R' D
D' F' L' B' L R' D'
D' F' L' B' L R' D2
D' F' L' B' L D R'
D' F' L' B' L D' R'
D' F' L' B' L D2 R'
D' F' L' B' R' L D
D' F' L' B' R' L D'
D' F' L' B' R' L D2
D' F' L' B' R' D L
D' F' L' B' R' D' L
D' F' L' B' R' D2 L
D' F' L' B' D L R'
D' F' L' B' D R' L
D' F' L' B' D' L R'
D' F' L' B' D' R' L
D' F' L' B' D2 L R'
D' F' L' B' D2 R' L
F2 D F L' R B' R'
F2 D F L' R' B' R'
F2 D F L' R2 B' R'
F2 D F L' D B' R'
F2 D F L' D' B' R'
F2 D F L' D2 B' R'
F2 D F L' B' R' D
F2 D F L' B' R' D'
F2 D F L' B' R' D2
F2 D F L' B' D R'
F2 D F L' B' D' R'
F2 D F L' B' D2 R'
F2 D F R L' B' R'
F2 D F R' L' B' R'
F2 D F R2 L' B' R'
F2 D F D L' B' R'
L' F' L2 D' L2 B' R'
F2 D F D' L' B' R'
F2 D F D2 L' B' R'
D' F' L2 B' L R' B'
D' F' L2 B' R' L B'
F2 D F B' L' R' B'
F2 D F B' R' L' B'
D' F' R L' B' L R'
D' F' R L' B' R' L
D F' L' B' R' D2 L2
L' F' R D' B' L2 R'
L' F' R D' B' R' L2
L' F' R B' R' D' L2
L' F' R B' D' L2 R'
L' F' R B' D' R' L2
D' F' R' L' B' L R'
D' F' R' L' B' R' L
L' F' R' D' B' L2 R'
L' F' R' D' B' R' L2
L' F' R' B' R' D' L2
L' F' R' B' D' L2 R'
L' F' R' B' D' R' L2
D' F' R2 L' B' L R'
D' F' R2 L' B' R' L
L' F' R2 D' B' L2 R'
L' F' R2 D' B' R' L2
L' F' R2 B' R' D' L2
L' F' R2 B' D' L2 R'
L' F' R2 B' D' R' L2
F2 D B' R' F L' B'
U' F' U' L' F U R
F2 D B' F L' R' B'
F2 D B' F R' L' B'
L' F' U' F2 U B' R'
F' D' L' R B' L R'
F' D' L' R B' R' L
F' D' L' R' B' L R'
F' D' L' R' B' R' L
F' D' L' R2 B' L R'
F' D' L' R2 B' R' L
D2 F' D L' B' L R'
D2 F' D L' B' R' L
B' D' L' F' R' B' L
F' D' L' B' L R' D
F' D' L' B' L R' D'
F' D' L' B' L R' D2
F' D' L' B' L D R'
F' D' L' B' L D' R'
F' D' L' B' L D2 R'
F' D' L' B' R' L D
F' D' L' B' R' L D'
F' D' L' B' R' L D2
F' D' L' B' R' D L
F' D' L' B' R' D' L
F' D' L' B' R' D2 L
F' D' L' B' D L R'
F' D' L' B' D R' L
F' D' L' B' D' L R'
F' D' L' B' D' R' L
F' D' L' B' D2 L R'
F' D' L' B' D2 R' L
F2 D' L' B' L R' F
F2 D' L' B' L F R'
F2 D' L' B' R' L F
L' F' D B' D2 L2 R'
L' F' D B' D2 R' L2
L' F' D' R B' L2 R'
L' F' D' R B' R' L2
L' F' D' R' B' L2 R'
L' F' D' R' B' R' L2
L' F' D' R2 B' L2 R'
L' F' D' R2 B' R' L2
F' D' L2 B' L R' B'
F' D' L2 B' R' L B'
F' D' R L' B' L R'
F' D' R L' B' R' L
L' F' D' B' L2 R' D
L' F' D' B' L2 R' D'
L' F' D' B' L2 R' D2
L' F' D' B' L2 D R'
L' F' D' B' L2 D' R'
L' F' D' B' L2 D2 R'
L' F' D' B' R' L2 D
L' F' D' B' R' L2 D'
L' F' D' B' R' L2 D2
L' F' D' B2 L2 B R'
F' D' R' L' B' L R'
F' D' R' L' B' R' L
F' D' R2 L' B' L R'
F' D' R2 L' B' R' L
D' F' B' L' R' B' L2
L' F' B' L R' D' L2
L' F' B' L D' L2 R'
L' F' B' L D' R' L2
L' F' B' L' R' D' L2
L' F' B' L' D' L2 R'
L' F' B' L' D' R' L2
D' F' B' R' L' B' L2
L' F' B' L2 R' D' L2
L' F' B' L2 D' L2 R'
L' F' B' L2 D' R' L2
L' F' B' R' L D' L2
L' F' B' R' L' D' L2
L' F' B' R' L2 D' L2
L' F' B' R' U' F2 U
L' F' B' R' D' L2 D
L' F' B' R' D' L2 D'
L' F' B' R' D' L2 D2
L' F' B' R2 D' L2 R
L' F' B' R2 D' R L2
L' F' B' U' F2 U R'
L' F' B' D' L2 R' D
L' F' B' D' L2 R' D'
L' F' B' D' L2 R' D2
L' F' B' D' L2 D R'
L' F' B' D' L2 D' R'
L' F' B' D' L2 D2 R'
L' F' B' D' R' L2 D
L' F' B' D' R' L2 D'
L' F' B' D' R' L2 D2
L' F' B' D2 R' D L2
D' F2 L' B' L R' F
D' F2 L' B' L F R'
D' F2 L' B' R' L F
F2 D' F L' B' L R'
F2 D' F L' B' R' L
B' D' F' L' R' B' L
B' D' F' R' L' B' L
F' D' B' L' R' B' L2
F' D' B' R' L' B' L2
F' D2 L' D B' L R'
F' D2 L' D B' R' L
D F2 U2 F R B L
D2 F2 D' F L' B' R'
D' F2 D2 F L' B' R'
L' F2 B' R' D' F L'
D' B L F R' U2 F2
R2 B L F U' B' U'
D B L F U2 L' F2
R2 B D L F U2 L'
L' B F U F2 B2 R'
L' B F U B2 R' F2
L' B F U B2 F2 R'
D' B' L F' R' D2 B2
D' B' L F' D2 R' B2
D' B' L' F' R' B' L2
L B' L2 U' F' R' B'
L' B' U' F U R' F2
L' B' U' F U F2 R'
L B' U F U2 R' F2
L B' U F U2 F2 R'
B' F' R' D' L' B' L
F' B' R' D' L' B' L
L' B' D F' R' D' L2
L' B' D F' D' L2 R'
L' B' D F' D' R' L2
L B' U' F' R' D2 B2
L B' U' F' D2 R' B2
F2 B' R' D F L' B'
L' B' D' F' R' D' L2
L' B' D' F' D' L2 R'
L' B' D' F' D' R' L2
L' B' D2 F' R' D' L2
L' B' D2 F' D' L2 R'
L' B' D2 F' D' R' L2
L' B' F R' F2 D' L2
D' B' F' L' R' B' L2
L' B' F' L R' D' L2
L' B' F' L D' L2 R'
L' B' F' L D' R' L2
L' B' F' L' R' D' L2
L' B' F' L' D' L2 R'
L' B' F' L' D' R' L2
L' B' F' L2 R' D' L2
D' B' F' R' L' B' L2
L' B' F' L2 D' L2 R'
L' B' F' L2 D' R' L2
L' B' F' R' L D' L2
L' B' F' R' L' D' L2
L' B' F' R' L2 D' L2
L' B' F' R' U' F2 U
L' B' F' R' D' L2 D
L' B' F' R' D' L2 D'
L' B' F' R' D' L2 D2
L' B' F' R2 D' L2 R
L' B' F' R2 D' R L2
L' B' F' U' F2 U R'
D B' F L' R' F2 B'
D B' F L' R' B' F2
D B' F L' F2 R' B'
L' B' F' D' L2 R' D
L' B' F' D' L2 R' D'
L' B' F' D' L2 R' D2
L' B' F' D' L2 D R'
L' B' F' D' L2 D' R'
L' B' F' D' L2 D2 R'
L' B' F' D' R' L2 D
L' B' F' D' R' L2 D'
L' B' F' D' R' L2 D2
L' B' F' D2 R' D L2
D B' F R' L' F2 B'
D B' F R' L' B' F2
L' B' F2 R' D' F L'
B' F' D' L' R' B' L
F2 B' D R' F L' B'
B' F' D' R' L' B' L
F2 B' D F L' R' B'
F2 B' D F R' L' B'
F' B' D' L' R' B' L
F' B' D' R' L' B' L
B' F2 R' D F L' B'
B' F2 D R' F L' B'
B' F2 D F L' R' B'
B' F2 D F R' L' B'
L' B2 F U F2 B R'
L' B2 F U B R' F2
L' B2 F U B F2 R'
