L' U' D' L' R2 B2
L' U' D' L' B2 R2
L' U' D' R2 L' B2
L' U' D' R2 B2 L'
L' U' D' B2 L' R2
L' U' D' B2 R2 L'
L2 U' B2 L' R' U
L2 U' B2 R' L' U
L' U2 B2 L2 U L
L' D' U' L' R2 B2
L' D' U' L' B2 R2
L' D' U' R2 L' B2
L' D' U' R2 B2 L'
L' D' U' B2 L' R2
L' D' U' B2 R2 L'
B2 U2 L' R' U' L'
B2 U2 R' L' U' L'
D' B2 L' R' U' R'
L2 B2 L' R' U L
D' B2 R' L' U' R'
L2 B2 R' L' U L
L' U2 B2 L2 U L D
L' U2 B2 L2 U L D'
L' U2 B2 L2 U L D2
L' U2 B2 L2 U D L
L' U2 B2 L2 U D' L
L' U2 B2 L2 U D2 L
L' U2 B2 L2 D U L
L' U2 B2 L2 D' U L
L' U2 B2 L2 D2 U L
L' U2 B2 L2 F U L
L' U2 B2 L2 F' U L
L' U2 B2 L2 F2 U L
L' U2 B2 U D' L' B2
B2 R2 D F2 L' R U
L' U2 B2 U D' B2 L'
B2 R2 D F2 R L' U
L' U2 B2 D' U L' B2
L' U2 B2 D' U B2 L'
B2 R2 F2 L' R U L'
B2 R2 F2 R L' U L'
L' D U L2 F2 U2 L
D' R2 B2 L' R' U' R
L' D U F2 L2 R U2
L' D U F2 R L2 U2
D' R2 B2 R' L' U' R
L D U L' F2 L2 R
L D U L' F2 R L2
L D U F2 D2 L R2
L D U F2 D2 R2 L
L D U' L2 U2 L' F2
B2 U L' R' U' L' R
B2 U L' R' U' R L'
B2 U L2 U L R' U'
B2 U L2 U R' L U'
B2 U R' L' U' L' R
B2 U R' L' U' R L'
L' D' R U' L' R B2
L' D' R U' L' B2 R
L' D' R U' R L' B2
L' D' R U' R B2 L'
L' D' R U' B2 L' R
L' D' R U' B2 R L'
D' U B2 L' R' U' R'
D' U B2 R' L' U' R'
L' D' R' U' L' R' B2
L' D' R' U' R' L' B2
L' D' R' U' R' B2 L'
L' D' U' L R2 B2 L2
L' D' U' L B2 L2 R2
L' D' U' L B2 R2 L2
L' D' U' L' R B2 R
L' D' U' L' R2 B2 D
L' D' U' L' R2 B2 D'
L' D' U' L' R2 B2 D2
L' D' U' L' B' R2 B'
L' D' U' L' B2 R2 D
L' D' U' L' B2 R2 D'
L' D' U' L' B2 R2 D2
L' D' U' R L' B2 R
L' D' U' R B2 L' R
L' D' U' R B2 R L'
L' D' U' R2 L B2 L2
L' D' U' R2 L' B2 D
L' D' U' R2 L' B2 D'
L' D' U' R2 L' B2 D2
L' D' U' R2 B L' B
L' D' U' R2 B2 L' D
L' D' U' R2 B2 L' D'
L' D' U' R2 B2 L' D2
L' D' U' R2 B2 D L'
L' D' U' R2 B2 D' L'
L' D' U' R2 B2 D2 L'
L D' U L R2 D2 F2
L' D' U' B L' B R2
L' D' U' B' R2 B' L'
L' D' U' B2 L' R2 D
L' D' U' B2 L' R2 D'
L' D' U' B2 L' R2 D2
L' D' U' B2 R2 L' D
L' D' U' B2 R2 L' D'
L' D' U' B2 R2 L' D2
L' D' U' B2 R2 D L'
L' D' U' B2 R2 D' L'
L' D' U' B2 R2 D2 L'
L D' U R2 L D2 F2
L D' U R2 D2 L F2
L D' U R2 D2 F2 L
L D' U' B2 R' U2 R'
L' D' F2 U' R2 B2 L
L' D' B U' L' B R2
L' D' B U' B L' R2
L' D' B U' B R2 L'
L' D' B' U' R2 B' L'
L' D' B' U' B' L' R2
L' D' B' U' B' R2 L'
R' D' B2 L' R' U' R'
R' D' B2 R' L' U' R'
R2 D' B2 L' R' U' R'
R2 D' B2 R' L' U' R'
R D' B2 L' R' U' R'
R D' B2 R' L' U' R'
D' U' B2 L' R' U' R'
U' D' B2 L' R' U' R'
D' U' B2 R' L' U' R'
U' D' B2 R' L' U' R'
U2 D' B2 L' R' U' R'
U2 D' B2 R' L' U' R'
U D' B2 L' R' U' R'
U D' B2 R' L' U' R'
L' D2 R2 U' L' D R2
L' D2 R2 U' D L' R2
L' D2 R2 U' D R2 L'
L' D2 R2 D U' L' R2
L' D2 R2 D U' R2 L'
L' D2 R2 F2 U R U2
L D2 R2 U L D R2
L D2 R2 U D L R2
L D2 R2 U D R2 L
L D2 R2 U2 F2 U' L
L' D2 U' L' D R2 B2
L' D2 U' L' D B2 R2
L D2 R2 D U L R2
L D2 R2 D U R2 L
L2 D2 U F2 L R U'
L2 D2 U F2 R L U'
B2 U2 L' R' U' L' D
B2 U2 L' R' U' L' D'
B2 U2 L' R' U' L' D2
B2 U2 L' R' U' D L'
B2 U2 L' R' U' D' L'
B2 U2 L' R' U' D2 L'
B2 U2 L' R' D U' L'
B2 U2 L' R' D' U' L'
B2 U2 L' R' D2 U' L'
B2 U2 L' R' B U' L'
B2 U2 L' R' B' U' L'
B2 U2 L' R' B2 U' L'
B2 U2 L' D R' U' L'
B2 U2 L' D' R' U' L'
B2 U2 L' D2 R' U' L'
B2 U2 L' B U' L' B'
L' D2 F2 R2 U R' U2
L' D2 F2 R2 B2 U' L
L2 D2 F2 L R U' L'
L2 D2 F2 R L U' L'
B2 U2 R' L' U' L' D
B2 U2 R' L' U' L' D'
B2 U2 R' L' U' L' D2
B2 U2 R' L' U' D L'
B2 U2 R' L' U' D' L'
B2 U2 R' L' U' D2 L'
B2 U2 R' L' D U' L'
B2 U2 R' L' D' U' L'
B2 U2 R' L' D2 U' L'
B2 U2 R' L' B U' L'
B2 U2 R' L' B' U' L'
B2 U2 R' L' B2 U' L'
B2 U2 R' D' L' B2 U'
B2 U2 R' D' B2 L' U'
B2 U2 R' B L' U' L'
B2 U2 R' B' L' U' L'
B2 U2 R' B2 L' U' L'
D' U2 B2 L' R' U' R'
D' U2 B2 R' L' U' R'
B2 U2 D' L' R' B2 U'
B2 U2 D' R' L' B2 U'
B2 U2 D' R' B2 L' U'
B2 U2 B L' U' L' B'
B2 D R2 F2 L' R U
B2 D R2 F2 R L' U
D' F B2 R' U' R' F'
B2 D F2 R U D B2
B2 D F2 R U2 R2 U'
B2 D F2 R D U B2
B2 D F2 R D2 L2 U
B2 D' U2 L' R' B2 U'
B2 D' U2 R' L' B2 U'
D F2 L R U' L U2
B2 D' U2 R' B2 L' U'
D F2 L R B2 U R'
D F2 L B2 R U R2
D F2 R L U' L U2
D F2 R L B2 U R'
D F2 R D' L B2 U
D F2 R D2 L U R2
L' F2 U' D' R2 B2 L
F D' B2 R' U' R' F'
L' F2 D' U' R2 B2 L
D F2 D' L R B2 U
D F2 D' L B2 R U
D F2 D' R L B2 U
L' F2 D2 F2 R2 U' L'
D F2 D2 L R U R
D F2 D2 R L U R
D' B L' B R' U' R'
L2 B U' L' B R' U
L2 B U' B L' R' U
L2 B U' B R' L' U
L' B U2 B L2 U L
L' B' U2 B' L2 U L
D' B2 L' R' U' R' D
D' B2 L' R' U' R' D'
D' B2 L' R' U' R' D2
D' B2 L' R' U' D R'
D' B2 L' R' U' D' R'
D' B2 L' R' U' D2 R'
D' B2 L' R' D U' R'
D' B2 L' R' D' U' R'
D' B2 L' R' D2 U' R'
D' B2 L' R' F U' R'
D' B2 L' R' F' U' R'
D' B2 L' R' F2 U' R'
D' B2 L' D' R' F2 U'
D' B2 L' D' F2 R' U'
D' B2 L' F R' U' R'
D' B2 L' F' R' U' R'
D' B2 L' F2 R' U' R'
L2 B2 L' R' U L D
L2 B2 L' R' U L D'
L2 B2 L' R' U L D2
L2 B2 L' R' U D L
L2 B2 L' R' U D' L
L2 B2 L' R' U D2 L
L2 B2 L' R' D U L
L2 B2 L' R' D' U L
L2 B2 L' R' D2 U L
L2 B2 L' R' F U L
L2 B2 L' R' F' U L
L2 B2 L' R' F2 U L
L2 B2 L' D R' U L
L2 B2 L' D' R' U L
L2 B2 L' D2 R' U L
L' B2 L2 U D L F2
L' B2 L2 U D F2 L
L2 B2 L' F R' U L
L2 B2 L' F' R' U L
L' B2 L2 U2 L2 U' L'
L2 B2 L' F2 R' U L
L' B2 L2 D U L F2
L' B2 L2 D U F2 L
L' B2 L2 D2 R2 U L
D' B2 R' L' U' R' D
D' B2 R' L' U' R' D'
D' B2 R' L' U' R' D2
D' B2 R' L' U' D R'
D' B2 R' L' U' D' R'
D' B2 R' L' U' D2 R'
D' B2 R' L' D U' R'
D' B2 R' L' D' U' R'
D' B2 R' L' D2 U' R'
D' B2 R' L' F U' R'
D' B2 R' L' F' U' R'
D' B2 R' L' F2 U' R'
D' B2 R' D L' U' R'
D' B2 R' D' L' U' R'
D' B2 R' D2 L' U' R'
D' B2 R' F U' R' F'
L2 B2 R' L' U L D
L2 B2 R' L' U L D'
L2 B2 R' L' U L D2
L2 B2 R' L' U D L
L2 B2 R' L' U D' L
L2 B2 R' L' U D2 L
L2 B2 R' L' D U L
L2 B2 R' L' D' U L
L2 B2 R' L' D2 U L
L2 B2 R' L' F U L
L2 B2 R' L' F' U L
L2 B2 R' L' F2 U L
L2 B2 R' D L' U L
L2 B2 R' D' L' U L
L2 B2 R' D2 L' U L
L B2 R D2 R2 U L2
B2 F2 R U L2 D B2
F2 B2 R U L2 D B2
B2 F2 R U2 R2 U' L2
B2 F2 R D F2 U B2
F2 B2 R U2 R2 U' L2
F2 B2 R D F2 U B2
L B2 R' U2 L2 U' L2
L B2 R2 U D F2 L'
L' B2 U' D' L' B2 R'
U' B2 U2 L' R' U' L'
L B2 R2 D U F2 L'
U' B2 U2 R' L' U' L'
R' B2 U2 L' R' U' L'
R' B2 U2 R' L' U' L'
U2 B2 U2 L' R' U' L'
U2 B2 U2 R' L' U' L'
R2 B2 U2 L' R' U' L'
L B2 U' R' U' L2 U'
L B2 U' R' U2 D F2
L B2 U' R' D U2 F2
L B2 U' R' D' B2 U2
R2 B2 U2 R' L' U' L'
L B2 U' D R' U2 F2
L B2 U' D' R' B2 U2
L B2 U' D' B2 U2 L
L2 B2 D L' R' U L
L2 B2 D R' L' U L
D' B2 D' L' R' F2 U'
D' B2 D' L' F2 R' U'
D' B2 D' R' L' F2 U'
U B2 U2 L' R' U' L'
L B2 U2 L2 U R' U2
L B2 U2 L2 B2 U' L
U B2 U2 R' L' U' L'
L' B2 D' U' L' B2 R'
L2 B2 D' L' R' U L
R B2 U2 L' R' U' L'
L2 B2 D' R' L' U L
R B2 U2 R' L' U' L'
L B2 U2 B2 L2 U' L'
L B2 D R2 U F2 L'
L B2 D U' R' U2 F2
L2 B2 D2 L' R' U L
L2 B2 D2 R' L' U L
D' B2 F R' U' R' F'
L B2 D' U' R' B2 U2
L B2 D' U' B2 U2 L
L B2 D2 R2 U' R U2
L B2 D2 R2 F2 U L'
