U2 R2 U B U F2
F2 U D F B2 U'
F2 U D B2 F U'
F2 U D2 F U' L2
F2 U F U R2 U2
F2 U F U' D2 L2
F2 U F D B2 U'
F2 U F D2 U' L2
F2 U2 R2 U' F U'
F2 D U F B2 U'
F D R2 D F L2
F2 D U B2 F U'
F D R2 F D L2
F D F R2 D L2
F' D B2 U' F' B2
F' D B2 U' B2 F'
U F' U R2 B U2
U F' U' D2 L2 F'
U F' U' D2 F' L2
U F' U' F' D2 L2
U F' D B2 U' F'
U F' D2 U' L2 F'
U F' D2 U' F' L2
F2 D2 L2 U' B' U
F2 D2 U F U' L2
F D2 F L2 D' R2
U D2 F' U B2 U2 L2
U D2 F' U' L2 D2 F2
U D2 F' B' U' L2 F
F2 U2 R2 L2 U B' U
F2 U2 R2 U' D F U'
F2 U2 R2 U' D' F U'
F2 U2 R2 U' D2 F U'
F2 U2 R2 U' F U' D
F2 U2 R2 U' F U' D'
F2 U2 R2 U' F U' D2
F2 U2 R2 U' F D U'
F2 U2 R2 U' F D' U'
F2 U2 R2 U' F D2 U'
F2 U2 R2 D U' F U'
F2 U2 R2 D' U' F U'
F2 U2 R2 D2 U' F U'
F' U2 R2 B U B' U
D2 U2 B2 U' F' U' L2
F U2 R2 U' F2 U' F'
F U2 R2 U2 D R2 F
F U2 R2 U2 D F R2
F U2 R2 D U2 R2 F
F U2 R2 D U2 F R2
F U2 R2 D' L2 B' U2
U2 D2 B2 U' F' U' L2
R2 D2 B2 U B' U B'
U D2 B' F' U' L2 F
D2 F L2 D R2 D F2
D2 F L2 D2 F2 D' R2
D' F L2 F2 B' U' B
D' F L2 B' F2 U' B
D' F U L2 F2 B' U'
D' F U L2 B' F2 U'
R F R' F L' D R2
R F R' F D L' R2
R F R' F D R2 L'
F' D L B2 U' F' B2
F' D L B2 U' B2 F'
L' F D R2 D F L2
L' F D R2 F D L2
F' D L' B2 U' F' B2
F' D L' B2 U' B2 F'
L' F D F R2 D L2
L2 F D R2 D F L2
L2 F D R2 F D L2
L2 F D F R2 D L2
D F D L2 R2 D2 F2
F' D L2 B2 U' F' B2
F' D L2 B2 U' B2 F'
D F D R2 L2 D2 F2
F2 D R U F B2 U'
F2 D R U B2 F U'
L F D R2 D F L2
L F D R2 F D L2
F D L2 R2 D L2 F
L F D F R2 D L2
U F D B2 U' R2 F
U' F D2 B2 U F L2
U F D B2 U' F R2
L' F D2 F L2 D' R2
D F D' F2 D2 L2 R2
D F D' F2 D2 R2 L2
F2 D R' U F B2 U'
F2 D R' U B2 F U'
L2 F D2 F L2 D' R2
F D R D R F L2
F2 D R2 U F B2 U'
F2 D R2 U B2 F U'
L F D2 F L2 D' R2
F D R' D R' F L2
F D R' D F L2 R'
F D R' D F R' L2
F D R' F R' D L2
F D R' F D L2 R'
F D R' F D R' L2
F D R2 L2 D L2 F
F2 D U F U' D L2
F2 D U F D U' L2
F D R2 U B2 U' F
F2 D U F B2 U' D
F2 D U F B2 U' D'
F2 D U F B2 U' D2
F2 D U F B2 D U'
F2 D U F B2 D' U'
F2 D U F B2 D2 U'
F D R2 D F L2 D
F D R2 D F L2 D'
F D R2 D F L2 D2
F D R2 D F' L2 F2
F D R2 D F2 L2 F'
F D R2 D' F D2 L2
F2 D U B2 D F U'
F2 D U B2 D' F U'
F2 D U B2 D2 F U'
F D R2 F L D L2
F2 D U B2 F U' D
F2 D U B2 F U' D'
F2 D U B2 F U' D2
F2 D U B2 F D U'
F2 D U B2 F D' U'
F2 D U B2 F D2 U'
F D R2 F L' D L2
F D R2 F L2 D L2
F D R2 F U B2 U'
F D R2 F D L2 D
F D R2 F D L2 D'
F D R2 F D L2 D2
F D R2 F2 D L2 F'
F D R2 F2 D F' L2
F D U B2 U' R2 F
F D U B2 U' F R2
U F' L U R2 B U2
U F' L U' D2 L2 F'
U F' L U' D2 F' L2
U F' L U' F' D2 L2
D' F' L2 R2 B U' B'
U F' L D B2 U' F'
U F' L D2 U' L2 F'
U F' L D2 U' F' L2
D2 F' L2 D2 F2 D R2
F2 D F B2 U' F' B2
F2 D F B2 U' B2 F'
U F' L' U R2 B U2
U F' L' U' D2 L2 F'
U F' L' U' D2 F' L2
U F' L' U' F' D2 L2
F' D F' U F B2 U'
F' D F' U B2 F U'
F D F L R2 D L2
U F' L' D B2 U' F'
F D F L' R2 D L2
F D F L2 R2 D L2
U F' L' D2 U' L2 F'
U F' L' D2 U' F' L2
F D F R D L2 R
F D F R D R L2
F D F R' D L2 R'
F D F R' D R' L2
F D F R2 L D L2
F D F R2 L' D L2
F D F R2 L2 D L2
F D F R2 U B2 U'
F D F R2 D L2 D
F D F R2 D L2 D'
F D F R2 D L2 D2
F2 D F' D R2 F L2
F2 D F' D F L2 R2
F2 D F' D F R2 L2
F D F U B2 U' R2
F D F D L2 D' R2
U F' L2 U R2 B U2
U F' L2 U' D2 L2 F'
U F' L2 U' D2 F' L2
U F' L2 U' F' D2 L2
U F' L2 D B2 U' F'
F' D F2 D R2 F L2
F' D F2 D F L2 R2
F' D F2 D F R2 L2
U F' L2 D2 U' L2 F'
U F' L2 D2 U' F' L2
F D F' R2 F2 D L2
D' F' R2 L2 B U' B'
U' F' U R2 B U2 B'
D F' R' B2 L U' B2
F' D B2 L U' F' B2
F' D B2 L U' B2 F'
F' D B2 L' U' F' B2
F' D B2 L' U' B2 F'
F' D B2 L2 U' F' B2
F' D B2 L2 U' B2 F'
U' F' U' R2 U2 R2 F'
U2 F' U R2 F B U2
U' F' U' R2 B U2 R2
U2 F' U R2 B F U2
F' D B2 U' F' B2 D
F' D B2 U' F' B2 D'
F' D B2 U' F' B2 D2
F' D B2 U' B2 D F'
F' D B2 U' B2 D' F'
F' D B2 U' B2 D2 F'
F' D B2 U' B2 F' D
F' D B2 U' B2 F' D'
F' D B2 U' B2 F' D2
U' F' U' D2 F' L2 B'
U2 F' U F R2 U2 F2
U' F' U' F' D2 L2 B'
F2 D B2 F U' F' B2
F2 D B2 F U' B2 F'
U F' U R2 D B U2
U F' U R2 D' B U2
U F' U R2 D2 B U2
U F' U R2 B U2 D
U F' U R2 B U2 D'
U F' U R2 B U2 D2
U F' U R2 B D U2
U F' U R2 B D' U2
U F' U R2 B D2 U2
U2 F' U' D2 L2 F' B'
U2 F' U' D2 L2 B' F'
U2 F' U' F' D2 L2 B2
U2 F' U' F' D2 B2 L2
U F' U B R2 B U2
U F' U B' R2 B U2
F D B2 U' R2 F B2
F D B2 U' R2 B2 F
F D B2 U' F R2 B2
F D B2 U' F B2 R2
U F' U B2 R2 B U2
F D B2 U' B2 R2 F
F D B2 U' B2 F R2
U F' U' L D2 L2 F'
U F' U' L D2 F' L2
U F' U' L F' D2 L2
U F' U' L' D2 L2 F'
U F' U' L' D2 F' L2
U F' U' L' F' D2 L2
U F' U' L2 D2 L2 F'
U F' U' L2 D2 F' L2
U F' U' L2 F' D2 L2
U F' U' D F' D L2
U F' U' D2 L F' L
U F' U' D2 L2 D F'
U F' U' D2 L2 D' F'
U F' U' D2 L2 D2 F'
U F' U' D2 L2 F' D
U F' U' D2 L2 F' D'
U F' U' D2 L2 F' D2
U F' U' D2 F L2 F2
U F' U' D2 F' L2 D
U F' U' D2 F' L2 D'
U F' U' D2 F' L2 D2
U F' U' F' L D2 L2
U F' U' F' L' D2 L2
U F' U' F' L2 D2 L2
U F' U' F' U2 R2 U2
U F' U' F' D2 L2 D
U F' U' F' D2 L2 D'
U F' U' F' D2 L2 D2
U F' U' F2 D2 F L2
L' F' D B2 U' F' B2
L' F' D B2 U' B2 F'
F2 D' L2 U' F2 B' U
F2 D' L2 U' B' F2 U
U F' U2 D' F2 U F
R' F' D' F' R D2 L2
B2 D' L2 F' R2 B U'
L2 F' D B2 U' F' B2
L2 F' D B2 U' B2 F'
U F' D L B2 U' F'
U F' D L' B2 U' F'
U F' D L2 B2 U' F'
U' F' D2 U' F' L2 B'
U F' D U' F' D L2
U F' D B2 L U' F'
U F' D B2 L' U' F'
U F' D B2 L2 U' F'
U F' D B2 U' D F'
U F' D B2 U' D' F'
U F' D B2 U' D2 F'
U F' D B2 U' F' D
U F' D B2 U' F' D'
U F' D B2 U' F' D2
U F' D B2 D U' F'
U F' D B2 D' U' F'
U F' D B2 D2 U' F'
L F' D B2 U' F' B2
L F' D B2 U' B2 F'
U2 F' D2 U' L2 F' B'
U2 F' D2 U' L2 B' F'
U F' D' U2 F2 U F
U F' D2 L U' L F'
U F' D2 L U' F' L
U F' D2 L' U' L' F'
D2 F' B' U' L2 F B
D2 F' B' U' L2 B F
U F' D2 U' L F' L
U F' D2 U' L2 D F'
U F' D2 U' L2 D' F'
U F' D2 U' L2 D2 F'
U F' D2 U' L2 F' D
U F' D2 U' L2 F' D'
U F' D2 U' L2 F' D2
U F' D2 U' F L2 F2
U F' D2 U' F' L2 D
U F' D2 U' F' L2 D'
U F' D2 U' F' L2 D2
U F' D2 B U' L2 F'
U F' D2 B U' F' L2
U F' D2 B' U' L2 F'
U F' D2 B' U' F' L2
U F' D2 B2 U' L2 F'
U F' D2 B2 U' F' L2
U F' B U R2 B U2
U F' B U' D2 L2 F'
U F' B U' D2 F' L2
U F' B U' F' D2 L2
F2 D' U F U2 F U
U F' B D B2 U' F'
U F' B D2 U' L2 F'
U F' B D2 U' F' L2
U F' B' U R2 B U2
U F' B' U' D2 L2 F'
U F' B' U' D2 F' L2
U F' B' U' F' D2 L2
U F' B' D B2 U' F'
F2 D' U' F2 U2 F' U'
U F' B' D2 U' L2 F'
U F' B' D2 U' F' L2
D F' B2 U' B2 D' F2
D F' B2 U2 R2 U B2
D F' B2 D' R2 U' F2
U F' B2 U R2 B U2
U F' B2 U' D2 L2 F'
U F' B2 U' D2 F' L2
U F' B2 U' F' D2 L2
U F' B2 D B2 U' F'
U F' B2 D2 U' L2 F'
U F' B2 D2 U' F' L2
B2 D' F' L2 R2 B U'
B2 D' F' R2 L2 B U'
R F2 L' R U' B U
B2 D' F' R2 B L2 U'
R F2 L' R' U F' U'
R F2 L' U F U' R
R F2 L' U' B' U R'
R F2 R L' U' B U
R F2 R U' B U L'
R F2 R' L' U F' U'
L' F2 U D F B2 U'
D' F2 U F L2 U' L2
L' F2 U D B2 F U'
L' F2 U D2 F U' L2
L' F2 U F U R2 U2
L' F2 U F U' D2 L2
L' F2 U F D B2 U'
L' F2 U F D2 U' L2
L2 F2 U D F B2 U'
L2 F2 U D B2 F U'
L2 F2 U D2 F U' L2
L2 F2 U F U R2 U2
L2 F2 U F U' D2 L2
L2 F2 U F D B2 U'
L2 F2 U F D2 U' L2
R' F2 U2 R' U B U
L F2 U D F B2 U'
L F2 U D B2 F U'
L' F2 U2 R2 U' F U'
L F2 U D2 F U' L2
L F2 U F U R2 U2
L F2 U F U' D2 L2
L F2 U F D B2 U'
L F2 U F D2 U' L2
R2 F2 U' B U2 B' U'
L2 F2 U2 R2 U' F U'
L' F2 D U F B2 U'
L' F2 D U B2 F U'
F2 D2 L2 R U' B' U
F2 D2 L2 R' U' B' U
F2 D2 L2 R2 U' B' U
L2 F2 D U F B2 U'
L2 F2 D U B2 F U'
R F2 U' B' U L' R'
R F2 U' B' U R' L'
F2 D2 L2 U' D B' U
F2 D2 L2 U' D' B' U
F2 D2 L2 U' D2 B' U
F2 D2 L2 U' B' U D
F2 D2 L2 U' B' U D'
F2 D2 L2 U' B' U D2
F2 D2 L2 U' B' D U
F2 D2 L2 U' B' D' U
F2 D2 L2 U' B' D2 U
L F2 U2 R2 U' F U'
F' D2 L2 F' U F U'
F' D2 L2 F2 D R2 F
F2 D2 L2 D U' B' U
F' D2 L2 F2 D F R2
F2 D2 L2 D' U' B' U
F2 D2 L2 D2 U' B' U
F2 D2 L2 B D' R2 B'
F2 D2 L2 B D' B' R2
F2 D2 R L2 U' B' U
F2 D2 R U F U' L2
L' F2 D2 L2 U' B' U
L F2 D U F B2 U'
L F2 D U B2 F U'
L' F2 D2 U F U' L2
U F2 D F B2 U' F'
L2 F2 D2 L2 U' B' U
U F2 D B2 F U' F'
F2 D2 R' L2 U' B' U
L2 F2 D2 U F U' L2
F2 D2 R' U F U' L2
F D2 R F L2 D' R2
L F2 D2 L2 U' B' U
F2 D2 R2 L2 U' B' U
F2 D2 R2 U F U' L2
L F2 D2 U F U' L2
U F2 D2 F U' L2 F'
U F2 D2 F U' F' L2
F D2 R' F L2 D' R2
F2 D2 U F U' L2 D
F2 D2 U F U' L2 D'
F2 D2 U F U' L2 D2
F2 D2 U F D' B2 U'
F2 D2 U F B U' L2
F2 D2 U F B' U' L2
F2 D2 U F B2 U' L2
F' D2 U' L2 D' F' B2
F' D2 U' L2 D' B2 F'
F' D2 U' L2 F' D' B2
F2 D2 U B F U' L2
F2 D2 U B' F U' L2
F2 D2 U B2 F U' L2
F D2 R2 F L2 D' R2
F' D2 U' F' L2 D' B2
F D2 U' B2 U F L2
F' D2 F' L2 U' B' U
F' D2 F' U F U' L2
F D2 F L D' L R2
F D2 F L D' R2 L
F D2 F L' D' L' R2
F D2 F L' D' R2 L'
F D2 F L2 R D' R2
F D2 F L2 R' D' R2
F D2 F L2 R2 D' R2
F D2 F L2 U' B2 U
F D2 F L2 D' R2 D
F D2 F L2 D' R2 D'
F D2 F L2 D' R2 D2
F D2 F R L2 D' R2
F D2 F R' L2 D' R2
F D2 F R2 L2 D' R2
F D2 F U' B2 U L2
F D2 F D' R2 D L2
B D2 F' U' B' L2 F
F D2 F' L2 F2 D' R2
F' D2 B U' F' B' L2
F' D2 B U' B' L2 F'
F' D2 B U' B' F' L2
R2 B R' U F2 B' L'
R2 B R' U B' F2 L'
F D2 F2 L2 D' F' R2
F D2 F2 L2 F' D' R2
U2 B R2 U B U F2
F' D2 B' U' L2 F' B
F' D2 B' U' L2 B F'
F' D2 B' U' F' L2 B
F' D2 B' U' F' B L2
F' D2 B' U' B L2 F'
F' D2 B' U' B F' L2
F2 D2 B' L2 B D' R2
B D2 B' L2 F D R2
F' D2 B2 U' L2 F' B2
F' D2 B2 U' L2 B2 F'
D B R2 F' B U B2
F' D2 B2 U' F' L2 B2
F' D2 B2 U' F' B2 L2
F' D2 B2 U' B2 L2 F'
F' D2 B2 U' B2 F' L2
D B R2 B F' U B2
R2 B U F2 D' B' L2
R2 B U F2 B' D' L2
R2 B U B' F2 D' L2
F D2 B2 U F L2 B2
F D2 B2 U F B2 L2
F D2 B2 U B2 F L2
R2 B U2 F2 D R2 B'
R2 B U2 F2 D B' R2
R2 B U2 F2 B' D R2
R2 B U2 B' F2 D R2
R B U' F2 B' L' R'
R B U' F2 B' R' L'
R B U' B' F2 L' R'
R B U' B' F2 R' L'
F' B U R2 B U2 B2
F' B U' D2 F' B' L2
F' B U' D2 B' L2 F'
F' B U' D2 B' F' L2
U B F' U R2 B U2
F' B U' F' D2 B' L2
F' B U' F' B' D2 L2
U B F' U' D2 L2 F'
U B F' U' D2 F' L2
U B F' U' F' D2 L2
F' B U' B' D2 L2 F'
F' B U' B' D2 F' L2
F' B U' B' F' D2 L2
U B F' D B2 U' F'
U B F' D2 U' L2 F'
U B F' D2 U' F' L2
D2 B' L2 F D B R2
D2 B' L2 F B D R2
D2 B' L2 B F D R2
F' B D B2 U' F' B
F' B D B2 U' B F'
F' B D2 U' F' B' L2
F' B D2 U' B' L2 F'
F' B D2 U' B' F' L2
U2 B' R2 U B U F2
R2 B' U B2 U F2 B'
R2 B' U B2 U B' F2
R2 B' U2 F2 D' B R2
B' F' U R2 F' B U2
B' F' U R2 B F' U2
F' B' U R2 F' B U2
F' B' U R2 B F' U2
B2 F' U R2 B U2 B
B' F' U' D2 L2 F' B
B' F' U' D2 L2 B F'
B' F' U' D2 F' L2 B
B' F' U' D2 F' B L2
B' F' U' D2 B L2 F'
B' F' U' D2 B F' L2
B' F' U' F' D2 L2 B
B' F' U' F' D2 B L2
B' F' U' F' B D2 L2
B' F' U' B D2 L2 F'
B' F' U' B D2 F' L2
B' F' U' B F' D2 L2
F' B' U' D2 L2 F' B
F' B' U' D2 L2 B F'
F' B' U' D2 F' L2 B
F' B' U' D2 F' B L2
F' B' U' D2 B L2 F'
F' B' U' D2 B F' L2
B F' U R2 B U2 B2
F' B' U' F' D2 L2 B
F' B' U' F' D2 B L2
F' B' U' F' B D2 L2
F' B' U' B D2 L2 F'
F' B' U' B D2 F' L2
F' B' U' B F' D2 L2
B2 F' U' F' B2 D2 L2
D2 B' F' U' L2 F B
D2 B' F' U' L2 B F
B2 F' U' B2 D2 L2 F'
B2 F' U' B2 D2 F' L2
B2 F' U' B2 F' D2 L2
B F' U' D2 F' B' L2
B F' U' D2 B' L2 F'
B F' U' D2 B' F' L2
B F' U' F' D2 B' L2
B F' U' F' B' D2 L2
B F' U' B' D2 L2 F'
B F' U' B' D2 F' L2
B F' U' B' F' D2 L2
B' F' D B2 U' F' B'
B' F' D B2 U' B' F'
F' B' D B2 U' F' B'
F' B' D B2 U' B' F'
U B' F' U R2 B U2
U B' F' U' D2 L2 F'
U B' F' U' D2 F' L2
U B' F' U' F' D2 L2
U B' F' D B2 U' F'
U B' F' D2 U' L2 F'
U B' F' D2 U' F' L2
B' F' D2 U' L2 F' B
B' F' D2 U' L2 B F'
B' F' D2 U' F' L2 B
B' F' D2 U' F' B L2
B' F' D2 U' B L2 F'
B' F' D2 U' B F' L2
