F2 L R U R U
F2 L U2 D' F2 L'
F2 L D R B2 U2
F2 L D B2 R U2
F2 L D' R U2 F2
F2 L D' U2 F2 L'
D' L2 U F2 L R
D' L2 U F2 R L
R2 U L' D2 R2 B2
R2 U L' D2 B2 R2
F2 R L U R U
R2 U D2 B2 L' R'
R2 U D2 B2 R' L'
R2 U' L F2 U2 L2
R2 U' F2 L R U2
R2 U' F2 R L U2
L' D' F2 D' R2 B2
L' D' F2 D' B2 R2
L' D2 R2 B2 D F2
R2 D2 U B2 L' R'
R2 D2 U B2 R' L'
L' D2 B2 R2 D F2
F2 D L R B2 U2
F2 D L B2 R U2
F2 D R L B2 U2
F2 D R B2 U2 R'
F2 D R B2 U2 R'
F2 D B2 R U2 R2
F2 D' L R U2 F2
F2 D' L U2 F2 L'
F2 D' R L U2 F2
L F2 U R2 U L2
L F2 U2 L2 D' F2
D2 B2 R' D L' F2
D2 B2 D L' R' F2
D2 B2 D L' F2 R'
D2 B2 D L' F2 R'
D2 B2 D R' L' F2
L' D' U' B2 L2 U F2
U2 D' L2 U F2 L R
U2 D' L2 U F2 R L
U D' L2 U F2 L R
U D' L2 U F2 R L
L' D' F D' R2 F B2
L' D' F D' R2 B2 F
L' D' F D' F R2 B2
L' D' F D' F B2 R2
L' D' F D' B2 R2 F
L' D' F D' B2 F R2
L' D' F' D' F' R2 B2
L' D' F' D' F' B2 R2
L' D' F' D' B2 F' R2
L' D' F2 R D' R2 B2
L' D' F2 R D' B2 R2
L' D' F2 R' D' R2 B2
L' D' F2 R' D' B2 R2
L' D' F2 R2 D' R2 B2
L' D' F2 R2 D' B2 R2
L' D' F2 U' L2 B2 U
L' D' F2 U' B2 L2 U
L' D' F2 D' R B2 R
L' D' F2 D' R2 B2 D
L' D' F2 D' R2 B2 D'
L' D' F2 D' R2 B2 D2
L' D' F2 D' B' R2 B'
L' D' F2 D' B2 R2 D
L' D' F2 D' B2 R2 D'
L' D' F2 D' B2 R2 D2
L2 D' F2 R D' L B2
L2 D' F2 D' L R B2
L2 D' F2 D' L B2 R
L2 D' F2 D' R L B2
L' D' B2 L2 U L2 F2
L' D' B2 L2 U F2 L2
R2 D' B2 L2 U L R'
R2 D' B2 L2 U R' L
D2 U' B2 R' D L' F2
D2 U' B2 D L' R' F2
D2 U' B2 D L' F2 R'
D2 U' B2 D R' L' F2
L' D2 L2 U' L2 R2 B2
L' D2 L2 U' L2 B2 R2
L' D2 L2 U' R2 L2 B2
L' D2 L2 U' R2 B2 L2
L' D2 L2 U' B2 L2 R2
L' D2 L2 U' B2 R2 L2
L2 D2 L2 U' B2 L' R'
L2 D2 L2 U' B2 R' L'
L' D2 R B2 R D F2
R' D2 R' U B2 L' R'
L' D2 R B2 D R F2
R' D2 R' U B2 R' L'
D' U2 L2 U F2 L R
D' U2 L2 U F2 R L
R D2 R U B2 L' R'
R D2 R U B2 R' L'
L' D2 R2 U L2 U' B2
L' D2 R2 D F2 D' B2
L' D2 R2 F B2 D F2
L' D2 R2 F' B2 D F2
L' D2 R2 F2 B2 D F2
L' D2 R2 B D F2 B
L' D2 R2 B D B F2
L' D2 R2 B' D F2 B'
L' D2 R2 B' D B' F2
L' D2 R2 B2 U L2 U'
L' D2 R2 B2 D F2 D
L' D2 R2 B2 D F2 D'
L' D2 R2 B2 D F2 D2
L' D2 R2 B2 F D F2
L' D2 R2 B2 F' D F2
L' D2 R2 B2 F2 D F2
L' D2 U L2 U' R2 B2
L' D2 U L2 U' B2 R2
L D2 R2 U' L2 U' B2
L D2 R2 U2 B2 D F2
R2 D2 U L' B2 D2 R2
R2 D2 U R B2 L' R'
R2 D2 U R B2 R' L'
R2 D2 U R' B2 L' R'
R2 D2 U R' B2 R' L'
R2 D2 U R2 B2 L' R'
R2 D2 U R2 B2 R' L'
R2 D2 U B L' B R'
R2 D2 U B2 L' R' D
R2 D2 U B2 L' R' D'
R2 D2 U B2 L' R' D2
R2 D2 U B2 L' D R'
R2 D2 U B2 L' D' R'
R2 D2 U B2 L' D2 R'
R2 D2 U B2 R' L' D
R2 D2 U B2 R' L' D'
R2 D2 U B2 R' L' D2
R2 D2 U B2 R' D L'
R2 D2 U B2 R' D' L'
R2 D2 U B2 R' D2 L'
R2 D2 U B2 D L' R'
R2 D2 U B2 D R' L'
R2 D2 U B2 D' L' R'
R2 D2 U B2 D' R' L'
R2 D2 U B2 D2 L' R'
R2 D2 U B2 D2 R' L'
R2 D2 U' L U2 L2 B2
R2 D2 U' L U2 B2 L2
L' D2 F R2 B2 D F2
L' D2 F B2 R2 D F2
L' D2 F' R2 B2 D F2
F2 U2 L2 D' F2 L' R
F2 U2 L2 D' F2 R L'
L' D2 F' B2 R2 D F2
L' D2 F2 R2 B2 D F2
L' D2 F2 B2 R2 D F2
R2 D2 B U L' B R'
R2 D2 B U B L' R'
R2 D2 B U B R' L'
L' D2 B' R2 D F2 B'
L' D2 B' R2 D B' F2
L' D2 B' R2 B' D F2
R' D2 B2 L' R' D F2
R' D2 B2 L' D R' F2
R' D2 B2 L' D F2 R'
U' D2 B2 R' D L' F2
R' D2 B2 R' L' D F2
D2 U2 B2 R' D L' F2
L' D2 B2 R D R F2
U' D2 B2 D L' R' F2
U' D2 B2 D L' F2 R'
L' D2 B2 R' D R' F2
U' D2 B2 D R' L' F2
L' D2 B2 R' D F2 R'
L' D2 B2 R2 U L2 U'
L' D2 B2 R2 D F2 D
L' D2 B2 R2 D F2 D'
L' D2 B2 R2 D F2 D2
L' D2 B2 R2 F D F2
L' D2 B2 R2 F' D F2
L' D2 B2 R2 F2 D F2
L' D2 B2 U L2 U' R2
D2 U2 B2 D L' R' F2
D2 U2 B2 D L' F2 R'
D2 U2 B2 D R' L' F2
L' D2 B2 D F2 D' R2
U2 D2 B2 R' D L' F2
L' D2 B2 F R2 D F2
L' D2 B2 F' R2 D F2
L' D2 B2 F2 R2 D F2
U2 D2 B2 D L' R' F2
U2 D2 B2 D L' F2 R'
U2 D2 B2 D R' L' F2
F2 U2 D' L2 F2 L' R
F2 U2 D' L2 F2 R L'
F2 U2 D' F2 L' D2 R2
U D2 B2 R' D L' F2
R D2 B2 L' R' D' F2
R D2 B2 R' L' D' F2
R D2 B2 R' D' L' F2
U D2 B2 D L' R' F2
U D2 B2 D L' F2 R'
U D2 B2 D R' L' F2
F2 D L R U2 D2 F2
F2 D L R D2 U2 F2
F2 D L R B2 U2 D
F2 D L R B2 U2 D'
F2 D L R B2 U2 D2
F2 D L R B2 D U2
F2 D L R B2 D' U2
F2 D L R B2 D2 U2
F2 D L R' B2 R2 U2
F2 D L R2 B2 U2 L
L F U R2 U L2 B'
F2 D L U2 D2 F2 L'
F2 D L D2 R U2 F2
F2 D L D2 U2 F2 L'
F2 D L B' R B' U2
F2 D L B2 R U2 D
F2 D L B2 R U2 D'
F2 D L B2 R U2 D2
F2 D L B2 R D U2
F2 D L B2 R D' U2
F2 D L B2 R D2 U2
F2 D L B2 D R U2
F2 D L B2 D' R U2
F2 D L B2 D2 R U2
F2 D L' R B2 L2 U2
F2 D L' B2 L2 R U2
F2 D L' B2 R L2 U2
F2 D L2 R B2 L' U2
L F U2 L2 D' F2 B'
L F U2 L2 D' B' F2
L F U2 L2 B' D' F2
F2 D L2 B2 L' R U2
F2 D L2 B2 R L' U2
L' F D' F2 D' R2 B
F2 D R L U2 D2 F2
F2 D R L D2 U2 F2
F2 D R L B2 U2 D
F2 D R L B2 U2 D'
F2 D R L B2 U2 D2
F2 D R L B2 D U2
F2 D R L B2 D' U2
F2 D R L B2 D2 U2
F2 D R L' B2 L2 U2
F2 D R L2 B2 L' U2
F2 D R D2 L U2 F2
F2 D R B2 L U2 R'
F2 D R B2 L' U2 R'
F2 D R B2 L2 U2 R'
F2 D R B2 U2 R' D
F2 D R B2 U2 R' D'
F2 D R B2 U2 R' D2
F2 D R B2 U2 D R'
F2 D R B2 U2 D' R'
F2 D R B2 U2 D2 R'
F2 D R B2 D U2 R'
F2 D R B2 D' U2 R'
F2 D R B2 D2 U2 R'
F2 D R' L B2 R2 U2
F2 D R' B2 R2 U2 R
F2 D R2 L B2 U2 L
F2 D R2 B2 U2 L R'
F2 D R2 B2 U2 R' L
F D F L R B2 U2
F D F L B2 R U2
F D F R L B2 U2
F D F R B2 U2 R'
F D F B2 R U2 R2
F2 D B' R B' U2 R'
F2 D B2 L R U2 R2
F2 D B2 L' R U2 R2
F2 D B2 L2 R U2 R2
F2 D B2 R L U2 R2
F2 D B2 R L' U2 R2
F2 D B2 R L2 U2 R2
F2 D B2 R U2 R2 D
F2 D B2 R U2 R2 D'
F2 D B2 R U2 R2 D2
F2 D B2 R D2 L2 U2
F2 D B2 U2 R' D2 L2
F2 D B2 D R U2 R2
F2 D B2 D' R U2 R2
F2 D B2 D2 R U2 R2
F2 D' L R U2 F2 D
F2 D' L R U2 F2 D'
F2 D' L R U2 F2 D2
F2 D' L R D2 B2 U2
F2 D' L R B U2 F2
F2 D' L R B' U2 F2
F2 D' L R B2 U2 F2
R2 F' U' L F' R U2
L F' U R2 U L2 B
L F' U R2 U B L2
F2 D' L U2 L F2 L'
F2 D' L U2 L' F2 L'
F2 D' L U2 L2 F2 L'
F2 D' L U2 F2 L' D
F2 D' L U2 F2 L' D'
F2 D' L U2 F2 L' D2
F2 D' L U2 F2 D L'
F2 D' L U2 F2 D' L'
F2 D' L U2 F2 D2 L'
F2 D' L D2 R B2 U2
F2 D' L D2 B2 R U2
R2 F' U' F' L R U2
R2 F' U' F' R L U2
F2 D' L B R U2 F2
F2 D' L B U2 F2 L'
F2 D' L B' R U2 F2
F2 D' L B' U2 F2 L'
F2 D' L B2 R U2 F2
F2 D' L B2 U2 F2 L'
F D B2 F R U2 R2
B2 D' L' F2 R' D B2
F2 D' L2 R U2 F2 R
B2 D' L2 U L R' F2
B2 D' L2 U L F2 R'
B2 D' L2 U R' L F2
B2 D' L2 U R' F2 L
B2 D' L2 U F2 L R'
B2 D' L2 U F2 R' L
F2 D' L2 U2 F2 L' R
F2 D' L2 U2 F2 R L'
F2 D' R L U2 F2 D
F2 D' R L U2 F2 D'
F2 D' R L U2 F2 D2
F2 D' R L D2 B2 U2
F2 D' R L B U2 F2
F2 D' R L B' U2 F2
F2 D' R L B2 U2 F2
F2 D' R L2 U2 F2 R
L' F' D2 R2 D F2 B
L' F' D2 R2 D B F2
L' F' D2 R2 B D F2
F2 D' R D2 L B2 U2
F2 D' R D2 B2 U2 R'
F2 D' R B2 U2 R' F2
F2 D' R B2 U2 F2 R'
U' F2 L R U R U
R' F2 L R U R2 U
R' F2 L R U2 D' F2
R' F2 L R D B2 U2
R' F2 L R D' U2 F2
U' F2 L U2 D' F2 L'
U' F2 L D R B2 U2
U' F2 L D B2 R U2
U' F2 L D' R U2 F2
U' F2 L D' U2 F2 L'
U2 F2 L R U R U
U2 F2 L U2 D' F2 L'
U2 F2 L D R B2 U2
R2 F2 L R U R' U
U2 F2 L D B2 R U2
U2 F2 L D' R U2 F2
U2 F2 L D' U2 F2 L'
F2 D' U2 L2 F2 L' R
F2 D' U2 L2 F2 R L'
F2 D' U2 F2 L' D2 R2
U F2 L R U R U
U F2 L U2 D' F2 L'
