R2 F' U' F B
R2 F' U' B F
R2 L F' U' F B
R2 L F' U' B F
R2 L' F' U' F B
R2 L' F' U' B F
L' R2 F' U' F B
L' R2 F' U' B F
L2 R2 F' U' F B
L2 R2 F' U' B F
L2 R2 F' U' B F
R2 L2 F' U' F B
R2 L2 F' U' B F
L R2 F' U' F B
L R2 F' U' B F
D2 R2 F' U' F B
D2 R2 F' U' B F
D' R2 F' U' F B
D' R2 F' U' B F
D R2 F' U' F B
D R2 F' U' B F
R2 D F' U' F B
R2 D F' U' B F
R2 D' F' U' F B
R2 D' F' U' B F
R2 D2 F' U' F B
R2 D2 F' U' B F
F' U2 B U F B'
F' U2 B U B' F
U2 F' U F B U
U2 F' U B F U
R2 F' U' D F B
R2 F' U' D B F
R2 F' U' D' F B
R2 F' U' D' B F
R2 F' U' D2 F B
R2 F' U' D2 B F
R2 F' U' F D B
R2 F' U' F D' B
R2 F' U' F D2 B
R2 F' U' F B D
R2 F' U' F B D'
R2 F' U' F B D2
R2 F' U' B D F
R2 F' U' B D' F
R2 F' U' B D2 F
R2 F' U' B F D
R2 F' U' B F D'
R2 F' U' B F D2
R2 F' D U' F B
R2 F' D U' B F
R2 F' D' U' F B
R2 F' D' U' B F
R2 F' D2 U' F B
R2 F' D2 U' B F
R2 B U F' B' U'
R2 B U B' F' U'
U2 B U' F' B' U2
U2 B U' B' F' U2
R2 L2 D F' U' F B
R2 L2 D F' U' B F
L R2 D F' U' F B
L R2 D F' U' B F
L' R2 D' F' U' F B
L' R2 D' F' U' B F
L2 R2 D' F' U' F B
L2 R2 D' F' U' B F
R2 L2 D' F' U' F B
R2 L2 D' F' U' B F
L R2 D' F' U' F B
L R2 D' F' U' B F
L' R2 D2 F' U' F B
L' R2 D2 F' U' B F
L2 R2 D2 F' U' F B
L2 R2 D2 F' U' B F
R2 L2 D2 F' U' F B
R2 L2 D2 F' U' B F
L R2 D2 F' U' F B
L R2 D2 F' U' B F
F2 L2 R' U' F2 B' R'
F2 L2 R' U' B' R' F2
F2 L2 R' U' B' F2 R'
D2 L2 R2 F' U' F B
D2 L2 R2 F' U' B F
D' L2 R2 F' U' F B
D' L2 R2 F' U' B F
F2 L2 R2 F' U' F' B'
F2 L2 R2 F' U' B' F'
L' R2 F' U' D F B
L' R2 F' U' D B F
L' R2 F' U' D' F B
L' R2 F' U' D' B F
L' R2 F' U' D2 F B
L' R2 F' U' D2 B F
L' R2 F' U' F D B
L' R2 F' U' F D' B
L' R2 F' U' F D2 B
L' R2 F' U' F B D
L' R2 F' U' F B D'
L' R2 F' U' F B D2
L' R2 F' U' B D F
L' R2 F' U' B D' F
L' R2 F' U' B D2 F
L' R2 F' U' B F D
L' R2 F' U' B F D'
L' R2 F' U' B F D2
B L2 R2 F U F' B
B L2 R2 F U B F'
D L2 R2 F' U' F B
D L2 R2 F' U' B F
L' R2 F' D U' F B
L' R2 F' D U' B F
L' R2 F' D' U' F B
L' R2 F' D' U' B F
L' R2 F' D2 U' F B
L' R2 F' D2 U' B F
L2 R2 F' U' D F B
L2 R2 F' U' D B F
L2 R2 F' U' D' F B
L2 R2 F' U' D' B F
L2 R2 F' U' D2 F B
L2 R2 F' U' D2 B F
L2 R2 F' U' F D B
L2 R2 F' U' F D' B
L2 R2 F' U' F D2 B
L2 R2 F' U' F B D
L2 R2 F' U' F B D'
L2 R2 F' U' F B D2
L2 R2 F' U' B D F
L2 R2 F' U' B D' F
L2 R2 F' U' B D2 F
L2 R2 F' U' B F D
L2 R2 F' U' B F D'
L2 R2 F' U' B F D2
R2 L2 F' U' D F B
R2 L2 F' U' D B F
R2 L2 F' U' D' F B
R2 L2 F' U' D' B F
R2 L2 F' U' D2 F B
R2 L2 F' U' D2 B F
R2 L2 F' U' F D B
R2 L2 F' U' F D' B
R2 L2 F' U' F D2 B
R2 L2 F' U' F B D
R2 L2 F' U' F B D'
R2 L2 F' U' F B D2
R2 L2 F' U' B D F
R2 L2 F' U' B D' F
R2 L2 F' U' B D2 F
R2 L2 F' U' B F D
R2 L2 F' U' B F D'
R2 L2 F' U' B F D2
L R2 F' U' D F B
L R2 F' U' D B F
L R2 F' U' D' F B
L R2 F' U' D' B F
L R2 F' U' D2 F B
L R2 F' U' D2 B F
L R2 F' U' F D B
L R2 F' U' F D' B
L R2 F' U' F D2 B
L R2 F' U' F B D
L R2 F' U' F B D'
L R2 F' U' F B D2
L R2 F' U' B D F
L R2 F' U' B D' F
L R2 F' U' B D2 F
L R2 F' U' B F D
L R2 F' U' B F D'
L R2 F' U' B F D2
L2 R2 F' D U' F B
L2 R2 F' D U' B F
R2 L2 F' D U' F B
R2 L2 F' D U' B F
L2 R2 F' D' U' F B
L2 R2 F' D' U' B F
L R2 F' D U' F B
L R2 F' D U' B F
R2 L2 F' D' U' F B
R2 L2 F' D' U' B F
L2 R2 F' D2 U' F B
L2 R2 F' D2 U' B F
L R2 F' D' U' F B
L R2 F' D' U' B F
R2 L2 F' D2 U' F B
R2 L2 F' D2 U' B F
L R2 F' D2 U' F B
L R2 F' D2 U' B F
L' R2 B U F' B' U'
L' R2 B U B' F' U'
F2 L2 U' F2 B' D' R2
F2 L2 U' B' F2 D' R2
L2 R2 B U F' B' U'
L2 R2 B U B' F' U'
R2 L2 B U F' B' U'
R2 L2 B U B' F' U'
L R2 B U F' B' U'
L R2 B U B' F' U'
F2 L2 U2 B U F2 B2
F2 L2 U2 B U B2 F2
B L2 F U D2 F' B2
B L2 F U D2 B2 F'
B L2 F U' F2 U2 F
B L2 F D' L2 U F'
B L2 F D2 U F' B2
B L2 F D2 U B2 F'
U2 L2 F' U F B U
U2 L2 F' U B F U
U' L2 F2 B U L2 B'
U' L2 B U' F' U2 L2
U2 L2 B U' F' B' U2
U2 L2 B U' B' F' U2
U' L2 B F2 U L2 B'
U' R U' R' B L U
F2 R' L2 U' F2 B' R'
F2 R' L2 U' B' R' F2
F2 R' L2 U' B' F2 R'
F2 R' U F U2 R F
U R' U R F' L' U2
R2 U' B U F' U' F
F2 R' D' L2 U' B' R'
D2 R2 L F' U' F B
D2 R2 L F' U' B F
D' R2 L F' U' F B
D' R2 L F' U' B F
D R2 L F' U' F B
D R2 L F' U' B F
D2 R2 L' F' U' F B
D2 R2 L' F' U' B F
D' R2 L' F' U' F B
D' R2 L' F' U' B F
D R2 L' F' U' F B
D R2 L' F' U' B F
D2 R2 L2 F' U' F B
D2 R2 L2 F' U' B F
D' R2 L2 F' U' F B
D' R2 L2 F' U' B F
L' U2 F' U F B U
F2 R2 L2 F' U' F' B'
F2 R2 L2 F' U' B' F'
L' U2 F' U B F U
B R2 L2 F U F' B
B R2 L2 F U B F'
D R2 L2 F' U' F B
D R2 L2 F' U' B F
L2 U2 F' U F B U
L2 U2 F' U B F U
L U2 F' U F B U
L U2 F' U B F U
B' R2 U' F' B2 U B'
B' R2 U' B2 F' U B'
L' U2 B U' F' B' U2
L' U2 B U' B' F' U2
L2 U2 B U' F' B' U2
L2 U2 B U' B' F' U2
U2 R2 U2 F' U' F B
U2 R2 U2 F' U' B F
L U2 B U' F' B' U2
L U2 B U' B' F' U2
D2 R2 D F' U' F B
D2 R2 D F' U' B F
D' R2 D F' U' F B
D' R2 D F' U' B F
B2 R2 D B L2 D' R2
D R2 D F' U' F B
D R2 D F' U' B F
F2 R2 D' L2 F' U' B'
D2 R2 D' F' U' F B
D2 R2 D' F' U' B F
D' R2 D' F' U' F B
D' R2 D' F' U' B F
F R2 D F' R2 U' F'
U R2 D F' B2 U' B'
U R2 D B2 F' U' B'
D R2 D' F' U' F B
D R2 D' F' U' B F
D2 R2 D2 F' U' F B
D2 R2 D2 F' U' B F
D' R2 D2 F' U' F B
D' R2 D2 F' U' B F
R2 D L F' U' F B
R2 D L F' U' B F
B2 R2 D2 B D' L2 R2
B2 R2 D2 B D' R2 L2
D R2 D2 F' U' F B
D R2 D2 F' U' B F
U' R2 F D B R2 F'
R2 D L' F' U' F B
R2 D L' F' U' B F
U R2 D2 F' U' L2 B
U R2 D2 F' U' B L2
F' R2 F' L2 U' F2 B'
F' R2 F' L2 U' B' F2
D' R2 F' U' D F B
D' R2 F' U' D B F
D' R2 F' U' D' F B
D' R2 F' U' D' B F
D' R2 F' U' D2 F B
D' R2 F' U' D2 B F
D' R2 F' U' F D B
D' R2 F' U' F D' B
D' R2 F' U' F D2 B
D' R2 F' U' F B D
D' R2 F' U' F B D'
D' R2 F' U' F B D2
D' R2 F' U' B D F
D' R2 F' U' B D' F
D' R2 F' U' B D2 F
D' R2 F' U' B F D
D' R2 F' U' B F D'
D' R2 F' U' B F D2
D2 R2 F' U' D F B
D2 R2 F' U' D B F
D2 R2 F' U' D' F B
D2 R2 F' U' D' B F
D2 R2 F' U' D2 F B
D2 R2 F' U' D2 B F
D2 R2 F' U' F D B
D2 R2 F' U' F D' B
D2 R2 F' U' F D2 B
D2 R2 F' U' F B D
D2 R2 F' U' F B D'
D2 R2 F' U' F B D2
D2 R2 F' U' B D F
D2 R2 F' U' B D' F
D2 R2 F' U' B D2 F
D2 R2 F' U' B F D
D2 R2 F' U' B F D'
D2 R2 F' U' B F D2
F' R2 F' U F U2 F
D' R2 F' D U' F B
D' R2 F' D U' B F
D2 R2 F' D U' F B
D2 R2 F' D U' B F
D' R2 F' D' U' F B
D' R2 F' D' U' B F
D2 R2 F' D' U' F B
D2 R2 F' D' U' B F
D' R2 F' D2 U' F B
D' R2 F' D2 U' B F
D2 R2 F' D2 U' F B
D2 R2 F' D2 U' B F
F' R2 F' D' L2 U' B'
F2 R2 F' U F2 U2 F
R2 D L2 F' U' F B
R2 D L2 F' U' B F
F2 R2 F' U' D2 F' B2
F2 R2 F' U' D2 B2 F'
B' R2 F' B2 U F B'
B' R2 F' B2 U B' F
F2 R2 F' D2 U' F' B2
F2 R2 F' D2 U' B2 F'
D R2 F' U' D F B
D R2 F' U' D B F
D R2 F' U' D' F B
D R2 F' U' D' B F
D R2 F' U' D2 F B
D R2 F' U' D2 B F
D R2 F' U' F D B
D R2 F' U' F D' B
D R2 F' U' F D2 B
D R2 F' U' F B D
D R2 F' U' F B D'
D R2 F' U' F B D2
D R2 F' U' B D F
D R2 F' U' B D' F
D R2 F' U' B D2 F
D R2 F' U' B F D
D R2 F' U' B F D'
D R2 F' U' B F D2
F R2 F' R2 U' F' B
F R2 F' R2 U' B F'
D R2 F' D U' F B
D R2 F' D U' B F
D R2 F' D' U' F B
D R2 F' D' U' B F
F R2 F' U F' B U2
F R2 F' U B F' U2
D R2 F' D2 U' F B
D R2 F' D2 U' B F
U R2 F' U R2 F' U2
U R2 F' U' D2 L2 B
U R2 F' U' D2 B L2
U R2 F' U' B D2 L2
U R2 F' D B2 U' B'
U R2 F' D2 U' L2 B
U R2 F' D2 U' B L2
D' R2 B U F' B' U'
D2 R2 B U F' B' U'
D' R2 B U B' F' U'
D2 R2 B U B' F' U'
U' R2 B U' R2 B U
B' R2 B U' F' B U
B' R2 B U' B F' U
L' D R2 F' U' F B
L' D R2 F' U' B F
D R2 B U F' B' U'
D R2 B U B' F' U'
L2 D R2 F' U' F B
L2 D R2 F' U' B F
L D R2 F' U' F B
L D R2 F' U' B F
B' R2 B2 F' U F B'
B' R2 B2 F' U B' F
R2 D F' U' D F B
R2 D F' U' D B F
R2 D F' U' D' F B
R2 D F' U' D' B F
R2 D F' U' D2 F B
R2 D F' U' D2 B F
R2 D F' U' F D B
R2 D F' U' F D' B
R2 D F' U' F D2 B
R2 D F' U' F B D
R2 D F' U' F B D'
R2 D F' U' F B D2
R2 D F' U' B D F
R2 D F' U' B D' F
R2 D F' U' B D2 F
R2 D F' U' B F D
R2 D F' U' B F D'
R2 D F' U' B F D2
R2 D F' D U' F B
R2 D F' D U' B F
R2 D F' D' U' F B
R2 D F' D' U' B F
R2 D F' D2 U' F B
R2 D F' D2 U' B F
R2 D B U F' B' U'
R2 D B U B' F' U'
B U R2 B' U' R2 B2
B U R2 B' U' B2 R2
B' U D' B U' R2 B
U2 D F' U F B U
U2 D F' U B F U
R2 D' L F' U' F B
R2 D' L F' U' B F
F2 U F U B U F
R2 D' L' F' U' F B
R2 D' L' F' U' B F
U2 D B U' F' B' U2
U2 D B U' B' F' U2
R2 D' L2 F' U' F B
R2 D' L2 F' U' B F
R' D' R' F' R U' F
B' U B R2 F' U' B
F U F2 U B U F
L' D' R2 F' U' F B
L' D' R2 F' U' B F
L2 D' R2 F' U' F B
L2 D' R2 F' U' B F
B U B' R2 U' B R2
L D' R2 F' U' F B
L D' R2 F' U' B F
B2 U B2 R2 F' U' B
R2 D' F' U' D F B
R2 D' F' U' D B F
R2 D' F' U' D' F B
R2 D' F' U' D' B F
R2 D' F' U' D2 F B
R2 D' F' U' D2 B F
R2 D' F' U' F D B
R2 D' F' U' F D' B
R2 D' F' U' F D2 B
R2 D' F' U' F B D
R2 D' F' U' F B D'
R2 D' F' U' F B D2
R2 D' F' U' B D F
R2 D' F' U' B D' F
R2 D' F' U' B D2 F
R2 D' F' U' B F D
R2 D' F' U' B F D'
R2 D' F' U' B F D2
R2 D' F' D U' F B
R2 D' F' D U' B F
R2 D' F' D' U' F B
R2 D' F' D' U' B F
R2 D' F' D2 U' F B
R2 D' F' D2 U' B F
R2 D' B U F' B' U'
R2 D' B U B' F' U'
U2 D' F' U F B U
U2 D' F' U B F U
F' U' R2 F D R2 B2
F' U' R2 F D B2 R2
U2 D' B U' F' B' U2
U2 D' B U' B' F' U2
R2 D2 L F' U' F B
R2 D2 L F' U' B F
F' U' F U' B U B'
R2 D2 L' F' U' F B
R2 D2 L' F' U' B F
R2 D2 L2 F' U' F B
R2 D2 L2 F' U' B F
F2 U' F2 B' D' R2 B
F U' F' B' D' R2 B
L' D2 R2 F' U' F B
L' D2 R2 F' U' B F
L2 D2 R2 F' U' F B
L2 D2 R2 F' U' B F
F2 U' B' F2 D' R2 B
L D2 R2 F' U' F B
L D2 R2 F' U' B F
F U' B' F' D' R2 B
D' U2 F' U F B U
D' U2 F' U B F U
D2 U2 F' U F B U
D2 U2 F' U B F U
U2 D2 F' U F B U
U2 D2 F' U B F U
F2 U2 L2 B U F2 B2
F2 U2 L2 B U B2 F2
R2 D2 F' U' D F B
R2 D2 F' U' D B F
R2 D2 F' U' D' F B
R2 D2 F' U' D' B F
R2 D2 F' U' D2 F B
R2 D2 F' U' D2 B F
R2 D2 F' U' F D B
R2 D2 F' U' F D' B
R2 D2 F' U' F D2 B
R2 D2 F' U' F B D
R2 D2 F' U' F B D'
R2 D2 F' U' F B D2
R2 D2 F' U' B D F
R2 D2 F' U' B D' F
R2 D2 F' U' B D2 F
R2 D2 F' U' B F D
R2 D2 F' U' B F D'
R2 D2 F' U' B F D2
R2 D2 F' D U' F B
R2 D2 F' D U' B F
D U2 F' U F B U
D U2 F' U B F U
R2 D2 F' D' U' F B
R2 D2 F' D' U' B F
R2 D2 F' D2 U' F B
R2 D2 F' D2 U' B F
D' U2 B U' F' B' U2
D' U2 B U' B' F' U2
D2 U2 B U' F' B' U2
D2 U2 B U' B' F' U2
U2 D2 B U' F' B' U2
U2 D2 B U' B' F' U2
R2 D2 B U F' B' U'
R2 D2 B U B' F' U'
D U2 B U' F' B' U2
D U2 B U' B' F' U2
F' U2 D B U F B'
F' U2 D B U B' F
F' U2 D' B U F B'
F' U2 D' B U B' F
F' U2 D2 B U F B'
F' U2 D2 B U B' F
F U2 D' L2 B U F'
R2 F L F2 U' F B
R2 F L F2 U' B F
F U2 D' B L2 U F'
F' U2 F U' F' B U
F' U2 F U' B F' U
R2 F L' F2 U' F B
R2 F L' F2 U' B F
F U2 D2 B U F' B
F U2 D2 B U B F'
R2 F L2 F2 U' F B
R2 F L2 F2 U' B F
B U2 F' U' F B' U'
B U2 F' U' B' F U'
F' U2 B R U F B'
F' U2 B R U B' F
F' U2 B R' U F B'
F' U2 B R' U B' F
F' U2 B R2 U F B'
F' U2 B R2 U B' F
F2 U2 B L2 U F2 B'
F2 U2 B L2 U B' F2
F' U2 B U D F B'
F' U2 B U D B' F
F' U2 B U D' F B'
F' U2 B U D' B' F
F' U2 B U D2 F B'
F' U2 B U D2 B' F
F' U2 B U F D B'
F' U2 B U F D' B'
F' U2 B U F D2 B'
F' U2 B U F B' D
F' U2 B U F B' D'
F' U2 B U F B' D2
F' U2 B U B' D F
F' U2 B U B' D' F
F' U2 B U B' D2 F
F' U2 B U B' F D
F' U2 B U B' F D'
F' U2 B U B' F D2
F' U2 B D U F B'
F' U2 B D U B' F
F' U2 B D' U F B'
F' U2 B D' U B' F
F2 U2 B U' F U2 F
F' U2 B D2 U F B'
F' U2 B D2 U B' F
F U2 B U D2 F' B2
F U2 B U D2 B2 F'
F U2 B U' F2 U2 F
F U2 B D' L2 U F'
F U2 B D2 U F' B2
F U2 B D2 U B2 F'
B U2 B' R2 U' F' B
B U2 B' R2 U' B F'
B U2 B' U F' B U2
B U2 B' U B F' U2
R' F U' F' B' R' B
R' F U' B' F' R' B
R2 F U' D F' B R2
R2 F U' D B F' R2
R2 F U' B D F' R2
U' F D' L2 B U L2
R2 F D U' F' B R2
U' F D' B L2 U L2
R2 F D U' B F' R2
U' F B D' L2 U L2
B2 D R2 B L2 D' R2
F D R2 F' U B U2
F' D U2 B U F B'
F' D U2 B U B' F
U2 F' L' U B U L
R2 F' L2 U B' U2 B2
R2 F' L2 U' B D2 F2
F D F R2 F' U' F'
R' F' R' F' U' F2 B
R' F' R' F' U' B F2
F D F' R2 F' U' F
U2 F' R' U F U R
B2 D B L2 D' R2 B
F D F2 R2 F' U' F2
R F' R F' U' F2 B
R F' R F' U' B F2
R2 F' R2 U F' U2 F2
R2 F' R2 U' F D2 B2
U2 F' U D F B U
U2 F' U D B F U
U2 F' U D' F B U
U2 F' U D' B F U
U2 F' U D2 F B U
U2 F' U D2 B F U
U2 F' U F D B U
U2 F' U F D' B U
U2 F' U F D2 B U
U2 F' U F B U D
U2 F' U F B U D'
U2 F' U F B U D2
U2 F' U F B D U
U2 F' U F B D' U
U2 F' U F B D2 U
R' F' U' F B' R' B
U2 F' U B D F U
U2 F' U B D' F U
U2 F' U B D2 F U
U2 F' U B F U D
U2 F' U B F U D'
U2 F' U B F U D2
U2 F' U B F D U
U2 F' U B F D' U
U2 F' U B F D2 U
R' F' U' B' R' F B
R' F' U' B' R' B F
R' F' U' B' F R' B
R2 F' U F' U2 F2 B
R2 F' U F' U2 B F2
R2 F' U F2 U2 F' B
R2 F' U F2 U2 B F'
R2 F' U B' U2 F B2
R2 F' U B' U2 B2 F
R2 F' U B2 U2 F B'
R2 F' U B2 U2 B' F
R2 F' U' L B L' F
R2 F' U' R F R' B
R2 F' U' D F D B
R2 F' U' D F D' B
R2 F' U' D F D2 B
R2 F' U' D F B D
R2 F' U' D F B D'
R2 F' U' D F B D2
R2 F' U' D B D F
R2 F' U' D B D' F
R2 F' U' D B D2 F
R2 F' U' D B F D
R2 F' U' D B F D'
R2 F' U' D B F D2
R2 F' U' D' F D B
R2 F' U' D' F D' B
R2 F' U' D' F D2 B
R2 F' U' D' F B D
R2 F' U' D' F B D'
R2 F' U' D' F B D2
R2 F' U' D' B D F
R2 F' U' D' B D' F
R2 F' U' D' B D2 F
R2 F' U' D' B F D
R2 F' U' D' B F D'
R2 F' U' D' B F D2
R2 F' U' D2 F D B
R2 F' U' D2 F D' B
R2 F' U' D2 F D2 B
R2 F' U' D2 F B D
R2 F' U' D2 F B D'
R2 F' U' D2 F B D2
U F' U B U' B' U2
R2 F' U' D2 B D F
R2 F' U' D2 B D' F
R2 F' U' D2 B D2 F
R2 F' U' D2 B F D
R2 F' U' D2 B F D'
R2 F' U' D2 B F D2
R2 F' U' F L B L'
R2 F' U' F L2 B L2
R2 F' U' F D B D
R2 F' U' F D B D'
R2 F' U' F D B D2
R2 F' U' F D' B D
R2 F' U' F D' B D'
R2 F' U' F D' B D2
R2 F' U' F D2 B D
R2 F' U' F D2 B D'
R2 F' U' F D2 B D2
R2 F' U' F B2 D B'
R2 F' U' F B2 D' B'
R2 F' U' F B2 D2 B'
D2 F' U2 B U F B'
D2 F' U2 B U B' F
D' F' U2 B U F B'
D' F' U2 B U B' F
R2 F' U' F2 D F' B
R2 F' U' F2 D B F'
R2 F' U' F2 D' F' B
R2 F' U' F2 D' B F'
R2 F' U' F2 D2 F' B
R2 F' U' F2 D2 B F'
R2 F' U' F2 B D F'
R2 F' U' F2 B D' F'
R2 F' U' F2 B D2 F'
R2 F' U' B R F R'
R2 F' U' B R2 F R2
R2 F' U' B D F D
R2 F' U' B D F D'
R2 F' U' B D F D2
R2 F' U' B D' F D
R2 F' U' B D' F D'
R2 F' U' B D' F D2
R2 F' U' B D2 F D
R2 F' U' B D2 F D'
R2 F' U' B D2 F D2
R2 F' U' B F2 D F'
R2 F' U' B F2 D' F'
R2 F' U' B F2 D2 F'
L' F' U2 B U F B'
L' F' U2 B U B' F
R2 F' U' B2 D F B'
R2 F' U' B2 D B' F
R2 F' U' B2 D' F B'
R2 F' U' B2 D' B' F
R2 F' U' B2 D2 F B'
R2 F' U' B2 D2 B' F
R2 F' U' B2 F D B'
R2 F' U' B2 F D' B'
R2 F' U' B2 F D2 B'
L2 F' U2 B U F B'
L2 F' U2 B U B' F
F2 D' L2 R' U' B' R'
D F' U2 B U F B'
D F' U2 B U B' F
U2 F' D U F B U
U2 F' D U B F U
F2 D' L2 R2 F' U' B'
F2 D' L2 U' B' D' R2
F2 D' L2 U2 B U B2
R2 F' D U' F D B
R2 F' D U' F D' B
R2 F' D U' F D2 B
R2 F' D U' F B D
R2 F' D U' F B D'
R2 F' D U' F B D2
R2 F' D U' B D F
R2 F' D U' B D' F
R2 F' D U' B D2 F
R2 F' D U' B F D
R2 F' D U' B F D'
R2 F' D U' B F D2
L F' U2 B U F B'
L F' U2 B U B' F
U2 F' D' U F B U
U2 F' D' U B F U
R2 F' D' U' F D B
R2 F' D' U' F D' B
R2 F' D' U' F D2 B
R2 F' D' U' F B D
R2 F' D' U' F B D'
R2 F' D' U' F B D2
R2 F' D' U' B D F
R2 F' D' U' B D' F
R2 F' D' U' B D2 F
R2 F' D' U' B F D
R2 F' D' U' B F D'
R2 F' D' U' B F D2
F2 D' R' L2 U' B' R'
U2 F' D2 U F B U
U2 F' D2 U B F U
R2 F' D2 U' F D B
R2 F' D2 U' F D' B
R2 F' D2 U' F D2 B
R2 F' D2 U' F B D
R2 F' D2 U' F B D'
R2 F' D2 U' F B D2
R2 F' D2 U' B D F
R2 F' D2 U' B D' F
R2 F' D2 U' B D2 F
R2 F' D2 U' B F D
R2 F' D2 U' B F D'
R2 F' D2 U' B F D2
B' D' R2 U' F' U B
F2 D' R2 L2 F' U' B'
B' D' R2 B U' F' U
B' D' U B U' R2 B
F' D' U2 B U F B'
F' D' U2 B U B' F
U' F2 L2 B U L2 B2
U' F2 L2 B U B2 L2
F D' U2 L2 B U F'
F D' U2 B L2 U F'
R' F2 R' F' U' F' B
R' F2 R' F' U' B F'
B' D' B' R2 D L2 B
B' D' B' R2 D B L2
R F2 R F' U' F' B
R F2 R F' U' B F'
F D' B L2 F U F2
B' D' B2 R2 B D L2
R' F2 U' F2 B' R' B
R' F2 U' B' R' F2 B
R' F2 U' B' R' B F2
R' F2 U' B' F2 R' B
R2 F2 D' F L2 U' B
U' F2 B L2 U B' L2
B2 D2 R2 B D' L2 R2
B2 D2 R2 B D' R2 L2
U' B L' U' F' U2 L
F' D2 U2 B U F B'
F' D2 U2 B U B' F
U' B L2 U' F' U2 L2
U' B L2 F2 U L2 B'
U2 B L2 R2 U F B
U2 B L2 R2 U B F
U2 B L2 U F D2 B2
U2 B L2 U' F' U2 F2
F D2 U2 B U F' B
F D2 U2 B U B F'
B2 D2 B D' L2 R2 B
B2 D2 B D' R2 L2 B
B2 D2 B D' R2 B L2
U2 B R2 L2 U F B
U2 B R2 L2 U B F
B' D2 B' D L2 R2 B
B' D2 B' D R2 L2 B
B' D2 B' D R2 B L2
U2 B R2 U B D2 F2
