U L F' U' L F2
U L F' U' F2 L
F' L' B U' B' L'
F' L' B' U' L' B
F' L' B' U' B L'
F' L' B2 U' L' B2
F' L' B2 U' B2 L'
F L2 U F2 L' U'
L2 U L F' U' F2
L2 U F' L U' F
F2 U F L' U' L'
F U F2 L' U' L'
L2 F U F2 L' U'
D' F' L' B2 U' B2
U F' L U' F L
F' D' L' B2 U' B2
D' F' B2 L' U' B2
F' D' B2 L' U' B2
L2 F2 U F L' U'
F' B' L' U' L' B
F' B' L' U' B L'
B' F' L' U' L' B
B' F' L' U' B L'
B2 F' L' U' L' B2
B2 F' L' U' B2 L'
F' B2 L' U' L' B2
F' B2 L' U' B2 L'
D' B2 F' L' U' B2
R2 U' B R' U L2 F'
R2 U' B R' U F' L2
F' R' D' L' B2 U' B2
F' R' D' B2 L' U' B2
F' R' B' L' U' L' B
F' R' B' L' U' B L'
F' R' B2 L' U' L' B2
F' R' B2 L' U' B2 L'
F' R2 L' B U' B' L'
F' R2 L' B' U' L' B
F' R2 L' B' U' B L'
F' R2 L' B2 U' L' B2
F' R2 L' B2 U' B2 L'
F2 R2 U F L' U' L'
L2 U2 B U' L F' U'
L2 U2 B U' F' L U'
U' R2 D F2 B R' U
U' R2 D B R' F2 U
U' R2 D B F2 R' U
F' R2 D' L' B2 U' B2
F' R2 D' B2 L' U' B2
U' R2 B R U L2 F'
U' R2 B R U F' L2
F' R2 B' L' U' L' B
F' R2 B' L' U' B L'
F' R2 B2 L' U' L' B2
F' R2 B2 L' U' B2 L'
L2 D U L F' U' F2
L2 D U F' L U' F
D' U L F' B2 U' F2
D' U L B2 F' U' F2
F' U L' U L U2 L2
F' U L' U' L' D2 R2
F U L F2 L' U' L2
F' U L' B2 U' L' R'
F' U L' B2 U' R' L'
L2 D F U F2 L' U'
F U L2 F2 L' U' L
L2 D F2 U F L' U'
D' U F' L B2 U' F
F' U D' L' B2 U' R'
D' U F' B2 L U' F
F2 U F L' U' L' D
F2 U F L' U' L' D'
F2 U F L' U' L' D2
F2 U F L' U' D L'
F2 U F L' U' D' L'
F2 U F L' U' D2 L'
F2 U F L' D U' L'
F2 U F L' D' U' L'
F2 U F L' D2 U' L'
F2 U F L' B U' L'
F2 U F L' B' U' L'
F2 U F L' B2 U' L'
F2 U F D' L' B2 U'
F2 U F D' B2 L' U'
F2 U F B L' U' L'
F2 U F B' L' U' L'
F2 U F B2 L' U' L'
D' U B2 L F' U' F2
D' U B2 F' L U' F
F U F2 L' U' L' D
F U F2 L' U' L' D'
F U F2 L' U' L' D2
F U F2 L' U' D L'
F U F2 L' U' D' L'
F U F2 L' U' D2 L'
F U F2 L' D U' L'
F U F2 L' D' U' L'
F U F2 L' D2 U' L'
F U F2 L' B U' L'
F U F2 L' B' U' L'
F U F2 L' B2 U' L'
F U F2 D' L' B2 U'
F U F2 D' B2 L' U'
F U F2 B L' U' L'
F2 U B F L' U' L'
F U F2 B' L' U' L'
F U F2 B2 L' U' L'
L2 D' U L F' U' F2
F2 U B' F L' U' L'
F U B F2 L' U' L'
L2 D' U F' L U' F
U D' L F' B2 U' F2
U D' L B2 F' U' F2
F2 U B2 F L' U' L'
F U B' F2 L' U' L'
F U B2 F2 L' U' L'
L2 D' F U F2 L' U'
L2 D' F2 U F L' U'
F U' R U L2 D R2
F U' R U2 F2 U' L2
F U' R D F2 U R2
U D' F' L B2 U' F
F' U' D F2 R U R'
U D' F' B2 L U' F
U D' B2 L F' U' F2
F' U' F2 R U L2 R'
F' U' F2 R U R' L2
U D' B2 F' L U' F
L2 D2 U L F' U' F2
L2 D2 U F' L U' F
L2 D2 F U F2 L' U'
L2 D2 F2 U F L' U'
L F L U F2 L' U'
U F L F2 U' L F'
U F L F2 U' F' L
R2 F L2 U' B R U
L2 F R U F2 U' F2
L2 F R D R2 D' F2
L2 F R' D R2 D2 F2
L2 F R' D' F2 D2 R2
R F R B U B' L2
D' F U F2 L' B2 U'
D' F U F2 B2 L' U'
L2 F U L F2 L' U'
L2 F U L' F2 L' U'
L' F U F2 L' B' U'
L2 F U L2 F2 L' U'
D' F U B2 F2 L' U'
L2 F U F2 L' U' D
L2 F U F2 L' U' D'
L2 F U F2 L' U' D2
L2 F U F2 L' D U'
L2 F U F2 L' D' U'
L2 F U F2 L' D2 U'
L2 F U F2 D L' U'
L2 F U F2 D' L' U'
L2 F U F2 D2 L' U'
L2 F U' R U D R2
L2 F U' R U2 F2 U'
L2 F U' R D U R2
L2 F U' R D2 B2 U
L2 F U' D R U R
L2 F U' D2 R B2 U
L2 F U' D2 B2 R U
L F U F2 L' U' L2
R2 F U' B R U L2
F' D L' D2 B2 U' B2
L2 F D R' D' R' F2
L2 F D R' D' F2 R'
L2 F D R2 U' R' U
L2 F D U' R U R
L2 F D2 R' D' R2 F2
L2 F D2 R' D' F2 R2
L2 F D2 U' R B2 U
L2 F D2 U' B2 R U
R2 F B R U B' L2
F D R' D' L2 R' F2
F D R' D' L2 F2 R'
F D R' D' R' L2 F2
F D R' D' R' F2 L2
F D R' D' F2 L2 R'
F D R' D' F2 R' L2
F D R2 U' R' F2 U
F D R2 U' F2 R' U
F' D U' F2 R U R'
D' F' L B2 L2 U' B2
U2 F' L U' L F B'
U2 F' L U' L B' F
D' F' L' R B2 U' B2
D' F' L' R' B2 U' B2
D' F' L' R2 B2 U' B2
D2 F' L' D B2 U' B2
D' F' L' B2 R U' B2
D' F' L' B2 R' U' B2
D' F' L' B2 R2 U' B2
D' F' L' B2 U' B2 D
D' F' L' B2 U' B2 D'
D' F' L' B2 U' B2 D2
D' F' L' B2 D' R2 U'
U F' L U' D F L
U F' L U' D' F L
U F' L U' D2 F L
U F' L U' F L D
U F' L U' F L D'
U F' L U' F L D2
U F' L U' F D L
U F' L U' F D' L
U F' L U' F D2 L
U F' L U' F' L F2
U F' L U' F2 L F'
U F' L D U' F L
U F' L D' U' F L
L F' L D F2 D R2
U F' L D2 U' F L
D F' L' R2 B U' B'
L2 F' L' B U' B' L
L F' L F2 D R2 F2
L F' L F2 D F2 R2
L2 F' L' B2 U' B2 L
U F' L' U B' U2 L'
U F' L' U' L2 F L
D' F' R L' B2 U' B2
L F' L' U' L2 D' B2
L F' L' D' B2 U' B2
L F' L' B U' B' L2
L F' L' B' U' L2 B
L F' L' B' U' B L2
L F' L' B2 U' L2 B2
L F' L' B2 U' B2 L2
D' F' R B2 L' U' B2
U' F' R' U' F' L2 B'
D' F' R' L' B2 U' B2
D' F' R' B2 L' U' B2
D' F' R2 L' B2 U' B2
D' F' R2 B2 L' U' B2
D' F' U L' B2 U' R'
D F' R2 L' B U' B'
L2 F' U L' U L U2
U2 F' U' L F L B'
F' D' L B2 L2 U' B2
F' D' L' R B2 U' B2
F' D' L' R' B2 U' B2
F' D' L' R2 B2 U' B2
D2 F' D L' B2 U' B2
F' D' L' B2 R U' B2
F' D' L' B2 R' U' B2
F' D' L' B2 R2 U' B2
F' D' L' B2 U' B2 D
F' D' L' B2 U' B2 D'
F' D' L' B2 U' B2 D2
F' D' L' B2 D' R2 U'
D2 F' D B2 L' U' B2
U F' U2 R' U L2 F'
U F' U2 R' U F' L2
F' D' R L' B2 U' B2
F' D' R B2 L' U' B2
F' D' R' L' B2 U' B2
U F' D' L B2 U' F
F' D' R' B2 L' U' B2
U2 F' B L U' L B'
U F' D' B2 L U' F
F' D' R2 L' B2 U' B2
L2 F' B L' U' L B'
F' D' R2 B2 L' U' B2
L2 F' B' L' U' L B
D' F' B2 L' R U' B2
D' F' B2 L' R' U' B2
D' F' B2 L' R2 U' B2
D' F' B2 L' U' B2 D
D' F' B2 L' U' B2 D'
D' F' B2 L' U' B2 D2
D' F' B2 L' D' R2 U'
F' D' U L' B2 U' R'
D' F' B2 R L' U' B2
U F' B L U' F L
D' F' B2 R' L' U' B2
D' F' B2 R2 L' U' B2
D' F' B2 D' L' R2 U'
D' F' B2 D' R2 L' U'
L2 F' B2 L' U' L B2
U F' B' L U' F L
U F' B2 L U' F L
L F' B2 L' U' B2 L
L F2 L D R F' R
L F2 L D F' R F'
B' D' F' L' B2 U' B'
B2 D' F' L' R2 B2 U'
B2 D' F' L' B2 R2 U'
B2 D' F' R2 L' B2 U'
B2 D' F' R2 B2 L' U'
B2 D' F' B2 L' R2 U'
B2 D' F' B2 R2 L' U'
L2 F2 R U F L' U'
B D' F' B2 L' U' B
L2 F2 R' U F L' U'
L2 F2 R2 U F L' U'
D' F2 U F L' B2 U'
D' F2 U F B2 L' U'
F' D' B2 L' R U' B2
F' D' B2 L' R' U' B2
F' D' B2 L' R2 U' B2
F' D' B2 L' U' B2 D
F' D' B2 L' U' B2 D'
F' D' B2 L' U' B2 D2
F' D' B2 L' D' R2 U'
F' D' B2 R L' U' B2
F' D' B2 R' L' U' B2
D' F2 U B2 F L' U'
F' D' B2 R2 L' U' B2
L2 F2 U F L' U' D
L2 F2 U F L' U' D'
L2 F2 U F L' U' D2
L2 F2 U F L' D U'
L2 F2 U F L' D' U'
L2 F2 U F L' D2 U'
F' D' B2 D' L' R2 U'
L2 F2 U F D L' U'
L2 F2 U F D' L' U'
L2 F2 U F D2 L' U'
F' D' B2 D' R2 L' U'
B2 D' B2 F' L' R2 U'
B2 D' B2 F' R2 L' U'
D F2 U F L' U' L
L F2 U F L' U' L2
B D' B2 F' L' U' B
F' D2 L' D B2 U' B2
L2 F2 D R F' D R2
F D2 R' D' R2 F2 L'
U B L F' U' L F2
U B L F' U' F2 L
U2 B U' L F' U' L
R2 B U B' L F L
U2 B U' F' L U' L
F' B L' U' L B' L2
R B U' B' L2 R' F'
R B U' B' R' L2 F'
R B U' B' R' F' L2
R2 B F R U B' L2
U2 B F' L U' L B'
L2 B F' L' U' L B'
U B F' L U' F L
U B' L F' U' L F2
U B' L F' U' F2 L
F' B D' B2 L' U' B
B' F' L' U' L B L2
B' F' L' U' L' D B
B' F' L' U' L' D' B
B' F' L' U' L' D2 B
B' F' L' U' L' B D
B' F' L' U' L' B D'
B' F' L' U' L' B D2
B' F' L' U' D L' B
B' F' L' U' D B L'
B' F' L' U' D' L' B
B' F' L' U' D' B L'
B' F' L' U' D2 L' B
B' F' L' U' D2 B L'
B' F' L' U' B L' D
B' F' L' U' B L' D'
B' F' L' U' B L' D2
B' F' L' U' B D L'
B' F' L' U' B D' L'
B' F' L' U' B D2 L'
B' F' L' U' B' L' B2
B' F' L' D U' L' B
B' F' L' D U' B L'
B' F' L' D' U' L' B
B' F' L' D' U' B L'
B' F' L' D2 U' L' B
B' F' L' D2 U' B L'
B2 F' L' R U' L' B2
B2 F' L' R U' B2 L'
F' B' L' U' L B L2
F' B' L' U' L' D B
F' B' L' U' L' D' B
F' B' L' U' L' D2 B
F' B' L' U' L' B D
F' B' L' U' L' B D'
F' B' L' U' L' B D2
B2 F' L' R' U' L' B2
B2 F' L' R' U' B2 L'
F' B' L' U' D L' B
F' B' L' U' D B L'
F' B' L' U' D' L' B
F' B' L' U' D' B L'
F' B' L' U' D2 L' B
F' B' L' U' D2 B L'
F' B' L' U' B L' D
F' B' L' U' B L' D'
F' B' L' U' B L' D2
F' B' L' U' B D L'
F' B' L' U' B D' L'
F' B' L' U' B D2 L'
F' B' L' U' B' L' B2
B2 F' L' R2 U' L' B2
B2 F' L' R2 U' B2 L'
F' B' L' D U' L' B
F' B' L' D U' B L'
B2 F' L' U' L B2 L2
B2 F' L' U' L' B2 D
B2 F' L' U' L' B2 D'
B2 F' L' U' L' B2 D2
B' F' L' B' U' L' B2
F' B' L' D' U' L' B
F' B' L' D' U' B L'
B' F' L' B' U' B2 L'
B2 F' L' U' B L' B
B2 F' L' U' B2 L' D
B2 F' L' U' B2 L' D'
B2 F' L' U' B2 L' D2
B2 F' L' U' B2 D L'
B2 F' L' U' B2 D' L'
B2 F' L' U' B2 D2 L'
F' B' L' D2 U' L' B
F' B' L' D2 U' B L'
B' F' L' B2 U' B' L'
B2 F' L' D' R2 U' L'
F' B' L' B' U' L' B2
F' B' L' B' U' B2 L'
F' B' L' B2 U' B' L'
B2 F' L' B U' L' B
B2 F' L' B U' B L'
B2 F' L' B' U' B' L'
B F' L' U' L B' L2
B2 F' R L' U' L' B2
B2 F' R L' U' B2 L'
B2 F' R' L' U' L' B2
B2 F' R' L' U' B2 L'
B2 F' R2 L' U' L' B2
B2 F' R2 L' U' B2 L'
L2 B' F' L' U' L B
B' F' D' L' B2 U' B'
U B' F' L U' F L
D' B2 L F' L' U' B2
F' B' D' L' B2 U' B'
B2 F' D' L' R2 B2 U'
B2 F' D' L' B2 R2 U'
B2 F' D' R2 L' B2 U'
B2 F' D' R2 B2 L' U'
D' B2 L' F' L' U' B2
B2 F' D' B2 L' R2 U'
B2 F' D' B2 R2 L' U'
D' B2 L2 F' L' U' B2
B F' D' B2 L' U' B
U B2 L F' U' L F2
U B2 L F' U' F2 L
F' B2 L' R U' L' B2
F' B2 L' R U' B2 L'
F' B2 L' R' U' L' B2
F' B2 L' R' U' B2 L'
F' B2 L' R2 U' L' B2
F' B2 L' R2 U' B2 L'
F' B2 L' U' L B2 L2
F' B2 L' U' L' B2 D
F' B2 L' U' L' B2 D'
F' B2 L' U' L' B2 D2
F' B2 L' U' B L' B
F' B2 L' U' B2 L' D
F' B2 L' U' B2 L' D'
F' B2 L' U' B2 L' D2
F' B2 L' U' B2 D L'
F' B2 L' U' B2 D' L'
F' B2 L' U' B2 D2 L'
F' B2 L' D' R2 U' L'
F' B2 L' B U' L' B
F' B2 L' B U' B L'
F' B2 L' B' U' B' L'
F' B2 R L' U' L' B2
F' B2 R L' U' B2 L'
F' B2 R' L' U' L' B2
F' B2 R' L' U' B2 L'
F' B2 R2 L' U' L' B2
F' B2 R2 L' U' B2 L'
D' B2 D' F' L' R2 U'
D' B2 D' F' R2 L' U'
F' B2 D' L' R2 B2 U'
F' B2 D' L' B2 R2 U'
D' B2 F' L' R U' B2
D' B2 F' L' R' U' B2
D' B2 F' L' R2 U' B2
D' B2 F' L' U' B2 D
D' B2 F' L' U' B2 D'
D' B2 F' L' U' B2 D2
D' B2 F' L' D' R2 U'
F' B2 D' R2 L' B2 U'
D' B2 F' R L' U' B2
F' B2 D' R2 B2 L' U'
D' B2 F' R' L' U' B2
D' B2 F' R2 L' U' B2
D' B2 F' D' L' R2 U'
D' B2 F' D' R2 L' U'
F' B2 D' B2 L' R2 U'
F' B2 D' B2 R2 L' U'
L2 B2 F' L' U' L B2
L B2 F' L' U' B2 L
U B2 F' L U' F L
