U L F B2 R' B
U' L B2 R' F' B
U' L B2 R' B F'
U' L B2 R' B F'
U L B2 R' F B
U L B2 R' B F
U L B2 F R' B
D2 U L R2 F B'
D2 U L R2 B' F
D2 U L F R2 B'
D2 U L F B' R2
D2 U L B' R2 F
D2 U L B' F R2
D2 U R2 L F B'
D2 U R2 L B' F
U D2 L R2 F B'
U D2 L R2 B' F
U D2 L F R2 B'
U D2 L F B' R2
U D2 L B' R2 F
U D2 L B' F R2
U D2 R2 L F B'
U D2 R2 L B' F
U D2 F L B' F R2
U D2 F R2 L F B'
U D2 F R2 L B' F
U D2 F' L R2 F B'
U D2 F' L R2 B' F
U D2 F' L F R2 B'
U D2 F' L F B' R2
U D2 F' L B' R2 F
U D2 F' L B' F R2
U D2 F' R2 L F B'
U D2 F' R2 L B' F
U D2 F2 L R2 F B'
U D2 F2 L R2 B' F
U D2 F2 L F R2 B'
U D2 F2 L F B' R2
U D2 F2 L B' R2 F
U D2 F2 L B' F R2
U D2 F2 R2 L F B'
U D2 F2 R2 L B' F
U' F L B2 R' F' B
U' F L B2 R' B F'
D' F L' R B2 U L2
D' F L' B2 R U L2
U F L F B2 R' B
U F L B2 R' F B
U F L B2 R' B F
U F L B2 F R' B
D' F R L' B2 U L2
D2 F R U L R B'
D2 F R U L B' R
D2 F R U R L B'
U F D2 L R2 F B'
U F D2 L R2 B' F
U F D2 L F R2 B'
U F D2 L F B' R2
U F D2 L B' R2 F
U F D2 L B' F R2
U F D2 R2 L F B'
U F D2 R2 L B' F
D2 F' L R2 D F2 B'
D2 F' L R2 D B' F2
D2 F' L R2 B' D F2
U' F' L B2 R' F' B
U' F' L B2 R' B F'
D2 F' L B' R2 D F2
D2 F' L' U' L2 R2 B'
D2 F' L' U' L2 B' R2
D2 F' L' U' R2 L2 B'
L F B2 R' D' F2 B
L F B2 R' D' B F2
L F B2 R' B D' F2
U F' L F B2 R' B
U F' L B2 R' F B
U F' L B2 R' B F
U F' L B2 F R' B
R F' L2 U' L U' L2
R F' L2 U2 L' D F2
D2 F' R2 L D F2 B'
D2 F' R2 L D B' F2
D2 F' R2 L B' D F2
U F' D2 L R2 F B'
U F' D2 L R2 B' F
U F' D2 L F R2 B'
U F' D2 L F B' R2
U F' D2 L B' R2 F
U F' D2 L B' F R2
U F' D2 R2 L F B'
U F' D2 R2 L B' F
U' F2 L B2 R' F' B
U' F2 L B2 R' B F'
U F2 L F B2 R' B
U F2 L B2 R' F B
U F2 L B2 R' B F
U F2 L B2 F R' B
L2 F2 R F' U R U
F' D2 L R2 D F2 B'
F' D2 L R2 D B' F2
F' D2 L R2 B' D F2
F' D2 L B' R2 D F2
F' D2 L' U' L2 R2 B'
F' D2 L' U' L2 B' R2
F' D2 L' U' R2 L2 B'
F D2 R U L R B'
F D2 R U L B' R
F D2 R U R L B'
F' D2 R2 L D F2 B'
F' D2 R2 L D B' F2
F' D2 R2 L B' D F2
U F2 D2 L R2 F B'
U F2 D2 L R2 B' F
U F2 D2 L F R2 B'
U F2 D2 L F B' R2
U F2 D2 L B' R2 F
U F2 D2 L B' F R2
U F2 D2 R2 L F B'
U F2 D2 R2 L B' F
U' B2 L2 R' U2 F' B
U' B2 L2 R' U2 B F'
U' B2 R' L2 U2 F' B
U' B2 R' L2 U2 B F'
L B2 F R' D' F2 B
L B2 F R' D' B F2
L B2 F R' B D' F2
