U L R2 F B' L'
U L R2 B' F L'
U L F R2 B' L'
U L F B' L' R2
U L F B' R2 L'
U L B' R2 F L'
U L B' F L' R2
U L B' F R2 L'
U R2 L F B' L'
U R2 L B' F L'
R2 U L U' B' F L'
L U L F L' R2 B'
L U L F L' B' R2
L U L F R2 L' B'
R U L B' R F L'
U L2 F L' R2 F B'
U L2 F L' R2 B' F
U L2 F L' F R2 B'
U L2 F L' F B' R2
U L2 F L' B' R2 F
U L2 F L' B' F R2
U L2 F R2 L' F B'
U L2 F R2 L' B' F
R U R L F B' L'
R U R L B' F L'
R' U R' L F B' L'
R' U R' L B' F L'
L U R2 L F L' B'
L U R2 D2 B' L F
L U R2 B' L F L'
F R L U R B' L2
F R L U B' L2 R
F R L U B' R L2
U R L B' R F L'
F R U L R B' L2
F R U L B' L2 R
F R U L B' R L2
F R U R L B' L2
L U B' L R2 F L'
L U B' L F L' R2
L U B' L F R2 L'
L U B' R2 L F L'
U R' L F R' B' L'
U R2 L D2 F B' L
U R2 L D2 B' F L
U R2 L F D B' L'
U R2 L F D' B' L'
U R2 L F D2 B' L'
U R2 L F B L' B2
U R2 L F B' L' D
U R2 L F B' L' D'
U R2 L F B' L' D2
U R2 L F B' D L'
U R2 L F B' D' L'
U R2 L F B' D2 L'
U R2 L F B2 L' B
U R2 L B F L' B2
U R2 L B' F L' D
U R2 L B' F L' D'
U R2 L B' F L' D2
U R2 L B' F D L'
U R2 L B' F D' L'
U R2 L B' F D2 L'
U R2 L B2 F L' B
U R2 L2 F L' F B'
U R2 L2 F L' B' F
U R2 F L F B' L2
U R2 F L B' F L2
U R2 B L F B' L'
U R2 B L B' F L'
F' R2 B2 L D F2 B'
F' R2 B2 L D B' F2
F' R2 B2 L B' D F2
U R2 B' L F B' L'
U R2 B' L B' F L'
B' U L R2 F B' L'
B' U L R2 B' F L'
U R2 B2 L F B' L'
U R2 B2 L B' F L'
B2 U L R2 F B' L'
B2 U L R2 B' F L'
B' U L F R2 B' L'
B' U L F B' L' R2
B' U L F B' R2 L'
B2 U L F R2 B' L'
B' U L B' R2 F L'
B2 U L F B' L' R2
B2 U L F B' R2 L'
B' U L B' F L' R2
B' U L B' F R2 L'
B U L R2 F B' L'
B U L R2 B' F L'
B2 U L B' R2 F L'
B2 U L B' F L' R2
B2 U L B' F R2 L'
B U L F R2 B' L'
B U L F B' L' R2
B U L F B' R2 L'
B U L B' R2 F L'
B U L B' F L' R2
B U L B' F R2 L'
B' U R2 L F B' L'
B' U R2 L B' F L'
B2 U R2 L F B' L'
B2 U R2 L B' F L'
B U R2 L F B' L'
B U R2 L B' F L'
U F L R2 F B' L2
U F L R2 B' F L2
D F L' R F' B2 U
U F L F R2 B' L2
D F L' R B2 F' U
U F L F B' L2 R2
U F L F B' R2 L2
U F L B' R2 F L2
U F L B' F L2 R2
U F L B' F R2 L2
D F L' B2 R F' U
D F R L' F' B2 U
D F R L' B2 F' U
L F R U R B' L'
L F R U B' L' R
L F R U B' R L'
D F R B2 L' F' U
L' F U R U L' R
L' F U R U R L'
U F R2 L F B' L2
U F R2 L B' F L2
L F R2 B' D L' F
D F B2 L' R F' U
D F B2 R L' F' U
R2 F' L D F2 B' L'
R2 F' L D B' F2 L'
R2 F' L B' D F2 L'
U F' R2 B2 L F B'
U F' R2 B2 L B' F
U B L R2 F B' L'
U B L R2 B' F L'
U B L F R2 B' L'
U B L F B' L' R2
U B L F B' R2 L'
U B L B' R2 F L'
U B L B' F L' R2
U B L B' F R2 L'
U B R2 L F B' L'
U B R2 L B' F L'
U B' L R2 F B' L'
U B' L R2 B' F L'
U B' L F R2 B' L'
U B' L F B' L' R2
U B' L F B' R2 L'
U B' L B' R2 F L'
U B' L B' F L' R2
U B' L B' F R2 L'
U B' R2 L F B' L'
U B' R2 L B' F L'
U B2 L R2 F B' L'
U B2 L R2 B' F L'
U B2 L F R2 B' L'
U B2 L F B' L' R2
U B2 L F B' R2 L'
U B2 L B' R2 F L'
U B2 L B' F L' R2
U B2 L B' F R2 L'
U B2 R2 L F B' L'
U B2 R2 L B' F L'
D B2 F L' R F' U
D B2 F R L' F' U
