R2 L B U F' B2
R2 L B U B2 F'
L R2 B U F' B2
L R2 B U B2 F'
R2 B L U F' B'
R2 B L U B' F'
L' U' F B D U2 R2
L' U' F B D' L2 U2
L' U' B F U' F2 U'
L' U' B F U2 D R2
L' U' B F D U2 R2
L' U' B F D' L2 U2
L U' B U' F' U' B2
L' U2 F' U F2 B U2
L' U2 F' U B F2 U2
L' U2 F' D R2 U' F'
L U2 F' R2 U' F' B'
L U2 F' R2 U' B' F'
L U2 F' U B U2 B2
L U2 F' U' B' D2 F2
D' R2 B' L B2 U F'
L D R2 B U F' B2
L D R2 B U B2 F'
D2 U R' D B R' F'
U' D B U' F' R U'
L D' R2 B U F' B2
L D' R2 B U B2 F'
R2 D' B' L B2 U F'
D' U' B U' F' R' U'
U' D' B U' F' R' U'
D U' B U' F' R U'
L D2 R2 B U F' B2
L D2 R2 B U B2 F'
U D2 R' D B R' F'
B U2 L F' U' F B'
B U2 L F' U' B' F
B' U2 D L2 F' R U'
B' U2 D F' L2 R U'
B' U2 D F' R L2 U'
B U2 D F' R U' F
B' D U2 L2 F' R U'
U2 F' L R2 U' F' B'
U2 F' L R2 U' B' F'
U2 F' L U B U2 B2
U2 F' L U' B' D2 F2
B' D U2 F' L2 R U'
B' D U2 F' R L2 U'
U2 F' L' U F B U2
U2 F' L' U B F U2
B D U2 F' R U' F
B' D F' L2 R B' U'
B' D F' L2 B' R U'
B' D F' R L2 B' U'
U2 F' R2 L U' F' B'
U2 F' R2 L U' B' F'
B' D' R2 B U2 R' U'
B' D' R2 B' L B2 U
B' D' B' L R2 B U
B' D' B' R2 L B U
B' D' B2 R2 B L U
U' B L U' F' U' B'
U' B L' F U' F2 U'
U' B L' F U2 D R2
U' B L' F D U2 R2
U' B L' F D' L2 U2
R2 B L U D F' B'
R2 B L U D B' F'
R2 B L U D' F' B'
R2 B L U D' B' F'
R2 B L U D2 F' B'
R2 B L U D2 B' F'
R2 B L U F' D B'
R2 B L U F' D' B'
R2 B L U F' D2 B'
R2 B L U F' B' D
R2 B L U F' B' D'
R2 B L U F' B' D2
R2 B L U B' D F'
R2 B L U B' D' F'
R2 B L U B' D2 F'
R2 B L U B' F' D
R2 B L U B' F' D'
R2 B L U B' F' D2
R2 B L D U F' B'
R2 B L D U B' F'
R2 B L D' U F' B'
R2 B L D' U B' F'
R2 B L D2 U F' B'
R2 B L D2 U B' F'
R2 B L' U F' D2 B2
R2 B L' U' F U2 F2
U' B U' D F' R U'
R2 B U L B' L' F'
R2 B U F' L B' L'
D' B U2 F' R' U' F
U' B D U' F' R U'
R2 B U2 L U' F' B'
R2 B U2 L U' B' F'
D B U2 F' R U' F
L B U2 F' U' F B2
L B U2 F' U' B2 F
D' B' L D' R2 B U
R2 B' L B2 U F' B
R2 B' L B2 U B F'
D' B' D' L R2 B U
D' B' D' R2 L B U
L B' D' R2 B U B'
R2 B2 L U F' B' R'
R2 B2 L U B' F' R'
R2 B2 D' B' L U F'
