B2 L U2 F U' L'
U2 R' F' U R U2
L U2 R' F U' L'
L U2 F R' U' L'
U2 D R' F' B U'
U2 D R' B F' U'
D U2 R' F' B U'
D U2 R' B F' U'
U2 F2 R' F' U' L'
F U L' B' D' R' B
U2 D R' D F' B U'
U2 D R' D B F' U'
U2 D R' D' F' B U'
U2 D R' D' B F' U'
U2 D R' D2 F' B U'
U2 D R' D2 B F' U'
U2 D R' F' D B U'
U2 D R' F' D' B U'
U2 D R' F' D2 B U'
U2 D R' F' B U' D
U2 D R' F' B U' D'
U2 D R' F' B U' D2
U2 D R' F' B D U'
U2 D R' F' B D' U'
U2 D R' F' B D2 U'
U2 D R' B D F' U'
U2 D R' B D' F' U'
U2 D R' B D2 F' U'
U2 D R' B F' U' D
U2 D R' B F' U' D'
U2 D R' B F' U' D2
U2 D R' B F' D U'
U2 D R' B F' D' U'
U2 D R' B F' D2 U'
U2 D F R' F' B U'
U2 D F R' B F' U'
U2 D F' R' F' B U'
U2 D F' R' B F' U'
U2 D F2 R' F' B U'
U2 D F2 R' B F' U'
D2 U B' L D' R' B
D2 U B' R' D L B'
D2 U B' D L R' B'
D2 U B' D R' L B'
D2 U B' D' L R' B
D2 U B' D' R' L B
F U B' L' D' R' B
F U B' D' L' R' B
F U B' D' R' L' B
F U B' D' R' B L'
B U' L F U2 L' R
B U' L F U2 R L'
B U' F U2 L' R B
B U' F U2 R L' B
B U' F U2 R B L'
B U' F' L' R U2 B'
B U' F' R L' U2 B'
D2 U2 R' F' B' U' L
D2 U2 R' B' F' U' L
U2 D2 R' F' B' U' L
U2 D2 R' B' F' U' L
D U2 R' D F' B U'
D U2 R' D B F' U'
D U2 R' D' F' B U'
D U2 R' D' B F' U'
D U2 R' D2 F' B U'
D U2 R' D2 B F' U'
D U2 R' F' D B U'
D U2 R' F' D' B U'
D U2 R' F' D2 B U'
D U2 R' F' B U' D
D U2 R' F' B U' D'
D U2 R' F' B U' D2
D U2 R' F' B D U'
D U2 R' F' B D' U'
D U2 R' F' B D2 U'
D U2 R' B D F' U'
D U2 R' B D' F' U'
D U2 R' B D2 F' U'
D U2 R' B F' U' D
D U2 R' B F' U' D'
D U2 R' B F' U' D2
D U2 R' B F' D U'
D U2 R' B F' D' U'
D U2 R' B F' D2 U'
D U2 F R' F' B U'
D U2 F R' B F' U'
D U2 F' R' F' B U'
D U2 F' R' B F' U'
D U2 F2 R' F' B U'
D U2 F2 R' B F' U'
F' U2 R' D F' B2 U'
F' U2 R' D B2 F' U'
F' U2 R' D2 F' U' L2
F' U2 R' F' U R2 U2
F' U2 R' F' U' D2 L2
F' U2 R' F' D B2 U'
F' U2 R' F' D2 U' L2
F2 U2 R' F' B U' L
F2 U2 R' B F' U' L
L' D2 B' U D L B'
L' D2 B' D U L B'
L' D2 B2 L B U L
U D2 B' L D' R' B
U D2 B' R' D L B'
U D2 B' D L R' B'
U D2 B' D R' L B'
U D2 B' D' L R' B
U D2 B' D' R' L B
R' F L F L' U' L'
F' U2 F' R' F' U' L'
F U2 F R' F' U' L'
L F R' U2 R U L'
F U2 B U' L' B' R'
U' F U' R' U' L' R2
U' F U' R' U' R2 L'
R' F U' D' L' F R
U' F U2 L' R D B2
U' F U2 R L' D B2
U' F U2 R D L' B2
U' F U2 R D B2 L'
D F U2 R' F' B U'
D F U2 R' B F' U'
R' F D' U' L' F R
U2 F B U' L' B' R'
L' F B2 L B U L2
L2 F B2 L B' U L2
U' F' L' R U' R2 U'
U' F' L' R U2 D B2
U' F' L' R D U2 B2
U' F' L' R D' F2 U2
U' F' R L' U' R2 U'
U' F' R L' U2 D B2
U' F' R L' D U2 B2
U' F' R L' D' F2 U2
U' F' R D L' U2 B2
U' F' R D' L' F2 U2
U' F' R D' F2 U2 R
U2 F' R' D F' B2 U'
U2 F' R' D B2 F' U'
U2 F' R' D2 F' U' L2
U2 F' R' F' U R2 U2
U2 F' R' F' U' D2 L2
U2 F' R' F' D B2 U'
U2 F' R' F' D2 U' L2
B2 D' L U2 F B' U'
B2 D' L U2 B' F U'
B2 D' L' F B' L2 U
D F' U2 R' F' B U'
D F' U2 R' B F' U'
B2 D' L' B' F L2 U
L F' U2 F2 R' U' L'
U2 F2 R' D F' U' L'
U2 F2 R' D' F' U' L'
U2 F2 R' D2 F' U' L'
U2 F2 R' F' U' L' D
U2 F2 R' F' U' L' D'
U2 F2 R' F' U' L' D2
U2 F2 R' F' U' D L'
U2 F2 R' F' U' D' L'
U2 F2 R' F' U' D2 L'
U2 F2 R' F' D U' L'
U2 F2 R' F' D' U' L'
U2 F2 R' F' D2 U' L'
U2 F2 R' F' B U' L'
U2 F2 R' F' B' U' L'
U2 F2 R' F' B2 U' L'
U2 F2 R' B F' U' L'
U2 F2 R' B' F' U' L'
U2 F2 R' B2 F' U' L'
D F2 U2 R' F' B U'
D F2 U2 R' B F' U'
B2 D2 L' B' L2 U L'
U2 F2 D R' F' U' L'
U2 F2 D' R' F' U' L'
U2 F2 D2 R' F' U' L'
B' D2 F L' B' U L
B2 F L U2 F U' L2
B' F L' B' L U L'
B2 F L' B' L2 U L2
L B U2 F R U' L'
U2 B F U' L' B' R'
D' B' L' F B' L U
D2 B' L' B' L U L
D' B' L' B' F L U
D2 B' U D L B' R'
F B' L' B' L U L'
D2 B' D U L B' R'
D' B2 L U2 F B' U'
D' B2 L U2 B' F U'
L' B2 L F B U L'
L' B2 L B F U L'
L2 B2 L D2 B' U L
L2 B2 L F B' U L'
D' B2 L' F B' L2 U
L2 B2 L B' F U L'
D' B2 L' B' F L2 U
R B2 L R2 F U' L'
R B2 L F R2 U' L'
F B2 L U2 F U' L2
F B2 L' B' L2 U L2
R B2 R2 L F U' L'
L' B2 F L B U L2
L2 B2 F L B' U L2
